"Status","Year","Age","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","Heterosexual / straight","50","45","22020","21260"
"In post","2022","16-19","Asian","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Delivery","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","International Trade","Undeclared","[c]","[c]","[c]","[c]"
