"Status","Year","Age","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Department for Education (excl. agencies)","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Male","15","15","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","Male","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Unknown","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","Female","50","50","23180","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","Male","35","35","23060","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","Female","20","20","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","Male","15","15","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Male","10","10","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","Female","40","35","19090","18310"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","Male","30","25","19190","18310"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Property","Male","10","10","[c]","[c]"
"In post","2022","16-19","FCDO Services","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","Female","20","20","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","Female","100","100","23330","23140"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","Male","65","65","23180","23140"
"In post","2022","16-19","HM Prison and Probation Service","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Finance","Male","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Female","50","50","21550","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Male","60","55","21560","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","Female","35","35","21720","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","Male","30","30","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","Female","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","Male","5","5","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Delivery","Female","25","25","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Delivery","Male","20","20","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Security","Male","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Operational Delivery","Male","[c]","[c]","[c]","[c]"
