"Status","Year","Age","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Communications","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","Female","25","25","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","Male","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Defence Equipment and Support","Female","10","10","[c]","[c]"
"In post","2022","16-19","Finance","Defence Equipment and Support","Male","10","10","[c]","[c]"
"In post","2022","16-19","Finance","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","16-19","Finance","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","Female","5","5","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","Male","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Registers of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Prison Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Prison Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","Female","20","20","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","Male","10","10","[c]","[c]"
"In post","2022","16-19","Legal","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Criminal Injuries Compensation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Crown Office and Procurator Fiscal Service","Female","5","5","[c]","[c]"
"In post","2022","16-19","No function","Crown Office and Procurator Fiscal Service","Male","5","5","[c]","[c]"
"In post","2022","16-19","No function","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Defence Electronics and Components Agency","Male","15","15","[c]","[c]"
"In post","2022","16-19","No function","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Defence Science and Technology Laboratory","Male","10","10","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2022","16-19","No function","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","Female","65","65","23280","21260"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","Male","50","50","22830","21260"
"In post","2022","16-19","No function","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Licensing Agency","Female","40","35","19090","18310"
"In post","2022","16-19","No function","Driver and Vehicle Licensing Agency","Male","30","25","19190","18310"
"In post","2022","16-19","No function","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","Female","20","20","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Prison and Probation Service","Female","100","100","23330","23140"
"In post","2022","16-19","No function","HM Prison and Probation Service","Male","65","65","23180","23140"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","Female","50","50","21430","21250"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","Male","65","60","21520","21250"
"In post","2022","16-19","No function","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Legal Aid Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Legal Aid Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of the Public Guardian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of the Public Guardian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Registers of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scottish Courts and Tribunals Service","Female","5","5","[c]","[c]"
"In post","2022","16-19","No function","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scottish Prison Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scottish Prison Service","Male","5","5","[c]","[c]"
"In post","2022","16-19","No function","The Insolvency Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","The Insolvency Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Health Security Agency","Female","10","10","[c]","[c]"
"In post","2022","16-19","No function","UK Health Security Agency","Male","5","5","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","Female","5","5","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","Male","10","10","[c]","[c]"
"In post","2022","16-19","No function","Vehicle Certification Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Vehicle Certification Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Defence Equipment and Support","Female","10","10","[c]","[c]"
"In post","2022","16-19","Project Delivery","Defence Equipment and Support","Male","75","75","18280","17540"
"In post","2022","16-19","Project Delivery","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Work and Pensions (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Work and Pensions (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Submarine Delivery Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Submarine Delivery Agency","Male","15","15","[c]","[c]"
"In post","2022","16-19","Property","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","FCDO Services","Male","10","10","[c]","[c]"
"In post","2022","16-19","Property","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Valuation Office Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Valuation Office Agency","Male","15","15","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","16-19","Security","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","HM Prison and Probation Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","HM Prison and Probation Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Female","[c]","[c]","[c]","[c]"
