"Status","Year","Age","Disability","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared non-disabled","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Economics","EO","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","EO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Operational Delivery","AA/AO","320","305","21620","21260"
"In post","2022","16-19","Declared non-disabled","Operational Delivery","EO","35","35","27040","27570"
"In post","2022","16-19","Declared non-disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other","AA/AO","30","30","21740","21260"
"In post","2022","16-19","Declared non-disabled","Other","EO","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Policy","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Policy","EO","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Project Delivery","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Property","EO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Property","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Science and Engineering","AA/AO","30","30","19020","19400"
"In post","2022","16-19","Declared non-disabled","Science and Engineering","EO","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Science and Engineering","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Tax","AA/AO","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","AA/AO","30","30","21770","21260"
"In post","2022","16-19","Declared non-disabled","Unknown","EO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","AA/AO","250","235","21490","21250"
"In post","2022","16-19","Unknown","Operational Delivery","EO","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Other","EO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Unknown","35","35","17940","16450"
"In post","2022","16-19","Unknown","Policy","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Policy","EO","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Property","EO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Science and Engineering","EO","30","30","17300","17140"
"In post","2022","16-19","Unknown","Science and Engineering","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Tax","AA/AO","35","30","21250","21250"
"In post","2022","16-19","Unknown","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","AA/AO","40","35","21790","21050"
"In post","2022","16-19","Unknown","Unknown","EO","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","EO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","SEO/HEO","30","30","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","EO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","SEO/HEO","30","30","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","AA/AO","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","EO","45","45","27620","27570"
"In post","2022","20-29","Declared disabled","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data and Technology","AA/AO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data and Technology","EO","55","55","26140","26350"
"In post","2022","20-29","Declared disabled","Digital, Data and Technology","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data and Technology","SEO/HEO","85","85","34310","33080"
"In post","2022","20-29","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Economics","EO","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Economics","G6/G7","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Economics","SEO/HEO","35","35","34470","34260"
"In post","2022","20-29","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","AA/AO","10","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","EO","35","35","25200","25710"
"In post","2022","20-29","Declared disabled","Finance","G6/G7","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","SEO/HEO","35","35","34250","33000"
"In post","2022","20-29","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Geography","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Geography","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Geography","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","AA/AO","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","EO","30","30","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","G6/G7","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","SEO/HEO","75","75","33700","33300"
"In post","2022","20-29","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Intelligence Analysis","EO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Intelligence Analysis","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Internal Audit","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","International Trade","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","International Trade","SEO/HEO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Knowledge and Information Management","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Legal","EO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Legal","G6/G7","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Legal","SEO/HEO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Operational Delivery","AA/AO","1235","1200","22710","21260"
"In post","2022","20-29","Declared disabled","Operational Delivery","EO","865","850","28020","27570"
"In post","2022","20-29","Declared disabled","Operational Delivery","G6/G7","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Operational Delivery","SEO/HEO","180","180","34130","33210"
"In post","2022","20-29","Declared disabled","Operational Delivery","Unknown","330","325","25700","24090"
"In post","2022","20-29","Declared disabled","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Operational Research","SEO/HEO","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Other","AA/AO","125","120","21780","21260"
"In post","2022","20-29","Declared disabled","Other","EO","120","120","26690","27570"
"In post","2022","20-29","Declared disabled","Other","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Other","SEO/HEO","35","35","32200","33650"
"In post","2022","20-29","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Policy","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Policy","EO","115","110","27550","27680"
"In post","2022","20-29","Declared disabled","Policy","G6/G7","135","130","54100","53380"
"In post","2022","20-29","Declared disabled","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Policy","SEO/HEO","475","470","35410","34200"
"In post","2022","20-29","Declared disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Project Delivery","AA/AO","10","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Project Delivery","EO","35","35","25960","25930"
"In post","2022","20-29","Declared disabled","Project Delivery","G6/G7","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Project Delivery","SEO/HEO","90","90","34780","34020"
"In post","2022","20-29","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Property","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Property","EO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Property","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Property","SEO/HEO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Psychology","EO","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Psychology","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Science and Engineering","AA/AO","35","30","21360","21300"
"In post","2022","20-29","Declared disabled","Science and Engineering","EO","70","70","26070","26370"
"In post","2022","20-29","Declared disabled","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Science and Engineering","SEO/HEO","85","80","33010","32330"
"In post","2022","20-29","Declared disabled","Science and Engineering","Unknown","30","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Security","AA/AO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Security","EO","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Security","SEO/HEO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Social Research","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Social Research","SEO/HEO","30","30","35560","35000"
"In post","2022","20-29","Declared disabled","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Statistics","EO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Statistics","SEO/HEO","65","60","34930","34000"
"In post","2022","20-29","Declared disabled","Tax","AA/AO","55","55","21390","21250"
"In post","2022","20-29","Declared disabled","Tax","EO","60","60","26750","26820"
"In post","2022","20-29","Declared disabled","Tax","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Tax","SEO/HEO","60","60","33690","33370"
"In post","2022","20-29","Declared disabled","Unknown","AA/AO","105","105","22630","21260"
"In post","2022","20-29","Declared disabled","Unknown","EO","130","130","27170","27500"
"In post","2022","20-29","Declared disabled","Unknown","G6/G7","50","50","55410","54700"
"In post","2022","20-29","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","SEO/HEO","195","190","35290","34550"
"In post","2022","20-29","Declared disabled","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Commercial","AA/AO","35","35","21460","21670"
"In post","2022","20-29","Declared non-disabled","Commercial","EO","170","170","25120","26150"
"In post","2022","20-29","Declared non-disabled","Commercial","G6/G7","25","25","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Commercial","SEO/HEO","350","350","33980","33380"
"In post","2022","20-29","Declared non-disabled","Commercial","Unknown","25","25","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Communications","AA/AO","30","30","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Communications","EO","90","90","27330","26920"
"In post","2022","20-29","Declared non-disabled","Communications","G6/G7","40","40","54490","53370"
"In post","2022","20-29","Declared non-disabled","Communications","SEO/HEO","280","275","36300","35110"
"In post","2022","20-29","Declared non-disabled","Communications","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Corporate Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Counter Fraud","AA/AO","145","145","22890","21260"
"In post","2022","20-29","Declared non-disabled","Counter Fraud","EO","265","260","27920","27570"
"In post","2022","20-29","Declared non-disabled","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Counter Fraud","SEO/HEO","60","60","34150","33100"
"In post","2022","20-29","Declared non-disabled","Digital, Data and Technology","AA/AO","105","105","20870","21170"
"In post","2022","20-29","Declared non-disabled","Digital, Data and Technology","EO","485","480","27060","26670"
"In post","2022","20-29","Declared non-disabled","Digital, Data and Technology","G6/G7","140","140","54620","53530"
"In post","2022","20-29","Declared non-disabled","Digital, Data and Technology","SEO/HEO","865","865","36130","35080"
"In post","2022","20-29","Declared non-disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Economics","AA/AO","50","50","22010","21250"
"In post","2022","20-29","Declared non-disabled","Economics","EO","55","55","26990","27680"
"In post","2022","20-29","Declared non-disabled","Economics","G6/G7","195","190","55690","54760"
"In post","2022","20-29","Declared non-disabled","Economics","SEO/HEO","440","440","35410","34090"
"In post","2022","20-29","Declared non-disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Finance","AA/AO","95","95","22070","21260"
"In post","2022","20-29","Declared non-disabled","Finance","EO","325","320","25750","26350"
"In post","2022","20-29","Declared non-disabled","Finance","G6/G7","95","95","55570","54270"
