"Status","Year","Age","Organisation","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Science and Engineering","Wales","10","10","17820","17450"
"In post","2022","16-19","Defence Electronics and Components Agency","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Finance","South West (England)","15","15","19730","19460"
"In post","2022","16-19","Defence Equipment and Support","Other","Scotland","10","10","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Other","South East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Other","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Project Delivery","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Science and Engineering","South West (England)","60","60","18210","17140"
"In post","2022","16-19","Defence Science and Technology Laboratory","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Science and Engineering","South West (England)","15","15","19290","22230"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","London","10","10","25170","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Unknown","London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","North East (England)","10","10","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","North West (England)","25","25","22520","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","Scotland","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","South East (England)","10","10","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","Wales","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","Yorkshire and The Humber","15","15","23690","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","Wales","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","Wales","70","60","19100","18310"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Property","South East (England)","15","15","19130","16630"
"In post","2022","16-19","FCDO Services","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","London","5","5","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Digital, Data and Technology","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","East Midlands (England)","20","20","22770","23140"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","East of England","15","15","23490","23140"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","North East (England)","10","10","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","North West (England)","20","20","21890","23140"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","South East (England)","40","40","24720","23140"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","South West (England)","15","15","22820","23140"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","Wales","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","West Midlands (England)","10","10","22980","23140"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","Yorkshire and The Humber","20","20","21700","20890"
"In post","2022","16-19","HM Prison and Probation Service","Security","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","North East (England)","10","10","21690","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","North West (England)","35","35","21250","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Scotland","10","10","21250","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Wales","10","10","21250","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Yorkshire and The Humber","20","20","21520","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Statistics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","North East (England)","15","15","21250","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","North West (England)","15","15","21930","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","Scotland","10","10","21250","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","Wales","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","Yorkshire and The Humber","10","10","21250","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Economics","London","5","5","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Delivery","East of England","10","10","22220","21680"
"In post","2022","16-19","Home Office","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Delivery","South East (England)","20","20","22970","21680"
"In post","2022","16-19","Home Office","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Delivery","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Digital, Data and Technology","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Security","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Security","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
