"Status","Year","Age","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Unknown","Security","525","525","27740","26350"
"In post","2022","20-29","Unknown","Unknown","4200","4160","29590","27230"
"In post","2022","30-39","Declared disabled","Analysis","170","160","42470","38340"
"In post","2022","30-39","Declared disabled","Commercial","105","100","38860","37410"
"In post","2022","30-39","Declared disabled","Communications","145","140","35770","33300"
"In post","2022","30-39","Declared disabled","Counter Fraud","215","205","32640","31060"
"In post","2022","30-39","Declared disabled","Debt","105","95","22960","21260"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","400","390","39630","36740"
"In post","2022","30-39","Declared disabled","Finance","165","160","39850","35310"
"In post","2022","30-39","Declared disabled","Grants Management","15","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Human Resources","275","265","37970","33370"
"In post","2022","30-39","Declared disabled","Internal Audit","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","190","180","45610","48830"
"In post","2022","30-39","Declared disabled","No function","5180","4885","31340","27570"
"In post","2022","30-39","Declared disabled","Project Delivery","510","490","39770","37410"
"In post","2022","30-39","Declared disabled","Property","95","95","33760","31990"
"In post","2022","30-39","Declared disabled","Security","135","135","34730","33300"
"In post","2022","30-39","Declared disabled","Unknown","1190","1135","34080","30820"
"In post","2022","30-39","Declared non-disabled","Analysis","1570","1510","46580","43880"
"In post","2022","30-39","Declared non-disabled","Commercial","880","850","40320","38200"
"In post","2022","30-39","Declared non-disabled","Communications","1610","1550","37020","33370"
"In post","2022","30-39","Declared non-disabled","Counter Fraud","2085","2005","32920","31020"
"In post","2022","30-39","Declared non-disabled","Debt","785","705","23360","21260"
"In post","2022","30-39","Declared non-disabled","Digital, Data & Technology","3405","3330","41500","39240"
"In post","2022","30-39","Declared non-disabled","Finance","1650","1575","40440","36780"
"In post","2022","30-39","Declared non-disabled","Grants Management","415","385","23990","21300"
"In post","2022","30-39","Declared non-disabled","Human Resources","1785","1700","37100","33300"
"In post","2022","30-39","Declared non-disabled","Internal Audit","90","85","42470","40790"
"In post","2022","30-39","Declared non-disabled","Legal","1995","1890","48140","50500"
"In post","2022","30-39","Declared non-disabled","No function","38865","36670","32990","28550"
"In post","2022","30-39","Declared non-disabled","Project Delivery","4250","4115","40990","39650"
"In post","2022","30-39","Declared non-disabled","Property","990","955","37430","33740"
"In post","2022","30-39","Declared non-disabled","Security","1285","1270","34150","33300"
"In post","2022","30-39","Declared non-disabled","Unknown","11745","11150","34490","30820"
"In post","2022","30-39","Undeclared","Analysis","85","80","46580","45540"
"In post","2022","30-39","Undeclared","Commercial","60","55","39890","40000"
"In post","2022","30-39","Undeclared","Communications","105","105","35490","33370"
"In post","2022","30-39","Undeclared","Counter Fraud","150","145","33470","31020"
"In post","2022","30-39","Undeclared","Debt","70","65","22700","21260"
"In post","2022","30-39","Undeclared","Digital, Data & Technology","255","255","41460","40000"
"In post","2022","30-39","Undeclared","Finance","110","105","42480","40180"
"In post","2022","30-39","Undeclared","Grants Management","10","10","[c]","[c]"
"In post","2022","30-39","Undeclared","Human Resources","115","110","36790","33660"
"In post","2022","30-39","Undeclared","Internal Audit","10","10","[c]","[c]"
"In post","2022","30-39","Undeclared","Legal","65","65","49270","51320"
"In post","2022","30-39","Undeclared","No function","3155","2985","32450","28550"
"In post","2022","30-39","Undeclared","Project Delivery","240","235","41340","40180"
"In post","2022","30-39","Undeclared","Property","70","70","36240","33150"
"In post","2022","30-39","Undeclared","Security","120","120","35960","36740"
"In post","2022","30-39","Undeclared","Unknown","540","515","36190","31540"
"In post","2022","30-39","Unknown","Analysis","525","505","44970","40650"
"In post","2022","30-39","Unknown","Commercial","585","570","52070","51230"
"In post","2022","30-39","Unknown","Communications","845","825","35730","33080"
"In post","2022","30-39","Unknown","Counter Fraud","715","695","32250","30880"
"In post","2022","30-39","Unknown","Debt","335","315","22820","21250"
"In post","2022","30-39","Unknown","Digital, Data & Technology","1200","1185","42740","40000"
"In post","2022","30-39","Unknown","Finance","580","560","39500","36820"
"In post","2022","30-39","Unknown","Human Resources","460","440","36040","32640"
"In post","2022","30-39","Unknown","Internal Audit","10","10","[c]","[c]"
"In post","2022","30-39","Unknown","Legal","635","610","45190","48080"
"In post","2022","30-39","Unknown","No function","12175","11610","32820","29360"
"In post","2022","30-39","Unknown","Project Delivery","1030","1005","43300","40520"
"In post","2022","30-39","Unknown","Property","390","380","33220","30430"
"In post","2022","30-39","Unknown","Security","535","530","33310","33000"
"In post","2022","30-39","Unknown","Unknown","4035","3915","36560","31990"
"In post","2022","40-49","Declared disabled","Analysis","150","140","48490","43480"
"In post","2022","40-49","Declared disabled","Commercial","120","115","41060","39560"
"In post","2022","40-49","Declared disabled","Communications","145","140","36880","33370"
"In post","2022","40-49","Declared disabled","Counter Fraud","420","385","30750","27570"
"In post","2022","40-49","Declared disabled","Debt","180","150","22900","21260"
"In post","2022","40-49","Declared disabled","Digital, Data & Technology","505","490","41360","37280"
"In post","2022","40-49","Declared disabled","Finance","300","285","39480","35310"
"In post","2022","40-49","Declared disabled","Grants Management","60","55","25140","21300"
"In post","2022","40-49","Declared disabled","Human Resources","385","365","40200","35640"
"In post","2022","40-49","Declared disabled","Internal Audit","20","20","[c]","[c]"
"In post","2022","40-49","Declared disabled","Legal","305","280","44720","48080"
"In post","2022","40-49","Declared disabled","No function","7370","6755","31020","27570"
"In post","2022","40-49","Declared disabled","Project Delivery","570","550","41720","38650"
"In post","2022","40-49","Declared disabled","Property","180","175","38210","33330"
"In post","2022","40-49","Declared disabled","Security","175","175","35350","34270"
"In post","2022","40-49","Declared disabled","Unknown","1585","1495","35820","30820"
"In post","2022","40-49","Declared non-disabled","Analysis","1200","1120","50870","50210"
"In post","2022","40-49","Declared non-disabled","Commercial","845","815","47500","41620"
"In post","2022","40-49","Declared non-disabled","Communications","1180","1130","40710","35140"
"In post","2022","40-49","Declared non-disabled","Counter Fraud","2550","2395","33490","31060"
"In post","2022","40-49","Declared non-disabled","Debt","835","730","24240","21260"
"In post","2022","40-49","Declared non-disabled","Digital, Data & Technology","4085","3980","44980","40580"
"In post","2022","40-49","Declared non-disabled","Finance","2240","2140","43100","39190"
"In post","2022","40-49","Declared non-disabled","Grants Management","615","550","25680","23670"
"In post","2022","40-49","Declared non-disabled","Human Resources","2040","1935","41380","37000"
"In post","2022","40-49","Declared non-disabled","Internal Audit","140","130","47790","44180"
"In post","2022","40-49","Declared non-disabled","Legal","2385","2180","51770","53350"
"In post","2022","40-49","Declared non-disabled","No function","40300","37315","34290","28200"
"In post","2022","40-49","Declared non-disabled","Project Delivery","4465","4295","45740","41310"
"In post","2022","40-49","Declared non-disabled","Property","1450","1395","39800","36450"
"In post","2022","40-49","Declared non-disabled","Security","1365","1340","35130","33300"
"In post","2022","40-49","Declared non-disabled","Unknown","13575","12840","37670","31540"
"In post","2022","40-49","Undeclared","Analysis","50","45","51930","48980"
"In post","2022","40-49","Undeclared","Commercial","70","65","46350","41500"
"In post","2022","40-49","Undeclared","Communications","75","70","38550","33370"
"In post","2022","40-49","Undeclared","Counter Fraud","245","235","35200","33350"
"In post","2022","40-49","Undeclared","Debt","75","65","24070","21260"
"In post","2022","40-49","Undeclared","Digital, Data & Technology","325","320","42630","40170"
"In post","2022","40-49","Undeclared","Finance","160","155","41150","36650"
"In post","2022","40-49","Undeclared","Grants Management","15","15","[c]","[c]"
"In post","2022","40-49","Undeclared","Human Resources","160","150","37460","35500"
"In post","2022","40-49","Undeclared","Internal Audit","15","15","[c]","[c]"
"In post","2022","40-49","Undeclared","Legal","90","80","55850","59800"
"In post","2022","40-49","Undeclared","No function","3635","3420","32880","30450"
"In post","2022","40-49","Undeclared","Project Delivery","325","315","44060","40580"
"In post","2022","40-49","Undeclared","Property","135","130","37860","33370"
"In post","2022","40-49","Undeclared","Security","195","195","38370","39070"
"In post","2022","40-49","Undeclared","Unknown","880","835","35350","30860"
"In post","2022","40-49","Unknown","Analysis","270","250","47200","42820"
"In post","2022","40-49","Unknown","Commercial","695","680","61700","61380"
"In post","2022","40-49","Unknown","Communications","500","480","39680","33370"
"In post","2022","40-49","Unknown","Counter Fraud","560","535","33910","33080"
"In post","2022","40-49","Unknown","Debt","220","195","23710","21250"
"In post","2022","40-49","Unknown","Digital, Data & Technology","1055","1035","45650","41750"
"In post","2022","40-49","Unknown","Finance","455","435","41460","38400"
"In post","2022","40-49","Unknown","Human Resources","355","335","38550","33980"
"In post","2022","40-49","Unknown","Internal Audit","15","15","[c]","[c]"
"In post","2022","40-49","Unknown","Legal","590","545","49760","51830"
"In post","2022","40-49","Unknown","No function","8530","7995","35200","30450"
"In post","2022","40-49","Unknown","Project Delivery","915","880","48620","47000"
"In post","2022","40-49","Unknown","Property","335","325","35730","31420"
"In post","2022","40-49","Unknown","Security","445","440","36010","39070"
"In post","2022","40-49","Unknown","Unknown","3370","3250","40220","35050"
"In post","2022","50-59","Declared disabled","Analysis","120","115","45710","41100"
"In post","2022","50-59","Declared disabled","Commercial","125","120","43310","39350"
"In post","2022","50-59","Declared disabled","Communications","160","150","36310","33080"
"In post","2022","50-59","Declared disabled","Counter Fraud","840","785","31580","28150"
"In post","2022","50-59","Declared disabled","Debt","290","255","23840","21680"
"In post","2022","50-59","Declared disabled","Digital, Data & Technology","700","670","39470","35980"
"In post","2022","50-59","Declared disabled","Finance","440","405","37680","33370"
"In post","2022","50-59","Declared disabled","Grants Management","70","60","26650","25060"
"In post","2022","50-59","Declared disabled","Human Resources","575","550","39940","35340"
"In post","2022","50-59","Declared disabled","Internal Audit","40","40","45890","43720"
"In post","2022","50-59","Declared disabled","Legal","475","440","46060","47250"
"In post","2022","50-59","Declared disabled","No function","11695","10665","30020","27570"
"In post","2022","50-59","Declared disabled","Project Delivery","910","870","41960","40100"
"In post","2022","50-59","Declared disabled","Property","300","290","39380","33530"
"In post","2022","50-59","Declared disabled","Security","325","320","33630","33300"
"In post","2022","50-59","Declared disabled","Unknown","2335","2230","33840","29080"
"In post","2022","50-59","Declared non-disabled","Analysis","780","750","50030","47060"
"In post","2022","50-59","Declared non-disabled","Commercial","945","925","49710","42080"
"In post","2022","50-59","Declared non-disabled","Communications","850","815","38480","33370"
"In post","2022","50-59","Declared non-disabled","Counter Fraud","3985","3740","33340","31020"
"In post","2022","50-59","Declared non-disabled","Debt","1270","1130","24860","22080"
"In post","2022","50-59","Declared non-disabled","Digital, Data & Technology","4145","4045","43240","40140"
"In post","2022","50-59","Declared non-disabled","Finance","2755","2630","41120","36970"
"In post","2022","50-59","Declared non-disabled","Grants Management","485","455","27480","24920"
"In post","2022","50-59","Declared non-disabled","Human Resources","2310","2215","40020","35430"
"In post","2022","50-59","Declared non-disabled","Internal Audit","235","230","49850","47150"
"In post","2022","50-59","Declared non-disabled","Legal","2400","2245","49780","53050"
"In post","2022","50-59","Declared non-disabled","No function","49270","45575","32630","27570"
"In post","2022","50-59","Declared non-disabled","Project Delivery","5615","5455","45940","41460"
"In post","2022","50-59","Declared non-disabled","Property","2265","2195","39830","35230"
"In post","2022","50-59","Declared non-disabled","Security","2355","2320","33750","33300"
"In post","2022","50-59","Declared non-disabled","Unknown","15995","15300","35830","30370"
"In post","2022","50-59","Undeclared","Analysis","45","40","47030","41030"
"In post","2022","50-59","Undeclared","Commercial","80","80","45720","41500"
"In post","2022","50-59","Undeclared","Communications","70","65","36790","33080"
"In post","2022","50-59","Undeclared","Counter Fraud","360","340","34940","33080"
"In post","2022","50-59","Undeclared","Debt","95","85","24520","22080"
"In post","2022","50-59","Undeclared","Digital, Data & Technology","400","390","40460","36950"
"In post","2022","50-59","Undeclared","Finance","235","220","38190","33650"
"In post","2022","50-59","Undeclared","Grants Management","10","10","[c]","[c]"
"In post","2022","50-59","Undeclared","Human Resources","220","210","38420","33370"
"In post","2022","50-59","Undeclared","Internal Audit","25","25","[c]","[c]"
"In post","2022","50-59","Undeclared","Legal","105","95","54370","56000"
"In post","2022","50-59","Undeclared","No function","5565","5210","32020","31060"
"In post","2022","50-59","Undeclared","Project Delivery","520","505","43500","40580"
"In post","2022","50-59","Undeclared","Property","300","290","39140","35480"
"In post","2022","50-59","Undeclared","Security","390","385","34640","36530"
"In post","2022","50-59","Undeclared","Unknown","1380","1325","32690","28850"
"In post","2022","50-59","Unknown","Analysis","145","135","52450","48080"
"In post","2022","50-59","Unknown","Commercial","585","575","61710","56470"
"In post","2022","50-59","Unknown","Communications","270","255","37870","33080"
"In post","2022","50-59","Unknown","Counter Fraud","635","600","35360","33370"
"In post","2022","50-59","Unknown","Debt","270","245","25860","22080"
"In post","2022","50-59","Unknown","Digital, Data & Technology","700","685","45030","40520"
"In post","2022","50-59","Unknown","Finance","385","360","40280","36500"
"In post","2022","50-59","Unknown","Human Resources","345","330","37990","33970"
"In post","2022","50-59","Unknown","Internal Audit","10","10","[c]","[c]"
"In post","2022","50-59","Unknown","Legal","475","440","50260","51470"
"In post","2022","50-59","Unknown","No function","9150","8495","34750","30210"
"In post","2022","50-59","Unknown","Project Delivery","820","795","47760","43270"
"In post","2022","50-59","Unknown","Property","425","415","34700","31020"
"In post","2022","50-59","Unknown","Security","565","555","32630","33300"
"In post","2022","50-59","Unknown","Unknown","3410","3255","39360","34460"
"In post","2022","60-64","Declared disabled","Analysis","30","25","[c]","[c]"
"In post","2022","60-64","Declared disabled","Commercial","30","25","[c]","[c]"
"In post","2022","60-64","Declared disabled","Communications","40","35","29910","28920"
"In post","2022","60-64","Declared disabled","Counter Fraud","275","205","30310","27570"
"In post","2022","60-64","Declared disabled","Debt","115","90","23630","21260"
"In post","2022","60-64","Declared disabled","Digital, Data & Technology","145","125","39500","35240"
"In post","2022","60-64","Declared disabled","Finance","110","90","33840","31990"
"In post","2022","60-64","Declared disabled","Grants Management","20","15","[c]","[c]"
"In post","2022","60-64","Declared disabled","Human Resources","140","115","35050","32940"
"In post","2022","60-64","Declared disabled","Internal Audit","10","10","[c]","[c]"
"In post","2022","60-64","Declared disabled","Legal","115","95","44890","39540"
"In post","2022","60-64","Declared disabled","No function","3975","3160","28010","27570"
"In post","2022","60-64","Declared disabled","Project Delivery","240","210","39150","38380"
"In post","2022","60-64","Declared disabled","Property","110","100","35070","31660"
"In post","2022","60-64","Declared disabled","Security","100","90","29820","27760"
"In post","2022","60-64","Declared disabled","Unknown","680","600","31460","26930"
"In post","2022","60-64","Declared non-disabled","Analysis","165","140","44850","40640"
"In post","2022","60-64","Declared non-disabled","Commercial","205","185","44990","40630"
"In post","2022","60-64","Declared non-disabled","Communications","180","160","37320","33080"
"In post","2022","60-64","Declared non-disabled","Counter Fraud","1125","850","31530","27570"
"In post","2022","60-64","Declared non-disabled","Debt","490","375","24580","22080"
"In post","2022","60-64","Declared non-disabled","Digital, Data & Technology","905","795","39440","36070"
"In post","2022","60-64","Declared non-disabled","Finance","600","505","37000","33630"
"In post","2022","60-64","Declared non-disabled","Grants Management","150","125","25190","21300"
"In post","2022","60-64","Declared non-disabled","Human Resources","570","475","36390","32770"
"In post","2022","60-64","Declared non-disabled","Internal Audit","50","45","42540","43160"
"In post","2022","60-64","Declared non-disabled","Legal","495","420","48410","53350"
"In post","2022","60-64","Declared non-disabled","No function","14730","11855","30030","27570"
"In post","2022","60-64","Declared non-disabled","Project Delivery","1345","1175","43050","40410"
"In post","2022","60-64","Declared non-disabled","Property","710","635","37070","33370"
"In post","2022","60-64","Declared non-disabled","Security","630","575","29050","23390"
"In post","2022","60-64","Declared non-disabled","Unknown","4585","4045","32740","27380"
"In post","2022","60-64","Undeclared","Analysis","10","10","[c]","[c]"
"In post","2022","60-64","Undeclared","Commercial","25","20","[c]","[c]"
"In post","2022","60-64","Undeclared","Communications","10","10","[c]","[c]"
"In post","2022","60-64","Undeclared","Counter Fraud","105","85","33830","28920"
"In post","2022","60-64","Undeclared","Debt","30","20","[c]","[c]"
"In post","2022","60-64","Undeclared","Digital, Data & Technology","80","70","39740","37410"
"In post","2022","60-64","Undeclared","Finance","60","50","38690","36240"
"In post","2022","60-64","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Undeclared","Human Resources","50","45","33560","29510"
"In post","2022","60-64","Undeclared","Internal Audit","10","5","[c]","[c]"
"In post","2022","60-64","Undeclared","Legal","20","20","[c]","[c]"
"In post","2022","60-64","Undeclared","No function","1635","1290","29410","27570"
"In post","2022","60-64","Undeclared","Project Delivery","155","140","40370","38360"
"In post","2022","60-64","Undeclared","Property","75","70","37730","33300"
"In post","2022","60-64","Undeclared","Security","90","80","31410","29200"
"In post","2022","60-64","Undeclared","Unknown","425","375","30580","27110"
"In post","2022","60-64","Unknown","Analysis","35","30","46280","43320"
"In post","2022","60-64","Unknown","Commercial","90","80","56570","54700"
"In post","2022","60-64","Unknown","Communications","40","35","38310","33290"
"In post","2022","60-64","Unknown","Counter Fraud","175","140","33630","30760"
"In post","2022","60-64","Unknown","Debt","85","65","24800","22080"
"In post","2022","60-64","Unknown","Digital, Data & Technology","125","120","43310","38460"
"In post","2022","60-64","Unknown","Finance","105","90","34880","29450"
"In post","2022","60-64","Unknown","Human Resources","65","55","32930","27270"
"In post","2022","60-64","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Unknown","Legal","100","85","46050","46100"
"In post","2022","60-64","Unknown","No function","2610","2110","32040","26900"
"In post","2022","60-64","Unknown","Project Delivery","205","175","42050","40680"
"In post","2022","60-64","Unknown","Property","165","155","31580","26950"
"In post","2022","60-64","Unknown","Security","135","120","30620","25000"
"In post","2022","60-64","Unknown","Unknown","780","715","35530","31470"
"In post","2022","65+","Declared disabled","Analysis","10","10","[c]","[c]"
"In post","2022","65+","Declared disabled","Commercial","10","5","[c]","[c]"
"In post","2022","65+","Declared disabled","Communications","10","5","[c]","[c]"
"In post","2022","65+","Declared disabled","Counter Fraud","75","55","29860","27570"
"In post","2022","65+","Declared disabled","Debt","45","30","24920","22080"
"In post","2022","65+","Declared disabled","Digital, Data & Technology","40","35","36750","32330"
"In post","2022","65+","Declared disabled","Finance","35","25","35010","31880"
"In post","2022","65+","Declared disabled","Grants Management","10","5","[c]","[c]"
"In post","2022","65+","Declared disabled","Human Resources","35","25","33410","30330"
"In post","2022","65+","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","65+","Declared disabled","Legal","30","25","48100","55610"
"In post","2022","65+","Declared disabled","No function","1190","885","27600","26780"
"In post","2022","65+","Declared disabled","Project Delivery","75","60","37160","36140"
"In post","2022","65+","Declared disabled","Property","30","25","30250","27000"
"In post","2022","65+","Declared disabled","Security","35","30","28610","26670"
"In post","2022","65+","Declared disabled","Unknown","245","200","29160","25630"
"In post","2022","65+","Declared non-disabled","Analysis","50","40","46310","40750"
"In post","2022","65+","Declared non-disabled","Commercial","45","35","42660","37920"
"In post","2022","65+","Declared non-disabled","Communications","45","40","34240","29740"
"In post","2022","65+","Declared non-disabled","Counter Fraud","365","255","29930","27570"
"In post","2022","65+","Declared non-disabled","Debt","150","110","24770","22080"
"In post","2022","65+","Declared non-disabled","Digital, Data & Technology","240","195","38360","34650"
"In post","2022","65+","Declared non-disabled","Finance","160","130","33600","29740"
"In post","2022","65+","Declared non-disabled","Grants Management","55","45","24170","21300"
"In post","2022","65+","Declared non-disabled","Human Resources","120","90","33910","28920"
"In post","2022","65+","Declared non-disabled","Internal Audit","10","5","[c]","[c]"
