"Status","Year","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Digital, Data and Technology","Outside London","AA","80","80","19450","19380"
"In post","2022","Digital, Data and Technology","Outside London","AO","515","495","21890","21380"
"In post","2022","Digital, Data and Technology","Outside London","EO","3020","2885","27460","27130"
"In post","2022","Digital, Data and Technology","Outside London","G6","910","895","67770","66740"
"In post","2022","Digital, Data and Technology","Outside London","G7","3105","3045","53970","53150"
"In post","2022","Digital, Data and Technology","Outside London","HEO","3965","3845","33420","33280"
"In post","2022","Digital, Data and Technology","Outside London","SCS level","155","150","88390","81000"
"In post","2022","Digital, Data and Technology","Outside London","SEO","4110","4015","40890","40520"
"In post","2022","Digital, Data and Technology","Outside London","Unknown","35","35","34020","32380"
"In post","2022","Digital, Data and Technology","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","EO","15","15","28150","26670"
"In post","2022","Digital, Data and Technology","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","HEO","20","20","34730","33300"
"In post","2022","Digital, Data and Technology","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","G7","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","HEO","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Economics","London","AO","35","35","24130","23170"
"In post","2022","Economics","London","EO","105","105","27440","27680"
"In post","2022","Economics","London","G6","200","190","70850","69240"
"In post","2022","Economics","London","G7","540","525","56950","55730"
"In post","2022","Economics","London","HEO","570","570","34580","34000"
"In post","2022","Economics","London","SCS level","80","80","93020","81760"
"In post","2022","Economics","London","SEO","105","105","42450","42670"
"In post","2022","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","AO","40","40","20330","19860"
"In post","2022","Economics","Outside London","EO","35","35","25740","24920"
"In post","2022","Economics","Outside London","G6","20","20","70160","67260"
"In post","2022","Economics","Outside London","G7","115","115","54170","52560"
"In post","2022","Economics","Outside London","HEO","135","130","32360","31000"
"In post","2022","Economics","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Economics","Outside London","SEO","55","50","39360","38810"
"In post","2022","Economics","Overseas","G6","10","10","66190","66150"
"In post","2022","Economics","Overseas","G7","20","20","54780","55060"
"In post","2022","Economics","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","AO","80","80","24930","25010"
"In post","2022","Finance","London","EO","340","335","29430","29620"
"In post","2022","Finance","London","G6","330","320","70030","69240"
"In post","2022","Finance","London","G7","680","665","57760","57460"
"In post","2022","Finance","London","HEO","570","560","36180","35990"
"In post","2022","Finance","London","SCS level","175","170","88630","80790"
"In post","2022","Finance","London","SEO","735","720","43810","43240"
"In post","2022","Finance","Outside London","AA","45","35","19560","19810"
"In post","2022","Finance","Outside London","AO","855","760","21840","21280"
"In post","2022","Finance","Outside London","EO","2005","1910","26510","26670"
"In post","2022","Finance","Outside London","G6","455","440","66470","66500"
"In post","2022","Finance","Outside London","G7","1260","1225","53890","53500"
"In post","2022","Finance","Outside London","HEO","2365","2275","33100","33300"
"In post","2022","Finance","Outside London","SCS level","160","160","88120","81050"
"In post","2022","Finance","Outside London","SEO","2090","2015","40670","40520"
"In post","2022","Finance","Outside London","Unknown","70","65","49650","44300"
"In post","2022","Finance","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","EO","20","20","27560","26670"
"In post","2022","Finance","Overseas","G6","5","5","[c]","[c]"
"In post","2022","Finance","Overseas","G7","5","5","[c]","[c]"
"In post","2022","Finance","Overseas","HEO","30","30","34770","33300"
"In post","2022","Finance","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","SEO","15","15","42170","40580"
"In post","2022","Finance","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Finance","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","HEO","10","10","33450","33180"
"In post","2022","Finance","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Geography","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","AO","70","65","20600","20420"
"In post","2022","Geography","Outside London","EO","155","145","27540","26740"
"In post","2022","Geography","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","G7","10","10","[c]","[c]"
"In post","2022","Geography","Outside London","HEO","185","175","33440","33290"
"In post","2022","Geography","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","SEO","60","55","42560","42510"
"In post","2022","Geography","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","London","AA","5","5","[c]","[c]"
"In post","2022","Human Resources","London","AO","90","85","24980","24900"
"In post","2022","Human Resources","London","EO","425","410","29040","28670"
"In post","2022","Human Resources","London","G6","310","300","69260","68700"
"In post","2022","Human Resources","London","G7","570","555","56770","57010"
"In post","2022","Human Resources","London","HEO","690","670","35530","35200"
"In post","2022","Human Resources","London","SCS level","135","130","87210","80170"
"In post","2022","Human Resources","London","SEO","520","505","43650","42530"
"In post","2022","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Outside London","AA","60","55","19840","19810"
"In post","2022","Human Resources","Outside London","AO","1075","980","21840","21380"
"In post","2022","Human Resources","Outside London","EO","1295","1205","26850","26670"
"In post","2022","Human Resources","Outside London","G6","290","280","64940","63980"
"In post","2022","Human Resources","Outside London","G7","910","880","52920","52410"
"In post","2022","Human Resources","Outside London","HEO","1800","1705","32510","32060"
"In post","2022","Human Resources","Outside London","SCS level","90","90","86110","79150"
"In post","2022","Human Resources","Outside London","SEO","1250","1190","40050","40070"
"In post","2022","Human Resources","Outside London","Unknown","35","35","43400","43470"
"In post","2022","Human Resources","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","G7","10","10","53650","52980"
"In post","2022","Human Resources","Overseas","HEO","15","15","34020","33300"
"In post","2022","Human Resources","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Human Resources","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","G6","5","5","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","G7","30","30","73130","75500"
"In post","2022","Inspector of Education and Training","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","SEO","45","40","49850","51360"
"In post","2022","Inspector of Education and Training","Outside London","G6","160","155","80740","81820"
"In post","2022","Inspector of Education and Training","Outside London","G7","345","340","72970","75500"
"In post","2022","Inspector of Education and Training","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Inspector of Education and Training","Outside London","SEO","340","330","50440","51360"
"In post","2022","Intelligence Analysis","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","London","AO","50","45","25500","25630"
"In post","2022","Intelligence Analysis","London","EO","460","430","30010","29250"
"In post","2022","Intelligence Analysis","London","G6","35","30","70470","68720"
"In post","2022","Intelligence Analysis","London","G7","125","120","58760","58510"
"In post","2022","Intelligence Analysis","London","HEO","330","315","36840","37000"
"In post","2022","Intelligence Analysis","London","SCS level","15","15","82860","78810"
"In post","2022","Intelligence Analysis","London","SEO","230","225","44620","44500"
"In post","2022","Intelligence Analysis","London","Unknown","5","5","[c]","[c]"
"In post","2022","Intelligence Analysis","Outside London","AO","70","60","21760","21680"
"In post","2022","Intelligence Analysis","Outside London","EO","1125","1065","26760","26480"
"In post","2022","Intelligence Analysis","Outside London","G6","10","10","[c]","[c]"
"In post","2022","Intelligence Analysis","Outside London","G7","45","45","55040","55210"
"In post","2022","Intelligence Analysis","Outside London","HEO","475","460","32330","33000"
"In post","2022","Intelligence Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Outside London","SEO","195","190","40190","40520"
"In post","2022","Intelligence Analysis","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Intelligence Analysis","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Overseas","G7","20","20","55290","54620"
"In post","2022","Intelligence Analysis","Overseas","HEO","30","30","33970","34040"
"In post","2022","Intelligence Analysis","Overseas","SCS level","5","5","[c]","[c]"
"In post","2022","Intelligence Analysis","Overseas","SEO","15","15","41610","40590"
"In post","2022","Internal Audit","London","AO","15","15","30790","35900"
"In post","2022","Internal Audit","London","EO","5","5","[c]","[c]"
"In post","2022","Internal Audit","London","G6","25","25","71950","70780"
"In post","2022","Internal Audit","London","G7","45","45","57290","56370"
"In post","2022","Internal Audit","London","HEO","40","40","36220","36550"
"In post","2022","Internal Audit","London","SCS level","15","15","95090","89390"
"In post","2022","Internal Audit","London","SEO","70","65","47500","47150"
"In post","2022","Internal Audit","Outside London","AO","15","15","24340","22090"
"In post","2022","Internal Audit","Outside London","EO","35","35","27100","26670"
"In post","2022","Internal Audit","Outside London","G6","45","45","64670","63010"
"In post","2022","Internal Audit","Outside London","G7","90","85","52470","51780"
"In post","2022","Internal Audit","Outside London","HEO","115","115","33540","33300"
"In post","2022","Internal Audit","Outside London","SCS level","10","10","88510","84000"
"In post","2022","Internal Audit","Outside London","SEO","235","220","42710","42200"
"In post","2022","Internal Audit","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","London","EO","85","85","27900","26510"
"In post","2022","International Trade","London","G6","135","135","64370","62170"
"In post","2022","International Trade","London","G7","370","365","53640","51970"
"In post","2022","International Trade","London","HEO","265","260","33290","31810"
"In post","2022","International Trade","London","SCS level","85","85","82340","75040"
"In post","2022","International Trade","London","SEO","290","290","39690","38420"
"In post","2022","International Trade","Outside London","EO","20","20","25220","26390"
"In post","2022","International Trade","Outside London","G6","20","20","61850","60000"
"In post","2022","International Trade","Outside London","G7","55","55","49830","48220"
"In post","2022","International Trade","Outside London","HEO","80","80","32210","33370"
"In post","2022","International Trade","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","International Trade","Outside London","SEO","60","60","38170","40130"
"In post","2022","International Trade","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Overseas","G6","25","25","64660","63900"
"In post","2022","International Trade","Overseas","G7","65","65","53900","53360"
"In post","2022","International Trade","Overseas","HEO","20","20","33530","33730"
"In post","2022","International Trade","Overseas","SCS level","25","25","84030","75570"
"In post","2022","International Trade","Overseas","SEO","25","25","39930","39230"
"In post","2022","Knowledge and Information Management","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","London","AO","70","65","24900","25070"
"In post","2022","Knowledge and Information Management","London","EO","140","130","29830","30370"
"In post","2022","Knowledge and Information Management","London","G6","45","45","70110","68720"
"In post","2022","Knowledge and Information Management","London","G7","125","120","55730","54760"
"In post","2022","Knowledge and Information Management","London","HEO","210","205","35430","35200"
"In post","2022","Knowledge and Information Management","London","SCS level","15","15","87270","81760"
"In post","2022","Knowledge and Information Management","London","SEO","150","145","42860","42320"
"In post","2022","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Outside London","AA","15","10","19420","19810"
"In post","2022","Knowledge and Information Management","Outside London","AO","280","270","21780","21260"
"In post","2022","Knowledge and Information Management","Outside London","EO","435","410","27070","27200"
"In post","2022","Knowledge and Information Management","Outside London","G6","25","25","64190","64220"
"In post","2022","Knowledge and Information Management","Outside London","G7","120","120","53600","53050"
"In post","2022","Knowledge and Information Management","Outside London","HEO","445","425","33070","33000"
"In post","2022","Knowledge and Information Management","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Knowledge and Information Management","Outside London","SEO","240","235","40470","40100"
"In post","2022","Knowledge and Information Management","Outside London","Unknown","35","35","34710","33000"
"In post","2022","Knowledge and Information Management","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Legal","London","AO","45","45","25340","26180"
"In post","2022","Legal","London","EO","535","520","31120","31020"
"In post","2022","Legal","London","G6","1135","1045","69720","67950"
"In post","2022","Legal","London","G7","1920","1790","56490","53090"
"In post","2022","Legal","London","HEO","660","645","38210","37930"
"In post","2022","Legal","London","SCS level","295","285","88050","82500"
"In post","2022","Legal","London","SEO","320","305","45310","43830"
"In post","2022","Legal","Outside London","AO","220","190","21790","21640"
"In post","2022","Legal","Outside London","EO","1325","1260","27230","26820"
"In post","2022","Legal","Outside London","G6","375","365","69630","68110"
"In post","2022","Legal","Outside London","G7","2825","2585","55910","55610"
"In post","2022","Legal","Outside London","HEO","1460","1400","33940","33370"
"In post","2022","Legal","Outside London","SCS level","100","95","87650","83230"
"In post","2022","Legal","Outside London","SEO","1445","1320","44380","41750"
"In post","2022","Legal","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Legal","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Overseas","G7","5","5","[c]","[c]"
"In post","2022","Legal","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","London","AO","15","15","26190","24920"
"In post","2022","Medicine","London","EO","15","10","31180","27490"
"In post","2022","Medicine","London","G6","90","75","75500","68520"
"In post","2022","Medicine","London","G7","60","55","56230","54040"
"In post","2022","Medicine","London","HEO","20","20","37380","33830"
"In post","2022","Medicine","London","SCS level","150","135","103850","95140"
"In post","2022","Medicine","London","SEO","30","30","43900","41930"
"In post","2022","Medicine","Outside London","AA","65","60","19240","19010"
"In post","2022","Medicine","Outside London","AO","270","250","23360","23280"
"In post","2022","Medicine","Outside London","EO","285","255","31880","31530"
"In post","2022","Medicine","Outside London","G6","345","285","83570","86300"
"In post","2022","Medicine","Outside London","G7","220","195","63410","61440"
"In post","2022","Medicine","Outside London","HEO","445","395","37720","39030"
"In post","2022","Medicine","Outside London","SCS level","185","165","108270","107720"
"In post","2022","Medicine","Outside London","SEO","220","200","44410","45840"
"In post","2022","Medicine","Overseas","EO","10","10","[c]","[c]"
"In post","2022","Medicine","Overseas","G6","15","15","79150","80310"
"In post","2022","Medicine","Overseas","G7","20","20","58060","55060"
"In post","2022","Medicine","Overseas","HEO","10","10","[c]","[c]"
"In post","2022","Medicine","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Overseas","SEO","5","5","[c]","[c]"
"In post","2022","Medicine","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Unknown","G6","5","5","[c]","[c]"
"In post","2022","Medicine","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Unknown","HEO","15","15","37040","39030"
"In post","2022","Medicine","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","Unknown","SEO","10","10","[c]","[c]"
"In post","2022","Operational Delivery","London","AA","1220","1110","23460","22460"
"In post","2022","Operational Delivery","London","AO","7785","7205","26880","25460"
"In post","2022","Operational Delivery","London","EO","12260","11505","30620","31020"
"In post","2022","Operational Delivery","London","G6","760","745","70000","68280"
"In post","2022","Operational Delivery","London","G7","1805","1755","57240","55420"
"In post","2022","Operational Delivery","London","HEO","4390","4245","36410","35200"
"In post","2022","Operational Delivery","London","SCS level","430","420","94710","85040"
"In post","2022","Operational Delivery","London","SEO","2825","2755","44050","42170"
"In post","2022","Operational Delivery","London","Unknown","2325","2215","34550","33700"
"In post","2022","Operational Delivery","Outside London","AA","10040","8735","20430","20890"
"In post","2022","Operational Delivery","Outside London","AO","83990","74810","22920","21450"
"In post","2022","Operational Delivery","Outside London","EO","72565","66370","27720","27570"
"In post","2022","Operational Delivery","Outside London","G6","1350","1320","68520","65670"
"In post","2022","Operational Delivery","Outside London","G7","4070","3960","53860","52080"
"In post","2022","Operational Delivery","Outside London","HEO","21065","19885","33590","33080"
"In post","2022","Operational Delivery","Outside London","SCS level","440","430","88460","81250"
"In post","2022","Operational Delivery","Outside London","SEO","9735","9355","42180","40180"
"In post","2022","Operational Delivery","Outside London","Unknown","17090","15765","29500","28200"
"In post","2022","Operational Delivery","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Overseas","AO","10","10","21970","21680"
"In post","2022","Operational Delivery","Overseas","EO","105","105","27420","27370"
"In post","2022","Operational Delivery","Overseas","G6","10","10","72370","68890"
"In post","2022","Operational Delivery","Overseas","G7","30","30","67720","65940"
"In post","2022","Operational Delivery","Overseas","HEO","40","40","45960","46470"
"In post","2022","Operational Delivery","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Overseas","SEO","90","90","62690","62060"
"In post","2022","Operational Delivery","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","AA","10","10","20550","20890"
"In post","2022","Operational Delivery","Unknown","AO","90","85","21670","21260"
"In post","2022","Operational Delivery","Unknown","EO","310","290","28720","27570"
"In post","2022","Operational Delivery","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","G7","5","5","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","HEO","65","65","38630","37610"
"In post","2022","Operational Delivery","Unknown","SEO","15","15","42860","45760"
"In post","2022","Operational Delivery","Unknown","Unknown","50","40","31700","28200"
"In post","2022","Operational Research","London","AO","5","5","[c]","[c]"
"In post","2022","Operational Research","London","EO","20","20","30540","30050"
"In post","2022","Operational Research","London","G6","35","35","71770","71420"
"In post","2022","Operational Research","London","G7","115","110","59930","59680"
"In post","2022","Operational Research","London","HEO","90","90","36060","36590"
"In post","2022","Operational Research","London","SCS level","15","15","79820","78520"
"In post","2022","Operational Research","London","SEO","75","70","45410","44930"
"In post","2022","Operational Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Outside London","AO","30","25","21810","21840"
"In post","2022","Operational Research","Outside London","EO","30","30","26820","26350"
"In post","2022","Operational Research","Outside London","G6","30","25","67860","67840"
"In post","2022","Operational Research","Outside London","G7","320","300","51110","47760"
"In post","2022","Operational Research","Outside London","HEO","190","185","31850","31000"
"In post","2022","Operational Research","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Outside London","SEO","175","170","39800","38970"
"In post","2022","Operational Research","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Other","London","AA","115","110","22240","22050"
"In post","2022","Other","London","AO","465","445","24720","25110"
"In post","2022","Other","London","EO","1525","1485","28830","29340"
"In post","2022","Other","London","G6","330","310","76580","70820"
"In post","2022","Other","London","G7","535","520","55690","55980"
"In post","2022","Other","London","HEO","760","740","34720","35050"
"In post","2022","Other","London","SCS level","200","190","98640","91570"
"In post","2022","Other","London","SEO","425","415","42300","41950"
"In post","2022","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other","Outside London","AA","1930","1825","19550","19050"
"In post","2022","Other","Outside London","AO","7940","7315","21600","21260"
"In post","2022","Other","Outside London","EO","7140","6725","26870","27570"
"In post","2022","Other","Outside London","G6","295","285","68630","67910"
"In post","2022","Other","Outside London","G7","815","790","52750","53500"
"In post","2022","Other","Outside London","HEO","3355","3215","32600","33000"
