"Status","Year","Age","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Operational Delivery","Male","30","25","22110","21250"
"In post","2022","16-19","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","Female","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","Male","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","Male","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Male","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Delivery","Female","5","5","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Female","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Counter Fraud","Male","[c]","[c]","[c]","[c]"
