"Status","Year","Organisation","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","London","Female","50","45","34510","31690"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","London","Male","45","45","32060","31460"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Outside London","Female","1090","1010","26860","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Outside London","Male","715","695","28320","25670"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Outside London","Female","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Outside London","Female","350","330","30980","27960"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Outside London","Male","220","210","33720","29750"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","London","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Outside London","Female","180","165","41870","37910"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Outside London","Male","145","135","43780","40610"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","London","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","London","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","London","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","Other","London","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","Other","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Policy","London","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","London","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","London","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","London","Male","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","London","Female","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","London","Male","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","London","Female","3380","3315","47420","40600"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","London","Male","2990","2980","53160","54700"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Outside London","Female","1675","1595","40490","33300"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Outside London","Male","1340","1325","45310","35790"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","Female","245","240","36570","32000"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","Male","230","230","38310","32000"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","Female","15","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","Male","45","45","32200","29990"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","Female","10","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","Female","220","205","31530","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","Male","250","240","36610","32770"
"In post","2022","Charity Commission","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","London","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Communications","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","Outside London","Male","35","35","34240","29160"
"In post","2022","Charity Commission","Finance","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Finance","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","London","Female","10","10","[c]","[c]"
"In post","2022","Charity Commission","Legal","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Charity Commission","Legal","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","London","Female","30","30","40570","37910"
"In post","2022","Charity Commission","Operational Delivery","London","Male","15","15","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","Outside London","Female","155","145","29130","29160"
"In post","2022","Charity Commission","Operational Delivery","Outside London","Male","90","85","30360","29160"
"In post","2022","Charity Commission","Other","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Other","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Charity Commission","Property","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Property","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Companies House","Communications","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Outside London","Female","105","90","24580","22740"
"In post","2022","Companies House","Counter Fraud","Outside London","Male","65","65","25190","24500"
"In post","2022","Companies House","Digital, Data and Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data and Technology","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data and Technology","Outside London","Female","85","80","38160","36530"
"In post","2022","Companies House","Digital, Data and Technology","Outside London","Male","165","165","40400","38000"
"In post","2022","Companies House","Finance","Outside London","Female","45","35","30010","26100"
"In post","2022","Companies House","Finance","Outside London","Male","25","25","[c]","[c]"
"In post","2022","Companies House","Human Resources","Outside London","Female","45","40","36740","33000"
"In post","2022","Companies House","Human Resources","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Companies House","Legal","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Operational Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Operational Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Operational Delivery","Outside London","Female","300","260","24520","22740"
"In post","2022","Companies House","Operational Delivery","Outside London","Male","175","170","25380","22740"
"In post","2022","Companies House","Other","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Companies House","Other","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Companies House","Policy","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Companies House","Policy","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Companies House","Property","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Companies House","Property","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Companies House","Security","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Statistics","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Statistics","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Statistics","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Companies House","Statistics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","London","Female","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","London","Male","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","Corporate Finance","London","Female","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Corporate Finance","London","Male","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data and Technology","London","Female","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data and Technology","London","Male","45","45","59860","58260"
"In post","2022","Competition and Markets Authority","Digital, Data and Technology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data and Technology","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Economics","London","Female","40","40","62340","56360"
"In post","2022","Competition and Markets Authority","Economics","London","Male","55","50","65860","61650"
"In post","2022","Competition and Markets Authority","Economics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Economics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","London","Female","30","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","London","Male","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Intelligence Analysis","London","Female","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Intelligence Analysis","London","Male","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Intelligence Analysis","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Intelligence Analysis","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Knowledge and Information Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Knowledge and Information Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","London","Female","75","70","64130","59870"
"In post","2022","Competition and Markets Authority","Legal","London","Male","65","60","73830","72430"
"In post","2022","Competition and Markets Authority","Legal","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Policy","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Policy","London","Male","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Policy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Policy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","London","Female","180","170","59880","56410"
"In post","2022","Competition and Markets Authority","Project Delivery","London","Male","155","155","65380","59870"
"In post","2022","Competition and Markets Authority","Project Delivery","Outside London","Female","25","20","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Competition and Markets Authority","Property","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Property","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Statistics","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Statistics","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data and Technology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data and Technology","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Legal","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Legal","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Operational Delivery","Outside London","Female","175","155","27770","25120"
"In post","2022","Criminal Injuries Compensation Authority","Operational Delivery","Outside London","Male","140","140","26740","25120"
"In post","2022","Criminal Injuries Compensation Authority","Operational Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Operational Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Commercial","London","Female","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Commercial","London","Male","10","10","[c]","[c]"
"In post","2022","Crown Commercial Service","Commercial","Outside London","Female","180","175","34980","31560"
"In post","2022","Crown Commercial Service","Commercial","Outside London","Male","155","155","36570","38330"
"In post","2022","Crown Commercial Service","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data and Technology","London","Female","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data and Technology","London","Male","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data and Technology","Outside London","Female","35","35","43310","41040"
"In post","2022","Crown Commercial Service","Digital, Data and Technology","Outside London","Male","70","70","41120","38980"
"In post","2022","Crown Commercial Service","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","Outside London","Female","30","30","38650","34870"
"In post","2022","Crown Commercial Service","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Internal Audit","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Internal Audit","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Operational Delivery","London","Female","10","10","[c]","[c]"
"In post","2022","Crown Commercial Service","Operational Delivery","London","Male","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Operational Delivery","Outside London","Female","100","95","39060","38980"
"In post","2022","Crown Commercial Service","Operational Delivery","Outside London","Male","75","75","39440","30950"
"In post","2022","Crown Commercial Service","Policy","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Policy","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Policy","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Project Delivery","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Project Delivery","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Statistics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Statistics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Communications","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Outside London","Male","45","45","40840","38600"
"In post","2022","Crown Office and Procurator Fiscal Service","Finance","Outside London","Female","15","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Finance","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Human Resources","Outside London","Female","35","30","33370","30040"
"In post","2022","Crown Office and Procurator Fiscal Service","Human Resources","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Legal","Outside London","Female","505","470","54010","53490"
"In post","2022","Crown Office and Procurator Fiscal Service","Legal","Outside London","Male","220","215","54770","53490"
"In post","2022","Crown Office and Procurator Fiscal Service","Operational Delivery","Outside London","Female","1065","980","27260","23230"
