"Status","Year","Age","Disability","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Land Registry","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Home Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Home Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Home Office","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Home Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Science and Engineering","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Justice","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Statistics Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Statistics Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Welsh Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","Operational Delivery","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Operational Delivery","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Policy","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","Operational Delivery","35","30","19660","18310"
"In post","2022","16-19","Declared non-disabled","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","Counter Fraud","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","Operational Delivery","80","75","22990","21260"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","Other","30","30","22920","21260"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department of Health and Social Care","Operational Delivery","15","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Property","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Land Registry","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs","Operational Delivery","45","45","21560","21250"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs","Property","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs","Tax","30","30","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Treasury","Economics","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Home Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Home Office","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Home Office","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Home Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","Finance","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","Other","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","Project Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","Science and Engineering","60","60","18960","18030"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Justice","Operational Delivery","100","100","23290","23140"
"In post","2022","16-19","Declared non-disabled","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Government","Operational Delivery","20","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Government","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Statistics Authority","Operational Delivery","10","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Statistics Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Welsh Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Attorney General's Departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Work and Pensions","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Work and Pensions","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Revenue and Customs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Attorney General's Departments","Operational Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Cabinet Office","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Business, Energy and Industrial Strategy","Operational Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Education","Policy","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Environment, Food and Rural Affairs","Policy","10","5","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
