"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","FCDO Services","Outside London","G6/G7","145","125","61650","57750"
"In post","2022","FCDO Services","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","FCDO Services","Outside London","SEO/HEO","325","315","40520","40330"
"In post","2022","FCDO Services","Outside London","Unknown","65","65","21200","21600"
"In post","2022","FCDO Services","Overseas","EO","25","25","27280","27240"
"In post","2022","FCDO Services","Overseas","G6/G7","20","20","57220","56050"
"In post","2022","FCDO Services","Overseas","SEO/HEO","80","80","40080","40330"
"In post","2022","Food Standards Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","London","EO","30","30","28960","29090"
"In post","2022","Food Standards Agency","London","G6/G7","70","70","58680","56130"
"In post","2022","Food Standards Agency","London","SCS level","5","5","[c]","[c]"
"In post","2022","Food Standards Agency","London","SEO/HEO","135","130","37760","40350"
"In post","2022","Food Standards Agency","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Food Standards Agency","Outside London","EO","405","385","27050","26750"
"In post","2022","Food Standards Agency","Outside London","G6/G7","190","185","54850","52070"
"In post","2022","Food Standards Agency","Outside London","SCS level","20","15","85430","79230"
"In post","2022","Food Standards Agency","Outside London","SEO/HEO","595","585","35260","37350"
"In post","2022","Food Standards Scotland","Outside London","AA/AO","15","15","24610","24400"
"In post","2022","Food Standards Scotland","Outside London","EO","95","90","28850","30040"
"In post","2022","Food Standards Scotland","Outside London","G6/G7","30","30","57610","53480"
"In post","2022","Food Standards Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Scotland","Outside London","SEO/HEO","160","155","36330","34600"
