"Status","Year","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Male","220","210","33850","29810"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Female","185","170","42150","37910"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Male","155","145","44130","41030"
"In post","2022","Attorney General's Office","Communications","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","Other","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Policy","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","Male","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","Female","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","Male","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Female","5300","5150","44730","37300"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Male","4565","4535","50100","42270"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Female","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Female","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Female","15","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Male","45","45","32200","29990"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Female","10","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Female","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Female","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","Female","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","Male","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Female","20","20","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Male","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Female","220","205","31530","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Male","250","240","36610","32770"
"In post","2022","Charity Commission","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Female","10","10","[c]","[c]"
"In post","2022","Charity Commission","Communications","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","Female","20","20","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","Male","35","35","33950","29160"
"In post","2022","Charity Commission","Finance","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Finance","Male","5","5","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Female","15","15","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Female","25","20","[c]","[c]"
"In post","2022","Charity Commission","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","Female","185","175","31050","29160"
"In post","2022","Charity Commission","Operational Delivery","Male","105","100","31330","29160"
"In post","2022","Charity Commission","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Policy","Male","5","5","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Female","10","10","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","Female","15","15","[c]","[c]"
"In post","2022","Companies House","Communications","Male","10","10","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Female","105","90","24580","22740"
"In post","2022","Companies House","Counter Fraud","Male","65","65","25190","24500"
"In post","2022","Companies House","Digital, Data and Technology","Female","85","80","38400","36540"
"In post","2022","Companies House","Digital, Data and Technology","Male","165","165","40400","38000"
"In post","2022","Companies House","Finance","Female","45","35","30010","26100"
"In post","2022","Companies House","Finance","Male","25","25","[c]","[c]"
"In post","2022","Companies House","Human Resources","Female","45","40","36740","33000"
"In post","2022","Companies House","Human Resources","Male","15","15","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","Female","5","5","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","Female","5","5","[c]","[c]"
"In post","2022","Companies House","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Operational Delivery","Female","300","260","24530","22740"
"In post","2022","Companies House","Operational Delivery","Male","180","175","25480","22740"
"In post","2022","Companies House","Other","Female","15","15","[c]","[c]"
"In post","2022","Companies House","Other","Male","10","10","[c]","[c]"
"In post","2022","Companies House","Policy","Female","15","15","[c]","[c]"
"In post","2022","Companies House","Policy","Male","15","15","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Female","10","10","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Male","10","10","[c]","[c]"
"In post","2022","Companies House","Property","Female","5","5","[c]","[c]"
"In post","2022","Companies House","Property","Male","10","10","[c]","[c]"
"In post","2022","Companies House","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Statistics","Female","5","5","[c]","[c]"
"In post","2022","Companies House","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","Female","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","Male","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","Corporate Finance","Female","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Corporate Finance","Male","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data and Technology","Female","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data and Technology","Male","45","45","58820","58030"
"In post","2022","Competition and Markets Authority","Economics","Female","45","40","62970","57100"
"In post","2022","Competition and Markets Authority","Economics","Male","55","55","65630","61130"
"In post","2022","Competition and Markets Authority","Human Resources","Female","30","30","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","Male","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Intelligence Analysis","Male","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Female","80","75","64370","59870"
"In post","2022","Competition and Markets Authority","Legal","Male","70","65","73910","72430"
"In post","2022","Competition and Markets Authority","Policy","Female","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Policy","Male","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","Female","200","190","59100","55860"
"In post","2022","Competition and Markets Authority","Project Delivery","Male","175","175","64850","59790"
"In post","2022","Competition and Markets Authority","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Operational Delivery","Female","175","155","27730","25120"
"In post","2022","Criminal Injuries Compensation Authority","Operational Delivery","Male","140","140","26740","25120"
"In post","2022","Crown Commercial Service","Commercial","Female","185","180","34990","32000"
"In post","2022","Crown Commercial Service","Commercial","Male","165","165","36790","38330"
"In post","2022","Crown Commercial Service","Communications","Female","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data and Technology","Female","50","50","46950","46610"
"In post","2022","Crown Commercial Service","Digital, Data and Technology","Male","85","85","43590","40180"
"In post","2022","Crown Commercial Service","Finance","Female","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","Male","20","20","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","Female","30","30","38650","34870"
"In post","2022","Crown Commercial Service","Human Resources","Male","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Operational Delivery","Female","105","105","40610","38980"
"In post","2022","Crown Commercial Service","Operational Delivery","Male","85","85","42140","38330"
"In post","2022","Crown Commercial Service","Policy","Female","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Policy","Male","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Project Delivery","Female","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Project Delivery","Male","10","10","[c]","[c]"
"In post","2022","Crown Commercial Service","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Communications","Female","10","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Female","15","15","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Male","45","45","40840","38600"
"In post","2022","Crown Office and Procurator Fiscal Service","Finance","Female","15","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Finance","Male","5","5","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Human Resources","Female","35","30","33370","30040"
"In post","2022","Crown Office and Procurator Fiscal Service","Human Resources","Male","10","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Female","15","15","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Legal","Female","505","470","54010","53490"
"In post","2022","Crown Office and Procurator Fiscal Service","Legal","Male","220","215","54770","53490"
"In post","2022","Crown Office and Procurator Fiscal Service","Operational Delivery","Female","1065","980","27260","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","Operational Delivery","Male","380","365","28180","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","Policy","Female","15","15","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Policy","Male","5","5","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Commercial","Female","25","25","[c]","[c]"
"In post","2022","Crown Prosecution Service","Commercial","Male","15","15","[c]","[c]"
"In post","2022","Crown Prosecution Service","Communications","Female","40","40","40190","39750"
"In post","2022","Crown Prosecution Service","Communications","Male","20","20","[c]","[c]"
"In post","2022","Crown Prosecution Service","Digital, Data and Technology","Female","60","60","37990","33310"
"In post","2022","Crown Prosecution Service","Digital, Data and Technology","Male","50","50","40480","35750"
"In post","2022","Crown Prosecution Service","Finance","Female","100","90","28050","25480"
"In post","2022","Crown Prosecution Service","Finance","Male","70","70","31640","26070"
"In post","2022","Crown Prosecution Service","Human Resources","Female","130","125","37470","31560"
"In post","2022","Crown Prosecution Service","Human Resources","Male","45","40","35060","30930"
"In post","2022","Crown Prosecution Service","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Internal Audit","Male","5","5","[c]","[c]"
"In post","2022","Crown Prosecution Service","Knowledge and Information Management","Female","20","20","[c]","[c]"
"In post","2022","Crown Prosecution Service","Knowledge and Information Management","Male","10","10","[c]","[c]"
"In post","2022","Crown Prosecution Service","Legal","Female","2060","1865","53810","53350"
"In post","2022","Crown Prosecution Service","Legal","Male","1255","1215","56540","55610"
"In post","2022","Crown Prosecution Service","Operational Delivery","Female","2145","1945","26880","25480"
"In post","2022","Crown Prosecution Service","Operational Delivery","Male","745","730","27510","25480"
"In post","2022","Crown Prosecution Service","Other","Female","15","15","[c]","[c]"
"In post","2022","Crown Prosecution Service","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Policy","Female","45","40","54890","54760"
"In post","2022","Crown Prosecution Service","Policy","Male","25","25","[c]","[c]"
"In post","2022","Crown Prosecution Service","Project Delivery","Female","55","50","38800","35020"
"In post","2022","Crown Prosecution Service","Project Delivery","Male","40","40","40370","38180"
"In post","2022","Crown Prosecution Service","Property","Female","15","15","[c]","[c]"
"In post","2022","Crown Prosecution Service","Property","Male","15","15","[c]","[c]"
"In post","2022","Crown Prosecution Service","Security","Female","20","20","[c]","[c]"
"In post","2022","Crown Prosecution Service","Security","Male","10","10","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Commercial","Female","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Commercial","Male","15","15","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Finance","Male","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Medicine","Male","15","15","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Operational Delivery","Female","25","25","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Operational Delivery","Male","40","35","34480","29470"
"In post","2022","Defence Electronics and Components Agency","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Other","Male","30","25","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Project Delivery","Male","10","10","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Property","Male","15","15","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Science and Engineering","Female","20","20","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Science and Engineering","Male","230","220","27600","29470"
"In post","2022","Defence Equipment and Support","Commercial","Female","480","445","37330","34250"
"In post","2022","Defence Equipment and Support","Commercial","Male","435","430","42120","38000"
"In post","2022","Defence Equipment and Support","Communications","Female","15","10","[c]","[c]"
"In post","2022","Defence Equipment and Support","Communications","Male","15","15","[c]","[c]"
"In post","2022","Defence Equipment and Support","Digital, Data and Technology","Female","80","75","32450","30680"
"In post","2022","Defence Equipment and Support","Digital, Data and Technology","Male","180","175","37740","34060"
"In post","2022","Defence Equipment and Support","Finance","Female","235","220","38970","33390"
"In post","2022","Defence Equipment and Support","Finance","Male","220","215","37900","30420"
"In post","2022","Defence Equipment and Support","Human Resources","Female","140","130","37620","32380"
"In post","2022","Defence Equipment and Support","Human Resources","Male","35","35","41410","36690"
"In post","2022","Defence Equipment and Support","Knowledge and Information Management","Female","55","50","35860","35700"
"In post","2022","Defence Equipment and Support","Knowledge and Information Management","Male","110","110","35760","33050"
"In post","2022","Defence Equipment and Support","Other","Female","1440","1320","30270","27280"
"In post","2022","Defence Equipment and Support","Other","Male","2055","2015","33050","29500"
"In post","2022","Defence Equipment and Support","Policy","Female","35","35","42230","40670"
"In post","2022","Defence Equipment and Support","Policy","Male","40","40","43440","40210"
"In post","2022","Defence Equipment and Support","Project Delivery","Female","900","850","36930","34830"
"In post","2022","Defence Equipment and Support","Project Delivery","Male","1380","1350","43200","40960"
"In post","2022","Defence Equipment and Support","Property","Female","15","15","[c]","[c]"
"In post","2022","Defence Equipment and Support","Property","Male","45","45","37760","36210"
"In post","2022","Defence Equipment and Support","Science and Engineering","Female","295","285","37310","34560"
"In post","2022","Defence Equipment and Support","Science and Engineering","Male","2480","2425","38380","37710"
"In post","2022","Defence Equipment and Support","Security","Female","25","25","[c]","[c]"
"In post","2022","Defence Equipment and Support","Security","Male","35","35","39690","39440"
"In post","2022","Defence Science and Technology Laboratory","Commercial","Female","40","35","33800","34540"
"In post","2022","Defence Science and Technology Laboratory","Commercial","Male","40","40","32510","30360"
"In post","2022","Defence Science and Technology Laboratory","Communications","Female","10","10","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Communications","Male","15","15","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Corporate Finance","Female","35","35","40230","38070"
"In post","2022","Defence Science and Technology Laboratory","Corporate Finance","Male","20","15","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Digital, Data and Technology","Female","25","25","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Digital, Data and Technology","Male","100","95","48270","47010"
"In post","2022","Defence Science and Technology Laboratory","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Finance","Female","10","10","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Human Resources","Female","75","70","35360","29230"
"In post","2022","Defence Science and Technology Laboratory","Human Resources","Male","15","15","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Intelligence Analysis","Male","15","15","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Knowledge and Information Management","Female","25","25","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Knowledge and Information Management","Male","20","20","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Legal","Male","5","5","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Operational Delivery","Female","240","225","35800","29230"
"In post","2022","Defence Science and Technology Laboratory","Operational Delivery","Male","160","160","45160","47010"
"In post","2022","Defence Science and Technology Laboratory","Operational Research","Female","170","155","42520","45130"
"In post","2022","Defence Science and Technology Laboratory","Operational Research","Male","335","325","44820","47010"
"In post","2022","Defence Science and Technology Laboratory","Other","Female","20","20","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Other","Male","35","35","38950","27010"
"In post","2022","Defence Science and Technology Laboratory","Project Delivery","Female","265","240","39780","38070"
"In post","2022","Defence Science and Technology Laboratory","Project Delivery","Male","215","210","43850","47010"
"In post","2022","Defence Science and Technology Laboratory","Property","Female","10","10","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Property","Male","35","35","46690","47010"
"In post","2022","Defence Science and Technology Laboratory","Psychology","Female","15","15","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Psychology","Male","5","5","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Science and Engineering","Female","665","630","38530","38070"
"In post","2022","Defence Science and Technology Laboratory","Science and Engineering","Male","1940","1895","41500","38570"
"In post","2022","Defence Science and Technology Laboratory","Security","Female","35","30","34550","32630"
"In post","2022","Defence Science and Technology Laboratory","Security","Male","30","30","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Statistics","Male","5","5","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","Female","[c]","[c]","[c]","[c]"
