"Status","Year","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","EO","EO","Female","5915","[c]","27590","27570"
"Leaver CS","2022","EO","EO","Male","4675","[c]","27940","27570"
"Leaver CS","2022","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","G6","Female","575","[c]","69860","67910"
"Leaver CS","2022","G6/G7","G6","Male","695","[c]","71030","68720"
"Leaver CS","2022","G6/G7","G7","Female","1435","[c]","55230","54110"
"Leaver CS","2022","G6/G7","G7","Male","1595","[c]","56560","55000"
"Leaver CS","2022","SCS level","SCS level","Female","330","[c]","97630","93370"
"Leaver CS","2022","SCS level","SCS level","Male","380","[c]","99180","94380"
"Leaver CS","2022","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","HEO","Female","2490","[c]","33410","33300"
"Leaver CS","2022","SEO/HEO","HEO","Male","2590","[c]","34110","33570"
"Leaver CS","2022","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","SEO","Female","1850","[c]","41490","40580"
"Leaver CS","2022","SEO/HEO","SEO","Male","1955","[c]","42450","41030"
"Leaver CS","2022","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Female","1495","[c]","35500","31500"
"Leaver CS","2022","Unknown","Unknown","Male","830","[c]","37100","33950"
"Leaver Dept.","2022","AA/AO","AA","Female","170","[c]","20080","19520"
"Leaver Dept.","2022","AA/AO","AA","Male","115","[c]","20140","19520"
"Leaver Dept.","2022","AA/AO","AO","Female","1865","[c]","21620","21260"
"Leaver Dept.","2022","AA/AO","AO","Male","1195","[c]","21690","21260"
"Leaver Dept.","2022","EO","EO","Female","3225","[c]","27040","27570"
"Leaver Dept.","2022","EO","EO","Male","2025","[c]","27100","27570"
"Leaver Dept.","2022","G6/G7","G6","Female","730","[c]","68630","66440"
"Leaver Dept.","2022","G6/G7","G6","Male","620","[c]","69170","67000"
"Leaver Dept.","2022","G6/G7","G7","Female","1925","[c]","53610","53380"
"Leaver Dept.","2022","G6/G7","G7","Male","1520","[c]","54220","53830"
"Leaver Dept.","2022","SCS level","SCS level","Female","450","[c]","98070","95140"
"Leaver Dept.","2022","SCS level","SCS level","Male","415","[c]","98760","95070"
"Leaver Dept.","2022","SEO/HEO","HEO","Female","3170","[c]","32360","32330"
"Leaver Dept.","2022","SEO/HEO","HEO","Male","2225","[c]","32760","32330"
"Leaver Dept.","2022","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","SEO","Female","2215","[c]","40060","40070"
"Leaver Dept.","2022","SEO/HEO","SEO","Male","1455","[c]","40520","40470"
"Leaver Dept.","2022","Unknown","Unknown","Female","205","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Male","135","[c]","39240","36300"
"New entrant CS","2022","AA/AO","AA","Female","2075","[c]","20550","20890"
"New entrant CS","2022","AA/AO","AA","Male","1665","[c]","20840","20890"
"New entrant CS","2022","AA/AO","AO","Female","11485","[c]","22090","21260"
"New entrant CS","2022","AA/AO","AO","Male","8905","[c]","22540","21260"
"New entrant CS","2022","EO","EO","Female","8945","[c]","27120","27270"
"New entrant CS","2022","EO","EO","Male","7275","[c]","27120","27230"
"New entrant CS","2022","G6/G7","G6","Female","420","[c]","67530","65310"
"New entrant CS","2022","G6/G7","G6","Male","465","[c]","68780","66000"
"New entrant CS","2022","G6/G7","G7","Female","1855","[c]","53480","52290"
"New entrant CS","2022","G6/G7","G7","Male","1815","[c]","54620","53380"
"New entrant CS","2022","SCS level","SCS level","Female","170","[c]","92780","85000"
"New entrant CS","2022","SCS level","SCS level","Male","200","[c]","101780","90000"
"New entrant CS","2022","SEO/HEO","HEO","Female","5205","[c]","32150","32160"
"New entrant CS","2022","SEO/HEO","HEO","Male","4615","[c]","32320","32790"
"New entrant CS","2022","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","SEO/HEO","SEO","Female","2685","[c]","40140","40000"
"New entrant CS","2022","SEO/HEO","SEO","Male","2355","[c]","40510","40000"
"New entrant CS","2022","Unknown","Unknown","Female","6580","[c]","28020","24900"
"New entrant CS","2022","Unknown","Unknown","Male","2675","[c]","30010","27980"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","","","",""
"Sex","Self reported sex.","","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
