"Status","Year","Age","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","HM Treasury (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","16-19","Home Office","AA/AO","35","35","22150","21680"
"In post","2022","16-19","Home Office","EO","20","20","25880","24880"
"In post","2022","16-19","Intellectual Property Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","AA/AO","20","20","21130","20860"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Unknown","35","35","17940","16450"
"In post","2022","16-19","Rural Payments Agency","AA/AO","10","10","20720","21300"
"In post","2022","16-19","Rural Payments Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","AA/AO","10","10","21780","22000"
"In post","2022","16-19","Scottish Government (excl. agencies)","AA/AO","25","25","21550","21050"
"In post","2022","16-19","Scottish Government (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","AA/AO","15","15","21110","21050"
"In post","2022","16-19","Social Security Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Student Awards Agency for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Unknown","15","15","18160","17140"
"In post","2022","16-19","The Insolvency Service","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","AA/AO","15","10","21220","22090"
"In post","2022","16-19","UK Health Security Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","AA/AO","15","15","19510","19860"
"In post","2022","16-19","UK Statistics Authority","EO","10","10","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","EO","10","10","25900","26030"
"In post","2022","16-19","Vehicle Certification Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","AA/AO","10","5","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","EO","60","60","24550","24250"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","SEO/HEO","25","25","34370","30950"
"In post","2022","20-29","Animal and Plant Health Agency","AA/AO","225","220","22310","21300"
"In post","2022","20-29","Animal and Plant Health Agency","EO","210","210","26020","24920"
"In post","2022","20-29","Animal and Plant Health Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","SEO/HEO","95","95","32390","32560"
"In post","2022","20-29","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","AA/AO","145","140","21900","21050"
"In post","2022","20-29","Cabinet Office (excl. agencies)","EO","425","425","26590","27500"
"In post","2022","20-29","Cabinet Office (excl. agencies)","G6/G7","470","470","56510","54700"
"In post","2022","20-29","Cabinet Office (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","SEO/HEO","2320","2315","31890","32000"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","25","25","21250","21510"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","EO","50","50","25230","25010"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","40","40","30270","29750"
"In post","2022","20-29","Charity Commission","AA/AO","15","10","17360","17140"
"In post","2022","20-29","Charity Commission","EO","30","30","24560","24440"
"In post","2022","20-29","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","SEO/HEO","30","30","30310","29160"
"In post","2022","20-29","Companies House","AA/AO","80","75","20230","20100"
"In post","2022","20-29","Companies House","EO","45","45","26880","24500"
"In post","2022","20-29","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","SEO/HEO","35","35","35280","35570"
"In post","2022","20-29","Competition and Markets Authority","AA/AO","15","15","22580","22520"
"In post","2022","20-29","Competition and Markets Authority","EO","25","25","27410","26750"
"In post","2022","20-29","Competition and Markets Authority","G6/G7","45","45","56420","54320"
"In post","2022","20-29","Competition and Markets Authority","SEO/HEO","65","65","35330","33610"
"In post","2022","20-29","Criminal Injuries Compensation Authority","AA/AO","15","15","20970","20970"
"In post","2022","20-29","Criminal Injuries Compensation Authority","EO","10","10","25120","25120"
"In post","2022","20-29","Criminal Injuries Compensation Authority","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","AA/AO","15","15","20370","20330"
"In post","2022","20-29","Crown Commercial Service","EO","40","40","25820","25520"
"In post","2022","20-29","Crown Commercial Service","G6/G7","10","10","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","SEO/HEO","90","90","32970","30940"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","AA/AO","265","255","21920","21050"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","EO","140","135","28040","27230"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","SEO/HEO","150","150","39440","41750"
"In post","2022","20-29","Crown Prosecution Service","AA/AO","470","465","22460","22200"
"In post","2022","20-29","Crown Prosecution Service","EO","340","340","26270","26090"
"In post","2022","20-29","Crown Prosecution Service","G6/G7","85","85","50520","48080"
"In post","2022","20-29","Crown Prosecution Service","SEO/HEO","150","150","35290","38000"
"In post","2022","20-29","Defence Electronics and Components Agency","AA/AO","25","25","20040","19450"
"In post","2022","20-29","Defence Electronics and Components Agency","EO","5","5","[c]","[c]"
"In post","2022","20-29","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","EO","895","890","23090","23250"
"In post","2022","20-29","Defence Equipment and Support","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","SEO/HEO","1000","995","30680","30420"
"In post","2022","20-29","Defence Science and Technology Laboratory","AA/AO","130","130","20190","18330"
"In post","2022","20-29","Defence Science and Technology Laboratory","EO","105","105","24800","23490"
"In post","2022","20-29","Defence Science and Technology Laboratory","G6/G7","15","15","47390","47010"
"In post","2022","20-29","Defence Science and Technology Laboratory","SEO/HEO","815","810","31390","29230"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","25","25","24030","24900"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","190","190","27480","27680"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","560","560","55510","53380"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","1265","1260","36970","36150"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","EO","115","110","26610","26180"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","G6/G7","205","205","53680","51730"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","SEO/HEO","445","445","35030","34020"
"In post","2022","20-29","Department for Education (excl. agencies)","AA/AO","25","25","21880","21250"
"In post","2022","20-29","Department for Education (excl. agencies)","EO","330","325","26230","25000"
"In post","2022","20-29","Department for Education (excl. agencies)","G6/G7","240","240","53060","53420"
"In post","2022","20-29","Department for Education (excl. agencies)","SEO/HEO","795","790","35220","36500"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","35","30","22150","21620"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","235","235","26200","25170"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","180","175","52620","52290"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","1005","1000","33920","32560"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","EO","145","145","27020","26250"
"In post","2022","20-29","Department for International Trade","G6/G7","240","240","52910","51710"
"In post","2022","20-29","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","SEO/HEO","640","640","35130","33640"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","20","20","24310","23320"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","165","160","27220","27850"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","230","225","53420","53130"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","555","550","35040","33210"
"In post","2022","20-29","Department for Transport (excl. agencies)","AA/AO","20","20","23720","23790"
"In post","2022","20-29","Department for Transport (excl. agencies)","EO","165","165","28480","29970"
"In post","2022","20-29","Department for Transport (excl. agencies)","G6/G7","200","195","55660","54110"
"In post","2022","20-29","Department for Transport (excl. agencies)","SEO/HEO","565","565","36750","34710"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","AA/AO","3805","3695","21620","21260"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","EO","5865","5780","28390","27570"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","G6/G7","145","145","54890","54070"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","SEO/HEO","910","905","35130","35310"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","AA/AO","25","25","22070","23170"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","EO","240","235","26620","27270"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","G6/G7","315","315","54260","53360"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","SEO/HEO","670","665","34920","32790"
"In post","2022","20-29","Disclosure Scotland","AA/AO","60","50","21830","21050"
"In post","2022","20-29","Disclosure Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Disclosure Scotland","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","AA/AO","615","580","20860","21840"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","EO","105","105","26410","26130"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","SEO/HEO","70","70","35670","34230"
"In post","2022","20-29","Driver and Vehicle Standards Agency","AA/AO","145","145","23120","21840"
"In post","2022","20-29","Driver and Vehicle Standards Agency","EO","105","105","26840","26130"
"In post","2022","20-29","Driver and Vehicle Standards Agency","SEO/HEO","50","50","33320","31040"
"In post","2022","20-29","Education and Skills Funding Agency","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Education and Skills Funding Agency","EO","75","75","25660","25000"
"In post","2022","20-29","Education and Skills Funding Agency","G6/G7","30","30","51960","50100"
"In post","2022","20-29","Education and Skills Funding Agency","SEO/HEO","225","225","33140","30320"
"In post","2022","20-29","Education Scotland","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Education Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Education Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Education Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","FCDO Services","AA/AO","20","20","23010","22600"
"In post","2022","20-29","FCDO Services","EO","55","55","27800","26570"
"In post","2022","20-29","FCDO Services","SEO/HEO","30","30","35480","34640"
"In post","2022","20-29","FCDO Services","Unknown","40","40","23070","21750"
"In post","2022","20-29","Food Standards Agency","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","EO","30","30","26290","26750"
"In post","2022","20-29","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","SEO/HEO","95","95","34550","32350"
"In post","2022","20-29","Food Standards Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Food Standards Scotland","EO","20","20","27630","27230"
"In post","2022","20-29","Food Standards Scotland","SEO/HEO","25","25","32860","31540"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","120","120","26040","25000"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","EO","155","155","29070","29300"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","110","110","52290","52990"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","710","710","35910","35700"
"In post","2022","20-29","Forestry and Land Scotland","AA/AO","65","65","24420","24020"
"In post","2022","20-29","Forestry and Land Scotland","EO","20","20","30270","30020"
"In post","2022","20-29","Forestry and Land Scotland","SEO/HEO","10","10","37970","36700"
"In post","2022","20-29","Government Actuary's Department","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Government Actuary's Department","EO","10","10","28450","28230"
"In post","2022","20-29","Government Actuary's Department","G6/G7","10","10","58920","57250"
"In post","2022","20-29","Government Actuary's Department","SEO/HEO","30","30","37940","36590"
"In post","2022","20-29","Government Internal Audit Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Government Internal Audit Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Government Internal Audit Agency","SEO/HEO","25","25","34260","33420"
"In post","2022","20-29","Government Legal Department","AA/AO","15","15","23660","23570"
"In post","2022","20-29","Government Legal Department","EO","175","175","28480","26950"
"In post","2022","20-29","Government Legal Department","G6/G7","90","90","51200","50500"
"In post","2022","20-29","Government Legal Department","SEO/HEO","80","80","38880","43920"
"In post","2022","20-29","Government Property Agency","EO","10","10","24670","24100"
"In post","2022","20-29","Government Property Agency","G6/G7","10","10","55600","54700"
"In post","2022","20-29","Government Property Agency","SEO/HEO","25","25","35620","34550"
"In post","2022","20-29","Health and Safety Executive","AA/AO","45","45","21540","20730"
"In post","2022","20-29","Health and Safety Executive","EO","150","150","26350","26370"
"In post","2022","20-29","Health and Safety Executive","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Health and Safety Executive","SEO/HEO","110","110","33920","31710"
"In post","2022","20-29","HM Courts and Tribunals Service","AA/AO","1415","1375","21470","20970"
"In post","2022","20-29","HM Courts and Tribunals Service","EO","370","370","26500","25120"
"In post","2022","20-29","HM Courts and Tribunals Service","G6/G7","20","20","54420","54270"
"In post","2022","20-29","HM Courts and Tribunals Service","SEO/HEO","355","355","33590","34260"
"In post","2022","20-29","HM Land Registry","AA/AO","570","555","22660","22600"
"In post","2022","20-29","HM Land Registry","EO","435","430","27590","27130"
"In post","2022","20-29","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","HM Land Registry","SEO/HEO","120","120","36360","33840"
"In post","2022","20-29","HM Prison and Probation Service","AA/AO","7295","7220","25420","24730"
"In post","2022","20-29","HM Prison and Probation Service","EO","805","800","29330","28960"
"In post","2022","20-29","HM Prison and Probation Service","G6/G7","25","25","59460","59030"
"In post","2022","20-29","HM Prison and Probation Service","SEO/HEO","520","515","32610","30450"
"In post","2022","20-29","HM Prison and Probation Service","Unknown","3370","3305","25430","24090"
"In post","2022","20-29","HM Revenue and Customs (excl. agencies)","AA/AO","4075","3905","21350","21250"
"In post","2022","20-29","HM Revenue and Customs (excl. agencies)","EO","3545","3515","26960","26820"
"In post","2022","20-29","HM Revenue and Customs (excl. agencies)","G6/G7","525","520","57790","55210"
"In post","2022","20-29","HM Revenue and Customs (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","HM Revenue and Customs (excl. agencies)","SEO/HEO","3370","3355","35250","33370"
"In post","2022","20-29","HM Treasury (excl. agencies)","AA/AO","30","30","22170","22750"
"In post","2022","20-29","HM Treasury (excl. agencies)","EO","100","100","25680","24300"
"In post","2022","20-29","HM Treasury (excl. agencies)","G6/G7","305","300","54140","52500"
"In post","2022","20-29","HM Treasury (excl. agencies)","SEO/HEO","545","540","33250","32320"
"In post","2022","20-29","Home Office","AA/AO","1435","1380","21980","21680"
"In post","2022","20-29","Home Office","EO","2385","2360","26150","24890"
"In post","2022","20-29","Home Office","G6/G7","280","280","58380","57430"
"In post","2022","20-29","Home Office","SEO/HEO","1435","1425","36570","35050"
"In post","2022","20-29","Home Office","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Institute for Apprenticeships and Technical Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Institute for Apprenticeships and Technical Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Institute for Apprenticeships and Technical Education","G6/G7","10","10","[c]","[c]"
"In post","2022","20-29","Institute for Apprenticeships and Technical Education","SEO/HEO","15","15","35650","36570"
"In post","2022","20-29","Intellectual Property Office","AA/AO","65","60","21810","21810"
"In post","2022","20-29","Intellectual Property Office","EO","165","160","26400","24030"
"In post","2022","20-29","Intellectual Property Office","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Intellectual Property Office","SEO/HEO","100","100","37990","39910"
"In post","2022","20-29","Legal Aid Agency","AA/AO","80","75","20980","20970"
"In post","2022","20-29","Legal Aid Agency","EO","25","25","25570","25120"
"In post","2022","20-29","Legal Aid Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Maritime and Coastguard Agency","AA/AO","85","85","25210","26840"
"In post","2022","20-29","Maritime and Coastguard Agency","EO","45","45","28490","26780"
"In post","2022","20-29","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Maritime and Coastguard Agency","SEO/HEO","60","60","35080","34730"
"In post","2022","20-29","Medicines and Healthcare Products Regulatory Agency","AA/AO","10","10","22710","23800"
"In post","2022","20-29","Medicines and Healthcare Products Regulatory Agency","EO","55","55","27150","27140"
"In post","2022","20-29","Medicines and Healthcare Products Regulatory Agency","G6/G7","15","15","53220","53100"
"In post","2022","20-29","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","70","70","35430","32960"
"In post","2022","20-29","Met Office","AA/AO","75","75","19720","20910"
"In post","2022","20-29","Met Office","EO","75","75","25070","24500"
"In post","2022","20-29","Met Office","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Met Office","SEO/HEO","160","155","33210","31580"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","AA/AO","1445","1430","23390","21170"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","EO","890","880","27440","26670"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","G6/G7","95","95","58880","58550"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","SEO/HEO","1280","1275","37690","37000"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","Unknown","20","20","24910","27000"
"In post","2022","20-29","Ministry of Justice (excl. agencies)","AA/AO","70","70","22160","21600"
"In post","2022","20-29","Ministry of Justice (excl. agencies)","EO","220","220","27570","28310"
"In post","2022","20-29","Ministry of Justice (excl. agencies)","G6/G7","135","135","56160","54270"
"In post","2022","20-29","Ministry of Justice (excl. agencies)","SEO/HEO","680","680","36970","34610"
"In post","2022","20-29","National Crime Agency","AA/AO","85","85","22490","21050"
"In post","2022","20-29","National Crime Agency","EO","645","645","33420","32770"
"In post","2022","20-29","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
