"Status","Year","Ethnicity","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","London","570","535","52780","53050"
"In post","2022","Asian","Legal","Outside London","475","445","43960","44780"
"In post","2022","Asian","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","London","90","80","74210","67750"
"In post","2022","Asian","Medicine","Outside London","105","90","66850","74070"
"In post","2022","Asian","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Delivery","London","6210","5720","31490","30470"
"In post","2022","Asian","Operational Delivery","Outside London","11110","10120","26350","25310"
"In post","2022","Asian","Operational Delivery","Overseas","20","15","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Unknown","90","80","29750","30330"
"In post","2022","Asian","Operational Research","London","35","35","45670","42010"
"In post","2022","Asian","Operational Research","Outside London","25","20","[c]","[c]"
"In post","2022","Asian","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","London","780","755","34460","31060"
"In post","2022","Asian","Other","Outside London","815","735","26340","24250"
"In post","2022","Asian","Other","Overseas","30","30","[c]","[c]"
"In post","2022","Asian","Other","Unknown","50","45","25680","25110"
"In post","2022","Asian","Planning","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","London","1910","1865","44850","40230"
"In post","2022","Asian","Policy","Outside London","425","415","38160","36340"
"In post","2022","Asian","Policy","Overseas","70","70","47250","41200"
"In post","2022","Asian","Policy","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Project Delivery","London","530","510","43030","40960"
"In post","2022","Asian","Project Delivery","Outside London","430","415","39090","37000"
"In post","2022","Asian","Project Delivery","Overseas","5","5","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","London","160","155","39710","35870"
"In post","2022","Asian","Property","Outside London","165","155","36560","31900"
"In post","2022","Asian","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","London","5","5","[c]","[c]"
"In post","2022","Asian","Psychology","Outside London","35","35","34760","31180"
"In post","2022","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","London","185","180","40310","40070"
"In post","2022","Asian","Science and Engineering","Outside London","410","395","37000","34240"
"In post","2022","Asian","Science and Engineering","Overseas","5","5","[c]","[c]"
"In post","2022","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","London","200","195","33890","30630"
"In post","2022","Asian","Security","Outside London","150","145","29470","26350"
"In post","2022","Asian","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","London","25","25","[c]","[c]"
"In post","2022","Asian","Social Research","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Statistics","London","125","125","45430","42470"
"In post","2022","Asian","Statistics","Outside London","50","50","37550","36210"
"In post","2022","Asian","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tax","London","525","505","41160","37930"
"In post","2022","Asian","Tax","Outside London","1445","1395","30890","27570"
"In post","2022","Asian","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","London","720","705","45170","40600"
"In post","2022","Asian","Unknown","Outside London","715","690","32580","28980"
"In post","2022","Asian","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","London","105","100","40140","37770"
"In post","2022","Black","Commercial","Outside London","90","90","34360","32580"
"In post","2022","Black","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","London","105","100","39400","37320"
"In post","2022","Black","Communications","Outside London","10","10","[c]","[c]"
"In post","2022","Black","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","London","220","200","30000","31060"
"In post","2022","Black","Counter Fraud","Outside London","95","90","27350","27570"
"In post","2022","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data and Technology","London","330","330","42910","41380"
"In post","2022","Black","Digital, Data and Technology","Outside London","265","265","36880","34230"
"In post","2022","Black","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","London","45","45","40750","34690"
"In post","2022","Black","Economics","Outside London","20","20","[c]","[c]"
"In post","2022","Black","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","London","295","295","41730","39320"
"In post","2022","Black","Finance","Outside London","145","145","35670","33300"
"In post","2022","Black","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","London","255","250","38100","35060"
"In post","2022","Black","Human Resources","Outside London","90","85","34170","30820"
"In post","2022","Black","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","London","10","10","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","Outside London","20","20","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","London","45","40","31740","30570"
"In post","2022","Black","Intelligence Analysis","Outside London","10","5","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","London","30","30","[c]","[c]"
"In post","2022","Black","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","International Trade","London","65","60","41540","38160"
"In post","2022","Black","International Trade","Outside London","5","5","[c]","[c]"
"In post","2022","Black","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","London","45","45","33280","30790"
"In post","2022","Black","Knowledge and Information Management","Outside London","15","15","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Legal","London","350","340","50630","51250"
"In post","2022","Black","Legal","Outside London","135","130","44370","43920"
"In post","2022","Black","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Medicine","London","15","15","[c]","[c]"
"In post","2022","Black","Medicine","Outside London","40","35","63580","46480"
"In post","2022","Black","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Operational Delivery","London","5600","5335","31230","31060"
"In post","2022","Black","Operational Delivery","Outside London","3955","3710","27280","27130"
"In post","2022","Black","Operational Delivery","Overseas","10","10","[c]","[c]"
"In post","2022","Black","Operational Delivery","Unknown","35","35","31010","31060"
"In post","2022","Black","Operational Research","London","5","5","[c]","[c]"
"In post","2022","Black","Operational Research","Outside London","10","10","[c]","[c]"
"In post","2022","Black","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Other","London","500","490","32000","31060"
"In post","2022","Black","Other","Outside London","295","280","26940","26480"
"In post","2022","Black","Other","Overseas","5","5","[c]","[c]"
"In post","2022","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Policy","London","1110","1095","40770","37560"
"In post","2022","Black","Policy","Outside London","155","150","36230","34420"
"In post","2022","Black","Policy","Overseas","35","35","40980","34220"
"In post","2022","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Project Delivery","London","350","340","42410","39000"
"In post","2022","Black","Project Delivery","Outside London","205","200","35890","34810"
"In post","2022","Black","Project Delivery","Overseas","5","5","[c]","[c]"
"In post","2022","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Property","London","100","95","40420","36930"
"In post","2022","Black","Property","Outside London","65","60","35020","32260"
"In post","2022","Black","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Psychology","London","5","5","[c]","[c]"
"In post","2022","Black","Psychology","Outside London","15","15","[c]","[c]"
"In post","2022","Black","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Science and Engineering","London","95","90","39910","40070"
"In post","2022","Black","Science and Engineering","Outside London","180","175","36950","36510"
"In post","2022","Black","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Security","London","90","90","33600","30730"
"In post","2022","Black","Security","Outside London","45","45","29650","27190"
"In post","2022","Black","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Social Research","London","15","15","[c]","[c]"
"In post","2022","Black","Social Research","Outside London","10","10","[c]","[c]"
"In post","2022","Black","Statistics","London","40","40","41160","40990"
"In post","2022","Black","Statistics","Outside London","20","20","[c]","[c]"
"In post","2022","Black","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Tax","London","260","255","38180","37930"
"In post","2022","Black","Tax","Outside London","325","315","28840","26820"
"In post","2022","Black","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","London","405","400","42020","37610"
"In post","2022","Black","Unknown","Outside London","220","215","35300","33080"
"In post","2022","Black","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Black","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","London","35","35","40740","40650"
"In post","2022","Mixed","Commercial","Outside London","75","75","37010","34770"
"In post","2022","Mixed","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","London","85","85","44800","41880"
"In post","2022","Mixed","Communications","Outside London","30","30","[c]","[c]"
"In post","2022","Mixed","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","London","35","35","32220","31060"
"In post","2022","Mixed","Counter Fraud","Outside London","70","65","27990","27570"
"In post","2022","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Digital, Data and Technology","London","105","100","47610","43810"
"In post","2022","Mixed","Digital, Data and Technology","Outside London","185","180","38740","36200"
"In post","2022","Mixed","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Economics","London","70","70","42880","38830"
"In post","2022","Mixed","Economics","Outside London","15","15","[c]","[c]"
"In post","2022","Mixed","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Finance","London","75","70","44700","41750"
"In post","2022","Mixed","Finance","Outside London","125","120","38350","35310"
"In post","2022","Mixed","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Human Resources","London","125","125","42300","38100"
"In post","2022","Mixed","Human Resources","Outside London","90","85","37830","36910"
"In post","2022","Mixed","Human Resources","Overseas","5","5","[c]","[c]"
"In post","2022","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Intelligence Analysis","London","35","35","42430","37930"
"In post","2022","Mixed","Intelligence Analysis","Outside London","20","20","[c]","[c]"
"In post","2022","Mixed","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","Outside London","10","10","[c]","[c]"
"In post","2022","Mixed","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","International Trade","London","40","35","47200","38830"
"In post","2022","Mixed","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","International Trade","Overseas","10","10","[c]","[c]"
"In post","2022","Mixed","Knowledge and Information Management","London","20","20","[c]","[c]"
"In post","2022","Mixed","Knowledge and Information Management","Outside London","10","10","[c]","[c]"
"In post","2022","Mixed","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Legal","London","180","170","54510","53050"
"In post","2022","Mixed","Legal","Outside London","120","110","45240","48080"
"In post","2022","Mixed","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Medicine","London","15","15","[c]","[c]"
"In post","2022","Mixed","Medicine","Outside London","25","20","[c]","[c]"
"In post","2022","Mixed","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Operational Delivery","London","1190","1135","33320","31060"
"In post","2022","Mixed","Operational Delivery","Outside London","3160","2950","27850","26820"
"In post","2022","Mixed","Operational Delivery","Overseas","10","10","[c]","[c]"
"In post","2022","Mixed","Operational Delivery","Unknown","15","15","[c]","[c]"
"In post","2022","Mixed","Operational Research","London","10","10","[c]","[c]"
"In post","2022","Mixed","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2022","Mixed","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Other","London","155","150","37940","31060"
"In post","2022","Mixed","Other","Outside London","275","260","27070","26350"
"In post","2022","Mixed","Other","Overseas","15","15","[c]","[c]"
"In post","2022","Mixed","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning","London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning Inspectors","London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Policy","London","825","805","47030","43370"
"In post","2022","Mixed","Policy","Outside London","195","185","39120","36340"
"In post","2022","Mixed","Policy","Overseas","65","65","50460","52400"
"In post","2022","Mixed","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Project Delivery","London","135","130","45560","41950"
"In post","2022","Mixed","Project Delivery","Outside London","140","135","39340","37000"
"In post","2022","Mixed","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Property","London","30","30","39990","37880"
"In post","2022","Mixed","Property","Outside London","60","55","34260","31900"
"In post","2022","Mixed","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Psychology","London","5","5","[c]","[c]"
"In post","2022","Mixed","Psychology","Outside London","35","35","34850","29060"
"In post","2022","Mixed","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","London","35","30","40130","40070"
"In post","2022","Mixed","Science and Engineering","Outside London","195","190","37340","35220"
"In post","2022","Mixed","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","London","30","30","40540","38130"
"In post","2022","Mixed","Security","Outside London","65","65","34300","33390"
"In post","2022","Mixed","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Social Research","London","15","15","[c]","[c]"
"In post","2022","Mixed","Social Research","Outside London","20","15","[c]","[c]"
"In post","2022","Mixed","Statistics","London","25","25","[c]","[c]"
"In post","2022","Mixed","Statistics","Outside London","15","15","[c]","[c]"
"In post","2022","Mixed","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Tax","London","55","55","44710","37930"
"In post","2022","Mixed","Tax","Outside London","235","225","33510","33080"
"In post","2022","Mixed","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","London","250","245","47820","41310"
"In post","2022","Mixed","Unknown","Outside London","245","235","38560","33080"
"In post","2022","Mixed","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","London","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","Outside London","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Communications","London","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Communications","Outside London","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","London","20","15","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","Outside London","25","20","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Digital, Data and Technology","London","40","40","45540","41400"
"In post","2022","Other ethnicity","Digital, Data and Technology","Outside London","55","55","42210","35570"
"In post","2022","Other ethnicity","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Economics","London","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Finance","London","25","25","[c]","[c]"
"In post","2022","Other ethnicity","Finance","Outside London","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","London","35","35","38650","31460"
"In post","2022","Other ethnicity","Human Resources","Outside London","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","Outside London","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","Outside London","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","London","15","15","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","Outside London","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Legal","London","60","55","56340","54580"
"In post","2022","Other ethnicity","Legal","Outside London","30","30","47020","45590"
"In post","2022","Other ethnicity","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","London","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","Outside London","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Delivery","London","520","495","32940","31060"
"In post","2022","Other ethnicity","Operational Delivery","Outside London","730","680","28200","27130"
"In post","2022","Other ethnicity","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
