"Status","Year","Age","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Scottish Government","EO","5","5","[c]","[c]"
"In post","2022","16-19","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","AA","5","5","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","AO","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","EO","10","10","[c]","[c]"
"In post","2022","16-19","Welsh Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","AO","485","475","22510","22200"
"In post","2022","20-29","Attorney General's Departments","EO","540","535","27030","26950"
"In post","2022","20-29","Attorney General's Departments","G6","5","5","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","G7","175","175","50620","50500"
"In post","2022","20-29","Attorney General's Departments","HEO","235","230","35900","33100"
"In post","2022","20-29","Attorney General's Departments","SEO","35","35","39600","39750"
"In post","2022","20-29","Cabinet Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office","AO","160","155","21750","21050"
"In post","2022","20-29","Cabinet Office","EO","475","475","26480","27500"
"In post","2022","20-29","Cabinet Office","G6","55","55","66050","64500"
"In post","2022","20-29","Cabinet Office","G7","435","435","55220","54700"
"In post","2022","20-29","Cabinet Office","HEO","2100","2100","30730","29250"
"In post","2022","20-29","Cabinet Office","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office","SEO","335","335","39790","40600"
"In post","2022","20-29","Chancellor's other departments","AO","10","10","22930","22240"
"In post","2022","20-29","Chancellor's other departments","EO","15","15","27160","28230"
"In post","2022","20-29","Chancellor's other departments","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","G7","15","15","55250","57250"
"In post","2022","20-29","Chancellor's other departments","HEO","25","25","35870","35980"
"In post","2022","20-29","Chancellor's other departments","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Charity Commission","AO","15","10","17360","17140"
"In post","2022","20-29","Charity Commission","EO","30","30","24560","24440"
"In post","2022","20-29","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","HEO","25","25","28750","29160"
"In post","2022","20-29","Charity Commission","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","AO","15","15","22580","22520"
"In post","2022","20-29","Competition and Markets Authority","EO","25","25","27410","26750"
"In post","2022","20-29","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","G7","40","40","55310","54320"
"In post","2022","20-29","Competition and Markets Authority","HEO","55","55","33630","33120"
"In post","2022","20-29","Competition and Markets Authority","SEO","10","10","43140","41670"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","AA","40","40","17930","17900"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","AO","330","325","21350","21130"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","EO","565","565","26400","24890"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","G6","35","35","65940","64700"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","G7","550","550","54790","53380"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","HEO","980","975","33460","33570"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","SEO","680","675","40820","40050"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","EO","115","110","26610","26180"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","G6","10","10","62180","62600"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","G7","195","195","53160","51730"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","HEO","445","445","35030","34020"
"In post","2022","20-29","Department for Education","AO","40","40","21920","21250"
"In post","2022","20-29","Department for Education","EO","420","420","26070","25000"
"In post","2022","20-29","Department for Education","G6","20","20","63020","64180"
"In post","2022","20-29","Department for Education","G7","260","260","52090","53420"
"In post","2022","20-29","Department for Education","HEO","575","575","31290","30090"
"In post","2022","20-29","Department for Education","SEO","475","470","38970","36780"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","AO","580","565","21750","21300"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","EO","585","580","25880","25010"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","G6","10","10","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","G7","175","170","52040","52290"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","HEO","835","830","31770","32560"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","SEO","340","340","38180","38750"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","EO","145","145","27020","26250"
"In post","2022","20-29","Department for International Trade","G6","10","10","62300","62170"
"In post","2022","20-29","Department for International Trade","G7","230","230","52490","51710"
"In post","2022","20-29","Department for International Trade","HEO","380","380","32380","31800"
"In post","2022","20-29","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","SEO","260","260","39110","38160"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","AO","60","55","21860","21270"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","EO","180","180","27110","27850"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","G6","15","15","63340","63470"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","G7","215","215","52620","53130"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","HEO","365","365","32500","33210"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","SEO","205","205","39360","39600"
"In post","2022","20-29","Department for Transport","AA","190","175","18520","18310"
"In post","2022","20-29","Department for Transport","AO","685","660","22610","21840"
"In post","2022","20-29","Department for Transport","EO","425","420","27520","26350"
"In post","2022","20-29","Department for Transport","G6","30","30","65160","65440"
"In post","2022","20-29","Department for Transport","G7","170","170","53880","54110"
"In post","2022","20-29","Department for Transport","HEO","515","515","33560","34710"
"In post","2022","20-29","Department for Transport","SEO","245","240","42060","42470"
"In post","2022","20-29","Department for Work and Pensions","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Work and Pensions","AO","3845","3740","21620","21260"
"In post","2022","20-29","Department for Work and Pensions","EO","6020","5930","28340","27570"
"In post","2022","20-29","Department for Work and Pensions","G6","10","10","[c]","[c]"
"In post","2022","20-29","Department for Work and Pensions","G7","140","140","54050","54070"
"In post","2022","20-29","Department for Work and Pensions","HEO","725","725","33540","31990"
"In post","2022","20-29","Department for Work and Pensions","SEO","295","295","38600","38500"
"In post","2022","20-29","Department of Health and Social Care","AA","55","50","20440","19100"
"In post","2022","20-29","Department of Health and Social Care","AO","280","255","21500","20400"
"In post","2022","20-29","Department of Health and Social Care","EO","665","640","26130","26880"
"In post","2022","20-29","Department of Health and Social Care","G6","50","50","64800","66230"
"In post","2022","20-29","Department of Health and Social Care","G7","375","375","53100","53360"
"In post","2022","20-29","Department of Health and Social Care","HEO","950","935","31740","32640"
"In post","2022","20-29","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department of Health and Social Care","SEO","485","480","39570","40450"
"In post","2022","20-29","Estyn","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","AO","5","5","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","EO","30","30","26290","26750"
"In post","2022","20-29","Food Standards Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","HEO","55","55","31210","30350"
"In post","2022","20-29","Food Standards Agency","SEO","40","40","39250","39390"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","AO","145","145","25590","25000"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","EO","220","220","28650","29300"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","G6","5","5","[c]","[c]"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","G7","105","105","51820","52430"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","HEO","655","650","35270","35700"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","SEO","90","90","40140","41000"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Unknown","40","40","23070","21750"
"In post","2022","20-29","HM Land Registry","AA","20","20","21960","21290"
"In post","2022","20-29","HM Land Registry","AO","550","535","22690","22600"
"In post","2022","20-29","HM Land Registry","EO","435","430","27590","27130"
"In post","2022","20-29","HM Land Registry","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","HM Land Registry","HEO","85","85","34630","33840"
"In post","2022","20-29","HM Land Registry","SEO","35","35","40880","38550"
"In post","2022","20-29","HM Revenue and Customs","AA","5","5","[c]","[c]"
"In post","2022","20-29","HM Revenue and Customs","AO","4255","4085","21380","21250"
"In post","2022","20-29","HM Revenue and Customs","EO","3740","3705","26940","26820"
"In post","2022","20-29","HM Revenue and Customs","G6","40","40","68370","67910"
"In post","2022","20-29","HM Revenue and Customs","G7","490","490","56980","55210"
"In post","2022","20-29","HM Revenue and Customs","HEO","2895","2885","33760","33370"
"In post","2022","20-29","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","HM Revenue and Customs","SEO","725","725","41040","40520"
"In post","2022","20-29","HM Treasury","AO","35","35","22460","22750"
"In post","2022","20-29","HM Treasury","EO","110","110","25870","24300"
"In post","2022","20-29","HM Treasury","G6","15","15","63250","63000"
"In post","2022","20-29","HM Treasury","G7","305","300","53590","52500"
"In post","2022","20-29","HM Treasury","HEO","585","580","33310","32320"
"In post","2022","20-29","HM Treasury","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Home Office","AA","110","100","20340","19210"
"In post","2022","20-29","Home Office","AO","1330","1280","22110","21680"
"In post","2022","20-29","Home Office","EO","2385","2360","26150","24890"
"In post","2022","20-29","Home Office","G6","15","15","69400","68700"
"In post","2022","20-29","Home Office","G7","265","265","57710","57430"
"In post","2022","20-29","Home Office","HEO","935","930","33790","35050"
"In post","2022","20-29","Home Office","SEO","495","495","41800","41950"
"In post","2022","20-29","Home Office","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Ministry of Defence","AA","455","450","20120","19810"
"In post","2022","20-29","Ministry of Defence","AO","1200","1190","24080","22230"
"In post","2022","20-29","Ministry of Defence","EO","1955","1940","25280","26350"
"In post","2022","20-29","Ministry of Defence","G6","5","5","[c]","[c]"
"In post","2022","20-29","Ministry of Defence","G7","115","110","56250","58550"
"In post","2022","20-29","Ministry of Defence","HEO","2315","2305","31390","31600"
"In post","2022","20-29","Ministry of Defence","SEO","815","815","40560","40000"
"In post","2022","20-29","Ministry of Defence","Unknown","825","825","28380","28050"
"In post","2022","20-29","Ministry of Justice","AA","1370","1350","21090","20890"
"In post","2022","20-29","Ministry of Justice","AO","7735","7615","25240","24430"
"In post","2022","20-29","Ministry of Justice","EO","1505","1490","28090","28310"
"In post","2022","20-29","Ministry of Justice","G6","10","10","65340","63870"
"In post","2022","20-29","Ministry of Justice","G7","170","170","55870","54490"
"In post","2022","20-29","Ministry of Justice","HEO","1135","1130","32240","31890"
"In post","2022","20-29","Ministry of Justice","SEO","450","445","40920","41750"
"In post","2022","20-29","Ministry of Justice","Unknown","3370","3305","25430","24090"
"In post","2022","20-29","National Crime Agency","AO","85","85","22490","21050"
"In post","2022","20-29","National Crime Agency","EO","645","645","33420","32770"
"In post","2022","20-29","National Crime Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","National Crime Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","National Crime Agency","HEO","115","115","39210","40170"
"In post","2022","20-29","National Crime Agency","SEO","25","25","47310","47280"
"In post","2022","20-29","Northern Ireland Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Northern Ireland Office","EO","5","5","[c]","[c]"
"In post","2022","20-29","Northern Ireland Office","G7","10","10","[c]","[c]"
"In post","2022","20-29","Northern Ireland Office","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Northern Ireland Office","SEO","20","20","41220","41750"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","AA","5","5","[c]","[c]"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","AO","35","35","21510","21410"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","EO","45","45","26700","25880"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","HEO","30","30","33130","32010"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","SEO","15","15","41090","39850"
"In post","2022","20-29","Office of Gas and Electricity Markets","AO","35","35","19710","19750"
"In post","2022","20-29","Office of Gas and Electricity Markets","EO","175","175","25730","25750"
"In post","2022","20-29","Office of Gas and Electricity Markets","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office of Gas and Electricity Markets","G7","35","35","49080","46250"
"In post","2022","20-29","Office of Gas and Electricity Markets","HEO","120","120","33680","33400"
"In post","2022","20-29","Office of Gas and Electricity Markets","SEO","15","15","40480","40000"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","EO","5","5","[c]","[c]"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","HEO","15","15","31220","31000"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Office of Rail and Road","AO","10","10","[c]","[c]"
"In post","2022","20-29","Office of Rail and Road","EO","5","5","[c]","[c]"
"In post","2022","20-29","Office of Rail and Road","G7","5","5","[c]","[c]"
"In post","2022","20-29","Office of Rail and Road","HEO","10","10","[c]","[c]"
"In post","2022","20-29","Office of Rail and Road","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Scotland","AO","5","5","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Scotland","EO","5","5","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Scotland","HEO","10","10","33910","34260"
"In post","2022","20-29","Office of the Secretary of State for Scotland","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Wales","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Wales","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Wales","EO","5","5","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Wales","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Wales","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Scottish Government","AA","660","630","21740","21050"
"In post","2022","20-29","Scottish Government","AO","1235","1210","23500","23330"
"In post","2022","20-29","Scottish Government","EO","1215","1205","28880","27230"
"In post","2022","20-29","Scottish Government","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Scottish Government","G7","85","85","52020","49860"
"In post","2022","20-29","Scottish Government","HEO","805","800","33190","31540"
"In post","2022","20-29","Scottish Government","SEO","365","360","41750","40810"
"In post","2022","20-29","The National Archives","AA","5","5","[c]","[c]"
"In post","2022","20-29","The National Archives","AO","25","25","21300","20590"
"In post","2022","20-29","The National Archives","EO","25","25","23900","23240"
"In post","2022","20-29","The National Archives","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","The National Archives","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","The National Archives","HEO","25","25","30270","28460"
"In post","2022","20-29","The National Archives","SEO","10","10","[c]","[c]"
"In post","2022","20-29","UK Export Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","UK Export Finance","EO","35","35","29190","29000"
"In post","2022","20-29","UK Export Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","UK Export Finance","G7","10","10","53290","52500"
"In post","2022","20-29","UK Export Finance","HEO","35","35","34050","33000"
"In post","2022","20-29","UK Export Finance","SEO","25","25","42540","41000"
"In post","2022","20-29","UK Statistics Authority","AA","50","35","19520","18830"
"In post","2022","20-29","UK Statistics Authority","AO","160","155","20090","19860"
"In post","2022","20-29","UK Statistics Authority","EO","185","180","24110","23880"
"In post","2022","20-29","UK Statistics Authority","G6","5","5","[c]","[c]"
"In post","2022","20-29","UK Statistics Authority","G7","70","70","51040","50210"
"In post","2022","20-29","UK Statistics Authority","HEO","560","560","31140","30710"
"In post","2022","20-29","UK Statistics Authority","SEO","255","255","38120","38340"
"In post","2022","20-29","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","UK Supreme Court","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","UK Supreme Court","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","UK Supreme Court","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Water Services Regulation Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Water Services Regulation Authority","EO","25","25","28790","28000"
"In post","2022","20-29","Water Services Regulation Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Water Services Regulation Authority","HEO","15","15","37800","37000"
"In post","2022","20-29","Water Services Regulation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Welsh Government","AO","230","225","23820","24630"
"In post","2022","20-29","Welsh Government","EO","185","185","27620","26820"
"In post","2022","20-29","Welsh Government","G7","15","15","55000","54280"
"In post","2022","20-29","Welsh Government","HEO","110","110","33730","33190"
"In post","2022","20-29","Welsh Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Welsh Government","SEO","20","15","41060","41980"
"In post","2022","30-39","Attorney General's Departments","AO","195","175","22760","22200"
"In post","2022","30-39","Attorney General's Departments","EO","315","295","27180","26970"
"In post","2022","30-39","Attorney General's Departments","G6","240","225","65080","64680"
"In post","2022","30-39","Attorney General's Departments","G7","1040","995","52080","51250"
"In post","2022","30-39","Attorney General's Departments","HEO","270","260","35560","33120"
"In post","2022","30-39","Attorney General's Departments","SCS level","15","10","76380","72800"
"In post","2022","30-39","Attorney General's Departments","SEO","95","90","39440","39750"
"In post","2022","30-39","Cabinet Office","AO","80","75","21560","21050"
"In post","2022","30-39","Cabinet Office","EO","200","190","26300","26570"
"In post","2022","30-39","Cabinet Office","G6","370","370","67540","64500"
"In post","2022","30-39","Cabinet Office","G7","1030","1015","55990","54700"
"In post","2022","30-39","Cabinet Office","HEO","580","570","32800","32000"
"In post","2022","30-39","Cabinet Office","SCS level","140","135","81320","75510"
"In post","2022","30-39","Cabinet Office","SEO","435","430","39590","40600"
"In post","2022","30-39","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Chancellor's other departments","EO","5","5","[c]","[c]"
"In post","2022","30-39","Chancellor's other departments","G6","40","35","81420","78140"
"In post","2022","30-39","Chancellor's other departments","G7","20","20","55830","57250"
"In post","2022","30-39","Chancellor's other departments","HEO","25","25","35210","35000"
"In post","2022","30-39","Chancellor's other departments","SEO","20","20","44770","44440"
"In post","2022","30-39","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Charity Commission","EO","30","30","25460","24440"
"In post","2022","30-39","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Charity Commission","G7","15","15","51610","51070"
"In post","2022","30-39","Charity Commission","HEO","35","35","29250","29160"
"In post","2022","30-39","Charity Commission","SEO","25","25","37700","37910"
"In post","2022","30-39","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Competition and Markets Authority","EO","20","15","28120","27960"
"In post","2022","30-39","Competition and Markets Authority","G6","90","90","75170","75000"
"In post","2022","30-39","Competition and Markets Authority","G7","105","105","56580","55930"
"In post","2022","30-39","Competition and Markets Authority","HEO","40","40","34680","34570"
"In post","2022","30-39","Competition and Markets Authority","SCS level","25","25","98440","97750"
"In post","2022","30-39","Competition and Markets Authority","SEO","20","20","42810","42290"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy","AA","20","15","19280","19150"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy","AO","265","245","21530","21130"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy","EO","440","420","26000","24570"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy","G6","320","310","66350","64990"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy","G7","955","930","54010","53380"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy","HEO","710","685","33040","32810"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy","SCS level","75","70","81980","76430"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy","SEO","910","885","41150","40050"
"In post","2022","30-39","Department for Digital, Culture, Media and Sport","EO","30","30","27060","26180"
"In post","2022","30-39","Department for Digital, Culture, Media and Sport","G6","115","110","62710","62600"
"In post","2022","30-39","Department for Digital, Culture, Media and Sport","G7","315","310","53490","51730"
"In post","2022","30-39","Department for Digital, Culture, Media and Sport","HEO","210","210","35730","34020"
"In post","2022","30-39","Department for Digital, Culture, Media and Sport","SCS level","50","45","78010","73500"
"In post","2022","30-39","Department for Education","AO","25","25","21260","21250"
"In post","2022","30-39","Department for Education","EO","170","165","26000","25000"
"In post","2022","30-39","Department for Education","G6","260","250","63690","64180"
"In post","2022","30-39","Department for Education","G7","735","705","51710","50550"
"In post","2022","30-39","Department for Education","HEO","455","440","30750","29730"
"In post","2022","30-39","Department for Education","SCS level","60","60","75950","74100"
"In post","2022","30-39","Department for Education","SEO","690","665","38520","36780"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs","AA","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs","AO","435","400","21610","21300"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs","EO","415","395","25840","25100"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs","G6","125","120","62020","61710"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs","G7","575","550","51050","52080"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs","HEO","570","545","30970","30040"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs","SCS level","30","30","76900","73180"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs","SEO","745","715","38000","37080"
