"Status","Year","Ethnicity","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","Heterosexual / straight","245","225","29830","28660"
"In post","2022","Asian","Counter Fraud","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","Unknown","55","45","27700","25110"
"In post","2022","Asian","Counter Fraud","Outside London","Heterosexual / straight","245","230","27060","27570"
"In post","2022","Asian","Counter Fraud","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Outside London","Unknown","30","25","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","London","Heterosexual / straight","545","535","47340","42290"
"In post","2022","Asian","Digital, Data and Technology","London","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","London","Undeclared","40","40","46370","43750"
"In post","2022","Asian","Digital, Data and Technology","London","Unknown","60","60","46090","41480"
"In post","2022","Asian","Digital, Data and Technology","Outside London","Heterosexual / straight","610","605","39060","36000"
"In post","2022","Asian","Digital, Data and Technology","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Outside London","Undeclared","40","40","39500","36640"
"In post","2022","Asian","Digital, Data and Technology","Outside London","Unknown","65","60","40140","37100"
"In post","2022","Asian","Digital, Data and Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","London","Heterosexual / straight","160","160","45600","40030"
"In post","2022","Asian","Economics","London","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Economics","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Economics","London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","London","Heterosexual / straight","465","455","44210","41200"
"In post","2022","Asian","Finance","London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Finance","London","Undeclared","30","30","[c]","[c]"
"In post","2022","Asian","Finance","London","Unknown","30","30","45840","42260"
"In post","2022","Asian","Finance","Outside London","Heterosexual / straight","400","390","36680","33000"
"In post","2022","Asian","Finance","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Finance","Outside London","Unknown","35","30","34400","31990"
"In post","2022","Asian","Finance","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","London","Heterosexual / straight","305","295","40710","36650"
"In post","2022","Asian","Human Resources","London","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Outside London","Heterosexual / straight","190","180","33440","30870"
"In post","2022","Asian","Human Resources","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","London","Heterosexual / straight","120","115","33990","30150"
"In post","2022","Asian","Intelligence Analysis","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","London","Undeclared","15","10","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","Heterosexual / straight","45","45","28260","25860"
"In post","2022","Asian","Intelligence Analysis","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","Heterosexual / straight","40","40","49920","50500"
"In post","2022","Asian","Internal Audit","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","Heterosexual / straight","35","35","44150","39750"
"In post","2022","Asian","Internal Audit","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","London","Heterosexual / straight","95","90","45420","38540"
"In post","2022","Asian","International Trade","London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","International Trade","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","International Trade","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","International Trade","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","Heterosexual / straight","65","60","37290","34320"
"In post","2022","Asian","Knowledge and Information Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","Heterosexual / straight","40","40","30430","28050"
"In post","2022","Asian","Knowledge and Information Management","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","London","Heterosexual / straight","470","445","52400","52730"
"In post","2022","Asian","Legal","London","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Legal","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","Legal","London","Unknown","60","55","54630","54080"
"In post","2022","Asian","Legal","Outside London","Heterosexual / straight","395","375","43750","43200"
"In post","2022","Asian","Legal","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Legal","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Legal","Outside London","Unknown","55","50","45710","49990"
"In post","2022","Asian","Legal","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","London","Heterosexual / straight","60","50","67940","62290"
"In post","2022","Asian","Medicine","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Medicine","London","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Medicine","Outside London","Heterosexual / straight","85","75","67530","75480"
"In post","2022","Asian","Medicine","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Medicine","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Delivery","London","Heterosexual / straight","5130","4770","31700","30560"
"In post","2022","Asian","Operational Delivery","London","LGBO","105","95","30420","29720"
"In post","2022","Asian","Operational Delivery","London","Undeclared","450","395","29810","29080"
"In post","2022","Asian","Operational Delivery","London","Unknown","525","460","31040","31060"
"In post","2022","Asian","Operational Delivery","Outside London","Heterosexual / straight","9105","8380","26510","25630"
"In post","2022","Asian","Operational Delivery","Outside London","LGBO","200","185","25900","24960"
"In post","2022","Asian","Operational Delivery","Outside London","Undeclared","595","530","25450","23520"
"In post","2022","Asian","Operational Delivery","Outside London","Unknown","1205","1025","25690","25050"
"In post","2022","Asian","Operational Delivery","Overseas","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Unknown","Heterosexual / straight","75","65","29950","30330"
"In post","2022","Asian","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Operational Research","London","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Asian","Operational Research","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Operational Research","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Operational Research","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","London","Heterosexual / straight","675","655","34070","31060"
"In post","2022","Asian","Other","London","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Other","London","Undeclared","40","40","34730","31060"
"In post","2022","Asian","Other","London","Unknown","55","50","40140","33100"
"In post","2022","Asian","Other","Outside London","Heterosexual / straight","660","600","26510","24270"
"In post","2022","Asian","Other","Outside London","LGBO","25","25","[c]","[c]"
"In post","2022","Asian","Other","Outside London","Undeclared","45","35","26120","21680"
"In post","2022","Asian","Other","Outside London","Unknown","85","75","25580","21260"
"In post","2022","Asian","Other","Overseas","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Other","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","Unknown","Heterosexual / straight","30","25","26390","25110"
"In post","2022","Asian","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Other","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Planning","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","London","Heterosexual / straight","1680","1650","44720","40230"
"In post","2022","Asian","Policy","London","LGBO","70","65","46030","41050"
"In post","2022","Asian","Policy","London","Undeclared","100","95","43600","40310"
"In post","2022","Asian","Policy","London","Unknown","60","55","49170","44500"
"In post","2022","Asian","Policy","Outside London","Heterosexual / straight","385","375","38220","36190"
"In post","2022","Asian","Policy","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Policy","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Policy","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Policy","Overseas","Heterosexual / straight","60","60","45470","39430"
"In post","2022","Asian","Policy","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","London","Heterosexual / straight","450","435","43580","41670"
"In post","2022","Asian","Project Delivery","London","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Project Delivery","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","Project Delivery","London","Unknown","45","40","39510","36760"
"In post","2022","Asian","Project Delivery","Outside London","Heterosexual / straight","370","365","39340","36840"
"In post","2022","Asian","Project Delivery","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Project Delivery","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Project Delivery","Outside London","Unknown","35","35","37740","40180"
"In post","2022","Asian","Project Delivery","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Project Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","London","Heterosexual / straight","130","125","40850","37820"
"In post","2022","Asian","Property","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","London","Undeclared","15","10","[c]","[c]"
"In post","2022","Asian","Property","London","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Property","Outside London","Heterosexual / straight","140","135","37310","32940"
"In post","2022","Asian","Property","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Property","Outside London","Unknown","15","10","[c]","[c]"
"In post","2022","Asian","Property","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
