"Status","Year","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Office of Rail and Road","Male","30","30","54140","55430"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Scottish Government","Male","15","15","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Female","10","10","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Male","25","25","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","Female","1110","1040","37600","36840"
"In post","2022","Analysis","UK Statistics Authority","Male","855","845","38840","36840"
"In post","2022","Analysis","UK Statistics Authority","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","Female","30","30","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Cabinet Office","Female","1005","980","59470","56520"
"In post","2022","Commercial","Cabinet Office","Male","1015","1010","67540","64200"
"In post","2022","Commercial","Chancellor's other departments","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","Female","150","140","42520","41170"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","Male","130","130","46250","45370"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Department for Education","Female","155","145","38280","36500"
"In post","2022","Commercial","Department for Education","Male","115","115","38800","36500"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","Female","135","125","34220","35900"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","Male","80","80","39120","36730"
"In post","2022","Commercial","Department for International Trade","Female","25","25","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Department for Transport","Female","195","180","37390","34710"
"In post","2022","Commercial","Department for Transport","Male","200","195","40680","34880"
"In post","2022","Commercial","Department for Work and Pensions","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Department for Work and Pensions","Male","25","25","[c]","[c]"
"In post","2022","Commercial","Department of Health and Social Care","Female","235","230","48050","49340"
"In post","2022","Commercial","Department of Health and Social Care","Male","195","190","49390","49530"
"In post","2022","Commercial","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","Female","95","85","38850","33930"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","Male","65","65","47210","44750"
"In post","2022","Commercial","HM Land Registry","Female","10","10","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs","Female","80","70","37010","40180"
"In post","2022","Commercial","HM Revenue and Customs","Male","70","70","40000","33430"
"In post","2022","Commercial","HM Treasury","Female","5","5","[c]","[c]"
"In post","2022","Commercial","HM Treasury","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Ministry of Defence","Female","890","845","36410","34500"
"In post","2022","Commercial","Ministry of Defence","Male","845","830","40510","39880"
"In post","2022","Commercial","Ministry of Justice","Female","130","125","34660","34260"
"In post","2022","Commercial","Ministry of Justice","Male","125","120","35200","34260"
"In post","2022","Commercial","National Crime Agency","Female","15","15","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scottish Government","Female","45","40","30370","26900"
"In post","2022","Commercial","Scottish Government","Male","60","60","34720","29550"
"In post","2022","Commercial","The National Archives","Female","15","15","[c]","[c]"
"In post","2022","Commercial","The National Archives","Male","25","25","[c]","[c]"
"In post","2022","Commercial","UK Export Finance","Female","80","80","45190","42750"
"In post","2022","Commercial","UK Export Finance","Male","130","130","56790","51680"
"In post","2022","Commercial","UK Statistics Authority","Female","15","15","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Attorney General's Departments","Female","40","40","45170","39750"
"In post","2022","Communications","Attorney General's Departments","Male","30","30","[c]","[c]"
"In post","2022","Communications","Cabinet Office","Female","240","235","47400","42630"
"In post","2022","Communications","Cabinet Office","Male","135","135","48630","40600"
"In post","2022","Communications","Chancellor's other departments","Female","15","15","[c]","[c]"
"In post","2022","Communications","Chancellor's other departments","Male","10","10","[c]","[c]"
"In post","2022","Communications","Charity Commission","Female","10","10","[c]","[c]"
"In post","2022","Communications","Charity Commission","Male","10","10","[c]","[c]"
"In post","2022","Communications","Competition and Markets Authority","Female","15","15","[c]","[c]"
"In post","2022","Communications","Competition and Markets Authority","Male","15","15","[c]","[c]"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy","Female","140","130","45240","43150"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy","Male","105","105","40990","38620"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","Female","20","15","[c]","[c]"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","Male","15","15","[c]","[c]"
"In post","2022","Communications","Department for Education","Female","150","140","40690","36660"
"In post","2022","Communications","Department for Education","Male","90","90","38730","33740"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs","Female","200","185","39540","36970"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs","Male","100","100","39410","36970"
"In post","2022","Communications","Department for International Trade","Female","65","65","42150","38320"
"In post","2022","Communications","Department for International Trade","Male","40","40","46100","38510"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities","Female","60","55","43250","39600"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities","Male","55","55","46860","39600"
"In post","2022","Communications","Department for Transport","Female","135","130","37920","32760"
"In post","2022","Communications","Department for Transport","Male","90","90","40640","38650"
"In post","2022","Communications","Department for Work and Pensions","Female","125","115","41510","39360"
"In post","2022","Communications","Department for Work and Pensions","Male","75","75","43130","41880"
"In post","2022","Communications","Department of Health and Social Care","Female","310","295","45450","41010"
"In post","2022","Communications","Department of Health and Social Care","Male","175","175","46800","45990"
"In post","2022","Communications","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","Female","40","40","39900","37350"
"In post","2022","Communications","Food Standards Agency","Male","10","10","[c]","[c]"
"In post","2022","Communications","Foreign, Commonwealth and Development Office","Female","55","50","46460","43330"
"In post","2022","Communications","Foreign, Commonwealth and Development Office","Male","50","50","52430","47340"
"In post","2022","Communications","HM Land Registry","Female","15","15","[c]","[c]"
"In post","2022","Communications","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2022","Communications","HM Revenue and Customs","Female","2255","2130","30850","26820"
"In post","2022","Communications","HM Revenue and Customs","Male","2390","2360","30100","26820"
"In post","2022","Communications","HM Treasury","Female","30","30","48140","42810"
"In post","2022","Communications","HM Treasury","Male","20","20","[c]","[c]"
"In post","2022","Communications","Ministry of Defence","Female","305","290","36630","33300"
"In post","2022","Communications","Ministry of Defence","Male","310","305","35700","33300"
"In post","2022","Communications","Ministry of Justice","Female","100","95","44480","41750"
"In post","2022","Communications","Ministry of Justice","Male","80","80","44800","41750"
"In post","2022","Communications","National Crime Agency","Female","20","20","[c]","[c]"
"In post","2022","Communications","National Crime Agency","Male","10","10","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","Female","15","15","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","Male","5","5","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Female","25","25","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Male","10","10","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","Female","25","25","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","Male","20","20","[c]","[c]"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","Female","5","5","[c]","[c]"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","Male","5","5","[c]","[c]"
"In post","2022","Communications","Office of Rail and Road","Female","10","10","[c]","[c]"
"In post","2022","Communications","Office of Rail and Road","Male","10","10","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scottish Government","Female","30","30","[c]","[c]"
"In post","2022","Communications","Scottish Government","Male","15","15","[c]","[c]"
"In post","2022","Communications","The National Archives","Female","10","10","[c]","[c]"
"In post","2022","Communications","The National Archives","Male","5","5","[c]","[c]"
"In post","2022","Communications","UK Export Finance","Female","35","35","54520","50500"
"In post","2022","Communications","UK Export Finance","Male","30","30","59000","52500"
"In post","2022","Communications","UK Statistics Authority","Female","40","35","38650","36840"
"In post","2022","Communications","UK Statistics Authority","Male","25","25","[c]","[c]"
"In post","2022","Communications","UK Supreme Court","Female","5","5","[c]","[c]"
"In post","2022","Communications","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Water Services Regulation Authority","Female","10","10","[c]","[c]"
"In post","2022","Communications","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Attorney General's Departments","Female","90","90","42660","33770"
"In post","2022","Counter Fraud","Attorney General's Departments","Male","150","145","49230","42270"
"In post","2022","Counter Fraud","Cabinet Office","Female","65","60","46370","42240"
"In post","2022","Counter Fraud","Cabinet Office","Male","70","65","46800","49700"
"In post","2022","Counter Fraud","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Department for Business, Energy and Industrial Strategy","Female","205","185","31840","31000"
"In post","2022","Counter Fraud","Department for Business, Energy and Industrial Strategy","Male","210","205","35160","35070"
"In post","2022","Counter Fraud","Department for Digital, Culture, Media and Sport","Female","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Department for Digital, Culture, Media and Sport","Male","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Department for Transport","Female","20","20","[c]","[c]"
"In post","2022","Counter Fraud","Department for Transport","Male","35","35","31920","30730"
"In post","2022","Counter Fraud","Department for Work and Pensions","Female","3925","3390","27370","27570"
"In post","2022","Counter Fraud","Department for Work and Pensions","Male","2455","2300","27890","27570"
"In post","2022","Counter Fraud","Food Standards Agency","Female","20","20","[c]","[c]"
"In post","2022","Counter Fraud","Food Standards Agency","Male","35","35","40380","37350"
"In post","2022","Counter Fraud","HM Revenue and Customs","Female","4635","4245","33840","33080"
"In post","2022","Counter Fraud","HM Revenue and Customs","Male","5050","4895","36290","33370"
"In post","2022","Counter Fraud","HM Treasury","Female","20","15","[c]","[c]"
"In post","2022","Counter Fraud","HM Treasury","Male","15","15","[c]","[c]"
"In post","2022","Counter Fraud","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Department for Work and Pensions","Female","1705","1385","22650","21260"
"In post","2022","Debt","Department for Work and Pensions","Male","805","750","22540","21260"
"In post","2022","Debt","HM Revenue and Customs","Female","2465","2140","24380","21680"
"In post","2022","Debt","HM Revenue and Customs","Male","1830","1755","24300","21250"
"In post","2022","Debt","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2022","Debt","HM Treasury","Male","10","10","[c]","[c]"
"In post","2022","Debt","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Debt","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Attorney General's Departments","Female","90","85","37800","34080"
"In post","2022","Digital, Data & Technology","Attorney General's Departments","Male","110","110","42440","40170"
"In post","2022","Digital, Data & Technology","Cabinet Office","Female","565","550","48630","51600"
"In post","2022","Digital, Data & Technology","Cabinet Office","Male","710","705","50890","54700"
"In post","2022","Digital, Data & Technology","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Chancellor's other departments","Male","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Charity Commission","Female","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","Charity Commission","Male","35","35","33950","29160"
"In post","2022","Digital, Data & Technology","Competition and Markets Authority","Female","25","25","[c]","[c]"
"In post","2022","Digital, Data & Technology","Competition and Markets Authority","Male","45","45","58820","58030"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Female","670","630","38200","37420"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Male","1405","1365","41130","39650"
"In post","2022","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Male","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Education","Female","505","485","41870","37240"
"In post","2022","Digital, Data & Technology","Department for Education","Male","480","480","41980","38110"
"In post","2022","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Female","385","365","41150","38750"
"In post","2022","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Male","540","535","43520","44820"
"In post","2022","Digital, Data & Technology","Department for International Trade","Female","80","75","45930","44500"
"In post","2022","Digital, Data & Technology","Department for International Trade","Male","85","85","49350","47980"
"In post","2022","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","Female","80","75","43970","40720"
"In post","2022","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","Male","100","100","46450","41480"
"In post","2022","Digital, Data & Technology","Department for Transport","Female","375","360","36760","33350"
"In post","2022","Digital, Data & Technology","Department for Transport","Male","900","895","40710","38650"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Female","1400","1305","40010","35310"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Male","2725","2660","43200","38000"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Female","230","225","43820","40070"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Male","230","225","43140","40070"
"In post","2022","Digital, Data & Technology","Food Standards Agency","Female","30","30","46950","43850"
"In post","2022","Digital, Data & Technology","Food Standards Agency","Male","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Female","105","105","41700","39310"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Male","240","235","42630","39190"
"In post","2022","Digital, Data & Technology","HM Land Registry","Female","250","230","37520","38450"
"In post","2022","Digital, Data & Technology","HM Land Registry","Male","455","445","38060","38450"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Female","1165","1110","40950","40180"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Male","1855","1810","42440","40180"
"In post","2022","Digital, Data & Technology","HM Treasury","Female","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Treasury","Male","50","50","52800","51680"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Female","1200","1145","32420","31070"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Male","2015","1990","35700","33300"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Female","500","485","44750","41750"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Male","775","770","47540","47000"
"In post","2022","Digital, Data & Technology","National Crime Agency","Female","125","115","40870","37700"
"In post","2022","Digital, Data & Technology","National Crime Agency","Male","145","145","44390","42350"
"In post","2022","Digital, Data & Technology","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Female","25","25","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Male","50","50","46400","39850"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Female","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Male","55","55","57010","55000"
"In post","2022","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Female","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Male","15","15","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office of Rail and Road","Male","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scottish Government","Female","70","70","39470","37250"
"In post","2022","Digital, Data & Technology","Scottish Government","Male","175","175","39450","36360"
"In post","2022","Digital, Data & Technology","The National Archives","Female","60","55","39910","38250"
"In post","2022","Digital, Data & Technology","The National Archives","Male","70","70","40870","40130"
"In post","2022","Digital, Data & Technology","UK Export Finance","Female","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Export Finance","Male","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Statistics Authority","Female","230","220","41890","37360"
"In post","2022","Digital, Data & Technology","UK Statistics Authority","Male","435","425","41910","37570"
"In post","2022","Digital, Data & Technology","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Water Services Regulation Authority","Female","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Water Services Regulation Authority","Male","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Welsh Government","Male","5","5","[c]","[c]"
"In post","2022","Finance","Attorney General's Departments","Female","80","75","33470","27350"
"In post","2022","Finance","Attorney General's Departments","Male","65","65","37850","30720"
"In post","2022","Finance","Cabinet Office","Female","55","55","43780","38450"
"In post","2022","Finance","Cabinet Office","Male","85","85","50090","49700"
"In post","2022","Finance","Chancellor's other departments","Female","15","15","[c]","[c]"
"In post","2022","Finance","Chancellor's other departments","Male","15","15","[c]","[c]"
"In post","2022","Finance","Charity Commission","Female","5","5","[c]","[c]"
"In post","2022","Finance","Charity Commission","Male","5","5","[c]","[c]"
"In post","2022","Finance","Competition and Markets Authority","Female","5","5","[c]","[c]"
"In post","2022","Finance","Competition and Markets Authority","Male","10","10","[c]","[c]"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy","Female","185","170","43120","40050"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy","Male","155","155","46080","42700"
"In post","2022","Finance","Department for Digital, Culture, Media and Sport","Female","30","30","52230","52860"
"In post","2022","Finance","Department for Digital, Culture, Media and Sport","Male","45","45","52090","56360"
"In post","2022","Finance","Department for Education","Female","660","630","39670","36500"
"In post","2022","Finance","Department for Education","Male","610","605","41790","37100"
"In post","2022","Finance","Department for Environment, Food and Rural Affairs","Female","250","235","38690","36720"
"In post","2022","Finance","Department for Environment, Food and Rural Affairs","Male","205","205","44650","40210"
"In post","2022","Finance","Department for International Trade","Female","45","40","46020","44720"
"In post","2022","Finance","Department for International Trade","Male","50","50","48930","47600"
"In post","2022","Finance","Department for Levelling Up, Housing and Communities","Female","80","75","49000","48200"
"In post","2022","Finance","Department for Levelling Up, Housing and Communities","Male","60","60","50630","53130"
"In post","2022","Finance","Department for Transport","Female","240","230","38430","34710"
"In post","2022","Finance","Department for Transport","Male","230","225","43490","42060"
"In post","2022","Finance","Department for Work and Pensions","Female","1035","940","36400","34290"
"In post","2022","Finance","Department for Work and Pensions","Male","925","895","40150","35310"
"In post","2022","Finance","Department of Health and Social Care","Female","400","390","39660","36820"
"In post","2022","Finance","Department of Health and Social Care","Male","245","245","46430","40850"
"In post","2022","Finance","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Food Standards Agency","Female","25","25","[c]","[c]"
"In post","2022","Finance","Food Standards Agency","Male","25","25","[c]","[c]"
"In post","2022","Finance","Foreign, Commonwealth and Development Office","Female","170","160","43660","38600"
"In post","2022","Finance","Foreign, Commonwealth and Development Office","Male","150","145","45420","43300"
"In post","2022","Finance","HM Land Registry","Female","30","25","[c]","[c]"
"In post","2022","Finance","HM Land Registry","Male","20","20","[c]","[c]"
"In post","2022","Finance","HM Revenue and Customs","Female","1580","1365","32800","26820"
"In post","2022","Finance","HM Revenue and Customs","Male","1185","1140","36950","33370"
"In post","2022","Finance","HM Treasury","Female","60","55","48910","46820"
"In post","2022","Finance","HM Treasury","Male","65","65","53030","55840"
"In post","2022","Finance","Ministry of Defence","Female","1220","1150","36380","33000"
"In post","2022","Finance","Ministry of Defence","Male","855","840","40640","35740"
"In post","2022","Finance","Ministry of Justice","Female","395","380","40930","39430"
"In post","2022","Finance","Ministry of Justice","Male","310","310","44420","41750"
"In post","2022","Finance","National Crime Agency","Female","40","40","36250","36740"
"In post","2022","Finance","National Crime Agency","Male","15","15","[c]","[c]"
"In post","2022","Finance","Northern Ireland Office","Female","10","10","[c]","[c]"
"In post","2022","Finance","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Office for Standards in Education, Children's Services and Skills","Female","15","15","[c]","[c]"
"In post","2022","Finance","Office for Standards in Education, Children's Services and Skills","Male","20","20","[c]","[c]"
"In post","2022","Finance","Office of Gas and Electricity Markets","Female","20","20","[c]","[c]"
"In post","2022","Finance","Office of Gas and Electricity Markets","Male","10","10","[c]","[c]"
"In post","2022","Finance","Office of Qualifications and Examinations Regulation","Female","10","10","[c]","[c]"
"In post","2022","Finance","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
