"Status","Year","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Female","160","150","48160","49700"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Male","185","180","47360","47740"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Female","310","285","43400","37380"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Male","320","315","42510","36860"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Female","230","220","50700","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Male","175","175","51520","53360"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Female","30","30","27210","26130"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Male","30","25","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","25","20","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","35","35","59020","58370"
"In post","2022","Analysis","Government Actuary's Department","Female","65","55","70470","69690"
"In post","2022","Analysis","Government Actuary's Department","Male","125","120","69530","59780"
"In post","2022","Analysis","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Male","25","25","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Female","25","25","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Male","35","30","42100","38800"
"In post","2022","Analysis","HM Land Registry","Female","15","15","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Male","15","15","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Female","325","310","45460","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Male","415","405","46430","40520"
"In post","2022","Analysis","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Female","30","30","48430","47060"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Female","135","125","38660","36000"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Male","165","165","38840","36300"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Female","240","230","47430","42010"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Male","250","250","46500","42010"
"In post","2022","Analysis","National Savings and Investments","Female","10","10","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Male","15","15","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","Female","15","10","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Female","70","65","40690","34850"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Male","60","55","40060","35010"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Female","60","60","41200","34000"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Male","115","115","45460","38500"
"In post","2022","Analysis","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Male","30","30","54140","55430"
"In post","2022","Analysis","Office of the Public Guardian","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Public Guardian","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Male","35","35","29500","29180"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Female","15","10","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Male","25","25","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","Female","5","5","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","Male","15","15","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Female","10","10","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Male","25","25","[c]","[c]"
"In post","2022","Analysis","UK Space Agency","Female","5","5","[c]","[c]"
"In post","2022","Analysis","UK Space Agency","Male","10","10","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","Female","1110","1040","37600","36840"
"In post","2022","Analysis","UK Statistics Authority","Male","855","845","38840","36840"
"In post","2022","Analysis","UK Statistics Authority","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Valuation Office Agency","Female","35","30","44330","40160"
"In post","2022","Analysis","Valuation Office Agency","Male","30","25","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Animal and Plant Health Agency","Female","45","40","31430","29180"
"In post","2022","Commercial","Animal and Plant Health Agency","Male","25","25","[c]","[c]"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Female","815","795","65250","63680"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Male","845","845","73500","65870"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","Female","190","185","34980","32210"
"In post","2022","Commercial","Crown Commercial Service","Male","165","165","37170","38330"
"In post","2022","Commercial","Crown Prosecution Service","Female","25","25","[c]","[c]"
"In post","2022","Commercial","Crown Prosecution Service","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Defence Electronics and Components Agency","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Defence Electronics and Components Agency","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Defence Equipment and Support","Female","175","165","39440","35560"
"In post","2022","Commercial","Defence Equipment and Support","Male","265","260","45410","41990"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Female","40","35","33510","34540"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Male","40","40","31940","29230"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Female","145","135","37440","36500"
"In post","2022","Commercial","Department for Education (excl. agencies)","Male","105","105","37790","36500"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","80","75","35240","35900"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","50","50","38780","36730"
"In post","2022","Commercial","Department for International Trade","Female","25","25","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Department for Transport (excl. agencies)","Female","60","60","45410","42470"
"In post","2022","Commercial","Department for Transport (excl. agencies)","Male","85","85","49850","43360"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Female","170","165","50210","49870"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Male","120","120","47670","43000"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","Female","85","75","32380","30730"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","Male","85","85","32400","30730"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","Female","40","35","36140","33890"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","FCDO Services","Female","40","40","43470","35570"
"In post","2022","Commercial","FCDO Services","Male","40","35","51710","50610"
"In post","2022","Commercial","Food Standards Agency","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Female","35","30","38980","39630"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Male","25","25","[c]","[c]"
"In post","2022","Commercial","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Health and Safety Executive","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Health and Safety Executive","Male","25","25","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","Female","10","10","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","Female","75","70","36610","40180"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","Male","70","70","39120","33370"
"In post","2022","Commercial","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Institute for Apprenticeships and Technical Education","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Institute for Apprenticeships and Technical Education","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Intellectual Property Office","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Intellectual Property Office","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Maritime and Coastguard Agency","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Maritime and Coastguard Agency","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Met Office","Female","110","100","42820","42640"
"In post","2022","Commercial","Met Office","Male","90","90","46170","47960"
"In post","2022","Commercial","Ministry of Defence (excl. agencies)","Female","555","530","35130","34500"
"In post","2022","Commercial","Ministry of Defence (excl. agencies)","Male","385","380","37690","35390"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Female","130","125","34660","34260"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Male","125","120","35200","34260"
"In post","2022","Commercial","National Crime Agency","Female","15","15","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","Male","5","5","[c]","[c]"
"In post","2022","Commercial","National Savings and Investments","Female","5","5","[c]","[c]"
"In post","2022","Commercial","National Savings and Investments","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Planning Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Queen Elizabeth II Centre","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Registers of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Registers of Scotland","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Scottish Courts and Tribunals Service","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Scottish Courts and Tribunals Service","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Scottish Prison Service","Female","40","35","29530","26900"
"In post","2022","Commercial","Scottish Prison Service","Male","50","50","33080","26900"
"In post","2022","Commercial","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Submarine Delivery Agency","Female","75","70","38030","37400"
"In post","2022","Commercial","Submarine Delivery Agency","Male","90","90","42370","39860"
"In post","2022","Commercial","The Insolvency Service","Female","10","10","[c]","[c]"
"In post","2022","Commercial","The Insolvency Service","Male","10","10","[c]","[c]"
"In post","2022","Commercial","The National Archives","Female","15","15","[c]","[c]"
"In post","2022","Commercial","The National Archives","Male","25","25","[c]","[c]"
"In post","2022","Commercial","UK Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","UK Debt Management Office","Male","5","5","[c]","[c]"
"In post","2022","Commercial","UK Export Finance","Female","80","80","45190","42750"
"In post","2022","Commercial","UK Export Finance","Male","130","130","56790","51680"
"In post","2022","Commercial","UK Health Security Agency","Female","65","65","42580","38580"
"In post","2022","Commercial","UK Health Security Agency","Male","75","70","52230","53860"
"In post","2022","Commercial","UK Hydrographic Office","Female","40","35","41500","38260"
"In post","2022","Commercial","UK Hydrographic Office","Male","45","45","42960","42510"
"In post","2022","Commercial","UK Space Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","UK Space Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","Female","15","15","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Valuation Office Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Valuation Office Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wilton Park","Female","20","15","[c]","[c]"
"In post","2022","Commercial","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Advisory, Conciliation and Arbitration Service","Female","10","10","[c]","[c]"
"In post","2022","Communications","Advisory, Conciliation and Arbitration Service","Male","5","5","[c]","[c]"
"In post","2022","Communications","Attorney General's Office","Female","10","10","[c]","[c]"
"In post","2022","Communications","Attorney General's Office","Male","5","5","[c]","[c]"
"In post","2022","Communications","Cabinet Office (excl. agencies)","Female","225","220","48090","43890"
"In post","2022","Communications","Cabinet Office (excl. agencies)","Male","130","130","48730","40600"
"In post","2022","Communications","Centre for Environment, Fisheries and Aquaculture Science","Female","5","5","[c]","[c]"
"In post","2022","Communications","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Charity Commission","Female","10","10","[c]","[c]"
"In post","2022","Communications","Charity Commission","Male","10","10","[c]","[c]"
"In post","2022","Communications","Companies House","Female","15","15","[c]","[c]"
"In post","2022","Communications","Companies House","Male","10","10","[c]","[c]"
"In post","2022","Communications","Competition and Markets Authority","Female","15","15","[c]","[c]"
"In post","2022","Communications","Competition and Markets Authority","Male","15","15","[c]","[c]"
"In post","2022","Communications","Crown Commercial Service","Female","15","15","[c]","[c]"
"In post","2022","Communications","Crown Commercial Service","Male","5","5","[c]","[c]"
"In post","2022","Communications","Crown Office and Procurator Fiscal Service","Female","10","10","[c]","[c]"
"In post","2022","Communications","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Crown Prosecution Service","Female","20","20","[c]","[c]"
"In post","2022","Communications","Crown Prosecution Service","Male","15","15","[c]","[c]"
"In post","2022","Communications","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Defence Equipment and Support","Female","15","15","[c]","[c]"
"In post","2022","Communications","Defence Equipment and Support","Male","15","15","[c]","[c]"
"In post","2022","Communications","Defence Science and Technology Laboratory","Female","10","10","[c]","[c]"
"In post","2022","Communications","Defence Science and Technology Laboratory","Male","15","15","[c]","[c]"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","65","60","50920","45270"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","45","45","44940","42580"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","Female","20","15","[c]","[c]"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","Male","15","15","[c]","[c]"
"In post","2022","Communications","Department for Education (excl. agencies)","Female","125","120","38960","36660"
"In post","2022","Communications","Department for Education (excl. agencies)","Male","80","80","37650","33500"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","160","150","41060","37200"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","80","80","41040","37190"
"In post","2022","Communications","Department for International Trade","Female","65","65","42150","38320"
"In post","2022","Communications","Department for International Trade","Male","40","40","46100","38510"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","55","55","43780","39600"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","50","50","45840","39600"
"In post","2022","Communications","Department for Transport (excl. agencies)","Female","50","50","48030","42890"
"In post","2022","Communications","Department for Transport (excl. agencies)","Male","40","40","48590","43130"
"In post","2022","Communications","Department for Work and Pensions (excl. agencies)","Female","110","100","41420","39550"
"In post","2022","Communications","Department for Work and Pensions (excl. agencies)","Male","55","55","42860","41880"
"In post","2022","Communications","Department of Health and Social Care (excl. agencies)","Female","215","210","47130","49530"
"In post","2022","Communications","Department of Health and Social Care (excl. agencies)","Male","125","120","46970","51010"
"In post","2022","Communications","Driver and Vehicle Licensing Agency","Female","45","40","28670","26780"
"In post","2022","Communications","Driver and Vehicle Licensing Agency","Male","25","25","[c]","[c]"
"In post","2022","Communications","Driver and Vehicle Standards Agency","Female","25","25","[c]","[c]"
"In post","2022","Communications","Driver and Vehicle Standards Agency","Male","20","20","[c]","[c]"
"In post","2022","Communications","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","Female","40","40","39900","37350"
"In post","2022","Communications","Food Standards Agency","Male","10","10","[c]","[c]"
"In post","2022","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Female","50","45","47790","46550"
"In post","2022","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Male","50","45","52760","49090"
"In post","2022","Communications","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Legal Department","Female","10","10","[c]","[c]"
"In post","2022","Communications","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Health and Safety Executive","Female","15","15","[c]","[c]"
"In post","2022","Communications","Health and Safety Executive","Male","20","20","[c]","[c]"
"In post","2022","Communications","HM Courts and Tribunals Service","Female","5","5","[c]","[c]"
"In post","2022","Communications","HM Courts and Tribunals Service","Male","5","5","[c]","[c]"
"In post","2022","Communications","HM Land Registry","Female","15","15","[c]","[c]"
"In post","2022","Communications","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2022","Communications","HM Prison and Probation Service","Female","15","15","[c]","[c]"
"In post","2022","Communications","HM Prison and Probation Service","Male","10","10","[c]","[c]"
"In post","2022","Communications","HM Revenue and Customs (excl. agencies)","Female","2240","2115","30760","26820"
"In post","2022","Communications","HM Revenue and Customs (excl. agencies)","Male","2380","2350","30070","26820"
"In post","2022","Communications","HM Treasury (excl. agencies)","Female","25","20","[c]","[c]"
"In post","2022","Communications","HM Treasury (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2022","Communications","Institute for Apprenticeships and Technical Education","Female","20","20","[c]","[c]"
"In post","2022","Communications","Institute for Apprenticeships and Technical Education","Male","10","10","[c]","[c]"
"In post","2022","Communications","Intellectual Property Office","Female","20","20","[c]","[c]"
"In post","2022","Communications","Intellectual Property Office","Male","15","15","[c]","[c]"
"In post","2022","Communications","Legal Aid Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal Aid Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Maritime and Coastguard Agency","Female","15","15","[c]","[c]"
"In post","2022","Communications","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Medicines and Healthcare Products Regulatory Agency","Female","30","30","40180","34270"
"In post","2022","Communications","Medicines and Healthcare Products Regulatory Agency","Male","15","15","[c]","[c]"
"In post","2022","Communications","Met Office","Female","20","15","[c]","[c]"
"In post","2022","Communications","Met Office","Male","15","15","[c]","[c]"
"In post","2022","Communications","Ministry of Defence (excl. agencies)","Female","255","245","36270","33300"
"In post","2022","Communications","Ministry of Defence (excl. agencies)","Male","260","260","34260","33000"
"In post","2022","Communications","Ministry of Justice (excl. agencies)","Female","75","70","44530","41750"
"In post","2022","Communications","Ministry of Justice (excl. agencies)","Male","60","60","46320","42930"
"In post","2022","Communications","National Crime Agency","Female","20","20","[c]","[c]"
"In post","2022","Communications","National Crime Agency","Male","10","10","[c]","[c]"
"In post","2022","Communications","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Savings and Investments","Female","15","15","[c]","[c]"
"In post","2022","Communications","National Savings and Investments","Male","10","10","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","Female","15","15","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","Male","5","5","[c]","[c]"
"In post","2022","Communications","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Female","25","25","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Male","10","10","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","Female","25","25","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","Male","20","20","[c]","[c]"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","Female","5","5","[c]","[c]"
