"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Ministry of Justice","EO","Female","40","35","28050","28310"
"In post","2022","Analysis","Ministry of Justice","EO","Male","40","35","27790","28310"
"In post","2022","Analysis","Ministry of Justice","G6/G7","Female","105","100","60960","60280"
"In post","2022","Analysis","Ministry of Justice","G6/G7","Male","100","100","61260","60280"
"In post","2022","Analysis","Ministry of Justice","SCS level","Female","10","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","SEO/HEO","Female","120","115","38600","40060"
"In post","2022","Analysis","Ministry of Justice","SEO/HEO","Male","145","145","39060","38920"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","EO","Female","10","5","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","EO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","G6/G7","Female","15","10","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","Female","50","45","35630","32010"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","Male","40","40","36180","35010"
"In post","2022","Analysis","Office of Gas and Electricity Markets","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","EO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","EO","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","G6/G7","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","G6/G7","Male","45","45","58580","59480"
"In post","2022","Analysis","Office of Gas and Electricity Markets","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","SEO/HEO","Male","45","45","36260","35650"
"In post","2022","Analysis","Office of Rail and Road","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Scottish Government","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","AA/AO","Female","35","30","20090","19860"
"In post","2022","Analysis","UK Statistics Authority","AA/AO","Male","35","35","20170","19860"
"In post","2022","Analysis","UK Statistics Authority","EO","Female","110","95","24850","24250"
"In post","2022","Analysis","UK Statistics Authority","EO","Male","80","80","24520","23880"
"In post","2022","Analysis","UK Statistics Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","G6/G7","Female","230","215","52910","51210"
"In post","2022","Analysis","UK Statistics Authority","G6/G7","Male","190","190","54890","52650"
"In post","2022","Analysis","UK Statistics Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","SCS level","Female","15","15","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","SCS level","Male","20","20","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","SEO/HEO","Female","720","680","34680","33710"
"In post","2022","Analysis","UK Statistics Authority","SEO/HEO","Male","530","520","34460","33710"
"In post","2022","Analysis","UK Statistics Authority","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","EO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Welsh Government","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Government","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Government","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Government","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","G6/G7","Female","10","5","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Cabinet Office","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cabinet Office","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cabinet Office","EO","Female","50","50","26330","25950"
"In post","2022","Commercial","Cabinet Office","EO","Male","25","25","[c]","[c]"
"In post","2022","Commercial","Cabinet Office","G6/G7","Female","635","620","63400","63750"
"In post","2022","Commercial","Cabinet Office","G6/G7","Male","635","635","65810","64500"
"In post","2022","Commercial","Cabinet Office","SCS level","Female","90","90","110080","103000"
"In post","2022","Commercial","Cabinet Office","SCS level","Male","150","150","123740","120000"
"In post","2022","Commercial","Cabinet Office","SEO/HEO","Female","230","220","36130","37300"
"In post","2022","Commercial","Cabinet Office","SEO/HEO","Male","200","200","36710","38330"
"In post","2022","Commercial","Chancellor's other departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","EO","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","EO","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","Female","65","60","52310","48540"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","Male","70","70","53460","49000"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","SCS level","Female","[c]","[c]","[c]","[c]"
