"Status","Year","Ethnicity","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","London","AA/AO","Heterosexual / straight","1760","1655","26140","25110"
"In post","2022","Black","London","AA/AO","LGBO","35","35","25940","25110"
"In post","2022","Black","London","AA/AO","Undeclared","130","115","25690","25110"
"In post","2022","Black","London","AA/AO","Unknown","280","250","26860","25170"
"In post","2022","Black","London","EO","Heterosexual / straight","2900","2800","30250","31020"
"In post","2022","Black","London","EO","LGBO","75","75","30090","31020"
"In post","2022","Black","London","EO","Undeclared","185","175","30270","30690"
"In post","2022","Black","London","EO","Unknown","380","345","31040","31060"
"In post","2022","Black","London","G6/G7","Heterosexual / straight","945","940","58700","57430"
"In post","2022","Black","London","G6/G7","LGBO","40","40","58650","57430"
"In post","2022","Black","London","G6/G7","Undeclared","40","40","59570","58370"
"In post","2022","Black","London","G6/G7","Unknown","65","65","61250","60550"
"In post","2022","Black","London","SCS level","Heterosexual / straight","55","55","87250","79510"
"In post","2022","Black","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Black","London","SEO/HEO","Heterosexual / straight","2560","2525","38560","37930"
"In post","2022","Black","London","SEO/HEO","LGBO","50","50","39010","40060"
"In post","2022","Black","London","SEO/HEO","Undeclared","145","140","38610","37930"
"In post","2022","Black","London","SEO/HEO","Unknown","180","175","38830","37930"
"In post","2022","Black","London","Unknown","Heterosexual / straight","615","600","33320","32090"
"In post","2022","Black","London","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Black","London","Unknown","Undeclared","30","30","34580","33700"
"In post","2022","Black","London","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Black","Outside London","AA/AO","Heterosexual / straight","1620","1505","22650","21260"
"In post","2022","Black","Outside London","AA/AO","LGBO","35","35","23070","21260"
"In post","2022","Black","Outside London","AA/AO","Undeclared","100","85","22590","21260"
"In post","2022","Black","Outside London","AA/AO","Unknown","170","150","22980","21260"
"In post","2022","Black","Outside London","EO","Heterosexual / straight","1775","1700","27400","27570"
"In post","2022","Black","Outside London","EO","LGBO","55","55","27940","27570"
"In post","2022","Black","Outside London","EO","Undeclared","90","85","27870","27570"
"In post","2022","Black","Outside London","EO","Unknown","165","150","27800","27570"
"In post","2022","Black","Outside London","G6/G7","Heterosexual / straight","305","300","55670","53390"
"In post","2022","Black","Outside London","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Outside London","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2022","Black","Outside London","G6/G7","Unknown","30","30","53500","52930"
"In post","2022","Black","Outside London","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Black","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Outside London","SEO/HEO","Heterosexual / straight","1350","1320","35970","34000"
"In post","2022","Black","Outside London","SEO/HEO","LGBO","30","30","35200","34500"
"In post","2022","Black","Outside London","SEO/HEO","Undeclared","55","55","37050","36330"
"In post","2022","Black","Outside London","SEO/HEO","Unknown","90","90","36430","33940"
"In post","2022","Black","Outside London","Unknown","Heterosexual / straight","500","470","28990","27980"
"In post","2022","Black","Outside London","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Outside London","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2022","Black","Outside London","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Black","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Black","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Black","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Black","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Black","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Black","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Black","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Black","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","London","AA/AO","Heterosexual / straight","315","295","26180","25110"
"In post","2022","Mixed","London","AA/AO","LGBO","35","35","26810","25110"
"In post","2022","Mixed","London","AA/AO","Undeclared","30","25","[c]","[c]"
"In post","2022","Mixed","London","AA/AO","Unknown","35","30","26080","25190"
"In post","2022","Mixed","London","EO","Heterosexual / straight","605","580","29910","30330"
"In post","2022","Mixed","London","EO","LGBO","50","50","29800","30750"
"In post","2022","Mixed","London","EO","Undeclared","70","65","30050","30730"
"In post","2022","Mixed","London","EO","Unknown","40","35","30610","30750"
"In post","2022","Mixed","London","G6/G7","Heterosexual / straight","725","700","59070","57440"
"In post","2022","Mixed","London","G6/G7","LGBO","95","95","58270","57430"
"In post","2022","Mixed","London","G6/G7","Undeclared","50","50","58000","55190"
"In post","2022","Mixed","London","G6/G7","Unknown","55","50","63070","63000"
"In post","2022","Mixed","London","SCS level","Heterosexual / straight","80","80","83930","78470"
"In post","2022","Mixed","London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","London","SEO/HEO","Heterosexual / straight","990","970","38390","37860"
"In post","2022","Mixed","London","SEO/HEO","LGBO","130","130","38110","37610"
"In post","2022","Mixed","London","SEO/HEO","Undeclared","95","95","37640","37610"
"In post","2022","Mixed","London","SEO/HEO","Unknown","50","50","38840","37930"
"In post","2022","Mixed","London","Unknown","Heterosexual / straight","110","105","33800","33290"
"In post","2022","Mixed","London","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","London","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Outside London","AA/AO","Heterosexual / straight","1230","1135","22870","21260"
"In post","2022","Mixed","Outside London","AA/AO","LGBO","140","130","23000","21260"
"In post","2022","Mixed","Outside London","AA/AO","Undeclared","120","110","23110","21380"
"In post","2022","Mixed","Outside London","AA/AO","Unknown","115","95","22270","21260"
"In post","2022","Mixed","Outside London","EO","Heterosexual / straight","1175","1115","27440","27570"
"In post","2022","Mixed","Outside London","EO","LGBO","135","135","27460","27570"
"In post","2022","Mixed","Outside London","EO","Undeclared","120","110","27200","27570"
"In post","2022","Mixed","Outside London","EO","Unknown","100","85","27720","27570"
"In post","2022","Mixed","Outside London","G6/G7","Heterosexual / straight","385","365","57250","55210"
"In post","2022","Mixed","Outside London","G6/G7","LGBO","40","35","57570","55210"
"In post","2022","Mixed","Outside London","G6/G7","Undeclared","35","35","57750","53840"
"In post","2022","Mixed","Outside London","G6/G7","Unknown","45","40","56940","55000"
"In post","2022","Mixed","Outside London","SCS level","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Mixed","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Outside London","SEO/HEO","Heterosexual / straight","1020","985","36190","34600"
"In post","2022","Mixed","Outside London","SEO/HEO","LGBO","125","120","35490","34550"
"In post","2022","Mixed","Outside London","SEO/HEO","Undeclared","80","75","37020","35980"
"In post","2022","Mixed","Outside London","SEO/HEO","Unknown","120","115","34960","33370"
"In post","2022","Mixed","Outside London","Unknown","Heterosexual / straight","355","335","30050","28200"
"In post","2022","Mixed","Outside London","Unknown","LGBO","35","30","27220","23630"
"In post","2022","Mixed","Outside London","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Mixed","Outside London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","G6/G7","Heterosexual / straight","35","35","60170","56330"
"In post","2022","Mixed","Overseas","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Mixed","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Mixed","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","SEO/HEO","Heterosexual / straight","40","40","36770","34040"
"In post","2022","Mixed","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Mixed","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Mixed","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Mixed","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","London","AA/AO","Heterosexual / straight","140","135","26450","25140"
"In post","2022","Other ethnicity","London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Other ethnicity","London","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2022","Other ethnicity","London","AA/AO","Unknown","20","15","[c]","[c]"
"In post","2022","Other ethnicity","London","EO","Heterosexual / straight","250","240","29980","30550"
"In post","2022","Other ethnicity","London","EO","LGBO","25","25","[c]","[c]"
"In post","2022","Other ethnicity","London","EO","Undeclared","35","35","30080","30330"
"In post","2022","Other ethnicity","London","EO","Unknown","35","35","29940","30750"
"In post","2022","Other ethnicity","London","G6/G7","Heterosexual / straight","205","200","60680","58060"
"In post","2022","Other ethnicity","London","G6/G7","LGBO","35","35","57960","54870"
"In post","2022","Other ethnicity","London","G6/G7","Undeclared","35","35","63540","62120"
"In post","2022","Other ethnicity","London","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2022","Other ethnicity","London","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Other ethnicity","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Other ethnicity","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","London","SEO/HEO","Heterosexual / straight","305","300","38530","37930"
"In post","2022","Other ethnicity","London","SEO/HEO","LGBO","30","30","[c]","[c]"
"In post","2022","Other ethnicity","London","SEO/HEO","Undeclared","35","35","40560","40500"
"In post","2022","Other ethnicity","London","SEO/HEO","Unknown","25","20","[c]","[c]"
"In post","2022","Other ethnicity","London","Unknown","Heterosexual / straight","45","45","33970","34100"
"In post","2022","Other ethnicity","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Outside London","AA/AO","Heterosexual / straight","265","245","22500","21260"
"In post","2022","Other ethnicity","Outside London","AA/AO","LGBO","30","30","23830","21850"
"In post","2022","Other ethnicity","Outside London","AA/AO","Undeclared","30","25","23920","21260"
"In post","2022","Other ethnicity","Outside London","AA/AO","Unknown","50","45","24280","22130"
"In post","2022","Other ethnicity","Outside London","EO","Heterosexual / straight","275","260","27320","27570"
"In post","2022","Other ethnicity","Outside London","EO","LGBO","25","25","[c]","[c]"
"In post","2022","Other ethnicity","Outside London","EO","Undeclared","35","35","27800","27570"
"In post","2022","Other ethnicity","Outside London","EO","Unknown","35","30","27810","27570"
"In post","2022","Other ethnicity","Outside London","G6/G7","Heterosexual / straight","70","70","56670","55210"
"In post","2022","Other ethnicity","Outside London","G6/G7","LGBO","20","15","[c]","[c]"
"In post","2022","Other ethnicity","Outside London","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Outside London","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Outside London","SCS level","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Other ethnicity","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Outside London","SEO/HEO","Heterosexual / straight","260","250","36990","36330"
"In post","2022","Other ethnicity","Outside London","SEO/HEO","LGBO","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Outside London","SEO/HEO","Undeclared","40","40","38390","35980"
"In post","2022","Other ethnicity","Outside London","SEO/HEO","Unknown","30","30","38310","37460"
"In post","2022","Other ethnicity","Outside London","Unknown","Heterosexual / straight","45","40","27930","26310"
