"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","South East (England)","HEO","130","125","33400","33430"
"In post","2022","Commercial","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","SEO","170","165","41870","42000"
"In post","2022","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","AO","35","35","21220","21170"
"In post","2022","Commercial","South West (England)","EO","245","230","24880","26000"
"In post","2022","Commercial","South West (England)","G6","115","110","66970","67150"
"In post","2022","Commercial","South West (England)","G7","265","255","51580","51280"
"In post","2022","Commercial","South West (England)","HEO","495","475","31850","33000"
"In post","2022","Commercial","South West (England)","SCS level","20","20","102930","101880"
"In post","2022","Commercial","South West (England)","SEO","545","520","40270","40580"
"In post","2022","Commercial","South West (England)","Unknown","140","135","40490","37450"
"In post","2022","Commercial","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","AA","10","10","18310","18310"
"In post","2022","Commercial","Wales","AO","30","25","21650","21840"
"In post","2022","Commercial","Wales","EO","70","70","26830","26460"
"In post","2022","Commercial","Wales","G6","10","10","67430","64720"
"In post","2022","Commercial","Wales","G7","40","40","52980","52010"
"In post","2022","Commercial","Wales","HEO","120","115","31810","31250"
"In post","2022","Commercial","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","SEO","80","80","40470","39600"
"In post","2022","Commercial","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","AO","5","5","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","EO","55","55","26400","26350"
"In post","2022","Commercial","West Midlands (England)","G6","10","10","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","G7","35","35","53570","50630"
"In post","2022","Commercial","West Midlands (England)","HEO","65","65","32110","31990"
"In post","2022","Commercial","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","SEO","100","95","41230","40360"
"In post","2022","Commercial","West Midlands (England)","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","AO","50","45","21160","21260"
"In post","2022","Commercial","Yorkshire and The Humber","EO","90","85","26170","25940"
"In post","2022","Commercial","Yorkshire and The Humber","G6","50","45","64100","62400"
"In post","2022","Commercial","Yorkshire and The Humber","G7","90","90","51770","50130"
"In post","2022","Commercial","Yorkshire and The Humber","HEO","135","125","31270","30940"
"In post","2022","Commercial","Yorkshire and The Humber","SCS level","15","15","80030","75680"
"In post","2022","Commercial","Yorkshire and The Humber","SEO","200","195","38640","36820"
"In post","2022","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","AO","5","5","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","EO","10","10","26470","26700"
"In post","2022","Communications","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","G7","20","20","53470","54830"
"In post","2022","Communications","East Midlands (England)","HEO","30","25","32170","32180"
"In post","2022","Communications","East Midlands (England)","SEO","30","30","40510","40520"
"In post","2022","Communications","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East of England","AO","10","10","21340","21170"
"In post","2022","Communications","East of England","EO","15","15","27470","26950"
"In post","2022","Communications","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East of England","G7","10","10","53750","54160"
"In post","2022","Communications","East of England","HEO","30","30","32860","33200"
"In post","2022","Communications","East of England","SEO","10","10","40530","41210"
"In post","2022","Communications","London","AA","5","5","[c]","[c]"
"In post","2022","Communications","London","AO","60","55","24200","24250"
"In post","2022","Communications","London","EO","260","255","28630","28310"
"In post","2022","Communications","London","G6","220","215","68450","66270"
"In post","2022","Communications","London","G7","510","495","56110","55000"
"In post","2022","Communications","London","HEO","535","525","35830","35120"
"In post","2022","Communications","London","SCS level","95","90","90690","86070"
"In post","2022","Communications","London","SEO","520","510","43420","42890"
"In post","2022","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North East (England)","AO","5","5","[c]","[c]"
"In post","2022","Communications","North East (England)","EO","20","15","26580","26000"
"In post","2022","Communications","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North East (England)","G7","10","10","[c]","[c]"
"In post","2022","Communications","North East (England)","HEO","35","30","31620","32300"
"In post","2022","Communications","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North East (England)","SEO","30","30","40030","40300"
"In post","2022","Communications","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North West (England)","AO","15","15","21340","21250"
"In post","2022","Communications","North West (England)","EO","35","30","26060","26000"
"In post","2022","Communications","North West (England)","G6","15","15","63460","65390"
"In post","2022","Communications","North West (England)","G7","30","30","50560","50630"
"In post","2022","Communications","North West (England)","HEO","65","65","32070","31060"
"In post","2022","Communications","North West (England)","SEO","75","70","38530","38980"
"In post","2022","Communications","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","HEO","5","5","[c]","[c]"
"In post","2022","Communications","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","SEO","15","15","39000","37910"
"In post","2022","Communications","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scotland","AO","5","5","[c]","[c]"
"In post","2022","Communications","Scotland","EO","15","15","27550","27230"
"In post","2022","Communications","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scotland","G7","5","5","[c]","[c]"
"In post","2022","Communications","Scotland","HEO","30","30","34850","34540"
"In post","2022","Communications","Scotland","SEO","20","20","41400","40520"
"In post","2022","Communications","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South East (England)","AO","30","30","21620","21750"
"In post","2022","Communications","South East (England)","EO","70","70","27270","26670"
"In post","2022","Communications","South East (England)","G6","5","5","[c]","[c]"
"In post","2022","Communications","South East (England)","G7","20","20","54040","53500"
"In post","2022","Communications","South East (England)","HEO","90","85","33400","33300"
"In post","2022","Communications","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South East (England)","SEO","60","60","41050","40580"
"In post","2022","Communications","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South West (England)","AO","20","20","21350","21240"
"In post","2022","Communications","South West (England)","EO","50","45","27390","26840"
"In post","2022","Communications","South West (England)","G6","15","15","63800","64220"
"In post","2022","Communications","South West (England)","G7","30","30","51510","50760"
"In post","2022","Communications","South West (England)","HEO","85","80","32340","32730"
"In post","2022","Communications","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South West (England)","SEO","90","85","38780","38300"
"In post","2022","Communications","South West (England)","Unknown","5","5","[c]","[c]"
"In post","2022","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Wales","AO","30","30","22860","21840"
"In post","2022","Communications","Wales","EO","85","75","27310","26780"
"In post","2022","Communications","Wales","G6","15","15","67680","66260"
"In post","2022","Communications","Wales","G7","45","45","55240","54280"
"In post","2022","Communications","Wales","HEO","120","115","33940","33080"
"In post","2022","Communications","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Wales","SEO","85","80","42500","41980"
"In post","2022","Communications","West Midlands (England)","AO","5","5","[c]","[c]"
"In post","2022","Communications","West Midlands (England)","EO","25","25","26840","26670"
"In post","2022","Communications","West Midlands (England)","G6","10","10","63540","63000"
"In post","2022","Communications","West Midlands (England)","G7","30","30","51280","50130"
"In post","2022","Communications","West Midlands (England)","HEO","45","45","32530","32090"
"In post","2022","Communications","West Midlands (England)","SCS level","5","5","[c]","[c]"
"In post","2022","Communications","West Midlands (England)","SEO","45","40","39260","38580"
"In post","2022","Communications","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Yorkshire and The Humber","EO","15","15","25950","26000"
"In post","2022","Communications","Yorkshire and The Humber","G6","25","25","62900","62400"
"In post","2022","Communications","Yorkshire and The Humber","G7","40","35","51620","49860"
"In post","2022","Communications","Yorkshire and The Humber","HEO","30","30","31750","31190"
"In post","2022","Communications","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Yorkshire and The Humber","SEO","60","55","40230","40580"
"In post","2022","Communications","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","EO","10","5","[c]","[c]"
"In post","2022","Corporate Finance","London","G6","15","15","67310","66230"
"In post","2022","Corporate Finance","London","G7","5","5","[c]","[c]"
"In post","2022","Corporate Finance","London","HEO","10","10","[c]","[c]"
"In post","2022","Corporate Finance","London","SCS level","10","10","[c]","[c]"
"In post","2022","Corporate Finance","London","SEO","10","10","[c]","[c]"
"In post","2022","Corporate Finance","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","South East (England)","G7","10","10","49150","47410"
"In post","2022","Corporate Finance","South East (England)","HEO","5","5","[c]","[c]"
"In post","2022","Corporate Finance","South East (England)","SEO","5","5","[c]","[c]"
"In post","2022","Corporate Finance","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","South West (England)","G7","10","10","52940","52110"
"In post","2022","Corporate Finance","South West (England)","HEO","10","10","[c]","[c]"
"In post","2022","Corporate Finance","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","South West (England)","SEO","10","10","[c]","[c]"
"In post","2022","Corporate Finance","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","West Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2022","Corporate Finance","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","East Midlands (England)","AO","55","45","21370","21260"
"In post","2022","Counter Fraud","East Midlands (England)","EO","195","170","27610","27570"
"In post","2022","Counter Fraud","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","East Midlands (England)","HEO","50","50","33120","33050"
"In post","2022","Counter Fraud","East Midlands (England)","SEO","15","15","36880","35680"
"In post","2022","Counter Fraud","East of England","AA","10","5","[c]","[c]"
"In post","2022","Counter Fraud","East of England","AO","45","40","23070","23450"
"In post","2022","Counter Fraud","East of England","EO","210","190","29240","29290"
"In post","2022","Counter Fraud","East of England","G7","5","5","[c]","[c]"
"In post","2022","Counter Fraud","East of England","HEO","50","45","35320","35120"
"In post","2022","Counter Fraud","East of England","SEO","15","15","41970","41950"
"In post","2022","Counter Fraud","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","AO","370","325","24620","25110"
"In post","2022","Counter Fraud","London","EO","460","425","31050","31060"
"In post","2022","Counter Fraud","London","G6","40","40","70840","69620"
"In post","2022","Counter Fraud","London","G7","65","65","58500","58700"
"In post","2022","Counter Fraud","London","HEO","195","190","36470","36650"
"In post","2022","Counter Fraud","London","SCS level","10","10","90640","80000"
"In post","2022","Counter Fraud","London","SEO","110","105","42380","41510"
"In post","2022","Counter Fraud","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North East (England)","AO","100","80","20940","21260"
"In post","2022","Counter Fraud","North East (England)","EO","360","325","27200","27570"
"In post","2022","Counter Fraud","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North East (England)","G7","5","5","[c]","[c]"
"In post","2022","Counter Fraud","North East (England)","HEO","70","65","32570","31990"
"In post","2022","Counter Fraud","North East (England)","SEO","10","10","[c]","[c]"
"In post","2022","Counter Fraud","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North West (England)","AO","70","60","21140","21260"
"In post","2022","Counter Fraud","North West (England)","EO","440","395","27450","27570"
"In post","2022","Counter Fraud","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North West (England)","G7","15","15","50880","49170"
"In post","2022","Counter Fraud","North West (England)","HEO","140","130","33190","31990"
"In post","2022","Counter Fraud","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","North West (England)","SEO","45","40","40080","39200"
"In post","2022","Counter Fraud","Northern Ireland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Northern Ireland","EO","10","5","[c]","[c]"
"In post","2022","Counter Fraud","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Scotland","AO","255","225","21150","21260"
"In post","2022","Counter Fraud","Scotland","EO","395","355","27200","27570"
"In post","2022","Counter Fraud","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Scotland","HEO","70","70","32460","31990"
"In post","2022","Counter Fraud","Scotland","SEO","15","15","38840","38020"
"In post","2022","Counter Fraud","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","South East (England)","AO","205","180","23990","24250"
"In post","2022","Counter Fraud","South East (England)","EO","355","325","29130","29290"
"In post","2022","Counter Fraud","South East (England)","HEO","70","65","35250","35120"
"In post","2022","Counter Fraud","South East (England)","SEO","15","15","39630","39310"
"In post","2022","Counter Fraud","South West (England)","AO","45","35","21120","21260"
"In post","2022","Counter Fraud","South West (England)","EO","250","215","27570","27570"
"In post","2022","Counter Fraud","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","South West (England)","HEO","55","55","33390","31990"
"In post","2022","Counter Fraud","South West (England)","SEO","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Wales","AO","190","170","21480","21260"
"In post","2022","Counter Fraud","Wales","EO","290","260","27220","27570"
"In post","2022","Counter Fraud","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Wales","G7","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Wales","HEO","75","70","32690","31990"
"In post","2022","Counter Fraud","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Wales","SEO","15","15","38900","38770"
"In post","2022","Counter Fraud","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","West Midlands (England)","AO","65","55","21220","21260"
"In post","2022","Counter Fraud","West Midlands (England)","EO","345","300","27730","27570"
"In post","2022","Counter Fraud","West Midlands (England)","G7","5","5","[c]","[c]"
"In post","2022","Counter Fraud","West Midlands (England)","HEO","105","100","32740","31990"
"In post","2022","Counter Fraud","West Midlands (England)","SEO","25","25","39480","37910"
"In post","2022","Counter Fraud","Yorkshire and The Humber","AO","55","40","21200","21260"
"In post","2022","Counter Fraud","Yorkshire and The Humber","EO","315","275","27490","27570"
"In post","2022","Counter Fraud","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Yorkshire and The Humber","G7","10","10","51490","52150"
"In post","2022","Counter Fraud","Yorkshire and The Humber","HEO","95","90","32890","31990"
"In post","2022","Counter Fraud","Yorkshire and The Humber","SEO","40","40","38410","37810"
"In post","2022","Digital, Data and Technology","East Midlands (England)","AO","30","30","21540","21270"
"In post","2022","Digital, Data and Technology","East Midlands (England)","EO","95","90","27110","26900"
"In post","2022","Digital, Data and Technology","East Midlands (England)","G6","10","10","67500","67000"
"In post","2022","Digital, Data and Technology","East Midlands (England)","G7","50","50","55690","54710"
"In post","2022","Digital, Data and Technology","East Midlands (England)","HEO","110","110","33550","33000"
"In post","2022","Digital, Data and Technology","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","East Midlands (England)","SEO","95","90","41660","40480"
"In post","2022","Digital, Data and Technology","East of England","AA","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","East of England","AO","25","20","22270","21510"
"In post","2022","Digital, Data and Technology","East of England","EO","175","170","28140","27370"
"In post","2022","Digital, Data and Technology","East of England","G6","15","15","66550","67910"
"In post","2022","Digital, Data and Technology","East of England","G7","70","70","53840","54890"
"In post","2022","Digital, Data and Technology","East of England","HEO","235","225","34100","33430"
"In post","2022","Digital, Data and Technology","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","East of England","SEO","135","130","40660","40520"
"In post","2022","Digital, Data and Technology","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","AO","70","70","24800","24470"
"In post","2022","Digital, Data and Technology","London","EO","430","425","29740","29500"
"In post","2022","Digital, Data and Technology","London","G6","380","375","72020","71700"
"In post","2022","Digital, Data and Technology","London","G7","1195","1180","59300","58130"
"In post","2022","Digital, Data and Technology","London","HEO","780","770","35780","35150"
"In post","2022","Digital, Data and Technology","London","SCS level","135","135","96020","92000"
"In post","2022","Digital, Data and Technology","London","SEO","1055","1040","43850","42980"
"In post","2022","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","North East (England)","AO","55","50","21270","21260"
"In post","2022","Digital, Data and Technology","North East (England)","EO","305","280","27400","27570"
"In post","2022","Digital, Data and Technology","North East (England)","G6","170","165","68290","67910"
"In post","2022","Digital, Data and Technology","North East (England)","G7","510","500","53480","53030"
"In post","2022","Digital, Data and Technology","North East (England)","HEO","500","480","32500","31990"
"In post","2022","Digital, Data and Technology","North East (England)","SCS level","30","25","87470","79030"
"In post","2022","Digital, Data and Technology","North East (England)","SEO","615","595","39630","40180"
"In post","2022","Digital, Data and Technology","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","North West (England)","AO","45","45","21410","21260"
"In post","2022","Digital, Data and Technology","North West (England)","EO","490","465","27070","27570"
"In post","2022","Digital, Data and Technology","North West (England)","G6","230","230","68720","66620"
"In post","2022","Digital, Data and Technology","North West (England)","G7","655","640","54110","53030"
"In post","2022","Digital, Data and Technology","North West (England)","HEO","715","700","32560","32010"
"In post","2022","Digital, Data and Technology","North West (England)","SCS level","30","30","94870","90330"
"In post","2022","Digital, Data and Technology","North West (England)","SEO","775","760","39510","38980"
"In post","2022","Digital, Data and Technology","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Northern Ireland","EO","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Northern Ireland","G7","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Northern Ireland","HEO","35","35","33370","33080"
"In post","2022","Digital, Data and Technology","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Northern Ireland","SEO","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","EO","15","15","28150","26670"
"In post","2022","Digital, Data and Technology","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","HEO","20","20","34730","33300"
"In post","2022","Digital, Data and Technology","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Scotland","AO","30","30","23560","22330"
"In post","2022","Digital, Data and Technology","Scotland","EO","210","205","28570","27570"
"In post","2022","Digital, Data and Technology","Scotland","G6","30","30","67260","67050"
"In post","2022","Digital, Data and Technology","Scotland","G7","130","130","53730","53830"
"In post","2022","Digital, Data and Technology","Scotland","HEO","205","200","33970","33370"
"In post","2022","Digital, Data and Technology","Scotland","SCS level","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Scotland","SEO","190","190","42000","40520"
"In post","2022","Digital, Data and Technology","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","South East (England)","AO","50","45","22070","21600"
"In post","2022","Digital, Data and Technology","South East (England)","EO","250","240","27600","26780"
"In post","2022","Digital, Data and Technology","South East (England)","G6","50","50","69890","67910"
"In post","2022","Digital, Data and Technology","South East (England)","G7","205","200","53470","52950"
"In post","2022","Digital, Data and Technology","South East (England)","HEO","290","280","33770","33300"
"In post","2022","Digital, Data and Technology","South East (England)","SCS level","10","10","[c]","[c]"
"In post","2022","Digital, Data and Technology","South East (England)","SEO","220","220","41050","40180"
"In post","2022","Digital, Data and Technology","South East (England)","Unknown","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","South West (England)","AA","70","70","19260","19000"
"In post","2022","Digital, Data and Technology","South West (England)","AO","100","90","21890","21380"
"In post","2022","Digital, Data and Technology","South West (England)","EO","560","540","27370","26930"
"In post","2022","Digital, Data and Technology","South West (England)","G6","105","100","66360","64220"
"In post","2022","Digital, Data and Technology","South West (England)","G7","410","400","52870","52960"
"In post","2022","Digital, Data and Technology","South West (England)","HEO","770","745","34220","33300"
"In post","2022","Digital, Data and Technology","South West (England)","SCS level","20","20","95490","87800"
"In post","2022","Digital, Data and Technology","South West (England)","SEO","730","710","42160","41090"
