"Status","Year","Organisation","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Hampshire and Isle of Wight","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Hampshire and Isle of Wight","Male","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","25","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","East Wales","Female","50","45","29460","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","East Wales","Male","30","30","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","West Wales and The Valleys","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","West Midlands","Female","50","45","30810","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","West Midlands","Male","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","West Yorkshire","Female","35","35","31380","31040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","West Yorkshire","Male","35","30","31550","30950"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Derbyshire and Nottinghamshire","Female","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Derbyshire and Nottinghamshire","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire","Female","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","Bedfordshire and Hertfordshire","Female","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","East Anglia","Female","45","45","29900","26520"
"In post","2022","Animal and Plant Health Agency","East of England","East Anglia","Male","45","40","32960","32160"
"In post","2022","Animal and Plant Health Agency","East of England","Essex","Female","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","Essex","Male","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Inner London - West","Female","15","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Inner London - West","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Outer London - East and North East","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Outer London - West and North West","Female","40","35","33030","31570"
"In post","2022","Animal and Plant Health Agency","London","Outer London - West and North West","Male","45","45","34020","31970"
"In post","2022","Animal and Plant Health Agency","North East (England)","Northumberland, and Tyne and Wear","Female","30","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North East (England)","Northumberland, and Tyne and Wear","Male","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North West (England)","Cheshire","Female","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North West (England)","Cheshire","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North West (England)","Cumbria","Female","105","95","25400","21300"
"In post","2022","Animal and Plant Health Agency","North West (England)","Cumbria","Male","55","55","25180","21300"
"In post","2022","Animal and Plant Health Agency","North West (England)","Greater Manchester","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North West (England)","Greater Manchester","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North West (England)","Lancashire","Female","70","65","27770","24920"
"In post","2022","Animal and Plant Health Agency","North West (England)","Lancashire","Male","30","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","Eastern Scotland","Female","30","30","34100","27850"
"In post","2022","Animal and Plant Health Agency","Scotland","Eastern Scotland","Male","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","Highlands and Islands","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","Highlands and Islands","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","North Eastern Scotland","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","Southern Scotland","Female","40","35","28810","24920"
"In post","2022","Animal and Plant Health Agency","Scotland","Southern Scotland","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","15","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South East (England)","Hampshire and Isle of Wight","Female","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South East (England)","Hampshire and Isle of Wight","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South East (England)","Kent","Female","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South East (England)","Kent","Male","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South East (England)","Surrey, East and West Sussex","Female","400","380","32370","28430"
"In post","2022","Animal and Plant Health Agency","South East (England)","Surrey, East and West Sussex","Male","270","260","34820","32560"
"In post","2022","Animal and Plant Health Agency","South West (England)","Cornwall and Isles of Scilly","Female","30","30","31000","29180"
"In post","2022","Animal and Plant Health Agency","South West (England)","Cornwall and Isles of Scilly","Male","30","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South West (England)","Devon","Female","130","120","26840","21300"
"In post","2022","Animal and Plant Health Agency","South West (England)","Devon","Male","80","75","29810","25090"
"In post","2022","Animal and Plant Health Agency","South West (England)","Dorset and Somerset","Female","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South West (England)","Dorset and Somerset","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","75","70","28410","25100"
"In post","2022","Animal and Plant Health Agency","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","60","60","27680","24920"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Wales","East Wales","Female","75","70","27430","24920"
"In post","2022","Animal and Plant Health Agency","Wales","East Wales","Male","40","40","32100","30430"
"In post","2022","Animal and Plant Health Agency","Wales","West Wales and The Valleys","Female","145","130","27130","24920"
"In post","2022","Animal and Plant Health Agency","Wales","West Wales and The Valleys","Male","70","65","29540","26300"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Female","100","90","28550","26520"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Male","70","65","32360","29660"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Shropshire and Staffordshire","Female","70","65","27390","24920"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Shropshire and Staffordshire","Male","45","45","31570","29180"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Female","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","North Yorkshire","Female","100","90","27020","24920"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","North Yorkshire","Male","105","100","30740","25730"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","Inner London - West","Female","30","25","[c]","[c]"
"In post","2022","Attorney General's Office","London","Inner London - West","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","Derbyshire and Nottinghamshire","Female","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","Derbyshire and Nottinghamshire","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","East Anglia","Female","45","45","51900","51190"
"In post","2022","Cabinet Office (excl. agencies)","East of England","East Anglia","Male","45","45","51330","49700"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","Inner London - East","Female","520","505","50100","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","Inner London - East","Male","505","500","54930","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","Inner London - West","Female","2875","2825","46890","40600"
"In post","2022","Cabinet Office (excl. agencies)","London","Inner London - West","Male","2495","2485","52750","50490"
"In post","2022","Cabinet Office (excl. agencies)","London","Outer London - South","Female","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","Outer London - South","Male","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Northumberland, and Tyne and Wear","Female","290","265","28030","24100"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Northumberland, and Tyne and Wear","Male","175","170","32040","27290"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Tees Valley and Durham","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Tees Valley and Durham","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Greater Manchester","Female","230","225","44060","37580"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Greater Manchester","Male","155","155","46460","40390"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Lancashire","Female","25","25","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Lancashire","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Merseyside","Female","50","50","50370","49700"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Merseyside","Male","45","45","53200","49700"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","Northern Ireland","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Eastern Scotland","Female","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Eastern Scotland","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Southern Scotland","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","West Central Scotland","Female","140","135","41470","34280"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","West Central Scotland","Male","115","115","43840","32280"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","75","70","34950","32000"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","65","60","39810","33300"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Hampshire and Isle of Wight","Female","45","45","47770","40590"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Hampshire and Isle of Wight","Male","45","45","61480","64350"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Surrey, East and West Sussex","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Devon","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Dorset and Somerset","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","110","105","52220","49700"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","115","115","58250","53190"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","Female","245","240","36570","32000"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","Male","230","230","38310","32000"
"In post","2022","Cabinet Office (excl. agencies)","Wales","East Wales","Female","45","45","37770","32000"
"In post","2022","Cabinet Office (excl. agencies)","Wales","East Wales","Male","35","35","47340","49700"
"In post","2022","Cabinet Office (excl. agencies)","Wales","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Wales","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","Shropshire and Staffordshire","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","Shropshire and Staffordshire","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","West Midlands","Female","60","60","50670","37300"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","West Midlands","Male","65","65","62610","61710"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","North Yorkshire","Female","305","285","32060","26930"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","North Yorkshire","Male","255","250","33910","32000"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","South Yorkshire","Female","50","45","48380","49700"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","South Yorkshire","Male","35","35","53270","49700"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","West Yorkshire","Female","120","115","48050","42550"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","West Yorkshire","Male","105","105","46710","40460"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","East Anglia","Female","235","215","32560","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","East Anglia","Male","245","240","36270","34330"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Dorset and Somerset","Female","75","70","31260","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Dorset and Somerset","Male","75","75","36320","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","Inner London - West","Female","55","50","43990","37910"
"In post","2022","Charity Commission","London","Inner London - West","Male","30","30","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","Merseyside","Female","210","190","31660","29160"
"In post","2022","Charity Commission","North West (England)","Merseyside","Male","135","135","32130","29160"
"In post","2022","Charity Commission","South West (England)","Dorset and Somerset","Female","20","15","[c]","[c]"
"In post","2022","Charity Commission","South West (England)","Dorset and Somerset","Male","15","15","[c]","[c]"
"In post","2022","Charity Commission","Wales","East Wales","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Wales","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","East Midlands (England)","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","East Midlands (England)","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","Outer London - South","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","Outer London - South","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","North East (England)","Northumberland, and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","North East (England)","Northumberland, and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","North West (England)","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","North West (England)","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","North West (England)","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","North West (England)","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Northern Ireland","Northern Ireland","Female","10","10","[c]","[c]"
"In post","2022","Companies House","Northern Ireland","Northern Ireland","Male","15","15","[c]","[c]"
"In post","2022","Companies House","Scotland","Eastern Scotland","Female","20","20","[c]","[c]"
"In post","2022","Companies House","Scotland","Eastern Scotland","Male","25","25","[c]","[c]"
"In post","2022","Companies House","Scotland","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Scotland","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","South West (England)","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","South West (England)","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Wales","East Wales","Female","615","540","29670","24500"
"In post","2022","Companies House","Wales","East Wales","Male","465","455","33180","30660"
"In post","2022","Companies House","Wales","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Wales","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","West Midlands (England)","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","West Midlands (England)","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Yorkshire and The Humber","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Yorkshire and The Humber","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Yorkshire and The Humber","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Yorkshire and The Humber","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","Inner London - East","Female","395","375","58500","55860"
"In post","2022","Competition and Markets Authority","London","Inner London - East","Male","400","395","64440","59450"
"In post","2022","Competition and Markets Authority","Northern Ireland","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Northern Ireland","Northern Ireland","Male","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Scotland","Eastern Scotland","Female","30","30","57610","55860"
"In post","2022","Competition and Markets Authority","Scotland","Eastern Scotland","Male","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Wales","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Wales","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Scotland","West Central Scotland","Female","175","155","28140","25120"
"In post","2022","Criminal Injuries Compensation Authority","Scotland","West Central Scotland","Male","145","140","26970","25120"
"In post","2022","Criminal Injuries Compensation Authority","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East Midlands (England)","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East Midlands (England)","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
