"Status","Year","Organisation","Parent_department","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Tees Valley and Durham","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Central Scotland","Female","50","45","30420","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Central Scotland","Male","40","40","33000","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Midlands","Female","50","45","30810","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Midlands","Male","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Wales and The Valleys","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Yorkshire","Female","35","35","31380","31040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Yorkshire","Male","35","30","31550","30950"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Bedfordshire and Hertfordshire","Female","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","Female","15","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cheshire","Female","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cheshire","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","Female","30","30","31000","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","Male","30","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cumbria","Female","105","95","25400","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cumbria","Male","55","55","25180","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Derbyshire and Nottinghamshire","Female","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Derbyshire and Nottinghamshire","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Devon","Female","130","120","26840","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Devon","Male","80","75","29810","25090"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dorset and Somerset","Female","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dorset and Somerset","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Anglia","Female","45","45","29900","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Anglia","Male","45","40","32960","32160"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Wales","Female","75","70","27430","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Wales","Male","40","40","32100","30430"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Yorkshire and Northern Lincolnshire","Female","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Yorkshire and Northern Lincolnshire","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Eastern Scotland","Female","30","30","34100","27850"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Eastern Scotland","Male","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Essex","Female","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Essex","Male","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","Female","75","70","28410","25100"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","Male","60","60","27680","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Greater Manchester","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Greater Manchester","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Hampshire and Isle of Wight","Female","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Hampshire and Isle of Wight","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Herefordshire, Worcestershire and Warwickshire","Female","100","90","28550","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Herefordshire, Worcestershire and Warwickshire","Male","70","65","32360","29660"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Highlands and Islands","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Highlands and Islands","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Inner London - West","Female","15","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Inner London - West","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Kent","Female","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Kent","Male","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lancashire","Female","70","65","27770","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lancashire","Male","30","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Leicestershire, Rutland and Northamptonshire","Female","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Leicestershire, Rutland and Northamptonshire","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lincolnshire","Female","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lincolnshire","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North Eastern Scotland","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North Yorkshire","Female","100","90","27020","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North Yorkshire","Male","105","100","30740","25730"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Northumberland, and Tyne and Wear","Female","30","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Northumberland, and Tyne and Wear","Male","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outer London - East and North East","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outer London - West and North West","Female","40","35","33030","31570"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outer London - West and North West","Male","45","45","34020","31970"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Shropshire and Staffordshire","Female","70","65","27390","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Shropshire and Staffordshire","Male","45","45","31570","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Southern Scotland","Female","40","35","28810","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Southern Scotland","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Surrey, East and West Sussex","Female","400","380","32370","28430"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Surrey, East and West Sussex","Male","270","260","34820","32560"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Wales and The Valleys","Female","145","130","27130","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Wales and The Valleys","Male","70","65","29540","26300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","Inner London - West","Female","30","25","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","Inner London - West","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Female","75","70","34950","32000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","Male","65","60","39810","33300"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Derbyshire and Nottinghamshire","Female","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Derbyshire and Nottinghamshire","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Devon","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Dorset and Somerset","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","East Anglia","Female","45","45","51900","51190"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","East Anglia","Male","45","45","51330","49700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","East Wales","Female","45","45","37770","32000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","East Wales","Male","35","35","47340","49700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Eastern Scotland","Female","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Eastern Scotland","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Female","110","105","52220","49700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Male","115","115","58250","53190"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Greater Manchester","Female","230","225","44060","37580"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Greater Manchester","Male","155","155","46460","40390"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Hampshire and Isle of Wight","Female","45","45","47770","40590"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Hampshire and Isle of Wight","Male","45","45","61480","64350"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Inner London - East","Female","520","505","50100","54700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Inner London - East","Male","505","500","54930","54700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Inner London - West","Female","2875","2825","46890","40600"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Inner London - West","Male","2495","2485","52750","50490"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Lancashire","Female","25","25","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Lancashire","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Merseyside","Female","50","50","50370","49700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Merseyside","Male","45","45","53200","49700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","North Yorkshire","Female","305","285","32060","26930"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","North Yorkshire","Male","255","250","33910","32000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Northern Ireland","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Northumberland, and Tyne and Wear","Female","290","265","28030","24100"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Northumberland, and Tyne and Wear","Male","175","170","32040","27290"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Outer London - South","Female","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Outer London - South","Male","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Shropshire and Staffordshire","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Shropshire and Staffordshire","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","South Yorkshire","Female","50","45","48380","49700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","South Yorkshire","Male","35","35","53270","49700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Southern Scotland","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Surrey, East and West Sussex","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Tees Valley and Durham","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Tees Valley and Durham","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Female","245","240","36570","32000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Male","230","230","38310","32000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","West Central Scotland","Female","140","135","41470","34280"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","West Central Scotland","Male","115","115","43840","32280"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","West Midlands","Female","60","60","50670","37300"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","West Midlands","Male","65","65","62610","61710"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","West Yorkshire","Female","120","115","48050","42550"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","West Yorkshire","Male","105","105","46710","40460"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Dorset and Somerset","Female","75","70","31260","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Dorset and Somerset","Male","75","75","36320","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East Anglia","Female","235","215","32560","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East Anglia","Male","245","240","36270","34330"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Dorset and Somerset","Female","20","15","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Dorset and Somerset","Male","15","15","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","East Wales","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Inner London - West","Female","55","50","43990","37910"
"In post","2022","Charity Commission","Charity Commission","Inner London - West","Male","30","30","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Merseyside","Female","210","190","31660","29160"
"In post","2022","Charity Commission","Charity Commission","Merseyside","Male","135","135","32130","29160"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","East Wales","Female","615","540","29670","24500"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","East Wales","Male","465","455","33180","30660"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Eastern Scotland","Female","20","20","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Eastern Scotland","Male","25","25","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Greater Manchester","Male","[c]","[c]","[c]","[c]"
