"Status","Year","Disability","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Female","5530","[c]","21350","21260"
"Leaver CS","2022","Declared non-disabled","AA/AO","Male","4495","[c]","22080","21260"
"Leaver CS","2022","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","EO","Female","3810","[c]","27600","27570"
"Leaver CS","2022","Declared non-disabled","EO","Male","2790","[c]","27940","27570"
"Leaver CS","2022","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","G6/G7","Female","1270","[c]","59110","56340"
"Leaver CS","2022","Declared non-disabled","G6/G7","Male","1420","[c]","61090","59590"
"Leaver CS","2022","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS level","Female","220","[c]","94510","92500"
"Leaver CS","2022","Declared non-disabled","SCS level","Male","245","[c]","97420","93370"
"Leaver CS","2022","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Female","2660","[c]","37030","36460"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Male","2745","[c]","37940","37000"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Female","740","[c]","38660","31520"
"Leaver CS","2022","Declared non-disabled","Unknown","Male","315","[c]","37130","39000"
"Leaver CS","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Female","445","[c]","21140","21170"
"Leaver CS","2022","Undeclared","AA/AO","Male","545","[c]","22740","21260"
"Leaver CS","2022","Undeclared","EO","Female","240","[c]","27510","27570"
"Leaver CS","2022","Undeclared","EO","Male","260","[c]","27960","27570"
"Leaver CS","2022","Undeclared","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Female","80","[c]","60370","57610"
"Leaver CS","2022","Undeclared","G6/G7","Male","110","[c]","59340","57680"
"Leaver CS","2022","Undeclared","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Female","195","[c]","37290","36810"
"Leaver CS","2022","Undeclared","SEO/HEO","Male","270","[c]","38070","36990"
"Leaver CS","2022","Undeclared","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Female","45","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Male","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Female","2360","[c]","21470","21260"
"Leaver CS","2022","Unknown","AA/AO","Male","2240","[c]","22740","21260"
"Leaver CS","2022","Unknown","EO","Female","1110","[c]","27510","27570"
"Leaver CS","2022","Unknown","EO","Male","1110","[c]","27980","27570"
"Leaver CS","2022","Unknown","G6/G7","Female","525","[c]","59890","56120"
"Leaver CS","2022","Unknown","G6/G7","Male","605","[c]","60550","57430"
"Leaver CS","2022","Unknown","SCS level","Female","95","[c]","106830","96400"
"Leaver CS","2022","Unknown","SCS level","Male","110","[c]","102890","95060"
"Leaver CS","2022","Unknown","SEO/HEO","Female","1030","[c]","36900","36500"
"Leaver CS","2022","Unknown","SEO/HEO","Male","1165","[c]","37700","36840"
"Leaver CS","2022","Unknown","Unknown","Female","520","[c]","34730","32550"
"Leaver CS","2022","Unknown","Unknown","Male","415","[c]","36710","33570"
"Leaver Dept.","2022","Declared disabled","AA/AO","Female","165","[c]","21460","21260"
"Leaver Dept.","2022","Declared disabled","AA/AO","Male","125","[c]","21190","21260"
"Leaver Dept.","2022","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","EO","Female","305","[c]","27320","27570"
"Leaver Dept.","2022","Declared disabled","EO","Male","200","[c]","27100","27570"
"Leaver Dept.","2022","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","G6/G7","Female","180","[c]","56580","54700"
"Leaver Dept.","2022","Declared disabled","G6/G7","Male","110","[c]","58140","56520"
"Leaver Dept.","2022","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SCS level","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SCS level","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SEO/HEO","Female","425","[c]","35370","34640"
"Leaver Dept.","2022","Declared disabled","SEO/HEO","Male","270","[c]","35520","34600"
"Leaver Dept.","2022","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","AA/AO","Female","1325","[c]","21400","21260"
"Leaver Dept.","2022","Declared non-disabled","AA/AO","Male","830","[c]","21570","21260"
"Leaver Dept.","2022","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","EO","Female","2185","[c]","26930","27570"
"Leaver Dept.","2022","Declared non-disabled","EO","Male","1390","[c]","27030","27570"
"Leaver Dept.","2022","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","G6/G7","Female","1560","[c]","57730","54700"
"Leaver Dept.","2022","Declared non-disabled","G6/G7","Male","1230","[c]","58340","55730"
"Leaver Dept.","2022","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","SCS level","Female","265","[c]","94840","94090"
"Leaver Dept.","2022","Declared non-disabled","SCS level","Male","230","[c]","95190","92500"
"Leaver Dept.","2022","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","SEO/HEO","Female","3225","[c]","35730","35200"
"Leaver Dept.","2022","Declared non-disabled","SEO/HEO","Male","2040","[c]","36130","35560"
"Leaver Dept.","2022","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","Female","85","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","Male","45","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","AA/AO","Female","65","[c]","21850","21260"
"Leaver Dept.","2022","Undeclared","AA/AO","Male","55","[c]","21460","21260"
"Leaver Dept.","2022","Undeclared","EO","Female","120","[c]","27230","27570"
"Leaver Dept.","2022","Undeclared","EO","Male","85","[c]","27260","27570"
"Leaver Dept.","2022","Undeclared","G6/G7","Female","60","[c]","56740","54680"
"Leaver Dept.","2022","Undeclared","G6/G7","Male","70","[c]","57680","54680"
"Leaver Dept.","2022","Undeclared","SCS level","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SCS level","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Female","190","[c]","36250","36160"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Male","180","[c]","36760","36500"
"Leaver Dept.","2022","Undeclared","Unknown","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","Female","480","[c]","21620","21260"
"Leaver Dept.","2022","Unknown","AA/AO","Male","305","[c]","21660","21130"
"Leaver Dept.","2022","Unknown","EO","Female","615","[c]","27310","27570"
"Leaver Dept.","2022","Unknown","EO","Male","350","[c]","27410","27570"
"Leaver Dept.","2022","Unknown","G6/G7","Female","850","[c]","57670","54700"
"Leaver Dept.","2022","Unknown","G6/G7","Male","725","[c]","59070","55930"
"Leaver Dept.","2022","Unknown","SCS level","Female","155","[c]","107510","107720"
"Leaver Dept.","2022","Unknown","SCS level","Male","150","[c]","107830","102340"
"Leaver Dept.","2022","Unknown","SEO/HEO","Female","1545","[c]","35450","34550"
"Leaver Dept.","2022","Unknown","SEO/HEO","Male","1190","[c]","35600","34550"
"Leaver Dept.","2022","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Female","95","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Male","70","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","AA/AO","Female","910","[c]","21730","21260"
"New entrant CS","2022","Declared disabled","AA/AO","Male","705","[c]","21760","21260"
"New entrant CS","2022","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","EO","Female","710","[c]","27270","27570"
"New entrant CS","2022","Declared disabled","EO","Male","480","[c]","27210","27570"
"New entrant CS","2022","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","G6/G7","Female","150","[c]","54960","53360"
"New entrant CS","2022","Declared disabled","G6/G7","Male","100","[c]","55350","53380"
"New entrant CS","2022","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","SCS level","Female","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","SCS level","Male","15","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","SEO/HEO","Female","565","[c]","34580","33210"
"New entrant CS","2022","Declared disabled","SEO/HEO","Male","400","[c]","34430","33080"
"New entrant CS","2022","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Female","875","[c]","29040","26400"
"New entrant CS","2022","Declared disabled","Unknown","Male","310","[c]","30830","28200"
"New entrant CS","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","AA/AO","Female","7580","[c]","21830","21260"
"New entrant CS","2022","Declared non-disabled","AA/AO","Male","5720","[c]","22320","21260"
"New entrant CS","2022","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","EO","Female","4930","[c]","27160","27570"
"New entrant CS","2022","Declared non-disabled","EO","Male","3715","[c]","27050","27230"
"New entrant CS","2022","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","G6/G7","Female","1250","[c]","55110","53050"
"New entrant CS","2022","Declared non-disabled","G6/G7","Male","1275","[c]","56510","54110"
"New entrant CS","2022","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","SCS level","Female","80","[c]","90400","85860"
"New entrant CS","2022","Declared non-disabled","SCS level","Male","95","[c]","99120","90000"
"New entrant CS","2022","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","SEO/HEO","Female","4300","[c]","35170","33570"
"New entrant CS","2022","Declared non-disabled","SEO/HEO","Male","3770","[c]","35220","33370"
"New entrant CS","2022","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","Female","3045","[c]","28090","24800"
"New entrant CS","2022","Declared non-disabled","Unknown","Male","1150","[c]","31100","27860"
"New entrant CS","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Female","305","[c]","21510","21260"
"New entrant CS","2022","Undeclared","AA/AO","Male","255","[c]","22080","21260"
"New entrant CS","2022","Undeclared","EO","Female","220","[c]","27280","27570"
"New entrant CS","2022","Undeclared","EO","Male","210","[c]","27080","27570"
"New entrant CS","2022","Undeclared","G6/G7","Female","65","[c]","53970","52500"
"New entrant CS","2022","Undeclared","G6/G7","Male","60","[c]","55930","54700"
"New entrant CS","2022","Undeclared","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SCS level","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Female","220","[c]","34910","34020"
"New entrant CS","2022","Undeclared","SEO/HEO","Male","240","[c]","35380","34020"
"New entrant CS","2022","Undeclared","Unknown","Female","210","[c]","29290","27980"
"New entrant CS","2022","Undeclared","Unknown","Male","85","[c]","32760","28820"
"New entrant CS","2022","Unknown","AA/AO","Female","4765","[c]","21940","21250"
"New entrant CS","2022","Unknown","AA/AO","Male","3890","[c]","22310","21260"
"New entrant CS","2022","Unknown","EO","Female","3085","[c]","27010","27130"
"New entrant CS","2022","Unknown","EO","Male","2870","[c]","27200","26590"
"New entrant CS","2022","Unknown","G6/G7","Female","810","[c]","57870","54640"
"New entrant CS","2022","Unknown","G6/G7","Male","845","[c]","59480","56550"
"New entrant CS","2022","Unknown","SCS level","Female","75","[c]","97400","85000"
"New entrant CS","2022","Unknown","SCS level","Male","95","[c]","104410","92000"
"New entrant CS","2022","Unknown","SEO/HEO","Female","2805","[c]","34470","33080"
"New entrant CS","2022","Unknown","SEO/HEO","Male","2560","[c]","35020","33560"
"New entrant CS","2022","Unknown","Unknown","Female","2455","[c]","27400","24870"
"New entrant CS","2022","Unknown","Unknown","Male","1130","[c]","28380","27480"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","","",""
"Sex","Self reported sex.","","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","","",""
"Disability","Self reported disability.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
