"Status","Year","Age","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Operational Delivery","355","335","22150","21260"
"In post","2022","16-19","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other","50","50","22130","21260"
"In post","2022","16-19","Declared non-disabled","Policy","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Project Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Property","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Science and Engineering","65","65","19090","18030"
"In post","2022","16-19","Declared non-disabled","Security","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Tax","30","30","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","40","40","22940","21260"
"In post","2022","16-19","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","275","260","21830","21250"
"In post","2022","16-19","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","50","50","18720","17140"
"In post","2022","16-19","Unknown","Policy","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Property","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Science and Engineering","45","45","17450","17140"
"In post","2022","16-19","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Tax","35","35","21410","21250"
"In post","2022","16-19","Unknown","Unknown","55","55","23250","21260"
"In post","2022","20-29","Declared disabled","Commercial","70","65","30350","28040"
"In post","2022","20-29","Declared disabled","Communications","55","55","32970","32790"
"In post","2022","20-29","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","75","75","26900","27570"
"In post","2022","20-29","Declared disabled","Digital, Data and Technology","170","170","32220","30820"
"In post","2022","20-29","Declared disabled","Economics","55","50","37030","34260"
"In post","2022","20-29","Declared disabled","Finance","90","90","32670","29740"
"In post","2022","20-29","Declared disabled","Geography","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","145","145","33750","31990"
"In post","2022","20-29","Declared disabled","Intelligence Analysis","35","35","30310","29250"
"In post","2022","20-29","Declared disabled","Internal Audit","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","International Trade","35","35","38110","38160"
"In post","2022","20-29","Declared disabled","Knowledge and Information Management","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Legal","60","60","36330","33460"
"In post","2022","20-29","Declared disabled","Medicine","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Operational Delivery","2635","2575","25850","24920"
"In post","2022","20-29","Declared disabled","Operational Research","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Other","280","280","25650","24750"
"In post","2022","20-29","Declared disabled","Planning","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Policy","730","720","37510","34260"
"In post","2022","20-29","Declared disabled","Project Delivery","150","145","32990","33080"
"In post","2022","20-29","Declared disabled","Property","40","40","30510","27530"
"In post","2022","20-29","Declared disabled","Psychology","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Science and Engineering","215","215","28600","27540"
"In post","2022","20-29","Declared disabled","Security","50","50","28870","27690"
"In post","2022","20-29","Declared disabled","Social Research","40","40","37960","37380"
"In post","2022","20-29","Declared disabled","Statistics","90","85","34250","33210"
"In post","2022","20-29","Declared disabled","Tax","195","190","29420","26820"
"In post","2022","20-29","Declared disabled","Unknown","485","480","32450","30750"
"In post","2022","20-29","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Commercial","605","600","31280","30320"
"In post","2022","20-29","Declared non-disabled","Communications","440","440","35140","33210"
"In post","2022","20-29","Declared non-disabled","Corporate Finance","10","10","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Counter Fraud","470","465","27150","27570"
"In post","2022","20-29","Declared non-disabled","Digital, Data and Technology","1595","1585","34020","33000"
"In post","2022","20-29","Declared non-disabled","Economics","740","740","39130","35000"
"In post","2022","20-29","Declared non-disabled","Finance","965","955","32910","30720"
"In post","2022","20-29","Declared non-disabled","Geography","60","60","26810","26740"
"In post","2022","20-29","Declared non-disabled","Human Resources","800","790","31960","30190"
"In post","2022","20-29","Declared non-disabled","Intelligence Analysis","330","325","31010","29250"
"In post","2022","20-29","Declared non-disabled","Internal Audit","40","40","33420","33420"
"In post","2022","20-29","Declared non-disabled","International Trade","230","230","37740","34330"
"In post","2022","20-29","Declared non-disabled","Knowledge and Information Management","200","195","30520","28050"
"In post","2022","20-29","Declared non-disabled","Legal","835","830","35950","33080"
"In post","2022","20-29","Declared non-disabled","Medicine","75","70","32540","31530"
"In post","2022","20-29","Declared non-disabled","Operational Delivery","23460","22985","25910","25040"
"In post","2022","20-29","Declared non-disabled","Operational Research","235","235","35200","34260"
"In post","2022","20-29","Declared non-disabled","Other","2220","2185","26660","25750"
"In post","2022","20-29","Declared non-disabled","Planning","20","20","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Policy","5240","5220","38970","35900"
"In post","2022","20-29","Declared non-disabled","Project Delivery","1390","1385","34000","33000"
"In post","2022","20-29","Declared non-disabled","Property","475","470","30180","29180"
"In post","2022","20-29","Declared non-disabled","Psychology","305","300","27900","27700"
"In post","2022","20-29","Declared non-disabled","Science and Engineering","2335","2320","29390","29230"
"In post","2022","20-29","Declared non-disabled","Security","635","635","27760","26610"
"In post","2022","20-29","Declared non-disabled","Social Research","315","315","36380","34650"
"In post","2022","20-29","Declared non-disabled","Statistics","485","480","36540","34650"
"In post","2022","20-29","Declared non-disabled","Tax","2270","2235","30240","26820"
"In post","2022","20-29","Declared non-disabled","Unknown","3595","3570","32700","30750"
"In post","2022","20-29","Declared non-disabled","Veterinarian","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","Commercial","25","25","[c]","[c]"
"In post","2022","20-29","Undeclared","Communications","20","20","[c]","[c]"
"In post","2022","20-29","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Counter Fraud","25","25","[c]","[c]"
"In post","2022","20-29","Undeclared","Digital, Data and Technology","95","95","32770","32900"
"In post","2022","20-29","Undeclared","Economics","55","55","37710","34710"
"In post","2022","20-29","Undeclared","Finance","45","45","37930","36690"
"In post","2022","20-29","Undeclared","Geography","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Human Resources","45","40","30420","29010"
"In post","2022","20-29","Undeclared","Intelligence Analysis","20","20","[c]","[c]"
"In post","2022","20-29","Undeclared","International Trade","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Legal","25","25","[c]","[c]"
"In post","2022","20-29","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Operational Delivery","1050","1030","26230","26250"
"In post","2022","20-29","Undeclared","Operational Research","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","Other","100","100","25270","22170"
"In post","2022","20-29","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Policy","410","405","38710","35050"
"In post","2022","20-29","Undeclared","Project Delivery","60","60","32770","31950"
"In post","2022","20-29","Undeclared","Property","20","20","[c]","[c]"
"In post","2022","20-29","Undeclared","Psychology","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","Science and Engineering","70","70","29580","28290"
"In post","2022","20-29","Undeclared","Security","25","25","[c]","[c]"
"In post","2022","20-29","Undeclared","Social Research","20","20","[c]","[c]"
"In post","2022","20-29","Undeclared","Statistics","15","15","[c]","[c]"
"In post","2022","20-29","Undeclared","Tax","110","105","30160","26820"
"In post","2022","20-29","Undeclared","Unknown","165","165","34950","33370"
"In post","2022","20-29","Unknown","Commercial","360","360","34600","31370"
"In post","2022","20-29","Unknown","Communications","380","380","35620","33120"
"In post","2022","20-29","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Counter Fraud","75","75","28820","27570"
"In post","2022","20-29","Unknown","Digital, Data and Technology","1070","1065","34080","32870"
"In post","2022","20-29","Unknown","Economics","320","320","36350","33210"
"In post","2022","20-29","Unknown","Finance","515","505","32940","30450"
"In post","2022","20-29","Unknown","Geography","45","45","23980","20420"
"In post","2022","20-29","Unknown","Human Resources","360","355","30790","28590"
"In post","2022","20-29","Unknown","Intelligence Analysis","115","115","31390","28700"
"In post","2022","20-29","Unknown","Internal Audit","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","International Trade","240","240","38980","38160"
"In post","2022","20-29","Unknown","Knowledge and Information Management","60","60","32110","28460"
"In post","2022","20-29","Unknown","Legal","420","415","33430","31020"
"In post","2022","20-29","Unknown","Medicine","60","55","33750","32640"
"In post","2022","20-29","Unknown","Operational Delivery","11270","11065","25910","24590"
"In post","2022","20-29","Unknown","Operational Research","50","50","34570","34260"
"In post","2022","20-29","Unknown","Other","980","970","28160","27570"
"In post","2022","20-29","Unknown","Planning","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Policy","2265","2250","38480","35050"
"In post","2022","20-29","Unknown","Project Delivery","435","430","35450","34260"
"In post","2022","20-29","Unknown","Property","305","300","29980","28310"
"In post","2022","20-29","Unknown","Psychology","60","60","26410","26590"
"In post","2022","20-29","Unknown","Science and Engineering","280","280","29610","28620"
"In post","2022","20-29","Unknown","Security","410","410","27360","25680"
"In post","2022","20-29","Unknown","Social Research","185","180","34620","33650"
"In post","2022","20-29","Unknown","Statistics","245","245","34320","33370"
"In post","2022","20-29","Unknown","Tax","1625","1590","26710","26590"
"In post","2022","20-29","Unknown","Unknown","3810","3775","31530","29250"
"In post","2022","20-29","Unknown","Veterinarian","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","130","125","37590","36500"
"In post","2022","30-39","Declared disabled","Communications","70","65","40880","39400"
"In post","2022","30-39","Declared disabled","Corporate Finance","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Counter Fraud","75","70","29440","27570"
"In post","2022","30-39","Declared disabled","Digital, Data and Technology","330","325","39400","36740"
"In post","2022","30-39","Declared disabled","Economics","35","30","54690","57620"
"In post","2022","30-39","Declared disabled","Finance","170","160","39680","36050"
"In post","2022","30-39","Declared disabled","Geography","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Human Resources","215","205","39390","33680"
"In post","2022","30-39","Declared disabled","Inspector of Education and Training","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Intelligence Analysis","45","45","34620","31510"
"In post","2022","30-39","Declared disabled","Internal Audit","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","International Trade","40","35","50640","51950"
"In post","2022","30-39","Declared disabled","Knowledge and Information Management","30","30","35450","33300"
"In post","2022","30-39","Declared disabled","Legal","185","175","46980","48830"
"In post","2022","30-39","Declared disabled","Medicine","20","20","[c]","[c]"
"In post","2022","30-39","Declared disabled","Operational Delivery","4445","4155","27690","27130"
"In post","2022","30-39","Declared disabled","Operational Research","20","20","[c]","[c]"
"In post","2022","30-39","Declared disabled","Other","455","430","28820","27570"
"In post","2022","30-39","Declared disabled","Planning","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Policy","810","785","46630","45200"
"In post","2022","30-39","Declared disabled","Project Delivery","270","260","40700","38570"
"In post","2022","30-39","Declared disabled","Property","70","65","34180","32250"
"In post","2022","30-39","Declared disabled","Psychology","55","50","32160","30450"
"In post","2022","30-39","Declared disabled","Science and Engineering","210","205","36900","34560"
"In post","2022","30-39","Declared disabled","Security","100","100","33180","31340"
"In post","2022","30-39","Declared disabled","Social Research","45","40","40450","38340"
"In post","2022","30-39","Declared disabled","Statistics","55","55","42370","38340"
"In post","2022","30-39","Declared disabled","Tax","320","310","36650","33370"
"In post","2022","30-39","Declared disabled","Unknown","675","650","39640","35060"
"In post","2022","30-39","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Commercial","995","960","38910","37400"
"In post","2022","30-39","Declared non-disabled","Communications","785","755","43450","40580"
"In post","2022","30-39","Declared non-disabled","Corporate Finance","30","30","47920","42510"
"In post","2022","30-39","Declared non-disabled","Counter Fraud","665","620","28510","27570"
"In post","2022","30-39","Declared non-disabled","Digital, Data and Technology","2870","2810","41500","38970"
"In post","2022","30-39","Declared non-disabled","Economics","355","340","57690","56360"
"In post","2022","30-39","Declared non-disabled","Finance","1665","1600","41300","37930"
"In post","2022","30-39","Declared non-disabled","Geography","75","75","32700","33290"
"In post","2022","30-39","Declared non-disabled","Human Resources","1460","1385","37970","34260"
"In post","2022","30-39","Declared non-disabled","Inspector of Education and Training","90","90","59120","51360"
"In post","2022","30-39","Declared non-disabled","Intelligence Analysis","635","615","33600","30830"
"In post","2022","30-39","Declared non-disabled","Internal Audit","100","95","40860","40110"
"In post","2022","30-39","Declared non-disabled","International Trade","255","255","51020","51970"
"In post","2022","30-39","Declared non-disabled","Knowledge and Information Management","335","320","35120","31990"
"In post","2022","30-39","Declared non-disabled","Legal","2130","2045","47910","50500"
"In post","2022","30-39","Declared non-disabled","Medicine","365","320","45770","39030"
"In post","2022","30-39","Declared non-disabled","Operational Delivery","34500","32190","28480","27570"
"In post","2022","30-39","Declared non-disabled","Operational Research","265","255","46530","47010"
"In post","2022","30-39","Declared non-disabled","Other","3400","3205","31560","27570"
"In post","2022","30-39","Declared non-disabled","Planning","55","50","41770","39990"
"In post","2022","30-39","Declared non-disabled","Planning Inspectors","40","35","47340","47660"
"In post","2022","30-39","Declared non-disabled","Policy","6365","6185","48980","51500"
"In post","2022","30-39","Declared non-disabled","Project Delivery","2635","2555","42170","40000"
"In post","2022","30-39","Declared non-disabled","Property","745","720","38460","36050"
"In post","2022","30-39","Declared non-disabled","Psychology","440","425","35540","31180"
"In post","2022","30-39","Declared non-disabled","Science and Engineering","2310","2250","39060","38110"
"In post","2022","30-39","Declared non-disabled","Security","1085","1075","33220","31920"
"In post","2022","30-39","Declared non-disabled","Social Research","250","240","45780","42750"
"In post","2022","30-39","Declared non-disabled","Statistics","480","460","45750","43560"
"In post","2022","30-39","Declared non-disabled","Tax","3215","3115","36130","33370"
"In post","2022","30-39","Declared non-disabled","Unknown","4730","4600","41310","37610"
"In post","2022","30-39","Declared non-disabled","Veterinarian","70","70","38920","37240"
"In post","2022","30-39","Undeclared","Commercial","70","65","38940","37400"
"In post","2022","30-39","Undeclared","Communications","45","45","41950","38620"
"In post","2022","30-39","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Counter Fraud","55","55","29720","27570"
"In post","2022","30-39","Undeclared","Digital, Data and Technology","230","230","41770","40000"
"In post","2022","30-39","Undeclared","Economics","25","25","[c]","[c]"
"In post","2022","30-39","Undeclared","Finance","105","100","43410","40550"
"In post","2022","30-39","Undeclared","Geography","5","5","[c]","[c]"
"In post","2022","30-39","Undeclared","Human Resources","80","80","40270","38550"
"In post","2022","30-39","Undeclared","Intelligence Analysis","55","55","34530","32740"
"In post","2022","30-39","Undeclared","Internal Audit","10","10","[c]","[c]"
"In post","2022","30-39","Undeclared","International Trade","15","15","[c]","[c]"
"In post","2022","30-39","Undeclared","Knowledge and Information Management","30","25","[c]","[c]"
"In post","2022","30-39","Undeclared","Legal","100","100","43650","40180"
"In post","2022","30-39","Undeclared","Medicine","15","15","[c]","[c]"
"In post","2022","30-39","Undeclared","Operational Delivery","2605","2440","28520","27570"
"In post","2022","30-39","Undeclared","Operational Research","15","15","[c]","[c]"
"In post","2022","30-39","Undeclared","Other","250","235","28100","27570"
"In post","2022","30-39","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","Policy","500","490","48830","51730"
"In post","2022","30-39","Undeclared","Project Delivery","145","145","42860","40580"
"In post","2022","30-39","Undeclared","Property","50","50","38850","33590"
"In post","2022","30-39","Undeclared","Psychology","45","45","34640","31180"
"In post","2022","30-39","Undeclared","Science and Engineering","115","115","40030","39110"
"In post","2022","30-39","Undeclared","Security","100","100","36700","38200"
"In post","2022","30-39","Undeclared","Social Research","15","10","[c]","[c]"
"In post","2022","30-39","Undeclared","Statistics","25","25","[c]","[c]"
"In post","2022","30-39","Undeclared","Tax","195","195","38170","33370"
"In post","2022","30-39","Undeclared","Unknown","235","230","41470","37450"
"In post","2022","30-39","Undeclared","Veterinarian","10","10","[c]","[c]"
"In post","2022","30-39","Unknown","Commercial","340","330","38930","37180"
"In post","2022","30-39","Unknown","Communications","290","285","45870","42710"
"In post","2022","30-39","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Counter Fraud","90","85","32210","27570"
"In post","2022","30-39","Unknown","Digital, Data and Technology","1215","1200","43170","40090"
"In post","2022","30-39","Unknown","Economics","100","95","53910","54760"
"In post","2022","30-39","Unknown","Finance","530","515","41340","38410"
"In post","2022","30-39","Unknown","Geography","20","20","[c]","[c]"
"In post","2022","30-39","Unknown","Human Resources","395","385","36710","32790"
"In post","2022","30-39","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Intelligence Analysis","95","95","37430","33900"
"In post","2022","30-39","Unknown","Internal Audit","15","15","[c]","[c]"
"In post","2022","30-39","Unknown","International Trade","215","215","47670","51710"
"In post","2022","30-39","Unknown","Knowledge and Information Management","50","50","42930","37290"
"In post","2022","30-39","Unknown","Legal","720","695","43750","43620"
"In post","2022","30-39","Unknown","Medicine","190","165","46010","39030"
"In post","2022","30-39","Unknown","Operational Delivery","10100","9605","28800","26820"
"In post","2022","30-39","Unknown","Operational Research","35","35","45360","46660"
"In post","2022","30-39","Unknown","Other","1240","1200","35270","32700"
"In post","2022","30-39","Unknown","Planning","5","5","[c]","[c]"
"In post","2022","30-39","Unknown","Planning Inspectors","15","15","[c]","[c]"
"In post","2022","30-39","Unknown","Policy","1840","1805","48070","49860"
"In post","2022","30-39","Unknown","Project Delivery","595","580","42430","40220"
"In post","2022","30-39","Unknown","Property","240","235","36200","33000"
"In post","2022","30-39","Unknown","Psychology","65","65","33640","35000"
"In post","2022","30-39","Unknown","Science and Engineering","365","350","38850","39400"
"In post","2022","30-39","Unknown","Security","455","455","33010","33200"
"In post","2022","30-39","Unknown","Social Research","100","95","42970","39200"
"In post","2022","30-39","Unknown","Statistics","130","125","42770","39050"
"In post","2022","30-39","Unknown","Tax","1620","1555","31250","26820"
"In post","2022","30-39","Unknown","Unknown","2965","2880","41760","36130"
"In post","2022","30-39","Unknown","Veterinarian","10","10","[c]","[c]"
"In post","2022","40-49","Declared disabled","Commercial","155","150","39680","38280"
"In post","2022","40-49","Declared disabled","Communications","90","85","39460","37930"
"In post","2022","40-49","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared disabled","Counter Fraud","190","175","28480","27570"
"In post","2022","40-49","Declared disabled","Digital, Data and Technology","460","445","42440","38720"
"In post","2022","40-49","Declared disabled","Economics","20","20","[c]","[c]"
"In post","2022","40-49","Declared disabled","Finance","295","285","39010","34270"
"In post","2022","40-49","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared disabled","Human Resources","320","300","41510","37580"
"In post","2022","40-49","Declared disabled","Inspector of Education and Training","20","20","[c]","[c]"
"In post","2022","40-49","Declared disabled","Intelligence Analysis","80","75","34050","30630"
"In post","2022","40-49","Declared disabled","Internal Audit","20","20","[c]","[c]"
"In post","2022","40-49","Declared disabled","International Trade","25","25","[c]","[c]"
"In post","2022","40-49","Declared disabled","Knowledge and Information Management","85","80","36830","33350"
"In post","2022","40-49","Declared disabled","Legal","290","270","48060","48830"
"In post","2022","40-49","Declared disabled","Medicine","30","30","54050","45840"
"In post","2022","40-49","Declared disabled","Operational Delivery","7060","6430","28570","27570"
"In post","2022","40-49","Declared disabled","Operational Research","25","20","[c]","[c]"
"In post","2022","40-49","Declared disabled","Other","690","635","29320","27570"
"In post","2022","40-49","Declared disabled","Planning","5","5","[c]","[c]"
"In post","2022","40-49","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared disabled","Policy","695","670","49610","47550"
"In post","2022","40-49","Declared disabled","Project Delivery","360","350","42190","40000"
"In post","2022","40-49","Declared disabled","Property","140","140","38470","33300"
"In post","2022","40-49","Declared disabled","Psychology","25","25","[c]","[c]"
"In post","2022","40-49","Declared disabled","Science and Engineering","175","165","40740","39830"
"In post","2022","40-49","Declared disabled","Security","155","155","35460","35630"
"In post","2022","40-49","Declared disabled","Social Research","25","25","[c]","[c]"
"In post","2022","40-49","Declared disabled","Statistics","50","50","48160","44500"
"In post","2022","40-49","Declared disabled","Tax","345","330","36630","33370"
"In post","2022","40-49","Declared disabled","Unknown","620","590","43430","39660"
"In post","2022","40-49","Declared disabled","Veterinarian","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Commercial","1000","965","42870","40000"
"In post","2022","40-49","Declared non-disabled","Communications","730","690","47220","43760"
"In post","2022","40-49","Declared non-disabled","Corporate Finance","40","35","55520","47010"
"In post","2022","40-49","Declared non-disabled","Counter Fraud","1095","1010","29510","27570"
"In post","2022","40-49","Declared non-disabled","Digital, Data and Technology","3685","3600","45440","41600"
"In post","2022","40-49","Declared non-disabled","Economics","175","165","63940","61880"
"In post","2022","40-49","Declared non-disabled","Finance","2300","2210","43340","39370"
"In post","2022","40-49","Declared non-disabled","Geography","65","60","34490","33290"
"In post","2022","40-49","Declared non-disabled","Human Resources","1710","1615","42980","38720"
"In post","2022","40-49","Declared non-disabled","Inspector of Education and Training","270","270","65000","64520"
"In post","2022","40-49","Declared non-disabled","Intelligence Analysis","575","550","34760","30820"
"In post","2022","40-49","Declared non-disabled","Internal Audit","140","135","47160","44020"
"In post","2022","40-49","Declared non-disabled","International Trade","165","160","52680","51970"
"In post","2022","40-49","Declared non-disabled","Knowledge and Information Management","405","385","37600","35300"
"In post","2022","40-49","Declared non-disabled","Legal","2500","2305","53260","53440"
"In post","2022","40-49","Declared non-disabled","Medicine","490","430","56850","47130"
"In post","2022","40-49","Declared non-disabled","Operational Delivery","39030","35880","29990","27570"
"In post","2022","40-49","Declared non-disabled","Operational Research","190","180","50380","47590"
"In post","2022","40-49","Declared non-disabled","Other","4210","3985","33140","27570"
"In post","2022","40-49","Declared non-disabled","Planning","45","45","47510","46500"
"In post","2022","40-49","Declared non-disabled","Planning Inspectors","80","75","53880","47660"
"In post","2022","40-49","Declared non-disabled","Policy","5375","5115","53770","53600"
"In post","2022","40-49","Declared non-disabled","Project Delivery","3045","2935","46100","41480"
"In post","2022","40-49","Declared non-disabled","Property","1205","1160","40640","37320"
"In post","2022","40-49","Declared non-disabled","Psychology","245","230","46220","47660"
"In post","2022","40-49","Declared non-disabled","Science and Engineering","2205","2105","44400","42500"
"In post","2022","40-49","Declared non-disabled","Security","1210","1195","34030","33000"
"In post","2022","40-49","Declared non-disabled","Social Research","160","145","52040","51380"
