"Status","Year","Disability","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Overseas","SCS level","Heterosexual / straight","180","175","86840","79720"
"In post","2022","Declared non-disabled","Overseas","SCS level","LGBO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","SEO/HEO","Heterosexual / straight","840","840","38260","34670"
"In post","2022","Declared non-disabled","Overseas","SEO/HEO","LGBO","45","45","36700","34770"
"In post","2022","Declared non-disabled","Overseas","SEO/HEO","Undeclared","80","80","37980","34770"
"In post","2022","Declared non-disabled","Overseas","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","AA/AO","Heterosexual / straight","110","100","22420","21260"
"In post","2022","Declared non-disabled","Unknown","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","EO","Heterosexual / straight","220","210","28510","27570"
"In post","2022","Declared non-disabled","Unknown","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","EO","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","EO","Unknown","35","30","28520","27570"
"In post","2022","Declared non-disabled","Unknown","G6/G7","Heterosexual / straight","75","75","55880","54540"
"In post","2022","Declared non-disabled","Unknown","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SCS level","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","Heterosexual / straight","200","195","36750","36340"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","Heterosexual / straight","70","70","29700","27370"
"In post","2022","Declared non-disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","London","AA/AO","Heterosexual / straight","380","350","26960","25620"
"In post","2022","Undeclared","London","AA/AO","LGBO","25","20","[c]","[c]"
"In post","2022","Undeclared","London","AA/AO","Undeclared","235","220","26170","25330"
"In post","2022","Undeclared","London","AA/AO","Unknown","245","215","29240","26930"
"In post","2022","Undeclared","London","EO","Heterosexual / straight","460","440","30390","30720"
"In post","2022","Undeclared","London","EO","LGBO","45","45","29150","29020"
"In post","2022","Undeclared","London","EO","Undeclared","400","380","30700","30590"
"In post","2022","Undeclared","London","EO","Unknown","120","115","32760","31530"
"In post","2022","Undeclared","London","G6/G7","Heterosexual / straight","580","565","60260","58550"
"In post","2022","Undeclared","London","G6/G7","LGBO","70","70","59520","57270"
"In post","2022","Undeclared","London","G6/G7","Undeclared","650","635","61930","61250"
"In post","2022","Undeclared","London","G6/G7","Unknown","65","65","66320","65190"
"In post","2022","Undeclared","London","SCS level","Heterosexual / straight","80","80","87380","79800"
"In post","2022","Undeclared","London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Undeclared","London","SCS level","Undeclared","75","70","83640","79720"
"In post","2022","Undeclared","London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Undeclared","London","SEO/HEO","Heterosexual / straight","790","775","39160","38160"
"In post","2022","Undeclared","London","SEO/HEO","LGBO","100","100","37910","37290"
"In post","2022","Undeclared","London","SEO/HEO","Undeclared","775","755","39900","39000"
"In post","2022","Undeclared","London","SEO/HEO","Unknown","110","105","41610","40910"
"In post","2022","Undeclared","London","Unknown","Heterosexual / straight","85","80","34360","33700"
"In post","2022","Undeclared","London","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Undeclared","London","Unknown","Undeclared","40","35","37550","33700"
"In post","2022","Undeclared","Outside London","AA/AO","Heterosexual / straight","3740","3365","23640","21380"
"In post","2022","Undeclared","Outside London","AA/AO","LGBO","295","280","23860","21260"
"In post","2022","Undeclared","Outside London","AA/AO","Undeclared","2375","2150","23710","21680"
"In post","2022","Undeclared","Outside London","AA/AO","Unknown","1495","1270","26640","25610"
"In post","2022","Undeclared","Outside London","EO","Heterosexual / straight","2760","2580","28030","27570"
"In post","2022","Undeclared","Outside London","EO","LGBO","250","245","27780","27570"
"In post","2022","Undeclared","Outside London","EO","Undeclared","2085","1935","28100","27380"
"In post","2022","Undeclared","Outside London","EO","Unknown","705","645","29460","27570"
"In post","2022","Undeclared","Outside London","G6/G7","Heterosexual / straight","620","605","57730","55210"
"In post","2022","Undeclared","Outside London","G6/G7","LGBO","60","60","57870","55210"
"In post","2022","Undeclared","Outside London","G6/G7","Undeclared","780","755","58320","55210"
"In post","2022","Undeclared","Outside London","G6/G7","Unknown","75","75","58400","55210"
"In post","2022","Undeclared","Outside London","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Undeclared","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Outside London","SCS level","Undeclared","40","40","86160","81300"
"In post","2022","Undeclared","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Outside London","SEO/HEO","Heterosexual / straight","2540","2440","37160","36190"
"In post","2022","Undeclared","Outside London","SEO/HEO","LGBO","205","205","36100","33380"
"In post","2022","Undeclared","Outside London","SEO/HEO","Undeclared","2690","2570","37290","36050"
"In post","2022","Undeclared","Outside London","SEO/HEO","Unknown","400","380","39060","38160"
"In post","2022","Undeclared","Outside London","Unknown","Heterosexual / straight","430","400","31740","28200"
"In post","2022","Undeclared","Outside London","Unknown","LGBO","55","50","28840","28200"
"In post","2022","Undeclared","Outside London","Unknown","Undeclared","280","265","34500","34120"
"In post","2022","Undeclared","Outside London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Undeclared","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Undeclared","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Undeclared","Overseas","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Undeclared","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","G6/G7","Undeclared","35","35","59720","56460"
"In post","2022","Undeclared","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Undeclared","Overseas","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Undeclared","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","SEO/HEO","Undeclared","35","35","36120","33930"
"In post","2022","Undeclared","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Undeclared","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Undeclared","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Undeclared","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Undeclared","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","London","AA/AO","Heterosexual / straight","355","335","24940","24470"
"In post","2022","Unknown","London","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2022","Unknown","London","AA/AO","Undeclared","55","55","23940","23340"
"In post","2022","Unknown","London","AA/AO","Unknown","1745","1675","26800","25620"
"In post","2022","Unknown","London","EO","Heterosexual / straight","990","965","31450","31020"
"In post","2022","Unknown","London","EO","LGBO","80","80","30470","28650"
"In post","2022","Unknown","London","EO","Undeclared","235","230","29150","27270"
"In post","2022","Unknown","London","EO","Unknown","2445","2370","29860","29970"
"In post","2022","Unknown","London","G6/G7","Heterosexual / straight","1385","1350","59270","57400"
"In post","2022","Unknown","London","G6/G7","LGBO","140","140","58310","54920"
"In post","2022","Unknown","London","G6/G7","Undeclared","605","585","59020","54500"
"In post","2022","Unknown","London","G6/G7","Unknown","4175","4085","61060","59330"
"In post","2022","Unknown","London","SCS level","Heterosexual / straight","190","185","97570","92980"
"In post","2022","Unknown","London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Unknown","London","SCS level","Undeclared","90","85","94250","88590"
"In post","2022","Unknown","London","SCS level","Unknown","565","550","97880","89650"
"In post","2022","Unknown","London","SEO/HEO","Heterosexual / straight","1850","1815","39300","40050"
"In post","2022","Unknown","London","SEO/HEO","LGBO","190","190","38390","39910"
"In post","2022","Unknown","London","SEO/HEO","Undeclared","580","570","37860","38670"
"In post","2022","Unknown","London","SEO/HEO","Unknown","6075","5985","36990","37400"
"In post","2022","Unknown","London","Unknown","Heterosexual / straight","40","35","[c]","[c]"
"In post","2022","Unknown","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","London","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2022","Unknown","London","Unknown","Unknown","340","315","32300","28200"
"In post","2022","Unknown","Outside London","AA/AO","Heterosexual / straight","3990","3620","23190","21840"
"In post","2022","Unknown","Outside London","AA/AO","LGBO","275","270","23160","21840"
"In post","2022","Unknown","Outside London","AA/AO","Undeclared","435","395","23610","21840"
"In post","2022","Unknown","Outside London","AA/AO","Unknown","18840","17460","22490","21260"
"In post","2022","Unknown","Outside London","EO","Heterosexual / straight","4415","4225","29280","27570"
"In post","2022","Unknown","Outside London","EO","LGBO","305","300","28570","27230"
"In post","2022","Unknown","Outside London","EO","Undeclared","475","455","28300","26910"
"In post","2022","Unknown","Outside London","EO","Unknown","11855","11305","27700","26820"
"In post","2022","Unknown","Outside London","G6/G7","Heterosexual / straight","2280","2200","57840","55210"
"In post","2022","Unknown","Outside London","G6/G7","LGBO","105","100","56450","53500"
"In post","2022","Unknown","Outside London","G6/G7","Undeclared","440","415","57680","55210"
"In post","2022","Unknown","Outside London","G6/G7","Unknown","3910","3770","58860","55210"
"In post","2022","Unknown","Outside London","SCS level","Heterosexual / straight","130","125","94980","87980"
"In post","2022","Unknown","Outside London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Unknown","Outside London","SCS level","Undeclared","45","40","97030","93740"
"In post","2022","Unknown","Outside London","SCS level","Unknown","280","275","98610","91450"
"In post","2022","Unknown","Outside London","SEO/HEO","Heterosexual / straight","5150","4940","37600","36840"
"In post","2022","Unknown","Outside London","SEO/HEO","LGBO","320","315","35730","36130"
