"Status","Year","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Human Resources","Undeclared","740","705","36490","33300"
"In post","2022","Human Resources","Unknown","1035","985","36950","33000"
"In post","2022","Inspector of Education and Training","Heterosexual / straight","805","790","65410","70500"
"In post","2022","Inspector of Education and Training","LGBO","55","55","70110","75500"
"In post","2022","Inspector of Education and Training","Undeclared","35","35","69630","75500"
"In post","2022","Inspector of Education and Training","Unknown","35","35","60840","51360"
"In post","2022","Intelligence Analysis","Heterosexual / straight","2375","2275","33610","30820"
"In post","2022","Intelligence Analysis","LGBO","115","110","34710","30750"
"In post","2022","Intelligence Analysis","Undeclared","410","395","34950","31870"
"In post","2022","Intelligence Analysis","Unknown","335","325","34060","31520"
"In post","2022","Internal Audit","Heterosexual / straight","600","575","46400","43430"
"In post","2022","Internal Audit","LGBO","40","35","46570","42510"
"In post","2022","Internal Audit","Undeclared","90","85","46900","43160"
"In post","2022","Internal Audit","Unknown","45","45","40510","38710"
"In post","2022","International Trade","Heterosexual / straight","965","950","47940","47980"
"In post","2022","International Trade","LGBO","110","110","48280","46150"
"In post","2022","International Trade","Undeclared","95","90","47560","51710"
"In post","2022","International Trade","Unknown","470","465","45550","40070"
"In post","2022","Knowledge and Information Management","Heterosexual / straight","1620","1555","35480","32470"
"In post","2022","Knowledge and Information Management","LGBO","110","105","34810","33000"
"In post","2022","Knowledge and Information Management","Undeclared","305","290","35030","32760"
"In post","2022","Knowledge and Information Management","Unknown","345","330","36510","33080"
"In post","2022","Legal","Heterosexual / straight","8320","7800","49120","50380"
"In post","2022","Legal","LGBO","495","480","50390","51250"
"In post","2022","Legal","Undeclared","975","905","48370","47100"
"In post","2022","Legal","Unknown","2890","2690","48070","48830"
"In post","2022","Medicine","Heterosexual / straight","1735","1545","53780","40940"
"In post","2022","Medicine","LGBO","60","60","59180","46950"
"In post","2022","Medicine","Undeclared","245","220","66200","61440"
"In post","2022","Medicine","Unknown","470","410","56980","45840"
"In post","2022","Operational Delivery","Heterosexual / straight","169335","155565","29040","27570"
"In post","2022","Operational Delivery","LGBO","10385","9995","28740","27570"
"In post","2022","Operational Delivery","Undeclared","21335","19195","29160","27380"
"In post","2022","Operational Delivery","Unknown","53940","48645","27470","26120"
"In post","2022","Operational Research","Heterosexual / straight","545","520","46450","44440"
"In post","2022","Operational Research","LGBO","65","65","40120","38070"
"In post","2022","Operational Research","Undeclared","60","60","47510","42760"
"In post","2022","Operational Research","Unknown","460","445","43810","47010"
"In post","2022","Other","Heterosexual / straight","21115","19965","30040","26820"
"In post","2022","Other","LGBO","1020","995","30160","27570"
"In post","2022","Other","Undeclared","2695","2550","30460","26930"
"In post","2022","Other","Unknown","5550","5305","33920","30480"
"In post","2022","Planning","Heterosexual / straight","170","160","45730","41560"
"In post","2022","Planning","LGBO","15","15","[c]","[c]"
"In post","2022","Planning","Undeclared","20","20","[c]","[c]"
"In post","2022","Planning","Unknown","20","20","[c]","[c]"
"In post","2022","Planning Inspectors","Heterosexual / straight","285","255","56240","58810"
"In post","2022","Planning Inspectors","LGBO","10","10","[c]","[c]"
"In post","2022","Planning Inspectors","Undeclared","35","30","55850","58810"
"In post","2022","Planning Inspectors","Unknown","50","40","57030","58810"
"In post","2022","Policy","Heterosexual / straight","23135","22435","47570","43760"
"In post","2022","Policy","LGBO","2375","2340","46640","41970"
"In post","2022","Policy","Undeclared","3140","3055","47130","43310"
"In post","2022","Policy","Unknown","4315","4190","46580","42390"
"In post","2022","Project Delivery","Heterosexual / straight","11475","11045","43760","40520"
"In post","2022","Project Delivery","LGBO","615","605","42940","40040"
"In post","2022","Project Delivery","Undeclared","1360","1300","44330","40580"
"In post","2022","Project Delivery","Unknown","2440","2325","41770","39980"
"In post","2022","Property","Heterosexual / straight","5370","5155","38500","34000"
"In post","2022","Property","LGBO","225","220","38390","33370"
"In post","2022","Property","Undeclared","710","670","38890","34620"
"In post","2022","Property","Unknown","1290","1230","35400","31900"
"In post","2022","Psychology","Heterosexual / straight","1135","1090","36010","31180"
"In post","2022","Psychology","LGBO","70","70","31490","29060"
"In post","2022","Psychology","Undeclared","85","80","35090","31180"
"In post","2022","Psychology","Unknown","230","215","36080","34340"
"In post","2022","Science and Engineering","Heterosexual / straight","8410","8110","38740","37400"
"In post","2022","Science and Engineering","LGBO","470","455","35700","32330"
"In post","2022","Science and Engineering","Undeclared","1550","1470","39740","38420"
"In post","2022","Science and Engineering","Unknown","3520","3390","40610","38110"
"In post","2022","Security","Heterosexual / straight","6605","6455","31750","28420"
"In post","2022","Security","LGBO","305","300","33920","32260"
"In post","2022","Security","Undeclared","955","930","35260","37680"
"In post","2022","Security","Unknown","1420","1400","33380","31020"
"In post","2022","Social Research","Heterosexual / straight","945","900","42940","38650"
"In post","2022","Social Research","LGBO","120","115","40610","37610"
"In post","2022","Social Research","Undeclared","70","70","43650","38340"
"In post","2022","Social Research","Unknown","190","185","40580","38340"
"In post","2022","Statistics","Heterosexual / straight","1695","1630","44880","40520"
"In post","2022","Statistics","LGBO","175","175","40890","38340"
"In post","2022","Statistics","Undeclared","170","165","42370","38340"
"In post","2022","Statistics","Unknown","365","350","40390","37830"
"In post","2022","Tax","Heterosexual / straight","11505","10935","36740","33370"
"In post","2022","Tax","LGBO","880","855","34110","33080"
"In post","2022","Tax","Undeclared","1355","1265","39490","33680"
"In post","2022","Tax","Unknown","5865","5570","31320","26820"
"In post","2022","Unknown","Heterosexual / straight","17790","17215","42680","36730"
"In post","2022","Unknown","LGBO","1685","1660","40010","34550"
"In post","2022","Unknown","Undeclared","1530","1490","44400","40060"
"In post","2022","Unknown","Unknown","11235","10895","40480","32040"
"In post","2022","Veterinarian","Heterosexual / straight","275","265","43760","38750"
"In post","2022","Veterinarian","LGBO","10","10","[c]","[c]"
"In post","2022","Veterinarian","Undeclared","70","65","46700","47550"
"In post","2022","Veterinarian","Unknown","55","50","44070","40600"
"Leaver CS","2022","Commercial","Heterosexual / straight","260","[c]","39310","36670"
"Leaver CS","2022","Commercial","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","85","[c]","41010","40310"
"Leaver CS","2022","Commercial","Unknown","60","[c]","36640","31650"
"Leaver CS","2022","Communications","Heterosexual / straight","210","[c]","38800","36840"
"Leaver CS","2022","Communications","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","45","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","95","[c]","39600","34700"
"Leaver CS","2022","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Heterosexual / straight","150","[c]","28730","27570"
"Leaver CS","2022","Counter Fraud","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Undeclared","40","[c]","27490","27570"
"Leaver CS","2022","Counter Fraud","Unknown","75","[c]","29430","27570"
"Leaver CS","2022","Digital, Data and Technology","Heterosexual / straight","795","[c]","41930","38650"
"Leaver CS","2022","Digital, Data and Technology","LGBO","70","[c]","38970","36180"
"Leaver CS","2022","Digital, Data and Technology","Undeclared","175","[c]","40500","38450"
"Leaver CS","2022","Digital, Data and Technology","Unknown","350","[c]","41180","37860"
"Leaver CS","2022","Economics","Heterosexual / straight","95","[c]","37010","33890"
"Leaver CS","2022","Economics","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Unknown","50","[c]","34340","29640"
"Leaver CS","2022","Finance","Heterosexual / straight","440","[c]","39420","33300"
"Leaver CS","2022","Finance","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Undeclared","115","[c]","40620","36460"
"Leaver CS","2022","Finance","Unknown","95","[c]","36210","31950"
"Leaver CS","2022","Geography","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2022","Geography","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Geography","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Heterosexual / straight","425","[c]","38640","33370"
"Leaver CS","2022","Human Resources","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Undeclared","60","[c]","37870","34290"
"Leaver CS","2022","Human Resources","Unknown","85","[c]","30410","27130"
"Leaver CS","2022","Inspector of Education and Training","Heterosexual / straight","100","[c]","64970","75480"
"Leaver CS","2022","Inspector of Education and Training","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Heterosexual / straight","95","[c]","31460","29250"
"Leaver CS","2022","Intelligence Analysis","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Heterosexual / straight","50","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Heterosexual / straight","45","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Heterosexual / straight","275","[c]","34950","31170"
"Leaver CS","2022","Knowledge and Information Management","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Undeclared","50","[c]","34560","32330"
"Leaver CS","2022","Knowledge and Information Management","Unknown","95","[c]","36770","31760"
"Leaver CS","2022","Legal","Heterosexual / straight","330","[c]","54490","54700"
"Leaver CS","2022","Legal","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Undeclared","40","[c]","62210","62660"
"Leaver CS","2022","Legal","Unknown","115","[c]","59080","55610"
"Leaver CS","2022","Medicine","Heterosexual / straight","295","[c]","58230","40880"
"Leaver CS","2022","Medicine","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Undeclared","40","[c]","67330","67750"
"Leaver CS","2022","Medicine","Unknown","90","[c]","55300","39030"
"Leaver CS","2022","Operational Delivery","Heterosexual / straight","13540","[c]","28400","27230"
"Leaver CS","2022","Operational Delivery","LGBO","1105","[c]","27330","26890"
"Leaver CS","2022","Operational Delivery","Undeclared","1705","[c]","29160","26780"
"Leaver CS","2022","Operational Delivery","Unknown","5225","[c]","28090","24310"
"Leaver CS","2022","Operational Research","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Other","Heterosexual / straight","1805","[c]","28270","23360"
"Leaver CS","2022","Other","LGBO","100","[c]","28020","24830"
"Leaver CS","2022","Other","Undeclared","260","[c]","28490","22590"
"Leaver CS","2022","Other","Unknown","710","[c]","33180","29040"
"Leaver CS","2022","Planning","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","Planning","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Heterosexual / straight","930","[c]","46920","41960"
"Leaver CS","2022","Policy","LGBO","110","[c]","41090","34020"
"Leaver CS","2022","Policy","Undeclared","250","[c]","46540","42100"
"Leaver CS","2022","Policy","Unknown","310","[c]","43380","37450"
"Leaver CS","2022","Project Delivery","Heterosexual / straight","540","[c]","41650","38070"
"Leaver CS","2022","Project Delivery","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Undeclared","75","[c]","43320","40580"
"Leaver CS","2022","Project Delivery","Unknown","125","[c]","40330","38550"
"Leaver CS","2022","Property","Heterosexual / straight","275","[c]","35390","33300"
"Leaver CS","2022","Property","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Property","Undeclared","40","[c]","42480","36730"
"Leaver CS","2022","Property","Unknown","90","[c]","32610","26650"
"Leaver CS","2022","Psychology","Heterosexual / straight","70","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Heterosexual / straight","975","[c]","38050","36330"
"Leaver CS","2022","Science and Engineering","LGBO","55","[c]","37420","30930"
"Leaver CS","2022","Science and Engineering","Undeclared","170","[c]","37370","35500"
"Leaver CS","2022","Science and Engineering","Unknown","245","[c]","36830","33370"
"Leaver CS","2022","Security","Heterosexual / straight","485","[c]","32120","28890"
"Leaver CS","2022","Security","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Security","Undeclared","80","[c]","33790","39070"
"Leaver CS","2022","Security","Unknown","115","[c]","29400","25650"
"Leaver CS","2022","Social Research","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Social Research","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Heterosexual / straight","55","[c]","36000","32270"
"Leaver CS","2022","Statistics","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Statistics","Unknown","40","[c]","37830","30710"
"Leaver CS","2022","Tax","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver CS","2022","Tax","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Heterosexual / straight","1720","[c]","38470","30720"
"Leaver CS","2022","Unknown","LGBO","165","[c]","36500","30890"
"Leaver CS","2022","Unknown","Undeclared","240","[c]","37450","31060"
"Leaver CS","2022","Unknown","Unknown","6530","[c]","35410","27570"
"Leaver CS","2022","Veterinarian","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Heterosexual / straight","280","[c]","39720","37400"
"Leaver Dept.","2022","Commercial","LGBO","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Undeclared","160","[c]","45620","40650"
"Leaver Dept.","2022","Commercial","Unknown","35","[c]","44950","40020"
"Leaver Dept.","2022","Communications","Heterosexual / straight","230","[c]","42240","37320"
"Leaver Dept.","2022","Communications","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Undeclared","105","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Unknown","50","[c]","41900","37910"
"Leaver Dept.","2022","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Heterosexual / straight","70","[c]","31100","27570"
"Leaver Dept.","2022","Counter Fraud","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Heterosexual / straight","430","[c]","42340","38440"
"Leaver Dept.","2022","Digital, Data and Technology","LGBO","40","[c]","38110","36330"
"Leaver Dept.","2022","Digital, Data and Technology","Undeclared","155","[c]","43730","39220"
"Leaver Dept.","2022","Digital, Data and Technology","Unknown","130","[c]","41150","37940"
"Leaver Dept.","2022","Economics","Heterosexual / straight","105","[c]","45970","38380"
"Leaver Dept.","2022","Economics","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","Undeclared","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Heterosexual / straight","370","[c]","41410","37000"
"Leaver Dept.","2022","Finance","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Undeclared","165","[c]","43830","39980"
"Leaver Dept.","2022","Finance","Unknown","65","[c]","43970","37910"
"Leaver Dept.","2022","Geography","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Heterosexual / straight","455","[c]","39480","33300"
"Leaver Dept.","2022","Human Resources","LGBO","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Undeclared","75","[c]","36920","34060"
"Leaver Dept.","2022","Human Resources","Unknown","50","[c]","39970","33180"
"Leaver Dept.","2022","Inspector of Education and Training","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Heterosexual / straight","60","[c]","34450","29250"
"Leaver Dept.","2022","Intelligence Analysis","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","Heterosexual / straight","45","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Heterosexual / straight","195","[c]","44660","41310"
"Leaver Dept.","2022","Knowledge and Information Management","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","Undeclared","40","[c]","41230","39620"
"Leaver Dept.","2022","Knowledge and Information Management","Unknown","60","[c]","44410","42890"
"Leaver Dept.","2022","Legal","Heterosexual / straight","65","[c]","59160","59060"
"Leaver Dept.","2022","Legal","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Unknown","40","[c]","60200","60080"
"Leaver Dept.","2022","Medicine","Heterosexual / straight","255","[c]","82830","90390"
"Leaver Dept.","2022","Medicine","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Medicine","Undeclared","55","[c]","92280","94810"
"Leaver Dept.","2022","Medicine","Unknown","75","[c]","112530","114000"
"Leaver Dept.","2022","Operational Delivery","Heterosexual / straight","6000","[c]","32340","27570"
"Leaver Dept.","2022","Operational Delivery","LGBO","480","[c]","32240","27570"
"Leaver Dept.","2022","Operational Delivery","Undeclared","740","[c]","34210","28870"
"Leaver Dept.","2022","Operational Delivery","Unknown","1305","[c]","34790","27570"
"Leaver Dept.","2022","Operational Research","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Research","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Heterosexual / straight","535","[c]","30750","27570"
"Leaver Dept.","2022","Other","LGBO","55","[c]","29400","27570"
"Leaver Dept.","2022","Other","Undeclared","55","[c]","31730","27570"
"Leaver Dept.","2022","Other","Unknown","140","[c]","33860","28230"
"Leaver Dept.","2022","Planning","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Heterosexual / straight","1410","[c]","45370","40220"
"Leaver Dept.","2022","Policy","LGBO","205","[c]","43780","40050"
"Leaver Dept.","2022","Policy","Undeclared","480","[c]","45880","41970"
"Leaver Dept.","2022","Policy","Unknown","310","[c]","45000","40270"
"Leaver Dept.","2022","Project Delivery","Heterosexual / straight","380","[c]","40370","37040"
"Leaver Dept.","2022","Project Delivery","LGBO","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Undeclared","40","[c]","41990","39980"
"Leaver Dept.","2022","Project Delivery","Unknown","75","[c]","42300","39030"
"Leaver Dept.","2022","Property","Heterosexual / straight","75","[c]","42670","37320"
"Leaver Dept.","2022","Property","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Heterosexual / straight","1495","[c]","38380","36020"
"Leaver Dept.","2022","Science and Engineering","LGBO","110","[c]","37380","32560"
"Leaver Dept.","2022","Science and Engineering","Undeclared","235","[c]","40680","40060"
"Leaver Dept.","2022","Science and Engineering","Unknown","430","[c]","45130","41180"
"Leaver Dept.","2022","Security","Heterosexual / straight","65","[c]","37620","35310"
"Leaver Dept.","2022","Security","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Heterosexual / straight","45","[c]","44200","42710"
"Leaver Dept.","2022","Social Research","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Heterosexual / straight","70","[c]","43910","41320"
"Leaver Dept.","2022","Statistics","LGBO","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Undeclared","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","1265","[c]","44450","38160"
"Leaver Dept.","2022","Unknown","LGBO","145","[c]","41170","35430"
"Leaver Dept.","2022","Unknown","Undeclared","305","[c]","41650","34850"
"Leaver Dept.","2022","Unknown","Unknown","2690","[c]","38350","32000"
"Leaver Dept.","2022","Veterinarian","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","495","[c]","32250","30420"
"New entrant CS","2022","Commercial","LGBO","55","[c]","31930","28310"
"New entrant CS","2022","Commercial","Undeclared","100","[c]","34760","33000"
"New entrant CS","2022","Commercial","Unknown","165","[c]","33080","28650"
"New entrant CS","2022","Communications","Heterosexual / straight","300","[c]","36760","33100"
