"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Competition and Markets Authority","G6/G7","G6","Male","105","105","75870","75140"
"In post","2022","Competition and Markets Authority","G6/G7","G7","Female","120","115","56930","56270"
"In post","2022","Competition and Markets Authority","G6/G7","G7","Male","125","120","57570","56380"
"In post","2022","Competition and Markets Authority","SCS level","SCS level","Female","50","50","104770","99060"
"In post","2022","Competition and Markets Authority","SCS level","SCS level","Male","75","70","109700","100770"
"In post","2022","Competition and Markets Authority","SEO/HEO","HEO","Female","80","75","34810","34570"
"In post","2022","Competition and Markets Authority","SEO/HEO","HEO","Male","65","65","34820","34570"
"In post","2022","Competition and Markets Authority","SEO/HEO","SEO","Female","35","35","43310","43490"
"In post","2022","Competition and Markets Authority","SEO/HEO","SEO","Male","25","25","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","AA/AO","AA","Female","60","60","18840","19150"
"In post","2022","Department for Business, Energy and Industrial Strategy","AA/AO","AA","Male","50","50","18880","19000"
"In post","2022","Department for Business, Energy and Industrial Strategy","AA/AO","AO","Female","890","785","21810","21250"
"In post","2022","Department for Business, Energy and Industrial Strategy","AA/AO","AO","Male","500","485","21780","21130"
"In post","2022","Department for Business, Energy and Industrial Strategy","EO","EO","Female","1110","1035","26240","25630"
"In post","2022","Department for Business, Energy and Industrial Strategy","EO","EO","Male","850","835","26810","26290"
"In post","2022","Department for Business, Energy and Industrial Strategy","G6/G7","G6","Female","440","415","66150","64990"
"In post","2022","Department for Business, Energy and Industrial Strategy","G6/G7","G6","Male","600","580","66620","64990"
"In post","2022","Department for Business, Energy and Industrial Strategy","G6/G7","G7","Female","1340","1285","54030","53380"
"In post","2022","Department for Business, Energy and Industrial Strategy","G6/G7","G7","Male","1640","1605","54730","53600"
"In post","2022","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","Female","180","170","86960","79620"
"In post","2022","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","Male","220","215","89000","81540"
"In post","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","Female","1600","1525","33420","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","Male","1515","1490","34300","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","Female","1400","1330","41390","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","Male","1685","1650","42090","40220"
"In post","2022","Department for Digital, Culture, Media and Sport","AA/AO","AO","Female","5","5","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","AA/AO","AO","Male","5","5","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","EO","Female","120","120","26910","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","EO","Male","65","65","26570","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","G6","Female","130","130","63500","62820"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","G6","Male","105","105","64400","63110"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","G7","Female","345","335","53340","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","G7","Male","335","335","53800","52130"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Female","70","65","83490","75250"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Male","55","55","83710","77430"
"In post","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Female","425","420","35430","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Male","350","350","35420","34020"
"In post","2022","Department for Education","AA/AO","AO","Female","90","80","21960","21250"
"In post","2022","Department for Education","AA/AO","AO","Male","35","35","22030","21250"
"In post","2022","Department for Education","EO","EO","Female","590","565","26270","25000"
"In post","2022","Department for Education","EO","EO","Male","340","340","26370","25000"
"In post","2022","Department for Education","G6/G7","G6","Female","530","495","64160","64180"
"In post","2022","Department for Education","G6/G7","G6","Male","475","470","64750","64180"
"In post","2022","Department for Education","G6/G7","G7","Female","1310","1245","52080","50630"
"In post","2022","Department for Education","G6/G7","G7","Male","935","925","52070","50630"
"In post","2022","Department for Education","SCS level","SCS level","Female","170","160","81420","74100"
"In post","2022","Department for Education","SCS level","SCS level","Male","125","125","84650","75980"
"In post","2022","Department for Education","SEO/HEO","HEO","Female","1085","1030","31150","30200"
"In post","2022","Department for Education","SEO/HEO","HEO","Male","680","675","31170","30090"
"In post","2022","Department for Education","SEO/HEO","SEO","Female","1400","1325","38770","36960"
"In post","2022","Department for Education","SEO/HEO","SEO","Male","925","920","38750","37030"
"In post","2022","Department for Environment, Food and Rural Affairs","AA/AO","AA","Female","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","AA/AO","AA","Male","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","AA/AO","AO","Female","1475","1310","21730","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","AA/AO","AO","Male","915","885","21720","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","EO","EO","Female","1375","1275","26070","25190"
"In post","2022","Department for Environment, Food and Rural Affairs","EO","EO","Male","925","900","26220","25300"
"In post","2022","Department for Environment, Food and Rural Affairs","G6/G7","G6","Female","325","310","62600","62410"
"In post","2022","Department for Environment, Food and Rural Affairs","G6/G7","G6","Male","335","330","62900","62080"
"In post","2022","Department for Environment, Food and Rural Affairs","G6/G7","G7","Female","1035","980","51280","50790"
"In post","2022","Department for Environment, Food and Rural Affairs","G6/G7","G7","Male","1000","985","51820","52290"
"In post","2022","Department for Environment, Food and Rural Affairs","SCS level","SCS level","Female","105","100","83430","76080"
"In post","2022","Department for Environment, Food and Rural Affairs","SCS level","SCS level","Male","115","115","82920","77390"
"In post","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","Female","1440","1365","31250","30330"
"In post","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","Male","1155","1140","31510","31030"
"In post","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","Female","1445","1355","38480","37360"
"In post","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","Male","1100","1080","38810","37690"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Male","15","15","[c]","[c]"
"In post","2022","Department for International Trade","AA/AO","AO","Female","15","15","[c]","[c]"
"In post","2022","Department for International Trade","AA/AO","AO","Male","10","10","[c]","[c]"
"In post","2022","Department for International Trade","EO","EO","Female","155","155","27370","26510"
"In post","2022","Department for International Trade","EO","EO","Male","115","115","27740","26510"
"In post","2022","Department for International Trade","G6/G7","G6","Female","140","135","64140","62660"
"In post","2022","Department for International Trade","G6/G7","G6","Male","170","170","65170","63900"
"In post","2022","Department for International Trade","G6/G7","G7","Female","405","395","53020","51970"
"In post","2022","Department for International Trade","G6/G7","G7","Male","450","450","53890","51970"
"In post","2022","Department for International Trade","SCS level","SCS level","Female","80","75","82110","75570"
"In post","2022","Department for International Trade","SCS level","SCS level","Male","95","95","90250","80010"
"In post","2022","Department for International Trade","SEO/HEO","HEO","Female","325","320","32690","31800"
"In post","2022","Department for International Trade","SEO/HEO","HEO","Male","300","295","32840","31800"
"In post","2022","Department for International Trade","SEO/HEO","SEO","Female","270","270","40130","38540"
"In post","2022","Department for International Trade","SEO/HEO","SEO","Male","350","350","39770","38540"
"In post","2022","Department for Levelling Up, Housing and Communities","AA/AO","AA","Female","5","5","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","AA/AO","AO","Female","120","105","22420","22560"
"In post","2022","Department for Levelling Up, Housing and Communities","AA/AO","AO","Male","90","85","23100","22560"
"In post","2022","Department for Levelling Up, Housing and Communities","EO","EO","Female","225","215","27610","27850"
"In post","2022","Department for Levelling Up, Housing and Communities","EO","EO","Male","215","210","27680","27850"
"In post","2022","Department for Levelling Up, Housing and Communities","G6/G7","G6","Female","270","250","64550","63470"
"In post","2022","Department for Levelling Up, Housing and Communities","G6/G7","G6","Male","325","305","64410","63470"
"In post","2022","Department for Levelling Up, Housing and Communities","G6/G7","G7","Female","565","540","52160","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","G6/G7","G7","Male","575","565","52260","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","SCS level","SCS level","Female","95","90","84090","76160"
"In post","2022","Department for Levelling Up, Housing and Communities","SCS level","SCS level","Male","85","85","88200","79850"
"In post","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","Female","465","450","32740","33210"
"In post","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","Male","400","395","33130","33210"
"In post","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","Female","370","360","39450","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","Male","340","340","39860","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","AA/AO","AA","Female","830","615","18380","18310"
"In post","2022","Department for Transport","AA/AO","AA","Male","455","420","19040","18310"
"In post","2022","Department for Transport","AA/AO","AO","Female","2510","2105","22040","21840"
"In post","2022","Department for Transport","AA/AO","AO","Male","1925","1845","24220","21840"
"In post","2022","Department for Transport","EO","EO","Female","1590","1460","27260","26780"
"In post","2022","Department for Transport","EO","EO","Male","2680","2555","28210","26780"
"In post","2022","Department for Transport","G6/G7","G6","Female","230","215","68270","66090"
"In post","2022","Department for Transport","G6/G7","G6","Male","365","360","69710","66230"
"In post","2022","Department for Transport","G6/G7","G7","Female","560","540","54220","54110"
"In post","2022","Department for Transport","G6/G7","G7","Male","895","880","57510","54760"
"In post","2022","Department for Transport","SCS level","SCS level","Female","120","115","84560","78000"
"In post","2022","Department for Transport","SCS level","SCS level","Male","135","130","91380","82840"
"In post","2022","Department for Transport","SEO/HEO","HEO","Female","950","910","32940","32180"
"In post","2022","Department for Transport","SEO/HEO","HEO","Male","1345","1320","34000","33860"
"In post","2022","Department for Transport","SEO/HEO","SEO","Female","700","680","41480","41650"
"In post","2022","Department for Transport","SEO/HEO","SEO","Male","1105","1090","43700","42470"
"In post","2022","Department for Work and Pensions","AA/AO","AA","Female","145","105","20410","20480"
"In post","2022","Department for Work and Pensions","AA/AO","AA","Male","135","120","20410","20480"
"In post","2022","Department for Work and Pensions","AA/AO","AO","Female","19400","15870","21410","21260"
"In post","2022","Department for Work and Pensions","AA/AO","AO","Male","9645","9185","21440","21260"
"In post","2022","Department for Work and Pensions","EO","EO","Female","31915","27925","28100","27570"
"In post","2022","Department for Work and Pensions","EO","EO","Male","16475","15835","28130","27570"
"In post","2022","Department for Work and Pensions","G6/G7","G6","Female","460","440","65310","65390"
"In post","2022","Department for Work and Pensions","G6/G7","G6","Male","615","600","68640","66580"
"In post","2022","Department for Work and Pensions","G6/G7","G7","Female","1425","1345","52340","50960"
"In post","2022","Department for Work and Pensions","G6/G7","G7","Male","1595","1560","55140","53820"
"In post","2022","Department for Work and Pensions","SCS level","SCS level","Female","155","150","85250","78180"
"In post","2022","Department for Work and Pensions","SCS level","SCS level","Male","145","145","90890","84230"
"In post","2022","Department for Work and Pensions","SEO/HEO","HEO","Female","4690","4320","33490","32380"
"In post","2022","Department for Work and Pensions","SEO/HEO","HEO","Male","2955","2860","33550","32170"
"In post","2022","Department for Work and Pensions","SEO/HEO","SEO","Female","2215","2065","38840","37480"
"In post","2022","Department for Work and Pensions","SEO/HEO","SEO","Male","2185","2130","42230","39840"
"In post","2022","Department of Health and Social Care","AA/AO","AA","Female","100","75","20660","19800"
"In post","2022","Department of Health and Social Care","AA/AO","AA","Male","40","35","20450","19520"
"In post","2022","Department of Health and Social Care","AA/AO","AO","Female","490","430","21880","21820"
"In post","2022","Department of Health and Social Care","AA/AO","AO","Male","195","180","21810","21820"
"In post","2022","Department of Health and Social Care","EO","EO","Female","1110","1035","26530","26880"
"In post","2022","Department of Health and Social Care","EO","EO","Male","450","430","26460","27010"
"In post","2022","Department of Health and Social Care","G6/G7","G6","Female","710","670","68280","66230"
"In post","2022","Department of Health and Social Care","G6/G7","G6","Male","515","495","68680","66230"
"In post","2022","Department of Health and Social Care","G6/G7","G7","Female","1620","1545","53090","53360"
"In post","2022","Department of Health and Social Care","G6/G7","G7","Male","990","975","53480","53360"
"In post","2022","Department of Health and Social Care","SCS level","SCS level","Female","445","410","94960","91310"
"In post","2022","Department of Health and Social Care","SCS level","SCS level","Male","370","350","98270","93000"
"In post","2022","Department of Health and Social Care","SEO/HEO","HEO","Female","1595","1500","32240","32640"
"In post","2022","Department of Health and Social Care","SEO/HEO","HEO","Male","775","760","32150","32650"
"In post","2022","Department of Health and Social Care","SEO/HEO","SEO","Female","1590","1495","40150","40470"
"In post","2022","Department of Health and Social Care","SEO/HEO","SEO","Male","815","800","40370","40650"
"In post","2022","Estyn","AA/AO","AO","Female","5","5","[c]","[c]"
"In post","2022","Estyn","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","EO","EO","Female","15","15","[c]","[c]"
"In post","2022","Estyn","EO","EO","Male","10","10","[c]","[c]"
"In post","2022","Estyn","G6/G7","G6","Female","35","30","74760","75480"
"In post","2022","Estyn","G6/G7","G6","Male","35","30","75460","75480"
"In post","2022","Estyn","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","AA/AO","AO","Female","5","5","[c]","[c]"
"In post","2022","Food Standards Agency","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","EO","EO","Female","95","90","26820","26750"
"In post","2022","Food Standards Agency","EO","EO","Male","335","320","27270","26750"
"In post","2022","Food Standards Agency","G6/G7","G6","Female","20","20","[c]","[c]"
"In post","2022","Food Standards Agency","G6/G7","G6","Male","35","30","63270","61210"
"In post","2022","Food Standards Agency","G6/G7","G7","Female","105","105","53940","52070"
"In post","2022","Food Standards Agency","G6/G7","G7","Male","100","100","53690","52070"
"In post","2022","Food Standards Agency","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Food Standards Agency","SCS level","SCS level","Male","15","10","[c]","[c]"
"In post","2022","Food Standards Agency","SEO/HEO","HEO","Female","195","190","31350","30810"
"In post","2022","Food Standards Agency","SEO/HEO","HEO","Male","145","145","31870","30900"
"In post","2022","Food Standards Agency","SEO/HEO","SEO","Female","210","205","39320","37910"
"In post","2022","Food Standards Agency","SEO/HEO","SEO","Male","175","175","39500","38960"
"In post","2022","Foreign, Commonwealth and Development Office","AA/AO","AA","Female","5","5","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","AA/AO","AO","Female","275","265","25600","25000"
"In post","2022","Foreign, Commonwealth and Development Office","AA/AO","AO","Male","235","230","26150","25000"
"In post","2022","Foreign, Commonwealth and Development Office","EO","EO","Female","490","465","29520","29300"
"In post","2022","Foreign, Commonwealth and Development Office","EO","EO","Male","365","365","29630","29300"
"In post","2022","Foreign, Commonwealth and Development Office","G6/G7","G6","Female","505","485","66690","66680"
"In post","2022","Foreign, Commonwealth and Development Office","G6/G7","G6","Male","590","585","67780","67370"
"In post","2022","Foreign, Commonwealth and Development Office","G6/G7","G7","Female","1065","1025","55310","55060"
"In post","2022","Foreign, Commonwealth and Development Office","G6/G7","G7","Male","1070","1045","56110","55620"
"In post","2022","Foreign, Commonwealth and Development Office","SCS level","SCS level","Female","230","225","84720","77700"
"In post","2022","Foreign, Commonwealth and Development Office","SCS level","SCS level","Male","310","310","87360","78010"
"In post","2022","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","Female","1030","1005","35760","35700"
"In post","2022","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","Male","1080","1065","35830","34770"
"In post","2022","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","Female","405","395","42600","43160"
"In post","2022","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","Male","515","510","43800","43300"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","Unknown","Male","55","55","21200","21600"
"In post","2022","HM Land Registry","AA/AO","AA","Female","15","15","[c]","[c]"
"In post","2022","HM Land Registry","AA/AO","AA","Male","20","20","[c]","[c]"
"In post","2022","HM Land Registry","AA/AO","AO","Female","1075","990","22690","22600"
"In post","2022","HM Land Registry","AA/AO","AO","Male","635","615","22750","22600"
"In post","2022","HM Land Registry","EO","EO","Female","1560","1335","27360","27130"
"In post","2022","HM Land Registry","EO","EO","Male","805","770","27670","27130"
"In post","2022","HM Land Registry","G6/G7","G6","Female","35","35","70320","69600"
"In post","2022","HM Land Registry","G6/G7","G6","Male","25","25","[c]","[c]"
"In post","2022","HM Land Registry","G6/G7","G7","Female","140","130","59490","60520"
"In post","2022","HM Land Registry","G6/G7","G7","Male","105","100","59560","58000"
"In post","2022","HM Land Registry","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2022","HM Land Registry","SCS level","SCS level","Male","15","15","[c]","[c]"
"In post","2022","HM Land Registry","SEO/HEO","HEO","Female","770","660","34370","33840"
"In post","2022","HM Land Registry","SEO/HEO","HEO","Male","585","535","34840","33840"
"In post","2022","HM Land Registry","SEO/HEO","SEO","Female","405","380","41290","39100"
"In post","2022","HM Land Registry","SEO/HEO","SEO","Male","435","405","42200","40860"
"In post","2022","HM Revenue and Customs","AA/AO","AA","Female","450","300","21310","21250"
"In post","2022","HM Revenue and Customs","AA/AO","AA","Male","240","215","21320","21250"
"In post","2022","HM Revenue and Customs","AA/AO","AO","Female","11540","9560","21780","21250"
"In post","2022","HM Revenue and Customs","AA/AO","AO","Male","8070","7645","21630","21250"
"In post","2022","HM Revenue and Customs","EO","EO","Female","8975","8100","27470","26820"
"In post","2022","HM Revenue and Customs","EO","EO","Male","7785","7535","27370","26820"
"In post","2022","HM Revenue and Customs","G6/G7","G6","Female","1010","965","69830","67910"
"In post","2022","HM Revenue and Customs","G6/G7","G6","Male","1275","1235","70370","67910"
"In post","2022","HM Revenue and Customs","G6/G7","G7","Female","2875","2745","56140","55210"
"In post","2022","HM Revenue and Customs","G6/G7","G7","Male","3585","3495","56470","55210"
"In post","2022","HM Revenue and Customs","SCS level","SCS level","Female","240","235","84760","78420"
"In post","2022","HM Revenue and Customs","SCS level","SCS level","Male","275","270","86710","79930"
"In post","2022","HM Revenue and Customs","SEO/HEO","HEO","Female","7980","7490","33990","33370"
"In post","2022","HM Revenue and Customs","SEO/HEO","HEO","Male","8450","8245","34140","33370"
"In post","2022","HM Revenue and Customs","SEO/HEO","SEO","Female","4285","4080","41060","40520"
"In post","2022","HM Revenue and Customs","SEO/HEO","SEO","Male","4340","4210","41460","40520"
"In post","2022","HM Treasury","AA/AO","AO","Female","35","35","22430","22750"
"In post","2022","HM Treasury","AA/AO","AO","Male","25","25","[c]","[c]"
"In post","2022","HM Treasury","EO","EO","Female","170","165","27140","26750"
"In post","2022","HM Treasury","EO","EO","Male","75","75","26450","25500"
"In post","2022","HM Treasury","G6/G7","G6","Female","160","150","65780","63770"
"In post","2022","HM Treasury","G6/G7","G6","Male","210","210","67890","64890"
"In post","2022","HM Treasury","G6/G7","G7","Female","350","335","54490","52840"
"In post","2022","HM Treasury","G6/G7","G7","Male","470","460","55370","53180"
"In post","2022","HM Treasury","SCS level","SCS level","Female","95","90","84390","77730"
"In post","2022","HM Treasury","SCS level","SCS level","Male","100","95","90910","80140"
"In post","2022","HM Treasury","SEO/HEO","HEO","Female","440","430","34370","32320"
"In post","2022","HM Treasury","SEO/HEO","HEO","Male","450","445","34440","32820"
"In post","2022","HM Treasury","SEO/HEO","SEO","Female","105","95","43090","42720"
"In post","2022","HM Treasury","SEO/HEO","SEO","Male","85","80","45130","44970"
"In post","2022","Home Office","AA/AO","AA","Female","415","330","19750","18240"
"In post","2022","Home Office","AA/AO","AA","Male","380","355","19900","18240"
"In post","2022","Home Office","AA/AO","AO","Female","3880","3315","22540","21680"
"In post","2022","Home Office","AA/AO","AO","Male","2695","2565","22420","21680"
"In post","2022","Home Office","EO","EO","Female","7445","6730","26780","25560"
"In post","2022","Home Office","EO","EO","Male","7475","7075","27050","25810"
"In post","2022","Home Office","G6/G7","G6","Female","485","460","68940","68720"
"In post","2022","Home Office","G6/G7","G6","Male","545","540","70060","68940"
"In post","2022","Home Office","G6/G7","G7","Female","1370","1330","56960","57430"
"In post","2022","Home Office","G6/G7","G7","Male","1485","1470","57500","57460"
"In post","2022","Home Office","SCS level","SCS level","Female","135","135","87680","80800"
"In post","2022","Home Office","SCS level","SCS level","Male","170","165","91790","83790"
"In post","2022","Home Office","SEO/HEO","HEO","Female","2990","2840","33220","32740"
"In post","2022","Home Office","SEO/HEO","HEO","Male","2825","2770","33220","32390"
"In post","2022","Home Office","SEO/HEO","SEO","Female","2060","1985","41070","41950"
"In post","2022","Home Office","SEO/HEO","SEO","Male","1960","1945","41120","41950"
"In post","2022","Home Office","Unknown","Unknown","Female","85","85","[c]","[c]"
"In post","2022","Home Office","Unknown","Unknown","Male","135","130","[c]","[c]"
"In post","2022","Ministry of Defence","AA/AO","AA","Female","1340","1250","19700","19810"
"In post","2022","Ministry of Defence","AA/AO","AA","Male","3635","3550","19970","19810"
