"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Medicine","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","AO","35","30","20960","20350"
"In post","2022","Analysis","Operational Delivery","EO","235","220","25720","24870"
"In post","2022","Analysis","Operational Delivery","G6","25","25","69910","66300"
"In post","2022","Analysis","Operational Delivery","G7","105","105","53100","51700"
"In post","2022","Analysis","Operational Delivery","HEO","240","230","31590","30710"
"In post","2022","Analysis","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","SEO","205","200","38590","37580"
"In post","2022","Analysis","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","AO","30","30","22980","21840"
"In post","2022","Analysis","Operational Research","EO","30","30","26920","26350"
"In post","2022","Analysis","Operational Research","G6","35","35","70920","70170"
"In post","2022","Analysis","Operational Research","G7","260","245","54080","54270"
"In post","2022","Analysis","Operational Research","HEO","180","175","33130","33350"
"In post","2022","Analysis","Operational Research","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","SEO","170","160","41610","40520"
"In post","2022","Analysis","Other","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Other","EO","55","55","28420","28230"
"In post","2022","Analysis","Other","G6","115","100","89080","82180"
"In post","2022","Analysis","Other","G7","70","70","55510","55630"
"In post","2022","Analysis","Other","HEO","75","75","35760","35000"
"In post","2022","Analysis","Other","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Other","SEO","50","50","43190","42290"
"In post","2022","Analysis","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","EO","45","45","28260","27660"
"In post","2022","Analysis","Policy","G6","90","85","67460","66230"
"In post","2022","Analysis","Policy","G7","205","195","54500","53360"
"In post","2022","Analysis","Policy","HEO","105","100","34950","34980"
"In post","2022","Analysis","Policy","SCS level","15","15","84210","77880"
"In post","2022","Analysis","Policy","SEO","110","100","41290","40840"
"In post","2022","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","AO","35","35","21410","21510"
"In post","2022","Analysis","Science and Engineering","EO","105","100","25290","25010"
"In post","2022","Analysis","Science and Engineering","G6","35","35","63940","64410"
"In post","2022","Analysis","Science and Engineering","G7","130","120","50960","48080"
"In post","2022","Analysis","Science and Engineering","HEO","200","195","30200","29750"
"In post","2022","Analysis","Science and Engineering","SCS level","10","10","88420","84640"
"In post","2022","Analysis","Science and Engineering","SEO","185","175","38210","37960"
"In post","2022","Analysis","Security","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Social Research","EO","10","10","25480","25620"
"In post","2022","Analysis","Social Research","G6","55","50","65990","65450"
"In post","2022","Analysis","Social Research","G7","240","230","54560","53600"
"In post","2022","Analysis","Social Research","HEO","425","415","32460","31000"
"In post","2022","Analysis","Social Research","SCS level","15","15","77450","76670"
"In post","2022","Analysis","Social Research","SEO","330","315","39830","38340"
"In post","2022","Analysis","Statistics","AO","25","25","22530","21840"
"In post","2022","Analysis","Statistics","EO","200","190","27720","27850"
"In post","2022","Analysis","Statistics","G6","150","140","66830","66370"
"In post","2022","Analysis","Statistics","G7","515","490","55550","54540"
"In post","2022","Analysis","Statistics","HEO","580","565","33770","33370"
"In post","2022","Analysis","Statistics","SCS level","50","50","85310","79130"
"In post","2022","Analysis","Statistics","SEO","550","530","40780","40250"
"In post","2022","Analysis","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Tax","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","AO","45","45","22460","21260"
"In post","2022","Analysis","Unknown","EO","10","10","28540","27570"
"In post","2022","Analysis","Unknown","G6","10","10","69850","69830"
"In post","2022","Analysis","Unknown","G7","40","40","58120","57230"
"In post","2022","Analysis","Unknown","HEO","20","20","35290","34610"
"In post","2022","Analysis","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","SEO","25","20","41100","40600"
"In post","2022","Commercial","Commercial","AA","35","30","22320","21640"
"In post","2022","Commercial","Commercial","AO","195","180","22690","21840"
"In post","2022","Commercial","Commercial","EO","615","590","26640","26350"
"In post","2022","Commercial","Commercial","G6","240","235","66610","66220"
"In post","2022","Commercial","Commercial","G7","550","535","52320","53360"
"In post","2022","Commercial","Commercial","HEO","945","910","32800","33000"
"In post","2022","Commercial","Commercial","SCS level","75","70","84990","78520"
"In post","2022","Commercial","Commercial","SEO","1265","1225","40390","40520"
"In post","2022","Commercial","Commercial","Unknown","165","165","40030","37400"
"In post","2022","Commercial","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Finance","HEO","20","20","31890","30450"
"In post","2022","Commercial","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","SEO","15","15","39190","40650"
"In post","2022","Commercial","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Operational Delivery","AO","50","45","22410","21300"
"In post","2022","Commercial","Operational Delivery","EO","70","65","27600","26820"
"In post","2022","Commercial","Operational Delivery","G6","20","20","76480","78600"
"In post","2022","Commercial","Operational Delivery","G7","70","70","59740","59740"
"In post","2022","Commercial","Operational Delivery","HEO","65","65","33440","33350"
"In post","2022","Commercial","Operational Delivery","SCS level","10","10","124090","115350"
"In post","2022","Commercial","Operational Delivery","SEO","115","110","43080","42000"
"In post","2022","Commercial","Other","EO","15","15","23440","22290"
"In post","2022","Commercial","Other","G6","10","10","[c]","[c]"
"In post","2022","Commercial","Other","G7","20","20","50020","49540"
"In post","2022","Commercial","Other","HEO","15","15","29600","29740"
"In post","2022","Commercial","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Other","SEO","25","25","39180","39880"
"In post","2022","Commercial","Policy","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Policy","G7","15","15","55280","55780"
"In post","2022","Commercial","Policy","HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Policy","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","Project Delivery","G6","10","10","66230","68500"
"In post","2022","Commercial","Project Delivery","G7","25","25","52360","54750"
"In post","2022","Commercial","Project Delivery","HEO","20","20","31000","31600"
"In post","2022","Commercial","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Project Delivery","SEO","40","40","39960","39650"
"In post","2022","Commercial","Property","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Science and Engineering","AO","5","5","[c]","[c]"
"In post","2022","Commercial","Science and Engineering","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Science and Engineering","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Science and Engineering","G7","25","25","53520","53450"
"In post","2022","Commercial","Science and Engineering","HEO","30","30","32480","31950"
"In post","2022","Commercial","Science and Engineering","SEO","50","50","41470","42020"
"In post","2022","Commercial","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Tax","HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Tax","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","EO","40","40","26730","27500"
"In post","2022","Commercial","Unknown","G6","385","385","75830","73210"
"In post","2022","Commercial","Unknown","G7","850","835","59920","60590"
"In post","2022","Commercial","Unknown","HEO","50","50","33560","33370"
"In post","2022","Commercial","Unknown","SCS level","240","235","118900","117230"
"In post","2022","Commercial","Unknown","SEO","110","110","39880","40520"
"In post","2022","Commercial","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Veterinarian","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Commercial","G6","5","5","[c]","[c]"
"In post","2022","Communications","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Commercial","HEO","5","5","[c]","[c]"
"In post","2022","Communications","Communications","AA","15","15","20400","20060"
"In post","2022","Communications","Communications","AO","170","165","22300","21670"
"In post","2022","Communications","Communications","EO","510","490","27740","27270"
"In post","2022","Communications","Communications","G6","275","270","67260","66230"
"In post","2022","Communications","Communications","G7","615","595","54880","54280"
"In post","2022","Communications","Communications","HEO","900","875","34140","33300"
"In post","2022","Communications","Communications","SCS level","100","100","89290","85000"
"In post","2022","Communications","Communications","SEO","835","810","41790","41030"
"In post","2022","Communications","Communications","Unknown","15","15","36710","31420"
"In post","2022","Communications","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","G7","5","5","[c]","[c]"
"In post","2022","Communications","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Human Resources","EO","10","10","[c]","[c]"
"In post","2022","Communications","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Human Resources","G7","5","5","[c]","[c]"
"In post","2022","Communications","Human Resources","HEO","10","10","[c]","[c]"
"In post","2022","Communications","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Knowledge and Information Management","AO","5","5","[c]","[c]"
"In post","2022","Communications","Knowledge and Information Management","EO","25","20","31560","31760"
"In post","2022","Communications","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Knowledge and Information Management","G7","10","10","[c]","[c]"
"In post","2022","Communications","Knowledge and Information Management","HEO","35","30","39430","38490"
"In post","2022","Communications","Knowledge and Information Management","SEO","25","25","44810","45090"
"In post","2022","Communications","Operational Delivery","AA","10","10","21250","21250"
"In post","2022","Communications","Operational Delivery","AO","245","215","21520","21250"
"In post","2022","Communications","Operational Delivery","EO","795","770","26590","26590"
"In post","2022","Communications","Operational Delivery","G6","10","10","68060","68500"
"In post","2022","Communications","Operational Delivery","G7","50","50","51970","54610"
"In post","2022","Communications","Operational Delivery","HEO","485","475","33040","33370"
"In post","2022","Communications","Operational Delivery","SCS level","5","5","[c]","[c]"
"In post","2022","Communications","Operational Delivery","SEO","210","205","39670","40520"
"In post","2022","Communications","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","EO","15","15","27520","27080"
"In post","2022","Communications","Other","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","HEO","10","10","30550","31490"
"In post","2022","Communications","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","SEO","10","10","[c]","[c]"
"In post","2022","Communications","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Policy","G7","5","5","[c]","[c]"
"In post","2022","Communications","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Policy","SEO","15","15","47540","50400"
"In post","2022","Communications","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Tax","AO","35","25","21600","21250"
"In post","2022","Communications","Tax","EO","1765","1710","26800","26820"
"In post","2022","Communications","Tax","G6","5","5","[c]","[c]"
"In post","2022","Communications","Tax","G7","25","25","51890","54160"
"In post","2022","Communications","Tax","HEO","580","560","33190","33370"
"In post","2022","Communications","Tax","SEO","90","85","38610","40520"
"In post","2022","Communications","Unknown","AO","10","10","22520","22870"
"In post","2022","Communications","Unknown","EO","115","115","26840","26590"
"In post","2022","Communications","Unknown","G6","50","50","67810","66700"
"In post","2022","Communications","Unknown","G7","115","110","56020","54700"
"In post","2022","Communications","Unknown","HEO","115","115","34070","33370"
"In post","2022","Communications","Unknown","SCS level","25","25","96030","85000"
"In post","2022","Communications","Unknown","SEO","120","120","41130","40600"
"In post","2022","Counter Fraud","Counter Fraud","AA","15","15","21240","21760"
"In post","2022","Counter Fraud","Counter Fraud","AO","1440","1235","22540","21260"
"In post","2022","Counter Fraud","Counter Fraud","EO","3500","3140","28230","27570"
"In post","2022","Counter Fraud","Counter Fraud","G6","50","50","69790","68260"
"In post","2022","Counter Fraud","Counter Fraud","G7","110","110","55460","54230"
"In post","2022","Counter Fraud","Counter Fraud","HEO","960","910","33940","33120"
"In post","2022","Counter Fraud","Counter Fraud","SCS level","10","10","91350","80000"
"In post","2022","Counter Fraud","Counter Fraud","SEO","305","295","40330","40000"
"In post","2022","Counter Fraud","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","EO","60","55","28430","26820"
"In post","2022","Counter Fraud","Intelligence Analysis","G6","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","G7","30","25","58290","55310"
"In post","2022","Counter Fraud","Intelligence Analysis","HEO","95","95","35020","33370"
"In post","2022","Counter Fraud","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","SEO","60","55","41390","40520"
"In post","2022","Counter Fraud","Knowledge and Information Management","AO","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","HEO","10","10","34280","35980"
"In post","2022","Counter Fraud","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","SEO","10","10","42780","43570"
"In post","2022","Counter Fraud","Legal","AO","215","185","22170","22080"
"In post","2022","Counter Fraud","Legal","EO","1350","1290","28330","26820"
"In post","2022","Counter Fraud","Legal","G6","35","35","70280","67950"
"In post","2022","Counter Fraud","Legal","G7","140","140","56830","55210"
"In post","2022","Counter Fraud","Legal","HEO","1210","1165","34900","33370"
"In post","2022","Counter Fraud","Legal","SCS level","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Legal","SEO","440","425","41750","40520"
"In post","2022","Counter Fraud","Operational Delivery","AA","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Operational Delivery","AO","1010","885","22050","21260"
"In post","2022","Counter Fraud","Operational Delivery","EO","1360","1250","27790","26820"
"In post","2022","Counter Fraud","Operational Delivery","G6","40","40","67740","67910"
"In post","2022","Counter Fraud","Operational Delivery","G7","145","140","56680","55210"
"In post","2022","Counter Fraud","Operational Delivery","HEO","940","880","33870","33370"
"In post","2022","Counter Fraud","Operational Delivery","SCS level","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Operational Delivery","SEO","385","365","40820","40520"
"In post","2022","Counter Fraud","Operational Research","EO","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Other","AO","15","15","25680","26400"
"In post","2022","Counter Fraud","Other","EO","80","70","28870","28920"
"In post","2022","Counter Fraud","Other","G6","20","20","69100","67910"
"In post","2022","Counter Fraud","Other","G7","85","75","57060","55210"
"In post","2022","Counter Fraud","Other","HEO","70","65","34570","33370"
"In post","2022","Counter Fraud","Other","SEO","55","55","41150","40520"
"In post","2022","Counter Fraud","Tax","AO","15","15","22710","22080"
"In post","2022","Counter Fraud","Tax","EO","415","375","28260","26820"
"In post","2022","Counter Fraud","Tax","G6","140","135","70040","67910"
"In post","2022","Counter Fraud","Tax","G7","420","400","56400","55210"
"In post","2022","Counter Fraud","Tax","HEO","565","530","34500","33370"
"In post","2022","Counter Fraud","Tax","SCS level","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Tax","SEO","350","335","41270","40520"
"In post","2022","Counter Fraud","Unknown","AO","30","30","21660","21250"
"In post","2022","Counter Fraud","Unknown","EO","425","420","27740","26590"
"In post","2022","Counter Fraud","Unknown","G6","20","20","65310","64500"
"In post","2022","Counter Fraud","Unknown","G7","60","55","55050","54700"
"In post","2022","Counter Fraud","Unknown","HEO","190","190","34730","33370"
"In post","2022","Counter Fraud","Unknown","SCS level","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","SEO","60","60","40780","40180"
"In post","2022","Debt","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Operational Delivery","AO","2290","2015","22060","21250"
"In post","2022","Debt","Operational Delivery","EO","760","690","28030","26820"
"In post","2022","Debt","Operational Delivery","G6","15","15","76670","67910"
"In post","2022","Debt","Operational Delivery","G7","30","30","55900","55210"
"In post","2022","Debt","Operational Delivery","HEO","175","165","33910","33370"
"In post","2022","Debt","Operational Delivery","SEO","75","70","40730","40520"
"In post","2022","Debt","Other","AA","40","30","20410","20480"
"In post","2022","Debt","Other","AO","2025","1715","21290","21260"
"In post","2022","Debt","Other","EO","350","305","27700","27570"
"In post","2022","Debt","Other","HEO","85","75","32610","31990"
"In post","2022","Debt","Other","SEO","10","10","35830","35310"
"In post","2022","Debt","Tax","AO","760","725","21410","21250"
"In post","2022","Debt","Tax","EO","85","85","26720","26820"
"In post","2022","Debt","Tax","G6","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Tax","G7","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Tax","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Tax","SEO","5","5","[c]","[c]"
"In post","2022","Debt","Unknown","AO","75","70","21530","21250"
"In post","2022","Debt","Unknown","EO","25","25","26740","26820"
"In post","2022","Debt","Unknown","G7","5","5","[c]","[c]"
"In post","2022","Debt","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","HEO","10","10","32390","32790"
"In post","2022","Digital, Data & Technology","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","SEO","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Communications","HEO","10","10","35300","32960"
"In post","2022","Digital, Data & Technology","Communications","SEO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","AA","85","80","19600","19380"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","AO","545","530","22150","21380"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","EO","3240","3100","27740","27570"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","G6","1055","1045","68440","67670"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","G7","3555","3490","55020","54240"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","HEO","4225","4100","33800","33300"
