"Status","Year","Ethnicity","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","White","No function","Foreign, Commonwealth and Development Office","SEO/HEO","1010","1000","37450","36580"
"In post","2022","White","No function","HM Land Registry","AA/AO","1000","930","22670","22600"
"In post","2022","White","No function","HM Land Registry","EO","1640","1435","27210","27130"
"In post","2022","White","No function","HM Land Registry","G6/G7","35","35","60690","56750"
"In post","2022","White","No function","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","HM Land Registry","SEO/HEO","1270","1110","36050","33840"
"In post","2022","White","No function","HM Revenue and Customs","AA/AO","7600","6455","21610","21250"
"In post","2022","White","No function","HM Revenue and Customs","EO","4300","3905","27050","26820"
"In post","2022","White","No function","HM Revenue and Customs","G6/G7","2200","2105","59270","55210"
"In post","2022","White","No function","HM Revenue and Customs","SCS level","95","95","82630","78420"
"In post","2022","White","No function","HM Revenue and Customs","SEO/HEO","6550","6245","35830","33370"
"In post","2022","White","No function","HM Treasury","AA/AO","15","10","[c]","[c]"
"In post","2022","White","No function","HM Treasury","EO","105","105","26900","26750"
"In post","2022","White","No function","HM Treasury","G6/G7","645","625","58120","55500"
"In post","2022","White","No function","HM Treasury","SCS level","125","120","86170","78000"
"In post","2022","White","No function","HM Treasury","SEO/HEO","500","495","33660","32320"
"In post","2022","White","No function","Ministry of Defence","AA/AO","205","200","20090","20420"
"In post","2022","White","No function","Ministry of Defence","EO","415","390","27790","28150"
"In post","2022","White","No function","Ministry of Defence","G6/G7","980","930","52870","48090"
"In post","2022","White","No function","Ministry of Defence","SCS level","5","5","[c]","[c]"
"In post","2022","White","No function","Ministry of Defence","SEO/HEO","1295","1255","34560","34000"
"In post","2022","White","No function","Ministry of Justice","AA/AO","27870","25630","24990","23960"
"In post","2022","White","No function","Ministry of Justice","EO","7740","7335","29320","28310"
"In post","2022","White","No function","Ministry of Justice","G6/G7","1485","1440","64550","61630"
"In post","2022","White","No function","Ministry of Justice","SCS level","190","185","88930","83600"
"In post","2022","White","No function","Ministry of Justice","SEO/HEO","7785","7430","39390","38160"
"In post","2022","White","No function","Ministry of Justice","Unknown","12560","11670","30430","28200"
"In post","2022","White","No function","National Crime Agency","AA/AO","140","125","24000","24470"
"In post","2022","White","No function","National Crime Agency","EO","1775","1735","34410","34140"
"In post","2022","White","No function","National Crime Agency","G6/G7","210","205","67110","65940"
"In post","2022","White","No function","National Crime Agency","SCS level","20","20","[c]","[c]"
"In post","2022","White","No function","National Crime Agency","SEO/HEO","1540","1510","44870","43710"
"In post","2022","White","No function","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Northern Ireland Office","EO","5","5","[c]","[c]"
"In post","2022","White","No function","Northern Ireland Office","G6/G7","20","20","[c]","[c]"
"In post","2022","White","No function","Northern Ireland Office","SCS level","10","10","[c]","[c]"
"In post","2022","White","No function","Northern Ireland Office","SEO/HEO","35","35","37720","36720"
"In post","2022","White","No function","Office for Standards in Education, Children's Services and Skills","AA/AO","140","125","21450","21410"
"In post","2022","White","No function","Office for Standards in Education, Children's Services and Skills","EO","120","115","26360","25880"
"In post","2022","White","No function","Office for Standards in Education, Children's Services and Skills","G6/G7","480","475","74400","75500"
"In post","2022","White","No function","Office for Standards in Education, Children's Services and Skills","SCS level","20","20","[c]","[c]"
"In post","2022","White","No function","Office for Standards in Education, Children's Services and Skills","SEO/HEO","460","440","46340","51360"
"In post","2022","White","No function","Office of Gas and Electricity Markets","AA/AO","30","30","19400","18430"
"In post","2022","White","No function","Office of Gas and Electricity Markets","EO","180","175","25200","24250"
"In post","2022","White","No function","Office of Gas and Electricity Markets","G6/G7","190","185","57170","54710"
"In post","2022","White","No function","Office of Gas and Electricity Markets","SCS level","30","25","[c]","[c]"
"In post","2022","White","No function","Office of Gas and Electricity Markets","SEO/HEO","185","185","34870","33760"
"In post","2022","White","No function","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Office of Qualifications and Examinations Regulation","EO","10","10","[c]","[c]"
"In post","2022","White","No function","Office of Qualifications and Examinations Regulation","G6/G7","75","70","52940","48350"
"In post","2022","White","No function","Office of Qualifications and Examinations Regulation","SCS level","15","15","[c]","[c]"
"In post","2022","White","No function","Office of Qualifications and Examinations Regulation","SEO/HEO","75","70","36190","38000"
"In post","2022","White","No function","Office of Rail and Road","AA/AO","5","5","[c]","[c]"
"In post","2022","White","No function","Office of Rail and Road","EO","5","5","[c]","[c]"
"In post","2022","White","No function","Office of Rail and Road","G6/G7","120","110","61470","60120"
"In post","2022","White","No function","Office of Rail and Road","SCS level","10","10","[c]","[c]"
"In post","2022","White","No function","Office of Rail and Road","SEO/HEO","40","40","40230","41520"
"In post","2022","White","No function","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Office of the Secretary of State for Scotland","G6/G7","5","5","[c]","[c]"
"In post","2022","White","No function","Office of the Secretary of State for Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Office of the Secretary of State for Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Office of the Secretary of State for Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Office of the Secretary of State for Wales","G6/G7","5","5","[c]","[c]"
"In post","2022","White","No function","Office of the Secretary of State for Wales","SCS level","5","5","[c]","[c]"
"In post","2022","White","No function","Office of the Secretary of State for Wales","SEO/HEO","5","5","[c]","[c]"
"In post","2022","White","No function","Scottish Government","AA/AO","1530","1410","23470","23230"
"In post","2022","White","No function","Scottish Government","EO","1335","1265","32190","32170"
"In post","2022","White","No function","Scottish Government","G6/G7","100","100","64190","62000"
"In post","2022","White","No function","Scottish Government","SCS level","15","15","[c]","[c]"
"In post","2022","White","No function","Scottish Government","SEO/HEO","940","885","38480","37710"
"In post","2022","White","No function","The National Archives","AA/AO","35","30","20690","20680"
"In post","2022","White","No function","The National Archives","EO","30","30","25090","24960"
"In post","2022","White","No function","The National Archives","G6/G7","30","30","[c]","[c]"
"In post","2022","White","No function","The National Archives","SCS level","5","5","[c]","[c]"
"In post","2022","White","No function","The National Archives","SEO/HEO","120","115","33650","33170"
"In post","2022","White","No function","UK Statistics Authority","AA/AO","1005","695","20200","20350"
"In post","2022","White","No function","UK Statistics Authority","EO","300","280","24560","23880"
"In post","2022","White","No function","UK Statistics Authority","G6/G7","180","175","53900","51210"
"In post","2022","White","No function","UK Statistics Authority","SCS level","15","15","[c]","[c]"
"In post","2022","White","No function","UK Statistics Authority","SEO/HEO","475","450","33810","33060"
"In post","2022","White","No function","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Water Services Regulation Authority","EO","10","10","[c]","[c]"
"In post","2022","White","No function","Water Services Regulation Authority","G6/G7","20","20","[c]","[c]"
"In post","2022","White","No function","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Water Services Regulation Authority","SEO/HEO","40","35","48880","50920"
"In post","2022","White","No function","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Welsh Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","No function","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Attorney General's Departments","G6/G7","10","10","[c]","[c]"
"In post","2022","White","Project Delivery","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Attorney General's Departments","SEO/HEO","5","5","[c]","[c]"
"In post","2022","White","Project Delivery","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Cabinet Office","EO","10","10","[c]","[c]"
"In post","2022","White","Project Delivery","Cabinet Office","G6/G7","60","60","58960","58560"
"In post","2022","White","Project Delivery","Cabinet Office","SCS level","45","45","114990","115000"
"In post","2022","White","Project Delivery","Cabinet Office","SEO/HEO","30","30","35680","34550"
"In post","2022","White","Project Delivery","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Chancellor's other departments","G6/G7","10","10","[c]","[c]"
"In post","2022","White","Project Delivery","Chancellor's other departments","SEO/HEO","5","5","[c]","[c]"
"In post","2022","White","Project Delivery","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Charity Commission","SEO/HEO","10","10","[c]","[c]"
"In post","2022","White","Project Delivery","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Competition and Markets Authority","EO","25","25","[c]","[c]"
"In post","2022","White","Project Delivery","Competition and Markets Authority","G6/G7","130","120","65810","62890"
"In post","2022","White","Project Delivery","Competition and Markets Authority","SCS level","50","50","108500","100870"
"In post","2022","White","Project Delivery","Competition and Markets Authority","SEO/HEO","45","45","36580","34870"
"In post","2022","White","Project Delivery","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Business, Energy and Industrial Strategy","EO","50","50","25570","24610"
"In post","2022","White","Project Delivery","Department for Business, Energy and Industrial Strategy","G6/G7","235","225","53520","51630"
"In post","2022","White","Project Delivery","Department for Business, Energy and Industrial Strategy","SCS level","15","15","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Business, Energy and Industrial Strategy","SEO/HEO","335","320","37890","39580"
"In post","2022","White","Project Delivery","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Education","EO","5","5","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Education","G6/G7","30","30","54710","50210"
"In post","2022","White","Project Delivery","Department for Education","SEO/HEO","25","25","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Environment, Food and Rural Affairs","AA/AO","35","30","21210","21300"
"In post","2022","White","Project Delivery","Department for Environment, Food and Rural Affairs","EO","50","50","25200","24920"
"In post","2022","White","Project Delivery","Department for Environment, Food and Rural Affairs","G6/G7","45","40","52140","49370"
"In post","2022","White","Project Delivery","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Environment, Food and Rural Affairs","SEO/HEO","120","110","33120","32310"
"In post","2022","White","Project Delivery","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Department for International Trade","G6/G7","20","20","[c]","[c]"
"In post","2022","White","Project Delivery","Department for International Trade","SCS level","5","5","[c]","[c]"
"In post","2022","White","Project Delivery","Department for International Trade","SEO/HEO","5","5","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Levelling Up, Housing and Communities","G6/G7","60","55","54630","53130"
"In post","2022","White","Project Delivery","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Levelling Up, Housing and Communities","SEO/HEO","50","50","36140","35590"
"In post","2022","White","Project Delivery","Department for Transport","AA/AO","10","10","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Transport","EO","55","50","26530","26350"
"In post","2022","White","Project Delivery","Department for Transport","G6/G7","140","135","59390","57150"
"In post","2022","White","Project Delivery","Department for Transport","SCS level","30","30","88740","84990"
"In post","2022","White","Project Delivery","Department for Transport","SEO/HEO","135","135","36810","35090"
"In post","2022","White","Project Delivery","Department for Work and Pensions","AA/AO","230","195","21390","21260"
"In post","2022","White","Project Delivery","Department for Work and Pensions","EO","160","145","27880","27570"
"In post","2022","White","Project Delivery","Department for Work and Pensions","G6/G7","200","185","54620","50690"
"In post","2022","White","Project Delivery","Department for Work and Pensions","SCS level","25","25","[c]","[c]"
"In post","2022","White","Project Delivery","Department for Work and Pensions","SEO/HEO","550","495","35000","34290"
"In post","2022","White","Project Delivery","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Department of Health and Social Care","G6/G7","5","5","[c]","[c]"
"In post","2022","White","Project Delivery","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Estyn","EO","15","15","[c]","[c]"
"In post","2022","White","Project Delivery","Estyn","G6/G7","70","65","74000","75480"
"In post","2022","White","Project Delivery","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Food Standards Agency","EO","5","5","[c]","[c]"
"In post","2022","White","Project Delivery","Food Standards Agency","G6/G7","15","10","[c]","[c]"
"In post","2022","White","Project Delivery","Food Standards Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2022","White","Project Delivery","Foreign, Commonwealth and Development Office","AA/AO","15","10","[c]","[c]"
"In post","2022","White","Project Delivery","Foreign, Commonwealth and Development Office","EO","60","55","27210","26120"
"In post","2022","White","Project Delivery","Foreign, Commonwealth and Development Office","G6/G7","690","665","59660","58030"
"In post","2022","White","Project Delivery","Foreign, Commonwealth and Development Office","SCS level","65","60","81240","77650"
"In post","2022","White","Project Delivery","Foreign, Commonwealth and Development Office","SEO/HEO","230","220","37510","38600"
"In post","2022","White","Project Delivery","HM Land Registry","AA/AO","20","20","[c]","[c]"
"In post","2022","White","Project Delivery","HM Land Registry","EO","10","10","[c]","[c]"
"In post","2022","White","Project Delivery","HM Land Registry","G6/G7","20","20","[c]","[c]"
"In post","2022","White","Project Delivery","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","HM Land Registry","SEO/HEO","80","80","38690","38550"
"In post","2022","White","Project Delivery","HM Revenue and Customs","AA/AO","30","25","21930","22080"
"In post","2022","White","Project Delivery","HM Revenue and Customs","EO","310","275","27970","26820"
"In post","2022","White","Project Delivery","HM Revenue and Customs","G6/G7","1245","1205","60570","55210"
"In post","2022","White","Project Delivery","HM Revenue and Customs","SCS level","105","105","82940","78420"
"In post","2022","White","Project Delivery","HM Revenue and Customs","SEO/HEO","1720","1625","37940","40180"
"In post","2022","White","Project Delivery","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","HM Treasury","G6/G7","15","15","[c]","[c]"
"In post","2022","White","Project Delivery","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","HM Treasury","SEO/HEO","10","10","[c]","[c]"
"In post","2022","White","Project Delivery","Ministry of Defence","AA/AO","40","40","20730","21170"
"In post","2022","White","Project Delivery","Ministry of Defence","EO","1780","1700","23310","23480"
"In post","2022","White","Project Delivery","Ministry of Defence","G6/G7","2235","2180","56300","54570"
"In post","2022","White","Project Delivery","Ministry of Defence","SCS level","120","120","95560","87500"
"In post","2022","White","Project Delivery","Ministry of Defence","SEO/HEO","6155","5930","36240","36500"
"In post","2022","White","Project Delivery","Ministry of Defence","Unknown","1335","1305","41430","39860"
"In post","2022","White","Project Delivery","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Ministry of Justice","EO","15","15","[c]","[c]"
"In post","2022","White","Project Delivery","Ministry of Justice","G6/G7","60","60","56270","54560"
"In post","2022","White","Project Delivery","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Ministry of Justice","SEO/HEO","100","100","37140","36050"
"In post","2022","White","Project Delivery","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","National Crime Agency","EO","5","5","[c]","[c]"
"In post","2022","White","Project Delivery","National Crime Agency","G6/G7","10","10","[c]","[c]"
"In post","2022","White","Project Delivery","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","National Crime Agency","SEO/HEO","45","45","43040","44910"
"In post","2022","White","Project Delivery","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Office for Standards in Education, Children's Services and Skills","G6/G7","10","10","[c]","[c]"
"In post","2022","White","Project Delivery","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Office for Standards in Education, Children's Services and Skills","SEO/HEO","20","20","[c]","[c]"
"In post","2022","White","Project Delivery","Office of Gas and Electricity Markets","G6/G7","15","10","[c]","[c]"
"In post","2022","White","Project Delivery","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Scottish Government","G6/G7","5","5","[c]","[c]"
"In post","2022","White","Project Delivery","Scottish Government","SEO/HEO","15","15","[c]","[c]"
"In post","2022","White","Project Delivery","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","UK Statistics Authority","EO","10","10","[c]","[c]"
"In post","2022","White","Project Delivery","UK Statistics Authority","G6/G7","75","75","53220","50210"
"In post","2022","White","Project Delivery","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","UK Statistics Authority","SEO/HEO","115","110","34250","36840"
"In post","2022","White","Project Delivery","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Water Services Regulation Authority","SEO/HEO","10","10","[c]","[c]"
"In post","2022","White","Project Delivery","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Project Delivery","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Attorney General's Departments","SEO/HEO","15","15","[c]","[c]"
"In post","2022","White","Property","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Cabinet Office","EO","15","15","[c]","[c]"
"In post","2022","White","Property","Cabinet Office","G6/G7","155","150","58320","56520"
"In post","2022","White","Property","Cabinet Office","SCS level","25","25","[c]","[c]"
"In post","2022","White","Property","Cabinet Office","SEO/HEO","100","95","35920","36290"
"In post","2022","White","Property","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department for Business, Energy and Industrial Strategy","AA/AO","10","10","[c]","[c]"
"In post","2022","White","Property","Department for Business, Energy and Industrial Strategy","EO","15","15","[c]","[c]"
"In post","2022","White","Property","Department for Business, Energy and Industrial Strategy","G6/G7","15","15","[c]","[c]"
"In post","2022","White","Property","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department for Business, Energy and Industrial Strategy","SEO/HEO","15","15","[c]","[c]"
"In post","2022","White","Property","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department for Digital, Culture, Media and Sport","G6/G7","5","5","[c]","[c]"
"In post","2022","White","Property","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department for Education","EO","40","40","25750","25000"
"In post","2022","White","Property","Department for Education","G6/G7","275","270","59020","61010"
"In post","2022","White","Property","Department for Education","SCS level","10","10","[c]","[c]"
"In post","2022","White","Property","Department for Education","SEO/HEO","85","80","33590","32940"
"In post","2022","White","Property","Department for Environment, Food and Rural Affairs","AA/AO","30","25","21690","21300"
"In post","2022","White","Property","Department for Environment, Food and Rural Affairs","EO","65","60","25720","25100"
"In post","2022","White","Property","Department for Environment, Food and Rural Affairs","G6/G7","100","100","54510","52630"
"In post","2022","White","Property","Department for Environment, Food and Rural Affairs","SCS level","10","10","[c]","[c]"
"In post","2022","White","Property","Department for Environment, Food and Rural Affairs","SEO/HEO","120","120","34310","35900"
"In post","2022","White","Property","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department for Transport","AA/AO","25","20","[c]","[c]"
"In post","2022","White","Property","Department for Transport","EO","25","25","[c]","[c]"
"In post","2022","White","Property","Department for Transport","G6/G7","15","10","[c]","[c]"
"In post","2022","White","Property","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department for Transport","SEO/HEO","50","45","35160","32560"
"In post","2022","White","Property","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department for Work and Pensions","EO","15","15","[c]","[c]"
"In post","2022","White","Property","Department for Work and Pensions","G6/G7","45","40","57150","54620"
"In post","2022","White","Property","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department for Work and Pensions","SEO/HEO","95","90","37580","36650"
"In post","2022","White","Property","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department of Health and Social Care","EO","5","5","[c]","[c]"
"In post","2022","White","Property","Department of Health and Social Care","G6/G7","10","10","[c]","[c]"
"In post","2022","White","Property","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Department of Health and Social Care","SEO/HEO","25","25","[c]","[c]"
"In post","2022","White","Property","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Foreign, Commonwealth and Development Office","AA/AO","10","10","[c]","[c]"
"In post","2022","White","Property","Foreign, Commonwealth and Development Office","EO","60","60","28750","28270"
"In post","2022","White","Property","Foreign, Commonwealth and Development Office","G6/G7","80","80","65160","63530"
"In post","2022","White","Property","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Foreign, Commonwealth and Development Office","SEO/HEO","160","160","41470","42020"
"In post","2022","White","Property","Foreign, Commonwealth and Development Office","Unknown","40","40","22380","21600"
"In post","2022","White","Property","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","HM Land Registry","SEO/HEO","5","5","[c]","[c]"
"In post","2022","White","Property","HM Revenue and Customs","AA/AO","465","430","22210","22010"
"In post","2022","White","Property","HM Revenue and Customs","EO","550","505","27170","26950"
"In post","2022","White","Property","HM Revenue and Customs","G6/G7","320","310","58950","57150"
"In post","2022","White","Property","HM Revenue and Customs","SCS level","15","15","[c]","[c]"
"In post","2022","White","Property","HM Revenue and Customs","SEO/HEO","935","880","38850","38890"
"In post","2022","White","Property","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Ministry of Defence","AA/AO","500","485","18740","17980"
"In post","2022","White","Property","Ministry of Defence","EO","335","330","25060","26350"
"In post","2022","White","Property","Ministry of Defence","G6/G7","155","155","55760","54540"
"In post","2022","White","Property","Ministry of Defence","SCS level","10","10","[c]","[c]"
"In post","2022","White","Property","Ministry of Defence","SEO/HEO","1025","995","36240","33300"
"In post","2022","White","Property","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Ministry of Justice","AA/AO","35","35","21850","21650"
"In post","2022","White","Property","Ministry of Justice","EO","25","25","[c]","[c]"
"In post","2022","White","Property","Ministry of Justice","G6/G7","120","115","57780","56900"
"In post","2022","White","Property","Ministry of Justice","SCS level","10","10","[c]","[c]"
"In post","2022","White","Property","Ministry of Justice","SEO/HEO","190","185","38790","36050"
"In post","2022","White","Property","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","National Crime Agency","G6/G7","5","5","[c]","[c]"
"In post","2022","White","Property","National Crime Agency","SEO/HEO","15","15","[c]","[c]"
"In post","2022","White","Property","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","White","Property","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
