"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","EO","EO","915","885","26680","27500"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","G6","1025","1015","69610","65960"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","G7","2630","2580","56550","54700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","SCS level","730","720","100530","93000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","HEO","3115","3085","31680","32000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","SEO","1050","1035","40160","40600"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","AO","45","40","21310","21510"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","EO","150","140","25260","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","G6","25","25","62870","60250"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","G7","90","85","48990","48080"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","185","175","29830","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","150","140","37150","36580"
"In post","2022","Charity Commission","Charity Commission","AA/AO","AO","30","25","18960","19980"
"In post","2022","Charity Commission","Charity Commission","EO","EO","115","110","25080","24440"
"In post","2022","Charity Commission","Charity Commission","G6/G7","G6","20","20","63030","62480"
"In post","2022","Charity Commission","Charity Commission","G6/G7","G7","50","45","51270","51070"
"In post","2022","Charity Commission","Charity Commission","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","SEO/HEO","HEO","150","145","29220","29160"
"In post","2022","Charity Commission","Charity Commission","SEO/HEO","SEO","100","95","37570","37910"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","AO","450","395","21730","22740"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","EO","EO","300","285","27410","25460"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","G6","25","25","66920","65990"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","G7","65","60","52990","50120"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","170","165","34470","35570"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","155","150","43100","42990"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","AA/AO","AO","20","20","23010","22520"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","EO","EO","70","65","28170","27920"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","G6/G7","G6","205","195","75900","75140"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","G6/G7","G7","240","235","57260","56360"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","SCS level","SCS level","125","120","107650","99920"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","HEO","145","140","34810","34570"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","SEO","60","60","43890","43880"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","AA","10","10","19200","19200"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","AO","110","100","21190","21040"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","EO","EO","80","80","25360","25120"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","G6/G7","G7","15","10","56780","59000"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","HEO","85","85","30850","30450"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","SEO","10","10","37170","36050"
"In post","2022","Crown Commercial Service","Cabinet Office","AA/AO","AO","30","30","20880","20330"
"In post","2022","Crown Commercial Service","Cabinet Office","EO","EO","115","110","25970","25520"
"In post","2022","Crown Commercial Service","Cabinet Office","G6/G7","G6","55","50","65880","64660"
"In post","2022","Crown Commercial Service","Cabinet Office","G6/G7","G7","155","150","51660","51600"
"In post","2022","Crown Commercial Service","Cabinet Office","SCS level","SCS level","20","20","94110","78300"
"In post","2022","Crown Commercial Service","Cabinet Office","SEO/HEO","HEO","195","190","31110","30940"
"In post","2022","Crown Commercial Service","Cabinet Office","SEO/HEO","SEO","245","240","39060","38980"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","AO","790","720","22520","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","EO","EO","385","370","28670","27940"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","G6","35","35","74960","75340"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","G7","190","175","67240","69780"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","SCS level","25","25","86160","83230"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","HEO","390","370","34210","34600"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","SEO","540","510","49240","47490"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","AA/AO","AA","10","10","19850","20430"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","AA/AO","AO","1440","1320","22680","22200"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","EO","EO","1460","1355","27700","27760"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","G6/G7","G6","245","240","73910","71340"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","G6/G7","G7","2810","2595","55860","55610"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","SCS level","SCS level","80","80","94590","89080"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","HEO","755","725","34230","33310"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","SEO","245","240","39880","39750"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","AA","40","40","19210","17450"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","AO","60","55","22200","21770"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","EO","EO","250","240","29000","29470"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","HEO","65","65","35830","33670"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","EO","EO","2355","2255","22520","21930"
"In post","2022","Defence Equipment and Support","Ministry of Defence","G6/G7","G6","445","435","68240","67150"
"In post","2022","Defence Equipment and Support","Ministry of Defence","G6/G7","G7","1345","1310","52220","52700"
"In post","2022","Defence Equipment and Support","Ministry of Defence","SCS level","SCS level","110","110","102150","93640"
"In post","2022","Defence Equipment and Support","Ministry of Defence","SEO/HEO","HEO","3205","3080","30400","30500"
"In post","2022","Defence Equipment and Support","Ministry of Defence","SEO/HEO","SEO","3275","3165","40360","40650"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","AA","50","50","19270","17790"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","AO","135","130","20850","22080"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","EO","EO","285","270","24850","23490"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","G6","165","160","70800","67840"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","G7","1780","1705","51060","47380"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","HEO","1175","1145","30250","29230"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","SEO","1055","1015","39370","38070"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","AO","70","65","24720","24900"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","EO","425","415","27810","27680"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","G6","715","690","67180","64990"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","G7","1915","1875","54980","53600"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","330","315","88190","81880"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","1250","1235","34370","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","1295","1280","41690","40050"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AA/AO","AO","10","10","23930","23560"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","EO","185","185","26790","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","G6","235","230","63900","62910"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","G7","680","670","53570","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","SCS level","125","120","83590","75700"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","775","770","35420","34020"
"In post","2022","Department for Education (excl. agencies)","Department for Education","AA/AO","AO","85","80","22150","21250"
"In post","2022","Department for Education (excl. agencies)","Department for Education","EO","EO","710","690","26450","25000"
"In post","2022","Department for Education (excl. agencies)","Department for Education","G6/G7","G6","795","765","64430","64180"
"In post","2022","Department for Education (excl. agencies)","Department for Education","G6/G7","G7","1655","1595","52260","50630"
"In post","2022","Department for Education (excl. agencies)","Department for Education","SCS level","SCS level","235","225","82340","74100"
"In post","2022","Department for Education (excl. agencies)","Department for Education","SEO/HEO","HEO","1215","1180","31400","30200"
"In post","2022","Department for Education (excl. agencies)","Department for Education","SEO/HEO","SEO","1605","1545","38980","37100"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","AO","175","160","22880","22080"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","EO","645","625","26680","25520"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","G6","540","520","62860","62580"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","G7","1640","1580","51680","52290"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","SCS level","195","190","83450","77160"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","1600","1560","31810","32560"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","1665","1605","38670","37890"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","Department for International Trade","Department for International Trade","AA/AO","AO","25","25","24980","25140"
"In post","2022","Department for International Trade","Department for International Trade","EO","EO","275","270","27530","26510"
"In post","2022","Department for International Trade","Department for International Trade","G6/G7","G6","310","305","64710","63190"
"In post","2022","Department for International Trade","Department for International Trade","G6/G7","G7","855","845","53480","51970"
"In post","2022","Department for International Trade","Department for International Trade","SCS level","SCS level","175","170","86550","76790"
"In post","2022","Department for International Trade","Department for International Trade","SEO/HEO","HEO","620","615","32760","31800"
"In post","2022","Department for International Trade","Department for International Trade","SEO/HEO","SEO","620","620","39930","38540"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","AA/AO","AO","60","60","25040","23320"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","EO","EO","340","330","27830","27850"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G6/G7","G6","365","355","64590","63470"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G6/G7","G7","965","940","53050","53130"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SCS level","SCS level","180","170","85260","76960"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","750","735","32790","33210"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","650","635","39470","39600"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","AA/AO","AO","140","115","28880","31500"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","EO","EO","380","370","28560","29970"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","G6/G7","G6","460","445","67280","66090"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","G6/G7","G7","985","965","56070","54650"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","SCS level","SCS level","230","225","87600","79520"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","HEO","725","710","34250","34710"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","SEO","750","740","42360","42470"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA/AO","AA","280","230","20410","20480"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA/AO","AO","28770","24810","21410","21260"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","EO","47900","43295","28120","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6/G7","G6","965","935","66910","66250"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6/G7","G7","2575","2485","53030","52150"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","SCS level","265","260","88020","79510"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO/HEO","HEO","7220","6775","33540","32330"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO/HEO","SEO","3475","3315","38270","37020"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AA/AO","AO","50","50","22230","23170"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","EO","470","450","26730","27270"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6/G7","G6","510","490","66840","66230"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6/G7","G7","1200","1155","53180","53360"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","SCS level","295","285","88090","78930"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO/HEO","HEO","785","770","32190","32790"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO/HEO","SEO","765","735","39970","40650"
"In post","2022","Disclosure Scotland","Scottish Government","AA/AO","AA","190","175","22240","23230"
"In post","2022","Disclosure Scotland","Scottish Government","AA/AO","AO","25","25","25870","25930"
"In post","2022","Disclosure Scotland","Scottish Government","EO","EO","60","55","30030","30040"
"In post","2022","Disclosure Scotland","Scottish Government","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Disclosure Scotland","Scottish Government","G6/G7","G7","15","15","55920","53860"
"In post","2022","Disclosure Scotland","Scottish Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Disclosure Scotland","Scottish Government","SEO/HEO","HEO","35","30","34650","35540"
"In post","2022","Disclosure Scotland","Scottish Government","SEO/HEO","SEO","30","25","45030","47240"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","AA/AO","AA","1270","1020","18610","18310"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","AA/AO","AO","2870","2505","21940","21840"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","EO","EO","945","885","26610","26470"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","G6/G7","G6","85","80","79190","83320"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","G6/G7","G7","200","195","57320","55310"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","SEO/HEO","HEO","540","520","32810","31850"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","SEO/HEO","SEO","440","430","42850","41090"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","AA/AO","AA","15","10","18310","18310"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","AA/AO","AO","1100","1025","24590","21840"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","EO","EO","2675","2495","28120","26780"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","G6/G7","G6","20","20","64930","64370"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","G6/G7","G7","110","110","52730","50610"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","SEO/HEO","HEO","690","675","32770","32180"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","SEO/HEO","SEO","305","300","41130","40480"
"In post","2022","Education and Skills Funding Agency","Department for Education","AA/AO","AO","20","20","21720","21250"
"In post","2022","Education and Skills Funding Agency","Department for Education","EO","EO","170","165","25910","26000"
"In post","2022","Education and Skills Funding Agency","Department for Education","G6/G7","G6","160","160","64440","62540"
"In post","2022","Education and Skills Funding Agency","Department for Education","G6/G7","G7","440","430","51490","50630"
"In post","2022","Education and Skills Funding Agency","Department for Education","SCS level","SCS level","45","45","82340","75580"
"In post","2022","Education and Skills Funding Agency","Department for Education","SEO/HEO","HEO","485","465","30640","30090"
"In post","2022","Education and Skills Funding Agency","Department for Education","SEO/HEO","SEO","580","565","38150","36960"
"In post","2022","Education Scotland","Scottish Government","AA/AO","AA","30","25","22570","23230"
"In post","2022","Education Scotland","Scottish Government","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Education Scotland","Scottish Government","EO","EO","15","15","28990","28990"
"In post","2022","Education Scotland","Scottish Government","G6/G7","G6","155","150","74100","77340"
"In post","2022","Education Scotland","Scottish Government","G6/G7","G7","55","50","55890","57190"
"In post","2022","Education Scotland","Scottish Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Education Scotland","Scottish Government","SEO/HEO","HEO","20","20","34540","34600"
"In post","2022","Education Scotland","Scottish Government","SEO/HEO","SEO","50","45","45980","47490"
"In post","2022","Estyn","Estyn","AA/AO","AO","10","10","24460","24630"
"In post","2022","Estyn","Estyn","EO","EO","25","20","28700","29430"
"In post","2022","Estyn","Estyn","G6/G7","G6","65","60","75110","75480"
"In post","2022","Estyn","Estyn","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Estyn","Estyn","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Estyn","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Estyn","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","AA/AO","AO","130","130","25210","23950"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","EO","EO","195","190","28450","28170"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","G6/G7","G6","40","40","76360","72540"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","G6/G7","G7","175","155","59330","57750"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","235","220","36260","35000"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","230","225","45250","44640"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","Unknown","70","70","21740","21600"
"In post","2022","Food Standards Agency","Food Standards Agency","AA/AO","AO","10","10","20100","19590"
"In post","2022","Food Standards Agency","Food Standards Agency","EO","EO","430","410","27170","26750"
"In post","2022","Food Standards Agency","Food Standards Agency","G6/G7","G6","55","50","63860","61210"
"In post","2022","Food Standards Agency","Food Standards Agency","G6/G7","G7","210","205","53820","52070"
"In post","2022","Food Standards Agency","Food Standards Agency","SCS level","SCS level","25","25","87570","87400"
"In post","2022","Food Standards Agency","Food Standards Agency","SEO/HEO","HEO","345","335","31570","30810"
"In post","2022","Food Standards Agency","Food Standards Agency","SEO/HEO","SEO","385","380","39400","37910"
"In post","2022","Food Standards Scotland","Scottish Government","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Scotland","Scottish Government","AA/AO","AO","15","15","25010","24400"
"In post","2022","Food Standards Scotland","Scottish Government","EO","EO","95","90","28850","30040"
"In post","2022","Food Standards Scotland","Scottish Government","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Food Standards Scotland","Scottish Government","G6/G7","G7","20","20","52830","53480"
"In post","2022","Food Standards Scotland","Scottish Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Scotland","Scottish Government","SEO/HEO","HEO","110","105","33020","31540"
"In post","2022","Food Standards Scotland","Scottish Government","SEO/HEO","SEO","50","50","43400","40810"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA/AO","AO","365","355","26090","25000"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","EO","EO","635","615","30000","30430"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6/G7","G6","1050","1030","66920","66680"
