"Status","Year","Function_of_post","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Female","Heterosexual / straight","425","415","50250","43090"
"In post","2022","Commercial","London","Female","LGBO","30","30","[c]","[c]"
"In post","2022","Commercial","London","Female","Undeclared","80","75","45520","41990"
"In post","2022","Commercial","London","Female","Unknown","370","360","63210","62250"
"In post","2022","Commercial","London","Male","Heterosexual / straight","425","420","58330","51810"
"In post","2022","Commercial","London","Male","LGBO","45","45","47680","46700"
"In post","2022","Commercial","London","Male","Undeclared","75","75","53960","52500"
"In post","2022","Commercial","London","Male","Unknown","415","410","71180","65000"
"In post","2022","Commercial","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Outside London","Female","Heterosexual / straight","1605","1520","38070","36050"
"In post","2022","Commercial","Outside London","Female","LGBO","65","65","34240","32850"
"In post","2022","Commercial","Outside London","Female","Undeclared","195","180","37450","36520"
"In post","2022","Commercial","Outside London","Female","Unknown","595","570","50420","49700"
"In post","2022","Commercial","Outside London","Male","Heterosexual / straight","1340","1320","40730","38310"
"In post","2022","Commercial","Outside London","Male","LGBO","75","75","37290","34850"
"In post","2022","Commercial","Outside London","Male","Undeclared","190","185","41130","39360"
"In post","2022","Commercial","Outside London","Male","Unknown","585","580","55490","51720"
"In post","2022","Commercial","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Commercial","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Female","Heterosexual / straight","915","885","47550","43860"
"In post","2022","Communications","London","Female","LGBO","70","70","44890","42850"
"In post","2022","Communications","London","Female","Undeclared","165","160","43790","38540"
"In post","2022","Communications","London","Female","Unknown","310","300","45980","42200"
"In post","2022","Communications","London","Male","Heterosexual / straight","550","545","48850","43310"
"In post","2022","Communications","London","Male","LGBO","100","100","44480","40960"
"In post","2022","Communications","London","Male","Undeclared","110","110","47780","43850"
"In post","2022","Communications","London","Male","Unknown","205","200","47980","42580"
"In post","2022","Communications","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","Female","Heterosexual / straight","1990","1865","32700","30190"
"In post","2022","Communications","Outside London","Female","LGBO","120","115","30830","27570"
"In post","2022","Communications","Outside London","Female","Undeclared","175","165","34480","32010"
"In post","2022","Communications","Outside London","Female","Unknown","815","770","30170","26820"
"In post","2022","Communications","Outside London","Male","Heterosexual / straight","1675","1650","31810","26930"
"In post","2022","Communications","Outside London","Male","LGBO","165","165","31540","26820"
"In post","2022","Communications","Outside London","Male","Undeclared","165","160","30990","26930"
"In post","2022","Communications","Outside London","Male","Unknown","990","980","29720","26820"
"In post","2022","Communications","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","Female","Heterosexual / straight","1055","970","36370","31880"
"In post","2022","Counter Fraud","London","Female","LGBO","60","60","37350","32000"
"In post","2022","Counter Fraud","London","Female","Undeclared","175","155","34470","32420"
"In post","2022","Counter Fraud","London","Female","Unknown","505","455","33990","31490"
"In post","2022","Counter Fraud","London","Male","Heterosexual / straight","1085","1055","40360","37900"
"In post","2022","Counter Fraud","London","Male","LGBO","65","65","38500","33970"
"In post","2022","Counter Fraud","London","Male","Undeclared","180","175","41430","37930"
"In post","2022","Counter Fraud","London","Male","Unknown","475","460","37620","34850"
"In post","2022","Counter Fraud","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","Female","Heterosexual / straight","4700","4195","30330","27570"
"In post","2022","Counter Fraud","Outside London","Female","LGBO","235","225","30740","27570"
"In post","2022","Counter Fraud","Outside London","Female","Undeclared","605","520","30030","27570"
"In post","2022","Counter Fraud","Outside London","Female","Unknown","1645","1445","29210","27570"
"In post","2022","Counter Fraud","Outside London","Male","Heterosexual / straight","3875","3710","32790","28920"
"In post","2022","Counter Fraud","Outside London","Male","LGBO","245","240","31380","27570"
"In post","2022","Counter Fraud","Outside London","Male","Undeclared","600","570","33830","30810"
"In post","2022","Counter Fraud","Outside London","Male","Unknown","1505","1435","31120","27570"
"In post","2022","Counter Fraud","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","London","Female","Heterosexual / straight","145","125","28770","26400"
"In post","2022","Debt","London","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Debt","London","Female","Undeclared","40","35","27850","26400"
"In post","2022","Debt","London","Female","Unknown","100","85","28230","26400"
"In post","2022","Debt","London","Male","Heterosexual / straight","95","90","30680","26400"
"In post","2022","Debt","London","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Debt","London","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Debt","London","Male","Unknown","90","85","33660","26400"
"In post","2022","Debt","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Debt","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Outside London","Female","Heterosexual / straight","2395","2010","23550","21260"
"In post","2022","Debt","Outside London","Female","LGBO","110","105","23230","21260"
"In post","2022","Debt","Outside London","Female","Undeclared","265","220","23000","21260"
"In post","2022","Debt","Outside London","Female","Unknown","1055","900","22790","21250"
"In post","2022","Debt","Outside London","Male","Heterosexual / straight","1340","1275","23560","21260"
"In post","2022","Debt","Outside London","Male","LGBO","165","160","23380","21260"
"In post","2022","Debt","Outside London","Male","Undeclared","170","155","23360","21260"
"In post","2022","Debt","Outside London","Male","Unknown","750","720","22670","21250"
"In post","2022","Debt","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Female","Heterosexual / straight","35","25","26200","25110"
"In post","2022","Debt","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Debt","Unknown","Female","Unknown","15","10","[c]","[c]"
"In post","2022","Debt","Unknown","Male","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Debt","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","Female","Heterosexual / straight","1170","1135","47100","42580"
"In post","2022","Digital, Data & Technology","London","Female","LGBO","125","125","46580","43810"
"In post","2022","Digital, Data & Technology","London","Female","Undeclared","185","180","47130","43690"
"In post","2022","Digital, Data & Technology","London","Female","Unknown","345","330","47180","43180"
"In post","2022","Digital, Data & Technology","London","Male","Heterosexual / straight","1600","1585","49850","48000"
"In post","2022","Digital, Data & Technology","London","Male","LGBO","165","165","51630","54170"
"In post","2022","Digital, Data & Technology","London","Male","Undeclared","225","225","49490","46550"
"In post","2022","Digital, Data & Technology","London","Male","Unknown","495","490","49680","45240"
"In post","2022","Digital, Data & Technology","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Outside London","Female","Heterosexual / straight","4485","4230","38200","35310"
"In post","2022","Digital, Data & Technology","Outside London","Female","LGBO","315","305","35720","33300"
"In post","2022","Digital, Data & Technology","Outside London","Female","Undeclared","615","585","38360","36300"
"In post","2022","Digital, Data & Technology","Outside London","Female","Unknown","970","915","38420","34290"
"In post","2022","Digital, Data & Technology","Outside London","Male","Heterosexual / straight","7430","7305","41010","38200"
"In post","2022","Digital, Data & Technology","Outside London","Male","LGBO","395","390","37700","35310"
"In post","2022","Digital, Data & Technology","Outside London","Male","Undeclared","1275","1245","39960","37350"
"In post","2022","Digital, Data & Technology","Outside London","Male","Unknown","2125","2095","39850","36550"
"In post","2022","Digital, Data & Technology","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Male","Heterosexual / straight","40","40","33570","33300"
"In post","2022","Digital, Data & Technology","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","Female","Heterosexual / straight","1030","990","47050","42130"
"In post","2022","Finance","London","Female","LGBO","40","40","48550","40650"
"In post","2022","Finance","London","Female","Undeclared","175","170","44390","40650"
"In post","2022","Finance","London","Female","Unknown","250","235","44000","39000"
"In post","2022","Finance","London","Male","Heterosexual / straight","1010","1000","50760","46710"
"In post","2022","Finance","London","Male","LGBO","75","75","49760","53130"
"In post","2022","Finance","London","Male","Undeclared","170","170","50590","46480"
"In post","2022","Finance","London","Male","Unknown","245","245","50850","43810"
"In post","2022","Finance","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Outside London","Female","Heterosexual / straight","3770","3465","35670","33080"
"In post","2022","Finance","Outside London","Female","LGBO","150","145","34740","31990"
"In post","2022","Finance","Outside London","Female","Undeclared","510","460","34400","31000"
"In post","2022","Finance","Outside London","Female","Unknown","915","810","32600","28920"
"In post","2022","Finance","Outside London","Male","Heterosexual / straight","2695","2630","39340","35440"
"In post","2022","Finance","Outside London","Male","LGBO","150","145","37040","33360"
"In post","2022","Finance","Outside London","Male","Undeclared","360","350","39660","36460"
"In post","2022","Finance","Outside London","Male","Unknown","775","745","34390","31990"
"In post","2022","Finance","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Finance","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Finance","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Finance","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Finance","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Outside London","Female","Heterosexual / straight","610","530","25600","24920"
"In post","2022","Grants Management","Outside London","Female","LGBO","40","40","25390","24920"
"In post","2022","Grants Management","Outside London","Female","Undeclared","40","35","24080","21300"
"In post","2022","Grants Management","Outside London","Female","Unknown","655","585","24130","21300"
"In post","2022","Grants Management","Outside London","Male","Heterosexual / straight","420","405","26850","24920"
"In post","2022","Grants Management","Outside London","Male","LGBO","35","35","25600","23110"
"In post","2022","Grants Management","Outside London","Male","Undeclared","45","45","25800","24920"
"In post","2022","Grants Management","Outside London","Male","Unknown","460","450","24400","21300"
"In post","2022","Grants Management","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","London","Female","Heterosexual / straight","1510","1450","46840","41750"
"In post","2022","Human Resources","London","Female","LGBO","100","100","43600","39140"
"In post","2022","Human Resources","London","Female","Undeclared","145","140","42520","37560"
"In post","2022","Human Resources","London","Female","Unknown","210","200","42350","37340"
"In post","2022","Human Resources","London","Male","Heterosexual / straight","640","630","47610","42200"
"In post","2022","Human Resources","London","Male","LGBO","115","115","48420","44500"
"In post","2022","Human Resources","London","Male","Undeclared","90","85","45760","42640"
"In post","2022","Human Resources","London","Male","Unknown","90","90","42840","37970"
"In post","2022","Human Resources","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Outside London","Female","Heterosexual / straight","4780","4420","35180","32000"
"In post","2022","Human Resources","Outside London","Female","LGBO","185","180","32660","30450"
"In post","2022","Human Resources","Outside London","Female","Undeclared","365","335","31640","27570"
"In post","2022","Human Resources","Outside London","Female","Unknown","740","680","32450","28920"
"In post","2022","Human Resources","Outside London","Male","Heterosexual / straight","1835","1795","35890","33000"
"In post","2022","Human Resources","Outside London","Male","LGBO","230","225","36780","32000"
"In post","2022","Human Resources","Outside London","Male","Undeclared","215","210","33550","31060"
"In post","2022","Human Resources","Outside London","Male","Unknown","390","375","33670","30750"
"In post","2022","Human Resources","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Human Resources","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Human Resources","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Human Resources","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Human Resources","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","London","Female","Heterosexual / straight","85","80","48780","45160"
"In post","2022","Internal Audit","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","London","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Internal Audit","London","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Internal Audit","London","Male","Heterosexual / straight","85","85","54470","53070"
"In post","2022","Internal Audit","London","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Internal Audit","London","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Internal Audit","London","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Internal Audit","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Outside London","Female","Heterosexual / straight","235","215","42280","40520"
"In post","2022","Internal Audit","Outside London","Female","LGBO","15","15","[c]","[c]"
