"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Communications","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Communications","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HEO","Heterosexual / straight","50","50","35140","34260"
"In post","2022","Asian","Communications","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SEO","Heterosexual / straight","50","45","41760","40790"
"In post","2022","Asian","Communications","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Corporate Finance","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AO","Heterosexual / straight","170","150","23850","25110"
"In post","2022","Asian","Counter Fraud","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AO","Undeclared","15","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AO","Unknown","45","35","23850","25110"
"In post","2022","Asian","Counter Fraud","EO","Heterosexual / straight","255","240","28930","27570"
"In post","2022","Asian","Counter Fraud","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","EO","Unknown","35","30","29720","29730"
"In post","2022","Asian","Counter Fraud","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","HEO","Heterosexual / straight","45","40","34850","35120"
"In post","2022","Asian","Counter Fraud","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","EO","Heterosexual / straight","215","215","28010","27570"
"In post","2022","Asian","Digital, Data and Technology","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","EO","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","G6","Heterosexual / straight","65","65","70860","70460"
"In post","2022","Asian","Digital, Data and Technology","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","G7","Heterosexual / straight","275","270","57190","56600"
"In post","2022","Asian","Digital, Data and Technology","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","G7","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","G7","Unknown","30","30","57090","57430"
"In post","2022","Asian","Digital, Data and Technology","HEO","Heterosexual / straight","270","265","33990","33610"
"In post","2022","Asian","Digital, Data and Technology","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","HEO","Unknown","30","30","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","SEO","Heterosexual / straight","295","290","41650","41300"
"In post","2022","Asian","Digital, Data and Technology","SEO","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","SEO","Undeclared","30","30","41940","41540"
"In post","2022","Asian","Digital, Data and Technology","SEO","Unknown","35","35","41910","40850"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Economics","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Economics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Economics","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","G7","Heterosexual / straight","55","55","56310","54760"
"In post","2022","Asian","Economics","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Economics","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","HEO","Heterosexual / straight","70","70","34390","33570"
"In post","2022","Asian","Economics","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Economics","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Economics","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Economics","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AO","Heterosexual / straight","40","35","22910","22440"
"In post","2022","Asian","Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","EO","Heterosexual / straight","170","170","27450","27380"
"In post","2022","Asian","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Finance","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Finance","G6","Heterosexual / straight","40","40","68950","68870"
"In post","2022","Asian","Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","G7","Heterosexual / straight","135","130","56290","56240"
"In post","2022","Asian","Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Finance","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Finance","HEO","Heterosexual / straight","235","230","34220","33740"
"In post","2022","Asian","Finance","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Finance","HEO","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Finance","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","SEO","Heterosexual / straight","225","220","42540","41970"
"In post","2022","Asian","Finance","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Finance","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AO","Heterosexual / straight","50","50","22870","21760"
"In post","2022","Asian","Human Resources","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","EO","Heterosexual / straight","105","105","28000","27570"
"In post","2022","Asian","Human Resources","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","G7","Heterosexual / straight","65","65","55710","55210"
"In post","2022","Asian","Human Resources","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","HEO","Heterosexual / straight","150","145","34190","34260"
"In post","2022","Asian","Human Resources","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","SEO","Heterosexual / straight","85","80","41510","41750"
"In post","2022","Asian","Human Resources","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","SEO","LGBO","[c]","[c]","[c]","[c]"
