"Status","Year","Disability","Function_of_post","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","SEO/HEO","45","45","35760","36840"
"In post","2022","Declared disabled","Analysis","Operational Research","AA/AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","SEO/HEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","G6/G7","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","SEO/HEO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","SEO/HEO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","G6/G7","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","SEO/HEO","85","80","36190","37380"
"In post","2022","Declared disabled","Analysis","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Statistics","EO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Statistics","G6/G7","55","50","59620","59770"
"In post","2022","Declared disabled","Analysis","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Statistics","SEO/HEO","135","130","36980","37610"
"In post","2022","Declared disabled","Analysis","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Commercial","AA/AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Commercial","EO","60","55","26780","26670"
"In post","2022","Declared disabled","Commercial","Commercial","G6/G7","55","55","56010","54110"
"In post","2022","Declared disabled","Commercial","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Commercial","SEO/HEO","200","190","37490","38200"
"In post","2022","Declared disabled","Commercial","Commercial","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","EO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Other","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Project Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Communications","AA/AO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","Communications","EO","60","55","28050","27320"
"In post","2022","Declared disabled","Communications","Communications","G6/G7","55","55","56800","55210"
"In post","2022","Declared disabled","Communications","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Communications","SEO/HEO","130","130","37570","36840"
"In post","2022","Declared disabled","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Knowledge and Information Management","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Operational Delivery","AA/AO","35","30","21640","21470"
"In post","2022","Declared disabled","Communications","Operational Delivery","EO","40","40","26670","26820"
"In post","2022","Declared disabled","Communications","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Operational Delivery","SEO/HEO","50","50","33980","33370"
"In post","2022","Declared disabled","Communications","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Tax","EO","90","85","26760","26820"
"In post","2022","Declared disabled","Communications","Tax","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Tax","SEO/HEO","55","50","34180","33370"
"In post","2022","Declared disabled","Communications","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","AA/AO","235","200","22490","21260"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","EO","560","495","28210","27570"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","SEO/HEO","165","155","35110","33180"
"In post","2022","Declared disabled","Counter Fraud","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Legal","AA/AO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Legal","EO","85","75","28150","26820"
"In post","2022","Declared disabled","Counter Fraud","Legal","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Legal","SEO/HEO","115","110","36850","35980"
"In post","2022","Declared disabled","Counter Fraud","Operational Delivery","AA/AO","150","135","22030","21260"
"In post","2022","Declared disabled","Counter Fraud","Operational Delivery","EO","165","150","28120","27570"
"In post","2022","Declared disabled","Counter Fraud","Operational Delivery","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Operational Delivery","SEO/HEO","140","130","35970","33400"
"In post","2022","Declared disabled","Counter Fraud","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Other","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Other","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Other","SEO/HEO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Tax","EO","30","25","28170","26820"
"In post","2022","Declared disabled","Counter Fraud","Tax","G6/G7","50","50","60190","55310"
"In post","2022","Declared disabled","Counter Fraud","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Tax","SEO/HEO","85","75","36580","33680"
"In post","2022","Declared disabled","Counter Fraud","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Unknown","EO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Unknown","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Debt","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Operational Delivery","AA/AO","255","215","22210","21250"
"In post","2022","Declared disabled","Debt","Operational Delivery","EO","70","65","28260","26820"
"In post","2022","Declared disabled","Debt","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Operational Delivery","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Debt","Other","AA/AO","325","270","21180","21260"
"In post","2022","Declared disabled","Debt","Other","EO","65","55","27840","27570"
"In post","2022","Declared disabled","Debt","Other","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Debt","Tax","AA/AO","45","45","21820","21250"
"In post","2022","Declared disabled","Debt","Tax","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Debt","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Debt","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","AA/AO","60","60","21320","21260"
"In post","2022","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","EO","375","355","27550","27570"
"In post","2022","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","G6/G7","335","325","57260","55210"
"In post","2022","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","SEO/HEO","750","720","37170","36450"
"In post","2022","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","AA/AO","35","30","22350","21830"
"In post","2022","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","EO","30","30","27920","26670"
"In post","2022","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","SEO/HEO","55","50","35840","33630"
"In post","2022","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Operational Delivery","EO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Operational Delivery","G6/G7","10","5","[c]","[c]"
