"Status","Year","Organisation","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","HEO","45","40","32180","31040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","SEO","15","15","41990","40710"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","EO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","HEO","10","10","33670","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","SEO","10","10","41250","39880"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","EO","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","HEO","30","25","32160","30970"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","SEO","10","10","41710","41550"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","EO","35","30","24800","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","HEO","40","35","32140","31040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","SEO","10","10","40780","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","EO","25","25","24710","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","HEO","35","35","32350","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","SEO","15","15","40550","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","EO","20","20","24560","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","HEO","30","30","32280","31140"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","SEO","10","10","40820","39920"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","AO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","EO","25","25","25560","24920"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","G7","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","HEO","15","15","29950","29180"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","SEO","20","20","38030","36970"
"In post","2022","Animal and Plant Health Agency","East of England","AO","10","10","21830","21300"
"In post","2022","Animal and Plant Health Agency","East of England","EO","55","55","25690","25100"
"In post","2022","Animal and Plant Health Agency","East of England","G7","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","HEO","40","40","30590","30400"
"In post","2022","Animal and Plant Health Agency","East of England","SEO","35","30","40310","37450"
"In post","2022","Animal and Plant Health Agency","London","AO","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","EO","55","55","30260","31460"
"In post","2022","Animal and Plant Health Agency","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","G7","10","10","56120","55120"
"In post","2022","Animal and Plant Health Agency","London","HEO","20","20","34700","34190"
"In post","2022","Animal and Plant Health Agency","London","SEO","15","15","41170","39910"
"In post","2022","Animal and Plant Health Agency","North East (England)","AO","15","10","21300","21300"
"In post","2022","Animal and Plant Health Agency","North East (England)","EO","20","15","25690","25190"
"In post","2022","Animal and Plant Health Agency","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North East (England)","G7","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North East (England)","HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North East (England)","SEO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North West (England)","AO","135","125","21420","21300"
"In post","2022","Animal and Plant Health Agency","North West (England)","EO","75","75","25210","24920"
"In post","2022","Animal and Plant Health Agency","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North West (England)","G7","10","10","49770","49930"
"In post","2022","Animal and Plant Health Agency","North West (England)","HEO","45","45","29940","29180"
"In post","2022","Animal and Plant Health Agency","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North West (England)","SEO","35","30","41410","37480"
"In post","2022","Animal and Plant Health Agency","Scotland","AO","40","40","21300","21300"
"In post","2022","Animal and Plant Health Agency","Scotland","EO","30","30","25500","25060"
"In post","2022","Animal and Plant Health Agency","Scotland","G6","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","G7","15","15","50430","48370"
"In post","2022","Animal and Plant Health Agency","Scotland","HEO","15","15","29420","29180"
"In post","2022","Animal and Plant Health Agency","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scotland","SEO","30","30","37130","36970"
"In post","2022","Animal and Plant Health Agency","South East (England)","AA","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South East (England)","AO","185","180","24340","24370"
"In post","2022","Animal and Plant Health Agency","South East (England)","EO","215","205","27590","27960"
"In post","2022","Animal and Plant Health Agency","South East (England)","G6","25","25","65050","65660"
"In post","2022","Animal and Plant Health Agency","South East (England)","G7","50","45","54140","53870"
"In post","2022","Animal and Plant Health Agency","South East (England)","HEO","150","145","32650","32560"
"In post","2022","Animal and Plant Health Agency","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South East (England)","SEO","135","125","40270","39350"
"In post","2022","Animal and Plant Health Agency","South West (England)","AO","165","155","21330","21300"
"In post","2022","Animal and Plant Health Agency","South West (England)","EO","115","110","25620","25100"
"In post","2022","Animal and Plant Health Agency","South West (England)","G6","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South West (England)","G7","25","25","51030","48990"
"In post","2022","Animal and Plant Health Agency","South West (England)","HEO","55","50","30090","29180"
"In post","2022","Animal and Plant Health Agency","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South West (England)","SEO","80","75","39620","37480"
"In post","2022","Animal and Plant Health Agency","Unknown","AO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","EO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Wales","AO","130","115","21310","21300"
"In post","2022","Animal and Plant Health Agency","Wales","EO","85","75","25540","25100"
"In post","2022","Animal and Plant Health Agency","Wales","G6","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Wales","G7","15","15","50560","49170"
"In post","2022","Animal and Plant Health Agency","Wales","HEO","30","30","30090","30230"
"In post","2022","Animal and Plant Health Agency","Wales","SEO","65","60","37540","36970"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","AO","80","75","21420","21300"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","EO","70","65","25430","25100"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","G7","15","15","50350","50200"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","HEO","55","50","30090","29180"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","SEO","55","55","39130","37480"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","AO","70","70","22000","21300"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","EO","70","65","25520","25220"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","G6","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","G7","10","10","50440","49360"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","HEO","40","35","30000","29580"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","SEO","30","25","37840","36520"
"In post","2022","Attorney General's Office","London","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","London","G6","10","10","66710","65180"
"In post","2022","Attorney General's Office","London","G7","10","10","52960","51250"
"In post","2022","Attorney General's Office","London","HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","London","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","London","SEO","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","G6","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","G7","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","HEO","15","15","29910","29250"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","EO","10","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","G6","10","10","69300","68150"
"In post","2022","Cabinet Office (excl. agencies)","East of England","G7","30","30","56950","55900"
"In post","2022","Cabinet Office (excl. agencies)","East of England","HEO","20","20","32320","32960"
"In post","2022","Cabinet Office (excl. agencies)","East of England","SCS level","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","SEO","15","10","38710","38420"
"In post","2022","Cabinet Office (excl. agencies)","London","AO","110","105","24170","24490"
"In post","2022","Cabinet Office (excl. agencies)","London","EO","530","520","27700","27500"
"In post","2022","Cabinet Office (excl. agencies)","London","G6","755","745","68880","66020"
"In post","2022","Cabinet Office (excl. agencies)","London","G7","1865","1830","56720","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","HEO","1900","1890","31870","32000"
"In post","2022","Cabinet Office (excl. agencies)","London","SCS level","585","575","99820","93000"
"In post","2022","Cabinet Office (excl. agencies)","London","SEO","680","675","41020","40600"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","AO","170","155","21050","21050"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","EO","95","85","24810","24100"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","G6","10","10","70410","68090"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","G7","40","40","55570","52620"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","HEO","125","125","31460","32000"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","SCS level","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","SEO","30","30","37640","37300"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","AO","20","15","21420","21380"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","EO","30","30","24970","24100"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","G6","65","65","71100","65310"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","G7","170","170","55780","51900"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","HEO","135","130","31370","32000"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","SCS level","20","20","97660","91800"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","SEO","95","90","38110","37300"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","AO","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","EO","40","35","24690","23850"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","G6","30","30","71490","65310"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","G7","60","60","54360","49700"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","HEO","115","110","31420","32000"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","SCS level","15","15","87790","85000"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","SEO","30","30","38080","37300"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","AO","30","30","21330","21170"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","EO","15","15","26610","26670"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","G6","25","25","78360","77230"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","G7","50","45","60000","57170"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","HEO","90","85","32380","33300"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","SCS level","10","10","104250","103730"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","SEO","15","15","40440","40580"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","EO","10","10","25010","24100"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","G6","35","35","72720","70880"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","G7","80","75","54640","52850"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","HEO","70","65","31310","32000"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","SCS level","30","30","108490","102920"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","SEO","20","20","39230","38420"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","EO","30","30","26000","26570"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G6","10","10","69440","64500"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G7","75","70","54150","54700"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","HEO","300","300","30510","29250"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SCS level","15","15","100010","86870"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SEO","45","45","39370","40250"
"In post","2022","Cabinet Office (excl. agencies)","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Wales","G7","25","25","54340","49700"
"In post","2022","Cabinet Office (excl. agencies)","Wales","HEO","35","35","30520","32000"
"In post","2022","Cabinet Office (excl. agencies)","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Wales","SEO","10","10","37680","37300"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","G6","25","25","75540","70880"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","G7","45","45","61030","61710"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","HEO","50","50","29820","29250"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","SCS level","20","20","123820","125000"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","SEO","10","10","38850","38450"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","AA","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","AO","125","115","21190","21170"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","EO","150","145","25600","26350"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","G6","45","45","67120","64500"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","G7","175","170","56480","51250"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","HEO","260","250","32360","33000"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","SCS level","20","20","101360","91500"
"In post","2022","Cabinet Office (excl. agencies)","Yorkshire and The Humber","SEO","95","90","38820","38420"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","AO","35","30","21260","21510"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","EO","95","90","25250","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","G6","15","15","63070","60250"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","G7","75","70","48920","48080"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","HEO","135","130","29780","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","East of England","SEO","120","115","37110","36580"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","AO","10","10","21510","21510"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","EO","50","45","25260","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","G6","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","G7","15","15","49300","49040"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","HEO","50","50","29950","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","SEO","30","25","37300","36580"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","EO","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","EO","5","5","[c]","[c]"
"In post","2022","Charity Commission","London","G6","10","10","[c]","[c]"
"In post","2022","Charity Commission","London","G7","25","20","52080","51070"
"In post","2022","Charity Commission","London","HEO","20","20","29040","29160"
"In post","2022","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","SEO","20","20","38180","37910"
"In post","2022","Charity Commission","North West (England)","AO","25","20","18710","17140"
"In post","2022","Charity Commission","North West (England)","EO","100","95","24820","24440"
"In post","2022","Charity Commission","North West (England)","G6","10","10","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","G7","25","25","50560","51070"
"In post","2022","Charity Commission","North West (England)","HEO","115","110","29140","29160"
"In post","2022","Charity Commission","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","SEO","65","65","37460","37910"
"In post","2022","Charity Commission","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","South West (England)","EO","10","10","[c]","[c]"
"In post","2022","Charity Commission","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","South West (England)","HEO","10","10","30030","29550"
"In post","2022","Charity Commission","South West (England)","SEO","10","10","36940","37910"
"In post","2022","Charity Commission","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Northern Ireland","AO","10","10","22080","22740"
"In post","2022","Companies House","Northern Ireland","EO","10","10","[c]","[c]"
"In post","2022","Companies House","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Scotland","AO","20","20","21450","21350"
"In post","2022","Companies House","Scotland","EO","15","15","26020","24730"
"In post","2022","Companies House","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Wales","AA","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Wales","AO","410","360","21700","22740"
"In post","2022","Companies House","Wales","EO","270","255","27410","25460"
"In post","2022","Companies House","Wales","G6","25","25","66920","65990"
"In post","2022","Companies House","Wales","G7","60","60","52790","50120"
"In post","2022","Companies House","Wales","HEO","155","150","34500","35570"
"In post","2022","Companies House","Wales","SCS level","5","5","[c]","[c]"
"In post","2022","Companies House","Wales","SEO","150","145","43170","42990"
"In post","2022","Companies House","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","AO","20","20","23010","22520"
"In post","2022","Competition and Markets Authority","London","EO","65","60","28220","27920"
"In post","2022","Competition and Markets Authority","London","G6","185","175","76150","75140"
"In post","2022","Competition and Markets Authority","London","G7","215","210","57390","56360"
"In post","2022","Competition and Markets Authority","London","HEO","135","130","34830","34570"
"In post","2022","Competition and Markets Authority","London","SCS level","120","115","108020","99920"
"In post","2022","Competition and Markets Authority","London","SEO","55","55","44020","43880"
"In post","2022","Competition and Markets Authority","Northern Ireland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Northern Ireland","G7","[c]","[c]","[c]","[c]"
