"Status","Year","Age","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","London","265","265","39280","39800"
"In post","2022","20-29","Commercial","Outside London","785","780","29970","29360"
"In post","2022","20-29","Commercial","Overseas","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","London","640","640","37140","34710"
"In post","2022","20-29","Communications","Outside London","250","245","30190","30190"
"In post","2022","20-29","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","10","10","[c]","[c]"
"In post","2022","20-29","Corporate Finance","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Counter Fraud","London","150","145","29540","26350"
"In post","2022","20-29","Counter Fraud","Outside London","495","490","26690","27570"
"In post","2022","20-29","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","London","735","735","38790","37550"
"In post","2022","20-29","Digital, Data and Technology","Outside London","2190","2175","32260","31000"
"In post","2022","20-29","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","London","940","935","39530","35050"
"In post","2022","20-29","Economics","Outside London","225","225","32750","30710"
"In post","2022","20-29","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","London","470","470","40460","39680"
"In post","2022","20-29","Finance","Outside London","1130","1110","29960","28350"
"In post","2022","20-29","Finance","Overseas","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Geography","Outside London","115","115","25530","26740"
"In post","2022","20-29","Human Resources","London","530","525","36440","32870"
"In post","2022","20-29","Human Resources","Outside London","805","800","28740","27230"
"In post","2022","20-29","Human Resources","Overseas","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","London","250","245","34540","34740"
"In post","2022","20-29","Intelligence Analysis","Outside London","240","240","27440","26350"
"In post","2022","20-29","Intelligence Analysis","Overseas","10","10","35040","33230"
"In post","2022","20-29","Internal Audit","London","20","20","35720","33420"
"In post","2022","20-29","Internal Audit","Outside London","30","30","32340","31110"
"In post","2022","20-29","International Trade","London","440","440","38850","38160"
"In post","2022","20-29","International Trade","Outside London","45","45","31560","31350"
"In post","2022","20-29","International Trade","Overseas","25","25","41620","38300"
"In post","2022","20-29","Knowledge and Information Management","London","110","110","36710","33570"
"In post","2022","20-29","Knowledge and Information Management","Outside London","175","175","27480","26670"
"In post","2022","20-29","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","London","505","505","38630","35060"
"In post","2022","20-29","Legal","Outside London","835","825","33070","30450"
"In post","2022","20-29","Medicine","London","25","25","39790","40450"
"In post","2022","20-29","Medicine","Outside London","110","100","31490","31470"
"In post","2022","20-29","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Operational Delivery","London","5780","5700","31270","31060"
"In post","2022","20-29","Operational Delivery","Outside London","32530","31850","24960","24260"
"In post","2022","20-29","Operational Delivery","Overseas","20","20","34120","29740"
"In post","2022","20-29","Operational Delivery","Unknown","90","85","26960","27570"
"In post","2022","20-29","Operational Research","London","125","125","39900","37020"
"In post","2022","20-29","Operational Research","Outside London","195","190","32420","31000"
"In post","2022","20-29","Other","London","895","890","32220","31060"
"In post","2022","20-29","Other","Outside London","2290","2250","24640","22000"
"In post","2022","20-29","Other","Overseas","20","20","34870","34000"
"In post","2022","20-29","Other","Unknown","375","375","28190","28980"
"In post","2022","20-29","Planning","London","25","25","37350","33210"
"In post","2022","20-29","Planning","Outside London","10","10","28890","27520"
"In post","2022","20-29","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Policy","London","6750","6720","40360","37640"
"In post","2022","20-29","Policy","Outside London","1705","1690","32530","30360"
"In post","2022","20-29","Policy","Overseas","180","180","35250","33230"
"In post","2022","20-29","Policy","Unknown","10","10","34450","32790"
"In post","2022","20-29","Project Delivery","London","635","635","39000","35070"
"In post","2022","20-29","Project Delivery","Outside London","1385","1375","32000","31600"
"In post","2022","20-29","Project Delivery","Overseas","5","5","[c]","[c]"
"In post","2022","20-29","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","London","180","180","34410","31160"
"In post","2022","20-29","Property","Outside London","655","650","28930","26350"
"In post","2022","20-29","Property","Overseas","5","5","[c]","[c]"
"In post","2022","20-29","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Psychology","London","30","30","29390","29590"
"In post","2022","20-29","Psychology","Outside London","360","355","27580","27700"
"In post","2022","20-29","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Science and Engineering","London","255","255","34180","32330"
"In post","2022","20-29","Science and Engineering","Outside London","2620","2600","28840","28590"
"In post","2022","20-29","Science and Engineering","Overseas","25","25","34010","32270"
"In post","2022","20-29","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","London","175","175","33890","32580"
"In post","2022","20-29","Security","Outside London","940","940","26580","25680"
"In post","2022","20-29","Security","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Social Research","London","230","230","38260","35030"
"In post","2022","20-29","Social Research","Outside London","330","325","34130","30710"
"In post","2022","20-29","Statistics","London","410","410","37610","36930"
"In post","2022","20-29","Statistics","Outside London","425","420","33740","31990"
"In post","2022","20-29","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Tax","London","330","325","40320","37610"
"In post","2022","20-29","Tax","Outside London","3870","3790","27860","26590"
"In post","2022","20-29","Unknown","London","3040","3035","36760","32000"
"In post","2022","20-29","Unknown","Outside London","4730","4670","29270","27230"
"In post","2022","20-29","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","285","285","31450","29250"
"In post","2022","20-29","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Veterinarian","Outside London","15","15","29280","29180"
"In post","2022","30-39","Commercial","London","255","245","47220","43130"
"In post","2022","30-39","Commercial","Outside London","1265","1215","37060","36500"
"In post","2022","30-39","Commercial","Overseas","15","15","42730","40840"
"In post","2022","30-39","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Communications","London","680","660","49000","46070"
"In post","2022","30-39","Communications","Outside London","510","485","36910","35390"
"In post","2022","30-39","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Corporate Finance","London","20","15","52500","46550"
"In post","2022","30-39","Corporate Finance","Outside London","25","20","43320","42240"
"In post","2022","30-39","Counter Fraud","London","165","155","35630","32340"
"In post","2022","30-39","Counter Fraud","Outside London","720","665","27540","27570"
"In post","2022","30-39","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data and Technology","London","1005","990","50120","50590"
"In post","2022","30-39","Digital, Data and Technology","Outside London","3630","3560","39520","37000"
"In post","2022","30-39","Digital, Data and Technology","Overseas","10","10","[c]","[c]"
"In post","2022","30-39","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Economics","London","410","395","58500","57850"
"In post","2022","30-39","Economics","Outside London","80","75","47340","50210"
"In post","2022","30-39","Economics","Overseas","20","20","54600","55340"
"In post","2022","30-39","Finance","London","670","650","50800","52010"
"In post","2022","30-39","Finance","Outside London","1785","1710","37740","35300"
"In post","2022","30-39","Finance","Overseas","15","15","39110","33300"
"In post","2022","30-39","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Geography","Outside London","110","105","32510","33290"
"In post","2022","30-39","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Human Resources","London","615","600","45760","41750"
"In post","2022","30-39","Human Resources","Outside London","1520","1440","34740","31940"
"In post","2022","30-39","Human Resources","Overseas","10","10","44600","43130"
"In post","2022","30-39","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Inspector of Education and Training","London","10","10","61880","51360"
"In post","2022","30-39","Inspector of Education and Training","Outside London","90","90","57890","51360"
"In post","2022","30-39","Intelligence Analysis","London","295","285","39100","37000"
"In post","2022","30-39","Intelligence Analysis","Outside London","505","485","30490","27380"
"In post","2022","30-39","Intelligence Analysis","Overseas","35","35","44960","40620"
"In post","2022","30-39","Internal Audit","London","40","40","47300","43160"
"In post","2022","30-39","Internal Audit","Outside London","100","95","40060","39980"
"In post","2022","30-39","International Trade","London","390","385","50370","51970"
"In post","2022","30-39","International Trade","Outside London","70","65","42050","40150"
"In post","2022","30-39","International Trade","Overseas","65","65","53270","52400"
"In post","2022","30-39","Knowledge and Information Management","London","140","140","43700","41750"
"In post","2022","30-39","Knowledge and Information Management","Outside London","300","285","32480","30210"
"In post","2022","30-39","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Legal","London","1380","1325","52200","51570"
"In post","2022","30-39","Legal","Outside London","1750","1685","42450","41750"
"In post","2022","30-39","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Medicine","London","85","75","61480","53830"
"In post","2022","30-39","Medicine","Outside London","480","420","42960","39030"
"In post","2022","30-39","Medicine","Overseas","15","15","49050","42120"
"In post","2022","30-39","Medicine","Unknown","10","10","45540","39630"
"In post","2022","30-39","Operational Delivery","London","6755","6490","35440","31370"
"In post","2022","30-39","Operational Delivery","Outside London","44745","41760","27410","26610"
"In post","2022","30-39","Operational Delivery","Overseas","55","50","40920","36740"
"In post","2022","30-39","Operational Delivery","Unknown","100","90","27620","27570"
"In post","2022","30-39","Operational Research","London","115","110","52700","55190"
"In post","2022","30-39","Operational Research","Outside London","220","210","43190","47010"
"In post","2022","30-39","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Other","London","970","945","42680","35290"
"In post","2022","30-39","Other","Outside London","3845","3595","28480","26900"
"In post","2022","30-39","Other","Overseas","130","130","45070","41600"
"In post","2022","30-39","Other","Unknown","400","400","37070","34460"
"In post","2022","30-39","Planning","London","25","25","46100","42980"
"In post","2022","30-39","Planning","Outside London","45","40","38180","38160"
"In post","2022","30-39","Planning Inspectors","London","5","5","[c]","[c]"
"In post","2022","30-39","Planning Inspectors","Outside London","50","50","49200","47660"
"In post","2022","30-39","Policy","London","6240","6090","52180","53380"
"In post","2022","30-39","Policy","Outside London","2750","2645","40680","37400"
"In post","2022","30-39","Policy","Overseas","515","515","47600","51740"
"In post","2022","30-39","Policy","Unknown","15","15","42740","41460"
"In post","2022","30-39","Project Delivery","London","900","880","49890","47590"
"In post","2022","30-39","Project Delivery","Outside London","2700","2610","39440","38550"
"In post","2022","30-39","Project Delivery","Overseas","50","50","48260","50580"
"In post","2022","30-39","Property","London","175","175","46730","44260"
"In post","2022","30-39","Property","Outside London","900","870","35890","33300"
"In post","2022","30-39","Property","Overseas","25","25","39600","36450"
"In post","2022","30-39","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Psychology","London","25","25","39120","33900"
"In post","2022","30-39","Psychology","Outside London","580","560","34780","31180"
"In post","2022","30-39","Science and Engineering","London","310","300","45010","41330"
"In post","2022","30-39","Science and Engineering","Outside London","2635","2570","38150","38070"
"In post","2022","30-39","Science and Engineering","Overseas","45","45","43320","40660"
"In post","2022","30-39","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Security","London","305","300","41090","39030"
"In post","2022","30-39","Security","Outside London","1425","1415","31730","29890"
"In post","2022","30-39","Security","Overseas","5","5","[c]","[c]"
"In post","2022","30-39","Security","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Social Research","London","145","140","50990","53850"
"In post","2022","30-39","Social Research","Outside London","260","245","41180","38340"
"In post","2022","30-39","Statistics","London","255","245","49500","51500"
"In post","2022","30-39","Statistics","Outside London","440","415","42050","39100"
"In post","2022","30-39","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Tax","London","500","495","45480","37930"
"In post","2022","30-39","Tax","Outside London","4850","4685","33660","33080"
"In post","2022","30-39","Unknown","London","2325","2290","52450","54700"
"In post","2022","30-39","Unknown","Outside London","6160","5950","37110","33080"
"In post","2022","30-39","Unknown","Overseas","15","15","50680","52550"
"In post","2022","30-39","Unknown","Unknown","105","105","42100","35880"
"In post","2022","30-39","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Veterinarian","Outside London","95","90","38570","37240"
"In post","2022","40-49","Commercial","London","240","235","52150","49380"
"In post","2022","40-49","Commercial","Outside London","1260","1205","40880","38330"
"In post","2022","40-49","Commercial","Overseas","10","10","[c]","[c]"
"In post","2022","40-49","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Communications","London","520","495","54170","53360"
"In post","2022","40-49","Communications","Outside London","585","550","40570","38200"
"In post","2022","40-49","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Corporate Finance","London","15","15","74370","71000"
"In post","2022","40-49","Corporate Finance","Outside London","25","25","46040","38460"
"In post","2022","40-49","Counter Fraud","London","265","240","35190","31060"
"In post","2022","40-49","Counter Fraud","Outside London","1160","1070","28480","27570"
"In post","2022","40-49","Digital, Data and Technology","London","1080","1060","54370","53620"
"In post","2022","40-49","Digital, Data and Technology","Outside London","4405","4305","43170","40220"
"In post","2022","40-49","Digital, Data and Technology","Overseas","10","10","[c]","[c]"
"In post","2022","40-49","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Economics","London","165","160","66990","64990"
"In post","2022","40-49","Economics","Outside London","60","60","54660","54840"
"In post","2022","40-49","Economics","Overseas","10","10","[c]","[c]"
"In post","2022","40-49","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","London","710","690","52560","49090"
"In post","2022","40-49","Finance","Outside London","2455","2355","39820","36050"
"In post","2022","40-49","Finance","Overseas","25","25","39970","33710"
"In post","2022","40-49","Finance","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","Geography","Outside London","100","95","33770","33290"
"In post","2022","40-49","Human Resources","London","710","680","50580","45600"
"In post","2022","40-49","Human Resources","Outside London","1760","1665","38840","35200"
"In post","2022","40-49","Human Resources","Overseas","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Inspector of Education and Training","London","25","25","66860","75500"
"In post","2022","40-49","Inspector of Education and Training","Outside London","280","275","64620","64500"
"In post","2022","40-49","Intelligence Analysis","London","265","255","41750","36620"
"In post","2022","40-49","Intelligence Analysis","Outside London","505","485","31230","27380"
"In post","2022","40-49","Intelligence Analysis","Overseas","15","15","47560","40580"
"In post","2022","40-49","Internal Audit","London","50","50","55420","53470"
"In post","2022","40-49","Internal Audit","Outside London","140","135","44100","42420"
"In post","2022","40-49","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","International Trade","London","180","175","53340","51970"
"In post","2022","40-49","International Trade","Outside London","55","50","43200","40520"
"In post","2022","40-49","International Trade","Overseas","45","45","63240","60710"
"In post","2022","40-49","Knowledge and Information Management","London","180","170","43500","39680"
"In post","2022","40-49","Knowledge and Information Management","Outside London","410","390","34520","32000"
"In post","2022","40-49","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal","London","1450","1335","58970","60940"
"In post","2022","40-49","Legal","Outside London","2165","2010","47010","48080"
"In post","2022","40-49","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Medicine","London","120","110","75240","73330"
"In post","2022","40-49","Medicine","Outside London","620","540","53970","45840"
"In post","2022","40-49","Medicine","Overseas","20","20","54310","52430"
"In post","2022","40-49","Medicine","Unknown","5","5","[c]","[c]"
"In post","2022","40-49","Operational Delivery","London","7460","7020","36920","31740"
"In post","2022","40-49","Operational Delivery","Outside London","49340","45285","28890","27570"
"In post","2022","40-49","Operational Delivery","Overseas","85","80","46480","42870"
"In post","2022","40-49","Operational Delivery","Unknown","130","120","30470","27570"
"In post","2022","40-49","Operational Research","London","65","55","58730","60280"
"In post","2022","40-49","Operational Research","Outside London","175","165","46840","47010"
"In post","2022","40-49","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Other","London","925","885","48200","38910"
"In post","2022","40-49","Other","Outside London","4925","4630","29400","27010"
"In post","2022","40-49","Other","Overseas","230","225","52000","46600"
"In post","2022","40-49","Other","Unknown","395","395","40060","34460"
"In post","2022","40-49","Planning","London","20","20","53780","53650"
"In post","2022","40-49","Planning","Outside London","40","35","45230","41500"
"In post","2022","40-49","Planning Inspectors","London","5","5","[c]","[c]"
"In post","2022","40-49","Planning Inspectors","Outside London","105","100","52710","47660"
"In post","2022","40-49","Policy","London","4175","3975","58030","57430"
"In post","2022","40-49","Policy","Outside London","2595","2470","44980","41210"
"In post","2022","40-49","Policy","Overseas","550","550","55690","56590"
"In post","2022","40-49","Policy","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","Project Delivery","London","935","905","54710","54760"
"In post","2022","40-49","Project Delivery","Outside London","3185","3075","43410","40520"
"In post","2022","40-49","Project Delivery","Overseas","35","35","48960","51950"
"In post","2022","40-49","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","London","280","270","46900","42310"
"In post","2022","40-49","Property","Outside London","1335","1285","38510","34000"
"In post","2022","40-49","Property","Overseas","55","55","38030","36450"
"In post","2022","40-49","Property","Unknown","15","15","43150","41920"
"In post","2022","40-49","Psychology","London","20","20","54490","53030"
"In post","2022","40-49","Psychology","Outside London","315","290","44050","43870"
"In post","2022","40-49","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Science and Engineering","London","270","255","52210","52610"
"In post","2022","40-49","Science and Engineering","Outside London","2675","2555","43240","41710"
"In post","2022","40-49","Science and Engineering","Overseas","25","25","46160","47080"
"In post","2022","40-49","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Security","London","315","310","43800","41970"
"In post","2022","40-49","Security","Outside London","1590","1570","33030","33150"
"In post","2022","40-49","Security","Overseas","15","15","34550","32560"
"In post","2022","40-49","Security","Unknown","15","15","29110","27370"
"In post","2022","40-49","Social Research","London","85","80","58370","60280"
"In post","2022","40-49","Social Research","Outside London","150","135","43880","40280"
"In post","2022","40-49","Statistics","London","200","190","56050","58030"
"In post","2022","40-49","Statistics","Outside London","300","285","47820","49530"
"In post","2022","40-49","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Tax","London","420","405","44890","38000"
"In post","2022","40-49","Tax","Outside London","3395","3265","35720","33370"
"In post","2022","40-49","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","London","1625","1585","60020","57140"
"In post","2022","40-49","Unknown","Outside London","5655","5410","44210","39660"
"In post","2022","40-49","Unknown","Overseas","15","15","66300","66740"
"In post","2022","40-49","Unknown","Unknown","60","60","50100","49700"
"In post","2022","40-49","Veterinarian","London","5","5","[c]","[c]"
"In post","2022","40-49","Veterinarian","Outside London","145","140","43670","38300"
"In post","2022","40-49","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","London","260","255","49060","45020"
"In post","2022","50-59","Commercial","Outside London","1390","1345","41930","38980"
"In post","2022","50-59","Commercial","Overseas","10","10","[c]","[c]"
"In post","2022","50-59","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Communications","London","285","280","50140","45370"
"In post","2022","50-59","Communications","Outside London","475","460","38820","35910"
"In post","2022","50-59","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Corporate Finance","London","10","10","55280","55770"
"In post","2022","50-59","Corporate Finance","Outside London","25","25","46770","47010"
"In post","2022","50-59","Counter Fraud","London","450","420","34950","31880"
"In post","2022","50-59","Counter Fraud","Outside London","2040","1885","28540","27570"
"In post","2022","50-59","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Digital, Data and Technology","London","970","960","51350","47240"
"In post","2022","50-59","Digital, Data and Technology","Outside London","4460","4355","42480","39300"
"In post","2022","50-59","Digital, Data and Technology","Overseas","20","20","31260","33150"
"In post","2022","50-59","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2022","50-59","Economics","London","90","90","73130","69630"
"In post","2022","50-59","Economics","Outside London","30","30","53490","52730"
"In post","2022","50-59","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Finance","London","810","800","51170","45540"
"In post","2022","50-59","Finance","Outside London","3010","2910","39680","35310"
"In post","2022","50-59","Finance","Overseas","30","30","38850","33460"
"In post","2022","50-59","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","50-59","Geography","Outside London","115","110","33640","33290"
"In post","2022","50-59","Human Resources","London","720","705","50120","45390"
"In post","2022","50-59","Human Resources","Outside London","2110","2015","37890","33680"
"In post","2022","50-59","Human Resources","Overseas","10","10","42580","38520"
"In post","2022","50-59","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Inspector of Education and Training","London","40","35","60320","51360"
"In post","2022","50-59","Inspector of Education and Training","Outside London","375","365","67190","75480"
"In post","2022","50-59","Intelligence Analysis","London","325","320","39830","36450"
"In post","2022","50-59","Intelligence Analysis","Outside London","545","530","30370","27380"
"In post","2022","50-59","Intelligence Analysis","Overseas","10","10","44860","35490"
"In post","2022","50-59","Internal Audit","London","80","80","58200","53070"
"In post","2022","50-59","Internal Audit","Outside London","225","220","47010","43860"
"In post","2022","50-59","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","50-59","International Trade","London","180","175","54900","51970"
"In post","2022","50-59","International Trade","Outside London","70","65","41870","40180"
"In post","2022","50-59","International Trade","Overseas","20","20","62100","60080"
"In post","2022","50-59","Knowledge and Information Management","London","240","235","41400","37560"
"In post","2022","50-59","Knowledge and Information Management","Outside London","530","510","33980","31990"
"In post","2022","50-59","Legal","London","1235","1175","59660","62120"
"In post","2022","50-59","Legal","Outside London","2375","2220","48030","48080"
"In post","2022","50-59","Legal","Overseas","5","5","[c]","[c]"
"In post","2022","50-59","Medicine","London","100","95","83050","80780"
"In post","2022","50-59","Medicine","Outside London","605","545","58390","45840"
"In post","2022","50-59","Medicine","Overseas","15","15","59840","57440"
"In post","2022","50-59","Medicine","Unknown","10","10","58630","43980"
"In post","2022","50-59","Operational Delivery","London","9620","9160","35750","31060"
"In post","2022","50-59","Operational Delivery","Outside London","66285","60500","28910","27570"
"In post","2022","50-59","Operational Delivery","Overseas","120","120","49640","55550"
"In post","2022","50-59","Operational Delivery","Unknown","175","160","31410","30130"
"In post","2022","50-59","Operational Research","London","45","40","60640","65820"
"In post","2022","50-59","Operational Research","Outside London","135","130","47540","47060"
"In post","2022","50-59","Other","London","1090","1065","41370","31880"
"In post","2022","50-59","Other","Outside London","8470","8080","28690","26670"
"In post","2022","50-59","Other","Overseas","155","155","49110","46600"
"In post","2022","50-59","Other","Unknown","555","550","40830","35380"
"In post","2022","50-59","Planning","London","15","15","55500","53870"
"In post","2022","50-59","Planning","Outside London","35","35","48360","47470"
"In post","2022","50-59","Planning Inspectors","London","5","5","[c]","[c]"
"In post","2022","50-59","Planning Inspectors","Outside London","120","110","57520","58810"
"In post","2022","50-59","Policy","London","3240","3160","53510","53600"
"In post","2022","50-59","Policy","Outside London","2360","2280","44640","40520"
"In post","2022","50-59","Policy","Overseas","395","390","59540","58660"
"In post","2022","50-59","Policy","Unknown","10","10","[c]","[c]"
"In post","2022","50-59","Project Delivery","London","920","895","53780","52130"
"In post","2022","50-59","Project Delivery","Outside London","3790","3665","44650","40580"
"In post","2022","50-59","Project Delivery","Overseas","30","30","55820","55860"
"In post","2022","50-59","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2022","50-59","Property","London","440","430","47540","43810"
