"Status","Year","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Grants Management","G6/G7","G6","15","15","59670","59930"
"In post","2022","Grants Management","G6/G7","G7","50","50","49150","48370"
"In post","2022","Grants Management","SCS level","SCS level","10","5","[c]","[c]"
"In post","2022","Grants Management","SEO/HEO","HEO","245","230","30380","30230"
"In post","2022","Grants Management","SEO/HEO","SEO","115","105","37430","36970"
"In post","2022","Human Resources","AA/AO","AA","70","60","20160","19810"
"In post","2022","Human Resources","AA/AO","AO","1565","1420","21780","21260"
"In post","2022","Human Resources","EO","EO","2585","2425","27290","27270"
"In post","2022","Human Resources","G6/G7","G6","635","620","66890","66440"
"In post","2022","Human Resources","G6/G7","G7","1710","1650","54270","54500"
"In post","2022","Human Resources","SCS level","SCS level","265","255","86780","79320"
"In post","2022","Human Resources","SEO/HEO","HEO","2905","2770","33280","33120"
"In post","2022","Human Resources","SEO/HEO","SEO","1950","1870","40710","40520"
"In post","2022","Human Resources","Unknown","Unknown","40","35","44130","45900"
"In post","2022","Internal Audit","AA/AO","AO","30","25","28260","25580"
"In post","2022","Internal Audit","EO","EO","45","45","27830","26740"
"In post","2022","Internal Audit","G6/G7","G6","75","70","67210","65360"
"In post","2022","Internal Audit","G6/G7","G7","135","130","54000","54130"
"In post","2022","Internal Audit","SCS level","SCS level","30","30","91120","88000"
"In post","2022","Internal Audit","SEO/HEO","HEO","150","145","34200","33420"
"In post","2022","Internal Audit","SEO/HEO","SEO","305","285","43830","43160"
"In post","2022","Legal","AA/AO","AA","15","15","20640","21250"
"In post","2022","Legal","AA/AO","AO","1605","1475","22800","22200"
"In post","2022","Legal","EO","EO","2130","1990","28010","27580"
"In post","2022","Legal","G6/G7","G6","1490","1385","69950","68160"
"In post","2022","Legal","G6/G7","G7","4505","4155","55920","54810"
"In post","2022","Legal","SCS level","SCS level","460","445","87880","82520"
"In post","2022","Legal","SEO/HEO","HEO","1295","1240","35200","33840"
"In post","2022","Legal","SEO/HEO","SEO","900","860","45630","41750"
"In post","2022","No function","AA/AO","AA","10880","9555","20800","20890"
"In post","2022","No function","AA/AO","AO","82905","74360","23330","21300"
"In post","2022","No function","EO","EO","76805","70795","28380","27570"
"In post","2022","No function","G6/G7","G6","6730","6465","67960","66230"
"In post","2022","No function","G6/G7","G7","17935","17410","54930","54110"
"In post","2022","No function","SCS level","SCS level","3330","3200","89830","81050"
"In post","2022","No function","SEO/HEO","HEO","36205","34755","33830","33370"
"In post","2022","No function","SEO/HEO","SEO","20540","19735","42330","40520"
"In post","2022","No function","Unknown","Unknown","19195","17775","30100","28200"
"In post","2022","Project Delivery","AA/AO","AA","10","10","19970","19850"
"In post","2022","Project Delivery","AA/AO","AO","625","540","22060","21260"
"In post","2022","Project Delivery","EO","EO","3440","3250","24860","25750"
"In post","2022","Project Delivery","G6/G7","G6","2100","2040","68160","67860"
"In post","2022","Project Delivery","G6/G7","G7","5140","5000","53950","54540"
"In post","2022","Project Delivery","SCS level","SCS level","595","580","92460","83920"
"In post","2022","Project Delivery","SEO/HEO","HEO","6265","5990","32460","33040"
"In post","2022","Project Delivery","SEO/HEO","SEO","6780","6535","40660","40520"
"In post","2022","Project Delivery","Unknown","Unknown","1610","1575","41060","39850"
"In post","2022","Property","AA/AO","AA","595","575","18590","17480"
"In post","2022","Property","AA/AO","AO","1235","1145","22890","22010"
"In post","2022","Property","EO","EO","1915","1810","26770","26670"
"In post","2022","Property","G6/G7","G6","520","510","66510","65370"
"In post","2022","Property","G6/G7","G7","1215","1185","54970","54540"
"In post","2022","Property","SCS level","SCS level","115","115","92470","87080"
"In post","2022","Property","SEO/HEO","HEO","2115","2045","33440","33300"
"In post","2022","Property","SEO/HEO","SEO","1785","1710","42510","42090"
"In post","2022","Property","Unknown","Unknown","45","45","22430","21600"
"In post","2022","Security","AA/AO","AA","2475","2410","20730","19810"
"In post","2022","Security","AA/AO","AO","3175","3100","31770","30890"
"In post","2022","Security","EO","EO","1510","1465","31750","28590"
"In post","2022","Security","G6/G7","G6","140","140","68770","67380"
"In post","2022","Security","G6/G7","G7","465","455","56440","55210"
"In post","2022","Security","SCS level","SCS level","65","65","88630","78860"
"In post","2022","Security","SEO/HEO","HEO","1725","1680","35820","33860"
"In post","2022","Security","SEO/HEO","SEO","945","930","44410","42890"
"In post","2022","Security","Unknown","Unknown","185","185","32770","31370"
"In post","2022","Unknown","AA/AO","AA","4325","4040","20580","19810"
"In post","2022","Unknown","AA/AO","AO","14705","13595","22670","21680"
"In post","2022","Unknown","EO","EO","23070","21640","27490","27230"
"In post","2022","Unknown","G6/G7","G6","3145","3005","72090","70480"
"In post","2022","Unknown","G6/G7","G7","7035","6805","57690","57460"
"In post","2022","Unknown","SCS level","SCS level","1015","980","89540","83230"
"In post","2022","Unknown","SEO/HEO","HEO","14030","13525","34490","34170"
"In post","2022","Unknown","SEO/HEO","SEO","10270","9950","43050","41980"
"In post","2022","Unknown","Unknown","Unknown","2065","2055","37420","34160"
"Leaver CS","2022","Analysis","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AA/AO","AO","125","[c]","21520","21250"
"Leaver CS","2022","Analysis","EO","EO","60","[c]","26790","25750"
"Leaver CS","2022","Analysis","G6/G7","G6","35","[c]","77350","73110"
"Leaver CS","2022","Analysis","G6/G7","G7","80","[c]","55510","54210"
"Leaver CS","2022","Analysis","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","HEO","150","[c]","33240","32930"
"Leaver CS","2022","Analysis","SEO/HEO","SEO","75","[c]","40810","39780"
"Leaver CS","2022","Commercial","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","AO","20","[c]","21430","21400"
"Leaver CS","2022","Commercial","EO","EO","60","[c]","25860","26120"
"Leaver CS","2022","Commercial","G6/G7","G6","55","[c]","78530","77540"
"Leaver CS","2022","Commercial","G6/G7","G7","125","[c]","60430","59650"
"Leaver CS","2022","Commercial","SCS level","SCS level","35","[c]","131430","126880"
"Leaver CS","2022","Commercial","SEO/HEO","HEO","80","[c]","33380","33380"
"Leaver CS","2022","Commercial","SEO/HEO","SEO","130","[c]","40840","40580"
"Leaver CS","2022","Commercial","Unknown","Unknown","10","[c]","44710","42870"
"Leaver CS","2022","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","AO","30","[c]","21570","21300"
"Leaver CS","2022","Communications","EO","EO","80","[c]","27290","26930"
"Leaver CS","2022","Communications","G6/G7","G6","30","[c]","67830","66250"
"Leaver CS","2022","Communications","G6/G7","G7","50","[c]","55780","54700"
"Leaver CS","2022","Communications","SCS level","SCS level","15","[c]","90530","88320"
"Leaver CS","2022","Communications","SEO/HEO","HEO","110","[c]","34880","34550"
"Leaver CS","2022","Communications","SEO/HEO","SEO","95","[c]","41960","40600"
"Leaver CS","2022","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","AA/AO","AO","95","[c]","21760","21260"
"Leaver CS","2022","Counter Fraud","EO","EO","155","[c]","27860","27570"
"Leaver CS","2022","Counter Fraud","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","SEO/HEO","HEO","50","[c]","34960","34290"
"Leaver CS","2022","Counter Fraud","SEO/HEO","SEO","25","[c]","41360","40670"
"Leaver CS","2022","Debt","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","AA/AO","AO","195","[c]","21360","21260"
"Leaver CS","2022","Debt","EO","EO","25","[c]","27770","27570"
"Leaver CS","2022","Debt","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","AA/AO","AA","25","[c]","18740","17900"
"Leaver CS","2022","Digital, Data & Technology","AA/AO","AO","90","[c]","21680","21260"
"Leaver CS","2022","Digital, Data & Technology","EO","EO","230","[c]","27350","26990"
"Leaver CS","2022","Digital, Data & Technology","G6/G7","G6","90","[c]","69110","68700"
"Leaver CS","2022","Digital, Data & Technology","G6/G7","G7","300","[c]","55330","54700"
"Leaver CS","2022","Digital, Data & Technology","SCS level","SCS level","30","[c]","99270","99540"
"Leaver CS","2022","Digital, Data & Technology","SEO/HEO","HEO","310","[c]","33990","33390"
"Leaver CS","2022","Digital, Data & Technology","SEO/HEO","SEO","320","[c]","41610","40580"
"Leaver CS","2022","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver CS","2022","Finance","AA/AO","AO","65","[c]","22180","21830"
"Leaver CS","2022","Finance","EO","EO","95","[c]","26800","26670"
"Leaver CS","2022","Finance","G6/G7","G6","30","[c]","68680","68340"
"Leaver CS","2022","Finance","G6/G7","G7","75","[c]","53980","53430"
"Leaver CS","2022","Finance","SCS level","SCS level","20","[c]","89570","92690"
"Leaver CS","2022","Finance","SEO/HEO","HEO","105","[c]","34490","33840"
"Leaver CS","2022","Finance","SEO/HEO","SEO","105","[c]","42430","41750"
"Leaver CS","2022","Finance","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","AA/AO","AO","90","[c]","21180","21300"
"Leaver CS","2022","Grants Management","EO","EO","45","[c]","25610","25830"
"Leaver CS","2022","Grants Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","SEO/HEO","HEO","15","[c]","31210","31900"
"Leaver CS","2022","Grants Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","AA/AO","AA","10","[c]","19830","19680"
"Leaver CS","2022","Human Resources","AA/AO","AO","125","[c]","21730","21170"
"Leaver CS","2022","Human Resources","EO","EO","175","[c]","26720","27500"
"Leaver CS","2022","Human Resources","G6/G7","G6","30","[c]","67270","66000"
"Leaver CS","2022","Human Resources","G6/G7","G7","65","[c]","53880","54110"
"Leaver CS","2022","Human Resources","SCS level","SCS level","15","[c]","88310","81600"
"Leaver CS","2022","Human Resources","SEO/HEO","HEO","125","[c]","33340","33350"
"Leaver CS","2022","Human Resources","SEO/HEO","SEO","115","[c]","41720","40580"
"Leaver CS","2022","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SEO/HEO","HEO","15","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SEO/HEO","SEO","25","[c]","[c]","[c]"
"Leaver CS","2022","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","AA/AO","AO","140","[c]","22180","22200"
"Leaver CS","2022","Legal","EO","EO","100","[c]","28160","27350"
"Leaver CS","2022","Legal","G6/G7","G6","75","[c]","70130","69470"
"Leaver CS","2022","Legal","G6/G7","G7","270","[c]","55880","55000"
"Leaver CS","2022","Legal","SCS level","SCS level","35","[c]","95790","93000"
"Leaver CS","2022","Legal","SEO/HEO","HEO","70","[c]","36830","38000"
"Leaver CS","2022","Legal","SEO/HEO","SEO","50","[c]","45510","41750"
"Leaver CS","2022","No function","AA/AO","AA","1775","[c]","18940","18580"
"Leaver CS","2022","No function","AA/AO","AO","8725","[c]","21550","21260"
"Leaver CS","2022","No function","EO","EO","6235","[c]","27890","27570"
"Leaver CS","2022","No function","G6/G7","G6","480","[c]","69650","66900"
"Leaver CS","2022","No function","G6/G7","G7","1290","[c]","55390","53780"
"Leaver CS","2022","No function","SCS level","SCS level","370","[c]","96570","93370"
"Leaver CS","2022","No function","SEO/HEO","HEO","2125","[c]","32900","32570"
"Leaver CS","2022","No function","SEO/HEO","SEO","1640","[c]","41620","40470"
"Leaver CS","2022","No function","Unknown","Unknown","1815","[c]","34570","29600"
"Leaver CS","2022","Project Delivery","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","AA/AO","AO","50","[c]","21770","21260"
"Leaver CS","2022","Project Delivery","EO","EO","230","[c]","23250","23220"
"Leaver CS","2022","Project Delivery","G6/G7","G6","100","[c]","68150","67770"
"Leaver CS","2022","Project Delivery","G6/G7","G7","165","[c]","54490","54540"
"Leaver CS","2022","Project Delivery","SCS level","SCS level","30","[c]","100400","96330"
"Leaver CS","2022","Project Delivery","SEO/HEO","HEO","310","[c]","32030","32520"
"Leaver CS","2022","Project Delivery","SEO/HEO","SEO","290","[c]","41060","40580"
"Leaver CS","2022","Project Delivery","Unknown","Unknown","120","[c]","37180","35650"
"Leaver CS","2022","Property","AA/AO","AA","105","[c]","19510","19010"
"Leaver CS","2022","Property","AA/AO","AO","140","[c]","22180","22010"
"Leaver CS","2022","Property","EO","EO","95","[c]","25850","26030"
"Leaver CS","2022","Property","G6/G7","G6","20","[c]","66710","65340"
"Leaver CS","2022","Property","G6/G7","G7","50","[c]","56250","54700"
"Leaver CS","2022","Property","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","HEO","90","[c]","34330","33300"
"Leaver CS","2022","Property","SEO/HEO","SEO","100","[c]","43190","43580"
"Leaver CS","2022","Security","AA/AO","AA","180","[c]","21180","19810"
"Leaver CS","2022","Security","AA/AO","AO","345","[c]","32260","39070"
"Leaver CS","2022","Security","EO","EO","120","[c]","32710","29200"
"Leaver CS","2022","Security","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","Security","G6/G7","G7","15","[c]","60630","57440"
"Leaver CS","2022","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","SEO/HEO","HEO","95","[c]","37610","34290"
"Leaver CS","2022","Security","SEO/HEO","SEO","40","[c]","44980","40820"
"Leaver CS","2022","Security","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","AA","640","[c]","20370","19810"
"Leaver CS","2022","Unknown","AA/AO","AO","4395","[c]","22120","21380"
"Leaver CS","2022","Unknown","EO","EO","2885","[c]","27900","27570"
"Leaver CS","2022","Unknown","G6/G7","G6","310","[c]","72310","73510"
"Leaver CS","2022","Unknown","G6/G7","G7","530","[c]","58290","57540"
"Leaver CS","2022","Unknown","SCS level","SCS level","140","[c]","97710","93350"
"Leaver CS","2022","Unknown","SEO/HEO","HEO","1415","[c]","35330","35050"
"Leaver CS","2022","Unknown","SEO/HEO","SEO","785","[c]","43290","42410"
"Leaver CS","2022","Unknown","Unknown","Unknown","360","[c]","36620","33270"
"Leaver Dept.","2022","Analysis","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","EO","EO","30","[c]","26630","25880"
"Leaver Dept.","2022","Analysis","G6/G7","G6","70","[c]","69090","70010"
"Leaver Dept.","2022","Analysis","G6/G7","G7","130","[c]","54510","53490"
"Leaver Dept.","2022","Analysis","SCS level","SCS level","10","[c]","86480","77060"
"Leaver Dept.","2022","Analysis","SEO/HEO","HEO","190","[c]","32790","33000"
"Leaver Dept.","2022","Analysis","SEO/HEO","SEO","100","[c]","41830","42220"
"Leaver Dept.","2022","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","EO","EO","40","[c]","26370","26670"
"Leaver Dept.","2022","Commercial","G6/G7","G6","35","[c]","69440","68150"
"Leaver Dept.","2022","Commercial","G6/G7","G7","90","[c]","53760","53800"
"Leaver Dept.","2022","Commercial","SCS level","SCS level","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SEO/HEO","HEO","95","[c]","32580","33000"
"Leaver Dept.","2022","Commercial","SEO/HEO","SEO","155","[c]","40440","40580"
"Leaver Dept.","2022","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AA/AO","AO","15","[c]","23500","24490"
"Leaver Dept.","2022","Communications","EO","EO","65","[c]","27850","27510"
"Leaver Dept.","2022","Communications","G6/G7","G6","55","[c]","69270","67180"
"Leaver Dept.","2022","Communications","G6/G7","G7","90","[c]","54940","54890"
"Leaver Dept.","2022","Communications","SCS level","SCS level","20","[c]","95190","88530"
"Leaver Dept.","2022","Communications","SEO/HEO","HEO","130","[c]","34200","33950"
"Leaver Dept.","2022","Communications","SEO/HEO","SEO","90","[c]","41170","40600"
"Leaver Dept.","2022","Counter Fraud","AA/AO","AO","25","[c]","22060","21260"
"Leaver Dept.","2022","Counter Fraud","EO","EO","65","[c]","27720","27570"
"Leaver Dept.","2022","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","SEO/HEO","HEO","35","[c]","33130","32140"
"Leaver Dept.","2022","Counter Fraud","SEO/HEO","SEO","15","[c]","41230","40350"
"Leaver Dept.","2022","Debt","AA/AO","AO","45","[c]","21270","21260"
"Leaver Dept.","2022","Debt","EO","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","AA/AO","AO","15","[c]","21780","21170"
"Leaver Dept.","2022","Digital, Data & Technology","EO","EO","95","[c]","27490","27350"
"Leaver Dept.","2022","Digital, Data & Technology","G6/G7","G6","35","[c]","69520","67650"
"Leaver Dept.","2022","Digital, Data & Technology","G6/G7","G7","160","[c]","55050","54700"
"Leaver Dept.","2022","Digital, Data & Technology","SCS level","SCS level","20","[c]","95750","93500"
"Leaver Dept.","2022","Digital, Data & Technology","SEO/HEO","HEO","240","[c]","33220","33000"
"Leaver Dept.","2022","Digital, Data & Technology","SEO/HEO","SEO","215","[c]","39860","39640"
"Leaver Dept.","2022","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","AA/AO","AO","25","[c]","21670","21260"
"Leaver Dept.","2022","Finance","EO","EO","100","[c]","26220","26350"
"Leaver Dept.","2022","Finance","G6/G7","G6","35","[c]","66860","66310"
"Leaver Dept.","2022","Finance","G6/G7","G7","110","[c]","54750","54690"
"Leaver Dept.","2022","Finance","SCS level","SCS level","20","[c]","84710","76000"
"Leaver Dept.","2022","Finance","SEO/HEO","HEO","145","[c]","32840","32170"
"Leaver Dept.","2022","Finance","SEO/HEO","SEO","155","[c]","39810","39960"
"Leaver Dept.","2022","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Grants Management","AA/AO","AO","35","[c]","21120","21300"
"Leaver Dept.","2022","Grants Management","EO","EO","15","[c]","25300","25150"
"Leaver Dept.","2022","Grants Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Grants Management","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Grants Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","AA/AO","AO","65","[c]","21670","21170"
"Leaver Dept.","2022","Human Resources","EO","EO","200","[c]","27160","27500"
"Leaver Dept.","2022","Human Resources","G6/G7","G6","50","[c]","65460","64990"
"Leaver Dept.","2022","Human Resources","G6/G7","G7","100","[c]","53460","53190"
"Leaver Dept.","2022","Human Resources","SCS level","SCS level","25","[c]","88010","82410"
"Leaver Dept.","2022","Human Resources","SEO/HEO","HEO","190","[c]","32350","32330"
"Leaver Dept.","2022","Human Resources","SEO/HEO","SEO","105","[c]","39820","39960"
"Leaver Dept.","2022","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","AA/AO","AO","45","[c]","23250","23720"
"Leaver Dept.","2022","Legal","EO","EO","50","[c]","27010","27010"
"Leaver Dept.","2022","Legal","G6/G7","G6","35","[c]","69150","67290"
"Leaver Dept.","2022","Legal","G6/G7","G7","60","[c]","54850","52690"
"Leaver Dept.","2022","Legal","SCS level","SCS level","10","[c]","88190","83870"
"Leaver Dept.","2022","Legal","SEO/HEO","HEO","20","[c]","32500","31180"
"Leaver Dept.","2022","Legal","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","AA/AO","AA","235","[c]","19990","19520"
"Leaver Dept.","2022","No function","AA/AO","AO","1850","[c]","21460","21260"
"Leaver Dept.","2022","No function","EO","EO","3400","[c]","27210","27570"
"Leaver Dept.","2022","No function","G6/G7","G6","815","[c]","69350","66320"
"Leaver Dept.","2022","No function","G6/G7","G7","2160","[c]","53380","53380"
"Leaver Dept.","2022","No function","SCS level","SCS level","615","[c]","100790","98000"
"Leaver Dept.","2022","No function","SEO/HEO","HEO","3365","[c]","32250","32070"
"Leaver Dept.","2022","No function","SEO/HEO","SEO","2190","[c]","39940","40070"
"Leaver Dept.","2022","No function","Unknown","Unknown","150","[c]","39000","36300"
"Leaver Dept.","2022","Project Delivery","AA/AO","AO","15","[c]","22480","22770"
"Leaver Dept.","2022","Project Delivery","EO","EO","125","[c]","24730","25670"
"Leaver Dept.","2022","Project Delivery","G6/G7","G6","45","[c]","66020","66150"
"Leaver Dept.","2022","Project Delivery","G6/G7","G7","115","[c]","52830","53130"
"Leaver Dept.","2022","Project Delivery","SCS level","SCS level","20","[c]","95450","91600"
"Leaver Dept.","2022","Project Delivery","SEO/HEO","HEO","195","[c]","31900","31990"
"Leaver Dept.","2022","Project Delivery","SEO/HEO","SEO","165","[c]","40310","40580"
"Leaver Dept.","2022","Project Delivery","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","AA/AO","AO","30","[c]","21830","22010"
"Leaver Dept.","2022","Property","EO","EO","35","[c]","26440","26620"
