"Status","Year","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","UK Statistics Authority","Outside London","1765","1690","37460","36840"
"In post","2022","Analysis","Valuation Office Agency","London","20","20","47160","42500"
"In post","2022","Analysis","Valuation Office Agency","Outside London","40","40","44960","41450"
"In post","2022","Analysis","Water Services Regulation Authority","London","30","30","62630","54800"
"In post","2022","Analysis","Water Services Regulation Authority","Outside London","15","10","55030","51630"
"In post","2022","Analysis","Welsh Revenue Authority","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Animal and Plant Health Agency","Outside London","70","65","33770","30140"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","London","830","820","73170","65500"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Outside London","765","755","66760","64500"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Unknown","65","60","53190","53110"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Outside London","15","15","42290","42410"
"In post","2022","Commercial","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Companies House","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","London","15","15","38580","39320"
"In post","2022","Commercial","Crown Commercial Service","Outside London","345","335","35890","33630"
"In post","2022","Commercial","Crown Prosecution Service","London","5","5","[c]","[c]"
"In post","2022","Commercial","Crown Prosecution Service","Outside London","35","30","38910","38180"
"In post","2022","Commercial","Defence Electronics and Components Agency","Outside London","25","25","32770","32890"
"In post","2022","Commercial","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Defence Equipment and Support","Outside London","435","420","43040","39880"
"In post","2022","Commercial","Defence Equipment and Support","Overseas","5","5","[c]","[c]"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Outside London","80","75","32720","30370"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","35","30","46180","40050"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","London","25","25","43940","39020"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Outside London","10","10","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Outside London","245","240","37350","36500"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","London","15","15","35470","36910"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","115","110","36730","35900"
"In post","2022","Commercial","Department for International Trade","London","30","30","37490","38160"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","London","20","20","43760","40300"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Transport (excl. agencies)","London","125","120","50700","45200"
"In post","2022","Commercial","Department for Transport (excl. agencies)","Outside London","20","20","31240","30120"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","London","190","190","51020","53360"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Outside London","95","95","45150","38730"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","Outside London","170","155","32390","30730"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","Outside London","55","55","35470","33890"
"In post","2022","Commercial","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","FCDO Services","London","10","10","71130","68810"
"In post","2022","Commercial","FCDO Services","Outside London","65","65","43770","42370"
"In post","2022","Commercial","FCDO Services","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","Outside London","15","10","37280","37350"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","50","50","38520","39410"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Health and Safety Executive","Outside London","45","45","40360","36350"
"In post","2022","Commercial","HM Land Registry","London","5","5","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","Outside London","15","15","39680","38550"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","Outside London","140","135","37790","33430"
"In post","2022","Commercial","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Institute for Apprenticeships and Technical Education","London","10","10","[c]","[c]"
"In post","2022","Commercial","Institute for Apprenticeships and Technical Education","Outside London","10","10","[c]","[c]"
"In post","2022","Commercial","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Intellectual Property Office","Outside London","10","10","[c]","[c]"
"In post","2022","Commercial","Maritime and Coastguard Agency","Outside London","25","25","40440","39040"
"In post","2022","Commercial","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Met Office","Outside London","195","185","44250","45150"
"In post","2022","Commercial","Met Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Ministry of Defence (excl. agencies)","London","50","50","39770","37000"
"In post","2022","Commercial","Ministry of Defence (excl. agencies)","Outside London","860","830","35480","34500"
"In post","2022","Commercial","Ministry of Defence (excl. agencies)","Overseas","30","30","50160","42710"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","London","95","95","41170","41750"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Outside London","155","155","31290","30450"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","London","5","5","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","Outside London","15","15","45900","45480"
"In post","2022","Commercial","National Savings and Investments","London","10","10","54430","50000"
"In post","2022","Commercial","National Savings and Investments","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","Outside London","15","15","37610","35930"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Planning Inspectorate","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Queen Elizabeth II Centre","London","10","10","[c]","[c]"
"In post","2022","Commercial","Registers of Scotland","Outside London","10","10","[c]","[c]"
"In post","2022","Commercial","Scottish Courts and Tribunals Service","Outside London","10","10","33920","34950"
"In post","2022","Commercial","Scottish Prison Service","Outside London","90","85","31510","26900"
"In post","2022","Commercial","Serious Fraud Office","London","5","5","[c]","[c]"
"In post","2022","Commercial","Submarine Delivery Agency","Outside London","160","160","40420","37450"
"In post","2022","Commercial","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","The Insolvency Service","Outside London","20","20","40750","41870"
"In post","2022","Commercial","The National Archives","London","40","35","30070","24150"
"In post","2022","Commercial","UK Debt Management Office","London","10","10","[c]","[c]"
"In post","2022","Commercial","UK Export Finance","London","190","190","53260","49470"
"In post","2022","Commercial","UK Export Finance","Outside London","25","25","45110","42920"
"In post","2022","Commercial","UK Health Security Agency","London","85","85","48980","52610"
"In post","2022","Commercial","UK Health Security Agency","Outside London","55","50","45360","41770"
"In post","2022","Commercial","UK Hydrographic Office","Outside London","85","85","42310","42510"
"In post","2022","Commercial","UK Space Agency","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","Outside London","35","35","43890","37210"
"In post","2022","Commercial","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wilton Park","Outside London","25","20","29620","25760"
"In post","2022","Communications","Advisory, Conciliation and Arbitration Service","London","15","10","39790","38670"
"In post","2022","Communications","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Attorney General's Office","London","15","15","44450","38290"
"In post","2022","Communications","Cabinet Office (excl. agencies)","London","325","320","49120","42990"
"In post","2022","Communications","Cabinet Office (excl. agencies)","Outside London","20","20","34150","33630"
"In post","2022","Communications","Cabinet Office (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","Communications","Centre for Environment, Fisheries and Aquaculture Science","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Charity Commission","London","10","10","50820","51070"
"In post","2022","Communications","Charity Commission","Outside London","10","10","33760","29160"
"In post","2022","Communications","Companies House","Outside London","25","25","35760","30720"
"In post","2022","Communications","Competition and Markets Authority","London","35","30","49220","41670"
"In post","2022","Communications","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Crown Commercial Service","Outside London","20","20","40250","35110"
"In post","2022","Communications","Crown Office and Procurator Fiscal Service","Outside London","15","15","36570","32310"
"In post","2022","Communications","Crown Prosecution Service","London","30","30","43460","39750"
"In post","2022","Communications","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Defence Equipment and Support","Outside London","30","30","36310","33350"
"In post","2022","Communications","Defence Science and Technology Laboratory","Outside London","25","25","39000","38070"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","105","100","48780","45100"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","London","35","35","50620","43000"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department for Education (excl. agencies)","London","110","110","42990","40230"
"In post","2022","Communications","Department for Education (excl. agencies)","Outside London","95","90","33070","30200"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","London","125","120","42960","38750"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","115","105","39060","36970"
"In post","2022","Communications","Department for International Trade","London","105","105","43970","38480"
"In post","2022","Communications","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","London","95","95","45720","40590"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","10","10","37180","36340"
"In post","2022","Communications","Department for Transport (excl. agencies)","London","80","80","49140","42890"
"In post","2022","Communications","Department for Transport (excl. agencies)","Outside London","10","10","42000","38650"
"In post","2022","Communications","Department for Work and Pensions (excl. agencies)","London","115","110","42390","41880"
"In post","2022","Communications","Department for Work and Pensions (excl. agencies)","Outside London","55","45","40870","38950"
"In post","2022","Communications","Department of Health and Social Care (excl. agencies)","London","285","280","45630","40650"
"In post","2022","Communications","Department of Health and Social Care (excl. agencies)","Outside London","50","50","56100","55380"
"In post","2022","Communications","Department of Health and Social Care (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","Communications","Driver and Vehicle Licensing Agency","Outside London","70","65","29690","26780"
"In post","2022","Communications","Driver and Vehicle Standards Agency","Outside London","45","45","35090","32180"
"In post","2022","Communications","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","FCDO Services","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","London","20","20","48460","40960"
"In post","2022","Communications","Food Standards Agency","Outside London","35","30","37180","37350"
"In post","2022","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","London","90","90","50690","47340"
"In post","2022","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Legal Department","London","15","15","40290","32570"
"In post","2022","Communications","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Health and Safety Executive","Outside London","35","35","42120","39390"
"In post","2022","Communications","HM Courts and Tribunals Service","London","10","10","[c]","[c]"
"In post","2022","Communications","HM Courts and Tribunals Service","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","HM Land Registry","London","20","20","41640","37290"
"In post","2022","Communications","HM Land Registry","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","HM Prison and Probation Service","London","10","10","[c]","[c]"
"In post","2022","Communications","HM Prison and Probation Service","Outside London","20","20","37610","42630"
"In post","2022","Communications","HM Revenue and Customs (excl. agencies)","London","130","130","53010","45640"
"In post","2022","Communications","HM Revenue and Customs (excl. agencies)","Outside London","4490","4340","29740","26820"
"In post","2022","Communications","HM Treasury (excl. agencies)","London","30","30","48030","42840"
"In post","2022","Communications","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Institute for Apprenticeships and Technical Education","London","10","10","59040","40630"
"In post","2022","Communications","Institute for Apprenticeships and Technical Education","Outside London","20","20","44420","37390"
"In post","2022","Communications","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Intellectual Property Office","Outside London","35","35","37230","31360"
"In post","2022","Communications","Legal Aid Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Maritime and Coastguard Agency","Outside London","20","15","36550","31290"
"In post","2022","Communications","Medicines and Healthcare Products Regulatory Agency","London","45","45","42640","39160"
"In post","2022","Communications","Medicines and Healthcare Products Regulatory Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Met Office","Outside London","35","30","40560","37810"
"In post","2022","Communications","Ministry of Defence (excl. agencies)","London","100","100","50040","47500"
"In post","2022","Communications","Ministry of Defence (excl. agencies)","Outside London","410","395","31530","29200"
"In post","2022","Communications","Ministry of Defence (excl. agencies)","Overseas","5","5","[c]","[c]"
"In post","2022","Communications","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Ministry of Justice (excl. agencies)","London","115","110","45780","41750"
"In post","2022","Communications","Ministry of Justice (excl. agencies)","Outside London","20","20","42570","37990"
"In post","2022","Communications","National Crime Agency","London","15","15","46250","47370"
"In post","2022","Communications","National Crime Agency","Outside London","10","10","41520","41110"
"In post","2022","Communications","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Savings and Investments","London","20","20","44620","43930"
"In post","2022","Communications","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","London","10","10","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","Outside London","15","15","45620","36720"
"In post","2022","Communications","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","London","20","15","47640","42850"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Outside London","20","15","38930","39460"
"In post","2022","Communications","Office of Gas and Electricity Markets","London","30","30","49080","44960"
"In post","2022","Communications","Office of Gas and Electricity Markets","Outside London","15","15","37400","33530"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","Outside London","10","10","44270","39910"
"In post","2022","Communications","Office of Rail and Road","London","15","15","47110","38180"
"In post","2022","Communications","Office of Rail and Road","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Registers of Scotland","Outside London","20","20","38090","37710"
"In post","2022","Communications","Rural Payments Agency","Outside London","55","45","33340","30320"
"In post","2022","Communications","Scottish Courts and Tribunals Service","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Serious Fraud Office","London","10","10","[c]","[c]"
"In post","2022","Communications","Submarine Delivery Agency","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","The Insolvency Service","London","5","5","[c]","[c]"
"In post","2022","Communications","The Insolvency Service","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","The National Archives","London","20","15","33960","29780"
"In post","2022","Communications","UK Debt Management Office","London","5","5","[c]","[c]"
"In post","2022","Communications","UK Export Finance","London","65","65","56560","52500"
"In post","2022","Communications","UK Health Security Agency","London","70","65","46180","40270"
"In post","2022","Communications","UK Health Security Agency","Outside London","30","30","38470","36330"
"In post","2022","Communications","UK Hydrographic Office","Outside London","25","25","42260","42510"
"In post","2022","Communications","UK Hydrographic Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Space Agency","London","5","5","[c]","[c]"
"In post","2022","Communications","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Statistics Authority","London","10","10","[c]","[c]"
"In post","2022","Communications","UK Statistics Authority","Outside London","55","55","37100","36840"
"In post","2022","Communications","UK Supreme Court","London","5","5","[c]","[c]"
"In post","2022","Communications","Valuation Office Agency","London","10","10","54990","55670"
"In post","2022","Communications","Valuation Office Agency","Outside London","10","10","33400","33380"
"In post","2022","Communications","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Water Services Regulation Authority","London","5","5","[c]","[c]"
"In post","2022","Communications","Water Services Regulation Authority","Outside London","10","10","[c]","[c]"
"In post","2022","Communications","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Cabinet Office (excl. agencies)","London","105","105","48040","49700"
"In post","2022","Counter Fraud","Cabinet Office (excl. agencies)","Outside London","15","15","37770","32000"
"In post","2022","Counter Fraud","Cabinet Office (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Companies House","Outside London","170","155","24810","22740"
"In post","2022","Counter Fraud","Department for Digital, Culture, Media and Sport","London","20","15","47390","45870"
"In post","2022","Counter Fraud","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Department for Work and Pensions (excl. agencies)","London","1020","915","29570","30330"
"In post","2022","Counter Fraud","Department for Work and Pensions (excl. agencies)","Outside London","5355","4775","27190","27570"
