"Status","Year","Ethnicity","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","35","35","42190","37870"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","15","15","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","195","190","39610","35140"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Economics","20","20","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Finance","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Human Resources","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","International Trade","120","120","46070","38540"
"In post","2022","Asian","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Operational Delivery","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Other","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Policy","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Project Delivery","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Security","5","5","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Statistics","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","15","15","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","40","40","33650","33210"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Planning","5","5","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","155","155","43150","38160"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","25","25","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","20","15","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Commercial","20","20","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Finance","35","35","50900","54110"
"In post","2022","Asian","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Operational Delivery","15","15","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Other","5","5","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Policy","85","85","46670","42470"
"In post","2022","Asian","Department for Transport (excl. agencies)","Project Delivery","50","50","44690","42470"
"In post","2022","Asian","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Security","15","15","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Unknown","55","55","39030","32870"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Commercial","25","25","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Counter Fraud","570","510","27470","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","225","220","42760","38980"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Finance","80","75","36930","31990"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Human Resources","40","40","35980","32250"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","20","20","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Operational Delivery","6135","5535","27160","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Other","740","665","26590","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Policy","100","95","39890","36650"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Project Delivery","85","70","30280","25110"
