"Status","Year","Age","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","UK Statistics Authority","EO","10","10","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","EO","10","10","25900","26030"
"In post","2022","16-19","Vehicle Certification Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Vehicle Certification Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","AA","5","5","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","AO","10","5","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","EO","60","60","24550","24250"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","HEO","20","20","31980","30950"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","AO","225","220","22310","21300"
"In post","2022","20-29","Animal and Plant Health Agency","EO","210","210","26020","24920"
"In post","2022","20-29","Animal and Plant Health Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","HEO","70","70","31010","30640"
"In post","2022","20-29","Animal and Plant Health Agency","SEO","20","20","36850","35900"
"In post","2022","20-29","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","AO","145","140","21900","21050"
"In post","2022","20-29","Cabinet Office (excl. agencies)","EO","425","425","26590","27500"
"In post","2022","20-29","Cabinet Office (excl. agencies)","G6","55","55","65900","64500"
"In post","2022","20-29","Cabinet Office (excl. agencies)","G7","415","415","55320","54700"
"In post","2022","20-29","Cabinet Office (excl. agencies)","HEO","2030","2030","30710","29250"
"In post","2022","20-29","Cabinet Office (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","SEO","290","290","40140","40600"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","AO","25","25","21250","21510"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","EO","50","50","25230","25010"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","HEO","35","35","29710","29750"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","AO","15","10","17360","17140"
"In post","2022","20-29","Charity Commission","EO","30","30","24560","24440"
"In post","2022","20-29","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","HEO","25","25","28750","29160"
"In post","2022","20-29","Charity Commission","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Companies House","AO","80","75","20230","20100"
"In post","2022","20-29","Companies House","EO","45","45","26880","24500"
"In post","2022","20-29","Companies House","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","HEO","25","25","33240","33000"
"In post","2022","20-29","Companies House","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","AO","15","15","22580","22520"
"In post","2022","20-29","Competition and Markets Authority","EO","25","25","27410","26750"
"In post","2022","20-29","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","G7","40","40","55310","54320"
"In post","2022","20-29","Competition and Markets Authority","HEO","55","55","33630","33120"
"In post","2022","20-29","Competition and Markets Authority","SEO","10","10","43140","41670"
"In post","2022","20-29","Criminal Injuries Compensation Authority","AO","15","15","20970","20970"
"In post","2022","20-29","Criminal Injuries Compensation Authority","EO","10","10","25120","25120"
"In post","2022","20-29","Criminal Injuries Compensation Authority","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","AO","15","15","20370","20330"
"In post","2022","20-29","Crown Commercial Service","EO","40","40","25820","25520"
"In post","2022","20-29","Crown Commercial Service","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","G7","5","5","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","HEO","55","55","30600","30420"
"In post","2022","20-29","Crown Commercial Service","SEO","35","35","37000","38980"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","AO","265","255","21920","21050"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","EO","140","135","28040","27230"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","HEO","45","45","32050","31540"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","SEO","105","105","42780","41750"
"In post","2022","20-29","Crown Prosecution Service","AO","470","465","22460","22200"
"In post","2022","20-29","Crown Prosecution Service","EO","340","340","26270","26090"
"In post","2022","20-29","Crown Prosecution Service","G7","85","85","50520","48080"
"In post","2022","20-29","Crown Prosecution Service","HEO","130","130","34640","32080"
"In post","2022","20-29","Crown Prosecution Service","SEO","20","20","39300","39750"
"In post","2022","20-29","Defence Electronics and Components Agency","AA","25","25","20000","19450"
"In post","2022","20-29","Defence Electronics and Components Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Electronics and Components Agency","EO","5","5","[c]","[c]"
"In post","2022","20-29","Defence Electronics and Components Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","EO","895","890","23090","23250"
"In post","2022","20-29","Defence Equipment and Support","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","G7","5","5","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","HEO","780","770","28970","29610"
"In post","2022","20-29","Defence Equipment and Support","SEO","220","220","36710","37400"
"In post","2022","20-29","Defence Science and Technology Laboratory","AA","40","40","18150","17790"
"In post","2022","20-29","Defence Science and Technology Laboratory","AO","90","90","21120","22230"
"In post","2022","20-29","Defence Science and Technology Laboratory","EO","105","105","24800","23490"
"In post","2022","20-29","Defence Science and Technology Laboratory","G7","15","15","47390","47010"
"In post","2022","20-29","Defence Science and Technology Laboratory","HEO","655","655","29650","29230"
"In post","2022","20-29","Defence Science and Technology Laboratory","SEO","155","155","38640","38070"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","25","25","24030","24900"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","190","190","27480","27680"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6","30","30","65910","64700"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","G7","530","525","54880","53380"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","HEO","715","715","34020","33570"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO","545","545","40840","40050"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","EO","115","110","26610","26180"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","G6","10","10","62180","62600"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","G7","195","195","53160","51730"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","HEO","445","445","35030","34020"
"In post","2022","20-29","Department for Education (excl. agencies)","AO","25","25","21880","21250"
"In post","2022","20-29","Department for Education (excl. agencies)","EO","330","325","26230","25000"
"In post","2022","20-29","Department for Education (excl. agencies)","G6","20","20","63150","64180"
"In post","2022","20-29","Department for Education (excl. agencies)","G7","225","220","52240","53420"
"In post","2022","20-29","Department for Education (excl. agencies)","HEO","430","425","31740","32870"
"In post","2022","20-29","Department for Education (excl. agencies)","SEO","365","365","39280","40230"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","35","30","22150","21620"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","235","235","26200","25170"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","G6","10","10","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","G7","170","170","52070","52290"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","HEO","700","700","32020","32560"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO","305","300","38330","38750"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","EO","145","145","27020","26250"
"In post","2022","20-29","Department for International Trade","G6","10","10","62300","62170"
"In post","2022","20-29","Department for International Trade","G7","230","230","52490","51710"
"In post","2022","20-29","Department for International Trade","HEO","380","380","32380","31800"
"In post","2022","20-29","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","SEO","260","260","39110","38160"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","20","20","24630","23320"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","165","160","27220","27850"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","G6","15","15","63340","63470"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","G7","215","210","52720","53130"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","HEO","350","350","32540","33210"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO","205","205","39360","39600"
"In post","2022","20-29","Department for Transport (excl. agencies)","AO","20","20","23720","23790"
"In post","2022","20-29","Department for Transport (excl. agencies)","EO","165","165","28480","29970"
"In post","2022","20-29","Department for Transport (excl. agencies)","G6","30","30","65160","65440"
"In post","2022","20-29","Department for Transport (excl. agencies)","G7","165","165","53900","54110"
"In post","2022","20-29","Department for Transport (excl. agencies)","HEO","365","365","33910","34710"
"In post","2022","20-29","Department for Transport (excl. agencies)","SEO","200","200","41990","42470"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","AO","3805","3695","21620","21260"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","EO","5865","5780","28390","27570"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","G6","10","10","[c]","[c]"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","G7","135","135","54140","54070"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","HEO","640","640","33730","31990"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","SEO","270","270","38450","37880"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","AO","25","25","22070","23170"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","EO","240","235","26620","27270"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","G6","30","30","65580","66230"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","G7","285","285","52990","53360"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","HEO","430","430","32200","32790"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","SEO","235","235","39860","40650"
"In post","2022","20-29","Disclosure Scotland","AA","55","50","21710","21050"
"In post","2022","20-29","Disclosure Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Disclosure Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Disclosure Scotland","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Disclosure Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","AA","185","170","18520","18310"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","AO","430","410","21870","21840"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","EO","105","105","26410","26130"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","HEO","50","50","32980","31040"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","SEO","20","20","43290","42750"
"In post","2022","20-29","Driver and Vehicle Standards Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Driver and Vehicle Standards Agency","AO","145","140","23220","21840"
"In post","2022","20-29","Driver and Vehicle Standards Agency","EO","105","105","26840","26130"
"In post","2022","20-29","Driver and Vehicle Standards Agency","HEO","45","45","31620","30730"
"In post","2022","20-29","Driver and Vehicle Standards Agency","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Education and Skills Funding Agency","AO","5","5","[c]","[c]"
"In post","2022","20-29","Education and Skills Funding Agency","EO","75","75","25660","25000"
"In post","2022","20-29","Education and Skills Funding Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Education and Skills Funding Agency","G7","30","30","51180","50080"
"In post","2022","20-29","Education and Skills Funding Agency","HEO","135","135","30020","29360"
"In post","2022","20-29","Education and Skills Funding Agency","SEO","90","90","37740","36500"
"In post","2022","20-29","Education Scotland","AA","5","5","[c]","[c]"
"In post","2022","20-29","Education Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Education Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Education Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Estyn","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","FCDO Services","AO","20","20","23010","22600"
"In post","2022","20-29","FCDO Services","EO","55","55","27800","26570"
"In post","2022","20-29","FCDO Services","HEO","25","25","33220","33390"
"In post","2022","20-29","FCDO Services","SEO","10","10","[c]","[c]"
"In post","2022","20-29","FCDO Services","Unknown","40","40","23070","21750"
"In post","2022","20-29","Food Standards Agency","AO","5","5","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","EO","30","30","26290","26750"
"In post","2022","20-29","Food Standards Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","HEO","55","55","31210","30350"
"In post","2022","20-29","Food Standards Agency","SEO","40","40","39250","39390"
"In post","2022","20-29","Food Standards Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Food Standards Scotland","EO","20","20","27630","27230"
"In post","2022","20-29","Food Standards Scotland","HEO","20","20","32240","31540"
"In post","2022","20-29","Food Standards Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","AO","120","120","26040","25000"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","EO","155","155","29070","29300"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","G6","5","5","[c]","[c]"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","G7","105","105","51820","52430"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","630","625","35360","35700"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","SEO","85","85","39960","41000"
"In post","2022","20-29","Forestry and Land Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Forestry and Land Scotland","AO","60","60","24550","24020"
"In post","2022","20-29","Forestry and Land Scotland","EO","20","20","30270","30020"
"In post","2022","20-29","Forestry and Land Scotland","HEO","10","10","[c]","[c]"
"In post","2022","20-29","Forestry and Land Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Government Actuary's Department","AO","5","5","[c]","[c]"
"In post","2022","20-29","Government Actuary's Department","EO","10","10","28450","28230"
"In post","2022","20-29","Government Actuary's Department","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Government Actuary's Department","G7","10","10","57840","57250"
"In post","2022","20-29","Government Actuary's Department","HEO","20","20","35630","35840"
"In post","2022","20-29","Government Actuary's Department","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Government Internal Audit Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Government Internal Audit Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Government Internal Audit Agency","HEO","20","20","32650","33420"
"In post","2022","20-29","Government Internal Audit Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Government Legal Department","AO","15","15","23660","23570"
"In post","2022","20-29","Government Legal Department","EO","175","175","28480","26950"
"In post","2022","20-29","Government Legal Department","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Government Legal Department","G7","90","85","50700","50500"
"In post","2022","20-29","Government Legal Department","HEO","75","75","38930","43920"
"In post","2022","20-29","Government Legal Department","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Government Property Agency","EO","10","10","24670","24100"
"In post","2022","20-29","Government Property Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Government Property Agency","G7","10","10","53660","54700"
"In post","2022","20-29","Government Property Agency","HEO","15","15","33040","32000"
