"Status","Year","Organisation","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Charity Commission","Charity Commission","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Commercial","Outside London","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Communications","Outside London","25","25","35760","30720"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Counter Fraud","Outside London","170","155","24810","22740"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Outside London","250","245","39660","38000"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Finance","Outside London","70","65","30060","24730"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","Outside London","55","55","37260","39820"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Outside London","10","10","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Legal","Outside London","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","London","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","Outside London","475","430","24830","22740"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Other","Outside London","25","25","49860","40170"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Policy","Outside London","30","25","41980","39820"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","Outside London","25","20","42800","41530"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Property","Outside London","15","15","34820","24900"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Statistics","Outside London","10","10","35310","35120"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Commercial","London","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Communications","London","35","30","49220","41670"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","London","15","15","46330","38060"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","London","70","70","57770","58030"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Economics","London","95","90","64300","59890"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Economics","Outside London","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Human Resources","London","40","40","49600","44360"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","London","30","30","55030","54320"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Legal","London","135","130","68590","71370"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Legal","Outside London","10","10","71400","73450"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Policy","London","15","10","66710","72430"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","London","335","320","62430","57920"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","Outside London","45","45","56800","55860"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Property","London","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Security","London","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Statistics","London","5","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","Outside London","315","290","27310","25120"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Commercial","London","15","15","38580","39320"
"In post","2022","Crown Commercial Service","Cabinet Office","Commercial","Outside London","340","330","35720","32930"
"In post","2022","Crown Commercial Service","Cabinet Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Communications","Outside London","15","15","38150","31250"
"In post","2022","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","London","30","30","56300","56160"
"In post","2022","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","Outside London","110","105","41850","38980"
"In post","2022","Crown Commercial Service","Cabinet Office","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Finance","Outside London","30","30","48780","39680"
"In post","2022","Crown Commercial Service","Cabinet Office","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Human Resources","Outside London","35","30","39890","39360"
"In post","2022","Crown Commercial Service","Cabinet Office","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Operational Delivery","London","20","20","58270","58190"
"In post","2022","Crown Commercial Service","Cabinet Office","Operational Delivery","Outside London","170","170","39220","38330"
"In post","2022","Crown Commercial Service","Cabinet Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Policy","Outside London","10","10","46840","46890"
"In post","2022","Crown Commercial Service","Cabinet Office","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Project Delivery","Outside London","20","20","43510","38980"
"In post","2022","Crown Commercial Service","Cabinet Office","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","Outside London","15","15","36570","32310"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","Outside London","60","60","41540","38600"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","Outside London","20","20","39880","39730"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","Outside London","45","45","35020","31540"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","Outside London","25","20","40880","34600"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","Outside London","725","685","54240","53490"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","Outside London","1445","1345","27500","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","Outside London","20","20","48460","56920"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Commercial","London","5","5","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Commercial","Outside London","30","30","38920","38180"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Communications","London","40","35","41560","39750"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Communications","Outside London","25","25","37150","38540"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","London","25","25","45220","39750"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","Outside London","90","85","37500","33310"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Finance","London","30","30","35800","31560"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Finance","Outside London","140","130","28190","25480"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Human Resources","London","55","55","42200","33930"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Human Resources","Outside London","120","115","34480","30370"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","London","15","15","44250","39750"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","Outside London","15","15","33480","28430"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Legal","London","770","725","59940","61360"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Legal","Outside London","2540","2355","53280","53520"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","London","745","700","28280","26970"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","Outside London","2145","1980","26610","25480"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Other","London","5","5","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Other","Outside London","10","10","27030","26970"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Policy","London","45","40","61110","56300"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Policy","Outside London","25","25","45710","50850"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Project Delivery","London","35","35","39640","34470"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Project Delivery","Outside London","60","60","39380","38180"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Property","London","10","5","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Property","Outside London","25","25","35620","32450"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Security","London","10","10","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Security","Outside London","20","20","33240","31270"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Commercial","Outside London","20","20","33300","32890"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Digital, Data and Technology","Outside London","10","10","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Finance","Outside London","10","10","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Human Resources","Outside London","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Medicine","Outside London","15","15","31110","29470"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","Outside London","65","60","31550","29140"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Other","Outside London","30","25","26360","26600"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Project Delivery","Outside London","15","15","32090","29470"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Property","Outside London","15","15","29460","25830"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Science and Engineering","Outside London","250","240","27670","29470"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Commercial","Outside London","905","865","39610","37400"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Commercial","Overseas","5","5","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Communications","Outside London","25","25","39600","37240"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","Outside London","255","245","35970","33060"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Finance","Outside London","455","435","38460","31800"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Human Resources","Outside London","175","165","38440","32990"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Knowledge and Information Management","Outside London","160","160","35860","33910"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Other","London","165","160","23710","20800"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Other","Outside London","3320","3170","32300","28850"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Other","Overseas","5","5","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Policy","Outside London","75","70","42900","40620"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Policy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Project Delivery","Outside London","2255","2180","40700","39100"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Project Delivery","Overseas","15","15","46100","41750"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Property","Outside London","60","60","36180","33610"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Science and Engineering","London","15","15","40410","38120"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Science and Engineering","Outside London","2725","2660","38210","37400"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Science and Engineering","Overseas","35","35","41640","41410"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Security","Outside London","60","55","36550","36050"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Commercial","Outside London","80","80","33140","32930"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Communications","Outside London","25","25","36810","33750"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Corporate Finance","Outside London","55","50","42190","39960"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Digital, Data and Technology","Outside London","125","120","47700","47010"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Finance","Outside London","15","10","40090","38070"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Human Resources","Outside London","90","85","35360","29230"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Intelligence Analysis","Outside London","25","25","31260","29230"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Knowledge and Information Management","Outside London","45","45","42580","38700"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Legal","Outside London","10","10","62090","74000"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","Outside London","400","385","39570","38070"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Operational Research","Outside London","505","480","44050","47010"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Other","Outside London","60","60","36650","29230"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Project Delivery","Outside London","480","455","41620","38380"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Property","Outside London","45","45","46140","47010"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Psychology","Outside London","20","20","52990","52010"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","Outside London","2600","2525","40740","38070"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Security","Outside London","60","60","35870","36290"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Statistics","Outside London","10","10","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Commercial","London","5","5","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Communications","London","125","120","47360","45100"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Communications","Outside London","5","5","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","100","100","46180","40220"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Outside London","20","20","39570","30360"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Economics","London","235","230","46370","39570"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Economics","Outside London","10","10","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Finance","London","150","145","53870","53600"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Finance","Outside London","15","15","49890","45620"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","London","100","100","50430","53380"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","Outside London","30","30","40790","34510"
