"Status","Year","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Project Delivery","Unknown","15","15","43650","36650"
"In post","2022","Property","London","1280","1235","45090","40650"
"In post","2022","Property","Outside London","6105","5830","36430","33300"
"In post","2022","Property","Overseas","175","175","39380","38080"
"In post","2022","Property","Unknown","35","35","45360","41770"
"In post","2022","Psychology","London","85","85","40310","33120"
"In post","2022","Psychology","Outside London","1430","1370","35520","31180"
"In post","2022","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","London","1130","1090","46880","42470"
"In post","2022","Science and Engineering","Outside London","12665","12185","38520","37500"
"In post","2022","Science and Engineering","Overseas","140","140","42290","40580"
"In post","2022","Science and Engineering","Unknown","15","15","28430","27370"
"In post","2022","Security","London","1425","1400","39930","37320"
"In post","2022","Security","Outside London","7705","7530","31030","27680"
"In post","2022","Security","Overseas","85","85","36210","34220"
"In post","2022","Security","Unknown","65","65","28790","27370"
"In post","2022","Social Research","London","510","495","47130","42940"
"In post","2022","Social Research","Outside London","815","775","39510","38340"
"In post","2022","Statistics","London","1025","990","46770","43260"
"In post","2022","Statistics","Outside London","1375","1315","41430","38340"
"In post","2022","Statistics","Overseas","5","5","[c]","[c]"
"In post","2022","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Tax","London","2515","2400","44580","38050"
"In post","2022","Tax","Outside London","17085","16225","33800","33080"
"In post","2022","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","London","8485","8365","49750","43430"
"In post","2022","Unknown","Outside London","23220","22370","39030","33080"
"In post","2022","Unknown","Overseas","35","35","57600","56040"
"In post","2022","Unknown","Unknown","495","490","37740","32000"
"In post","2022","Veterinarian","London","10","10","49560","49690"
"In post","2022","Veterinarian","Outside London","400","380","43990","38530"
"In post","2022","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","London","75","[c]","40260","37850"
"Leaver CS","2022","Commercial","Outside London","315","[c]","38440","36240"
"Leaver CS","2022","Commercial","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","Communications","London","225","[c]","41410","37960"
"Leaver CS","2022","Communications","Outside London","135","[c]","36570","33350"
"Leaver CS","2022","Communications","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","London","45","[c]","36140","33100"
"Leaver CS","2022","Counter Fraud","Outside London","230","[c]","27370","27570"
"Leaver CS","2022","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","London","340","[c]","48380","43630"
"Leaver CS","2022","Digital, Data and Technology","Outside London","990","[c]","39490","37000"
"Leaver CS","2022","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Unknown","55","[c]","39710","37230"
"Leaver CS","2022","Economics","London","135","[c]","38990","34550"
"Leaver CS","2022","Economics","Outside London","45","[c]","30630","19610"
"Leaver CS","2022","Economics","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","London","165","[c]","47270","40070"
"Leaver CS","2022","Finance","Outside London","475","[c]","36960","33300"
"Leaver CS","2022","Finance","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","20","[c]","26490","21840"
"Leaver CS","2022","Geography","Outside London","35","[c]","32810","33290"
"Leaver CS","2022","Human Resources","London","230","[c]","43790","39020"
"Leaver CS","2022","Human Resources","Outside London","360","[c]","33570","29540"
"Leaver CS","2022","Human Resources","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","London","10","[c]","60590","51360"
"Leaver CS","2022","Inspector of Education and Training","Outside London","110","[c]","65870","75480"
"Leaver CS","2022","Intelligence Analysis","London","60","[c]","32990","30500"
"Leaver CS","2022","Intelligence Analysis","Outside London","80","[c]","29950","27370"
"Leaver CS","2022","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","London","15","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Outside London","45","[c]","36900","33460"
"Leaver CS","2022","International Trade","London","85","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Overseas","15","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","London","115","[c]","43920","41320"
"Leaver CS","2022","Knowledge and Information Management","Outside London","325","[c]","32420","29250"
"Leaver CS","2022","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","London","265","[c]","58370","55000"
"Leaver CS","2022","Legal","Outside London","240","[c]","53520","55000"
"Leaver CS","2022","Legal","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","London","95","[c]","79590","86320"
"Leaver CS","2022","Medicine","Outside London","320","[c]","52700","39030"
"Leaver CS","2022","Medicine","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Unknown","10","[c]","51790","39030"
"Leaver CS","2022","Operational Delivery","London","3820","[c]","35340","31060"
"Leaver CS","2022","Operational Delivery","Outside London","17230","[c]","26670","25110"
"Leaver CS","2022","Operational Delivery","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Unknown","515","[c]","22720","21840"
"Leaver CS","2022","Operational Research","London","10","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Outside London","35","[c]","39340","38070"
"Leaver CS","2022","Other","London","515","[c]","39090","31060"
"Leaver CS","2022","Other","Outside London","2045","[c]","26090","21640"
"Leaver CS","2022","Other","Overseas","65","[c]","44390","41600"
"Leaver CS","2022","Other","Unknown","255","[c]","35370","32700"
"Leaver CS","2022","Planning","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Outside London","20","[c]","47020","47660"
"Leaver CS","2022","Policy","London","1130","[c]","47470","42300"
"Leaver CS","2022","Policy","Outside London","445","[c]","42420","36500"
"Leaver CS","2022","Policy","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","London","165","[c]","50380","43300"
"Leaver CS","2022","Project Delivery","Outside London","580","[c]","39170","37770"
"Leaver CS","2022","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","15","[c]","36340","33630"
"Leaver CS","2022","Property","London","45","[c]","46760","45220"
"Leaver CS","2022","Property","Outside London","365","[c]","33520","32010"
"Leaver CS","2022","Property","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2022","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","London","10","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Outside London","100","[c]","35820","34340"
"Leaver CS","2022","Science and Engineering","London","265","[c]","43300","40060"
"Leaver CS","2022","Science and Engineering","Outside London","1170","[c]","36430","33400"
"Leaver CS","2022","Science and Engineering","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","London","70","[c]","34160","31890"
"Leaver CS","2022","Security","Outside London","615","[c]","31720","28080"
"Leaver CS","2022","Security","Unknown","10","[c]","27410","26410"
"Leaver CS","2022","Social Research","London","20","[c]","38410","36510"
"Leaver CS","2022","Social Research","Outside London","25","[c]","33840","31700"
"Leaver CS","2022","Statistics","London","60","[c]","35400","32540"
"Leaver CS","2022","Statistics","Outside London","50","[c]","38540","32000"
"Leaver CS","2022","Statistics","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Tax","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Tax","Outside London","35","[c]","39780","33830"
"Leaver CS","2022","Unknown","London","1645","[c]","46960","40600"
"Leaver CS","2022","Unknown","Outside London","6715","[c]","32110","27570"
"Leaver CS","2022","Unknown","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","285","[c]","45470","34550"
"Leaver CS","2022","Veterinarian","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinarian","Outside London","45","[c]","41280","38050"
"Leaver Dept.","2022","Commercial","London","145","[c]","49080","46030"
"Leaver Dept.","2022","Commercial","Outside London","305","[c]","38270","36540"
"Leaver Dept.","2022","Commercial","Unknown","50","[c]","35790","31990"
"Leaver Dept.","2022","Communications","London","280","[c]","44480","38600"
"Leaver Dept.","2022","Communications","Outside London","110","[c]","36970","34240"
"Leaver Dept.","2022","Communications","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","London","30","[c]","35390","33100"
"Leaver Dept.","2022","Counter Fraud","Outside London","85","[c]","29150","27570"
"Leaver Dept.","2022","Digital, Data and Technology","London","275","[c]","46730","41970"
"Leaver Dept.","2022","Digital, Data and Technology","Outside London","425","[c]","40070","36840"
"Leaver Dept.","2022","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data and Technology","Unknown","55","[c]","35450","31200"
"Leaver Dept.","2022","Economics","London","135","[c]","46120","38570"
"Leaver Dept.","2022","Economics","Outside London","20","[c]","32680","30210"
"Leaver Dept.","2022","Economics","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","London","225","[c]","49650","43110"
"Leaver Dept.","2022","Finance","Outside London","360","[c]","38050","35310"
"Leaver Dept.","2022","Finance","Unknown","45","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","London","300","[c]","41370","33960"
"Leaver Dept.","2022","Human Resources","Outside London","295","[c]","37680","32130"
"Leaver Dept.","2022","Human Resources","Unknown","25","[c]","34250","31850"
"Leaver Dept.","2022","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intelligence Analysis","London","40","[c]","38210","34850"
"Leaver Dept.","2022","Intelligence Analysis","Outside London","45","[c]","29360","27370"
"Leaver Dept.","2022","Internal Audit","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Outside London","15","[c]","42110","38890"
"Leaver Dept.","2022","International Trade","London","90","[c]","[c]","[c]"
"Leaver Dept.","2022","International Trade","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Knowledge and Information Management","London","230","[c]","45830","46140"
"Leaver Dept.","2022","Knowledge and Information Management","Outside London","75","[c]","38130","36510"
"Leaver Dept.","2022","Legal","London","100","[c]","60320","61180"
"Leaver Dept.","2022","Legal","Outside London","15","[c]","55970","56130"
"Leaver Dept.","2022","Medicine","London","165","[c]","94600","97550"
"Leaver Dept.","2022","Medicine","Outside London","230","[c]","87090","95140"
"Leaver Dept.","2022","Operational Delivery","London","2760","[c]","39550","33370"
"Leaver Dept.","2022","Operational Delivery","Outside London","5635","[c]","29690","27570"
"Leaver Dept.","2022","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Operational Delivery","Unknown","125","[c]","26630","21840"
"Leaver Dept.","2022","Operational Research","London","30","[c]","41400","36590"
"Leaver Dept.","2022","Operational Research","Outside London","20","[c]","41720","39260"
"Leaver Dept.","2022","Other","London","270","[c]","37450","31060"
"Leaver Dept.","2022","Other","Outside London","500","[c]","28220","27570"
"Leaver Dept.","2022","Other","Overseas","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Other","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectors","Outside London","25","[c]","47610","52520"
"Leaver Dept.","2022","Policy","London","1810","[c]","46850","41950"
"Leaver Dept.","2022","Policy","Outside London","540","[c]","39000","36500"
"Leaver Dept.","2022","Policy","Overseas","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Unknown","45","[c]","46260","40140"
"Leaver Dept.","2022","Project Delivery","London","155","[c]","44210","40000"
"Leaver Dept.","2022","Project Delivery","Outside London","360","[c]","39170","36840"
"Leaver Dept.","2022","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","London","45","[c]","43880","35880"
"Leaver Dept.","2022","Property","Outside London","80","[c]","37620","34060"
"Leaver Dept.","2022","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","London","715","[c]","42470","40070"
"Leaver Dept.","2022","Science and Engineering","Outside London","1560","[c]","38650","36330"
"Leaver Dept.","2022","Security","London","30","[c]","44040","40850"
"Leaver Dept.","2022","Security","Outside London","55","[c]","32750","31990"
"Leaver Dept.","2022","Security","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","London","45","[c]","45860","42980"
"Leaver Dept.","2022","Social Research","Outside London","25","[c]","36650","31320"
"Leaver Dept.","2022","Statistics","London","85","[c]","43890","40640"
"Leaver Dept.","2022","Statistics","Outside London","50","[c]","38970","38340"
"Leaver Dept.","2022","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","London","2305","[c]","43800","35590"
"Leaver Dept.","2022","Unknown","Outside London","1720","[c]","34900","31990"
"Leaver Dept.","2022","Unknown","Overseas","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","355","[c]","40300","32420"
"Leaver Dept.","2022","Veterinarian","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Veterinarian","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","London","190","[c]","36780","34710"
"New entrant CS","2022","Commercial","Outside London","605","[c]","31360","29180"
"New entrant CS","2022","Commercial","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2022","Communications","London","390","[c]","37180","34020"
"New entrant CS","2022","Communications","Outside London","200","[c]","34120","31210"
"New entrant CS","2022","Communications","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","London","10","[c]","44410","27260"
"New entrant CS","2022","Corporate Finance","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","London","125","[c]","28610","25110"
"New entrant CS","2022","Counter Fraud","Outside London","570","[c]","25790","27570"
"New entrant CS","2022","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","London","730","[c]","43800","40650"
"New entrant CS","2022","Digital, Data and Technology","Outside London","2055","[c]","36300","33080"
"New entrant CS","2022","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2022","Economics","London","270","[c]","36840","32390"
"New entrant CS","2022","Economics","Outside London","125","[c]","29290","30360"
"New entrant CS","2022","Economics","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","London","260","[c]","41840","40440"
"New entrant CS","2022","Finance","Outside London","935","[c]","33400","29360"
"New entrant CS","2022","Finance","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Outside London","90","[c]","27510","20420"
"New entrant CS","2022","Geography","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","London","365","[c]","35870","32560"
"New entrant CS","2022","Human Resources","Outside London","770","[c]","32480","28000"
"New entrant CS","2022","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","London","20","[c]","58350","46360"
"New entrant CS","2022","Inspector of Education and Training","Outside London","145","[c]","59280","51360"
"New entrant CS","2022","Intelligence Analysis","London","85","[c]","32540","30750"
"New entrant CS","2022","Intelligence Analysis","Outside London","135","[c]","27960","26350"
"New entrant CS","2022","Internal Audit","London","25","[c]","42370","43970"
"New entrant CS","2022","Internal Audit","Outside London","35","[c]","37510","38550"
"New entrant CS","2022","International Trade","London","170","[c]","36170","31800"
"New entrant CS","2022","International Trade","Outside London","30","[c]","40620","34430"
"New entrant CS","2022","Knowledge and Information Management","London","75","[c]","36360","33570"
"New entrant CS","2022","Knowledge and Information Management","Outside London","145","[c]","28170","27230"
"New entrant CS","2022","Legal","London","450","[c]","45910","50500"
"New entrant CS","2022","Legal","Outside London","490","[c]","38780","38000"
"New entrant CS","2022","Medicine","London","50","[c]","73750","82180"
"New entrant CS","2022","Medicine","Outside London","280","[c]","46770","39030"
"New entrant CS","2022","Medicine","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","10","[c]","56420","42430"
"New entrant CS","2022","Operational Delivery","London","4955","[c]","32780","30520"
"New entrant CS","2022","Operational Delivery","Outside London","31560","[c]","25240","23170"
"New entrant CS","2022","Operational Delivery","Overseas","10","[c]","38920","36740"
"New entrant CS","2022","Operational Delivery","Unknown","305","[c]","26320","24620"
"New entrant CS","2022","Operational Research","London","35","[c]","33460","33650"
"New entrant CS","2022","Operational Research","Outside London","85","[c]","31850","29970"
"New entrant CS","2022","Other","London","505","[c]","33950","27960"
"New entrant CS","2022","Other","Outside London","1940","[c]","25720","21260"
"New entrant CS","2022","Other","Overseas","20","[c]","37380","39280"
"New entrant CS","2022","Other","Unknown","165","[c]","21790","16190"
"New entrant CS","2022","Planning","London","15","[c]","39140","33210"
"New entrant CS","2022","Planning","Outside London","60","[c]","41560","39100"
"New entrant CS","2022","Planning Inspectors","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Outside London","20","[c]","41480","41020"
"New entrant CS","2022","Policy","London","2290","[c]","37810","34020"
"New entrant CS","2022","Policy","Outside London","1595","[c]","34590","30960"
"New entrant CS","2022","Policy","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Unknown","15","[c]","47980","41460"
"New entrant CS","2022","Project Delivery","London","335","[c]","41760","36820"
"New entrant CS","2022","Project Delivery","Outside London","895","[c]","35610","33080"
"New entrant CS","2022","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Property","London","135","[c]","38600","34140"
"New entrant CS","2022","Property","Outside London","630","[c]","33800","29360"
"New entrant CS","2022","Property","Overseas","5","[c]","[c]","[c]"
"New entrant CS","2022","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Psychology","London","20","[c]","29490","28350"
"New entrant CS","2022","Psychology","Outside London","165","[c]","26340","27070"
"New entrant CS","2022","Psychology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Science and Engineering","London","195","[c]","36830","32330"
"New entrant CS","2022","Science and Engineering","Outside London","1490","[c]","31540","29230"
"New entrant CS","2022","Science and Engineering","Overseas","5","[c]","[c]","[c]"
"New entrant CS","2022","Science and Engineering","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2022","Security","London","90","[c]","35650","34710"
"New entrant CS","2022","Security","Outside London","570","[c]","27270","25000"
"New entrant CS","2022","Security","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Social Research","London","100","[c]","36910","34440"
"New entrant CS","2022","Social Research","Outside London","205","[c]","33070","30710"
"New entrant CS","2022","Statistics","London","160","[c]","31540","30100"
"New entrant CS","2022","Statistics","Outside London","220","[c]","31900","30710"
"New entrant CS","2022","Tax","London","235","[c]","34180","30750"
"New entrant CS","2022","Tax","Outside London","2310","[c]","26680","26590"
"New entrant CS","2022","Unknown","London","1470","[c]","37340","30750"
"New entrant CS","2022","Unknown","Outside London","6290","[c]","31280","27230"
"New entrant CS","2022","Unknown","Unknown","315","[c]","35900","28000"
"New entrant CS","2022","Veterinarian","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","Outside London","45","[c]","34770","35900"
"New entrant CS","2022","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","",""
"Profession_of_post","Professions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Cabinet Office (excl agencies) reported profession information for only 60 out of a total 9,930 employees.","","","","","",""
