"Status","Year","Age","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","HM Land Registry","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","London","Female","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Outside London","Female","95","95","23000","23140"
"In post","2022","16-19","HM Prison and Probation Service","Outside London","Male","60","60","22950","23140"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","London","Male","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Outside London","Female","90","90","21660","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Outside London","Male","100","90","21690","21250"
"In post","2022","16-19","HM Treasury (excl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Home Office","London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Home Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Outside London","Female","25","20","[c]","[c]"
"In post","2022","16-19","Home Office","Outside London","Male","20","20","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Outside London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Outside London","Male","10","10","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Unknown","Male","25","25","[c]","[c]"
"In post","2022","16-19","Rural Payments Agency","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Rural Payments Agency","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Outside London","Female","20","20","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Outside London","Male","10","10","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Outside London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Outside London","Male","10","10","[c]","[c]"
"In post","2022","16-19","Student Awards Agency for Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Student Awards Agency for Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2022","16-19","The Insolvency Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The Insolvency Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The Insolvency Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The Insolvency Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Outside London","Female","10","5","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Outside London","Female","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Outside London","Male","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2022","16-19","Vehicle Certification Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Vehicle Certification Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Outside London","Female","5","5","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Outside London","Male","5","5","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","London","Female","15","15","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","London","Male","5","5","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Outside London","Female","50","50","26090","24250"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Outside London","Male","25","25","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","London","Female","10","10","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","London","Male","10","10","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Outside London","Female","330","325","25500","24920"
"In post","2022","20-29","Animal and Plant Health Agency","Outside London","Male","175","170","25330","24370"
"In post","2022","20-29","Animal and Plant Health Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","London","Female","5","5","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","London","Female","1375","1375","35380","32000"
"In post","2022","20-29","Cabinet Office (excl. agencies)","London","Male","1025","1025","36610","32000"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Outside London","Female","415","410","29890","28000"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Outside London","Male","270","270","30190","28000"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","Female","150","150","31540","29250"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","Male","130","130","31320","29250"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","60","60","25970","25010"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","55","55","26270","25460"
"In post","2022","20-29","Charity Commission","London","Female","10","10","[c]","[c]"
"In post","2022","20-29","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Outside London","Female","40","35","24170","24440"
"In post","2022","20-29","Charity Commission","Outside London","Male","20","20","[c]","[c]"
"In post","2022","20-29","Companies House","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Outside London","Female","80","80","25850","24500"
"In post","2022","20-29","Companies House","Outside London","Male","80","80","25680","21120"
"In post","2022","20-29","Competition and Markets Authority","London","Female","80","80","37960","33120"
"In post","2022","20-29","Competition and Markets Authority","London","Male","60","60","38910","33610"
"In post","2022","20-29","Competition and Markets Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Outside London","Female","20","20","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Outside London","Male","15","15","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","London","Female","5","5","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","London","Male","10","10","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Outside London","Female","70","70","30760","30420"
"In post","2022","20-29","Crown Commercial Service","Outside London","Male","70","70","28810","30420"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Outside London","Female","390","380","28120","27230"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Outside London","Male","165","165","28390","27230"
"In post","2022","20-29","Crown Prosecution Service","London","Female","205","200","28490","26970"
"In post","2022","20-29","Crown Prosecution Service","London","Male","85","85","28310","26970"
"In post","2022","20-29","Crown Prosecution Service","Outside London","Female","570","565","27470","25480"
"In post","2022","20-29","Crown Prosecution Service","Outside London","Male","185","185","27770","25480"
"In post","2022","20-29","Defence Electronics and Components Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Electronics and Components Agency","Outside London","Male","30","30","21170","20550"
"In post","2022","20-29","Defence Equipment and Support","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","London","Male","5","5","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","Outside London","Female","705","690","26750","26000"
"In post","2022","20-29","Defence Equipment and Support","Outside London","Male","1185","1185","27420","27540"
"In post","2022","20-29","Defence Equipment and Support","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","Overseas","Male","5","5","[c]","[c]"
"In post","2022","20-29","Defence Science and Technology Laboratory","Outside London","Female","355","350","29690","29230"
"In post","2022","20-29","Defence Science and Technology Laboratory","Outside London","Male","710","705","29560","29230"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","940","935","41440","40050"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","910","910","42380","40050"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Female","110","110","31890","30360"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Male","80","80","33310","30360"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","London","Female","375","375","38630","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","London","Male","300","300","39870","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Outside London","Female","50","50","34640","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Outside London","Male","40","40","36320","34060"
"In post","2022","20-29","Department for Education (excl. agencies)","London","Female","385","380","40650","40230"
"In post","2022","20-29","Department for Education (excl. agencies)","London","Male","185","185","40520","40230"
"In post","2022","20-29","Department for Education (excl. agencies)","Outside London","Female","510","505","33060","29730"
"In post","2022","20-29","Department for Education (excl. agencies)","Outside London","Male","310","310","32210","29360"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Female","505","500","36910","33120"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Male","405","405","36030","32560"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Female","325","320","31630","29180"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Male","225","220","31810","29180"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","London","Female","490","490","38000","34820"
"In post","2022","20-29","Department for International Trade","London","Male","465","460","38400","38160"
"In post","2022","20-29","Department for International Trade","Outside London","Female","25","25","[c]","[c]"
"In post","2022","20-29","Department for International Trade","Outside London","Male","15","15","[c]","[c]"
"In post","2022","20-29","Department for International Trade","Overseas","Female","15","15","[c]","[c]"
"In post","2022","20-29","Department for International Trade","Overseas","Male","15","15","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Female","385","385","39070","34550"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Male","355","355","39710","34550"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Female","120","115","33530","30190"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Male","100","100","32640","30190"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Transport (excl. agencies)","London","Female","410","405","40160","34710"
"In post","2022","20-29","Department for Transport (excl. agencies)","London","Male","400","400","40550","35060"
"In post","2022","20-29","Department for Transport (excl. agencies)","Outside London","Female","75","75","30020","30730"
"In post","2022","20-29","Department for Transport (excl. agencies)","Outside London","Male","65","65","32450","30730"
"In post","2022","20-29","Department for Transport (excl. agencies)","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Transport (excl. agencies)","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","London","Female","1110","1095","31870","31060"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","London","Male","660","660","33320","31060"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Outside London","Female","4970","4815","25810","27570"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Outside London","Male","3900","3880","25800","27570"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Unknown","Female","50","45","29480","27570"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Unknown","Male","35","35","28250","27570"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","London","Female","665","660","38980","32940"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","London","Male","310","305","39520","32790"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Outside London","Female","165","160","34080","29360"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Outside London","Male","95","95","33840","29460"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Unknown","Female","10","10","[c]","[c]"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Unknown","Male","5","5","[c]","[c]"
"In post","2022","20-29","Disclosure Scotland","Outside London","Female","35","30","24390","21050"
"In post","2022","20-29","Disclosure Scotland","Outside London","Male","35","35","23130","21050"
