"Status","Year","Disability","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Unknown","Heterosexual / straight","520","480","32140","28690"
"In post","2022","Undeclared","Unknown","LGBO","60","60","28970","28090"
"In post","2022","Undeclared","Unknown","Undeclared","320","305","34810","33700"
"In post","2022","Undeclared","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Unknown","AA/AO","Heterosexual / straight","4345","3960","23330","22080"
"In post","2022","Unknown","AA/AO","LGBO","305","295","23410","22080"
"In post","2022","Unknown","AA/AO","Undeclared","490","450","23650","22080"
"In post","2022","Unknown","AA/AO","Unknown","20605","19155","22850","21650"
"In post","2022","Unknown","EO","Heterosexual / straight","5425","5215","29670","28650"
"In post","2022","Unknown","EO","LGBO","385","380","28950","27500"
"In post","2022","Unknown","EO","Undeclared","720","690","28570","27270"
"In post","2022","Unknown","EO","Unknown","14365","13735","28070","27130"
"In post","2022","Unknown","G6/G7","Heterosexual / straight","3725","3610","58460","55240"
"In post","2022","Unknown","G6/G7","LGBO","250","250","57570","54700"
"In post","2022","Unknown","G6/G7","Undeclared","1055","1015","58510","54780"
"In post","2022","Unknown","G6/G7","Unknown","8360","8130","59960","57430"
"In post","2022","Unknown","SCS level","Heterosexual / straight","345","335","95930","89520"
"In post","2022","Unknown","SCS level","LGBO","20","20","[c]","[c]"
"In post","2022","Unknown","SCS level","Undeclared","135","130","94980","92360"
"In post","2022","Unknown","SCS level","Unknown","890","865","97490","89300"
"In post","2022","Unknown","SEO/HEO","Heterosexual / straight","7110","6865","38150","37930"
"In post","2022","Unknown","SEO/HEO","LGBO","515","510","36690","36500"
"In post","2022","Unknown","SEO/HEO","Undeclared","1460","1410","37290","36820"
"In post","2022","Unknown","SEO/HEO","Unknown","17100","16660","36320","35050"
"In post","2022","Unknown","Unknown","Heterosexual / straight","440","420","32350","28200"
"In post","2022","Unknown","Unknown","LGBO","20","20","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","75","75","36260","31690"
"In post","2022","Unknown","Unknown","Unknown","5140","4815","31340","28680"
"Leaver CS","2022","Declared disabled","AA/AO","Heterosexual / straight","1140","[c]","21480","21260"
"Leaver CS","2022","Declared disabled","AA/AO","LGBO","165","[c]","21640","21260"
"Leaver CS","2022","Declared disabled","AA/AO","Undeclared","160","[c]","21620","21260"
"Leaver CS","2022","Declared disabled","AA/AO","Unknown","335","[c]","22130","21260"
"Leaver CS","2022","Declared disabled","EO","Heterosexual / straight","845","[c]","27670","27570"
"Leaver CS","2022","Declared disabled","EO","LGBO","140","[c]","27420","27570"
"Leaver CS","2022","Declared disabled","EO","Undeclared","140","[c]","27880","27570"
"Leaver CS","2022","Declared disabled","EO","Unknown","145","[c]","28890","27570"
"Leaver CS","2022","Declared disabled","G6/G7","Heterosexual / straight","185","[c]","59070","56950"
"Leaver CS","2022","Declared disabled","G6/G7","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","G6/G7","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","G6/G7","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SCS level","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SCS level","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SCS level","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SEO/HEO","Heterosexual / straight","535","[c]","37690","36410"
"Leaver CS","2022","Declared disabled","SEO/HEO","LGBO","75","[c]","36000","34600"
"Leaver CS","2022","Declared disabled","SEO/HEO","Undeclared","85","[c]","38390","37450"
"Leaver CS","2022","Declared disabled","SEO/HEO","Unknown","120","[c]","36760","35230"
"Leaver CS","2022","Declared disabled","Unknown","Heterosexual / straight","205","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Heterosexual / straight","6900","[c]","21680","21260"
"Leaver CS","2022","Declared non-disabled","AA/AO","LGBO","485","[c]","21310","21260"
"Leaver CS","2022","Declared non-disabled","AA/AO","Undeclared","605","[c]","21610","21260"
"Leaver CS","2022","Declared non-disabled","AA/AO","Unknown","2035","[c]","21600","21260"
"Leaver CS","2022","Declared non-disabled","EO","Heterosexual / straight","4715","[c]","27750","27570"
"Leaver CS","2022","Declared non-disabled","EO","LGBO","325","[c]","27680","27570"
"Leaver CS","2022","Declared non-disabled","EO","Undeclared","495","[c]","27750","27570"
"Leaver CS","2022","Declared non-disabled","EO","Unknown","1065","[c]","27730","27570"
"Leaver CS","2022","Declared non-disabled","G6/G7","Heterosexual / straight","1940","[c]","60260","58460"
"Leaver CS","2022","Declared non-disabled","G6/G7","LGBO","110","[c]","60590","57480"
"Leaver CS","2022","Declared non-disabled","G6/G7","Undeclared","185","[c]","60690","57590"
"Leaver CS","2022","Declared non-disabled","G6/G7","Unknown","450","[c]","58640","58280"
"Leaver CS","2022","Declared non-disabled","SCS level","Heterosexual / straight","340","[c]","95710","93740"
"Leaver CS","2022","Declared non-disabled","SCS level","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS level","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS level","Unknown","85","[c]","95040","87820"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Heterosexual / straight","3920","[c]","37470","36700"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","LGBO","215","[c]","36890","36610"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Undeclared","415","[c]","38010","37500"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Unknown","860","[c]","37460","36360"
"Leaver CS","2022","Declared non-disabled","Unknown","Heterosexual / straight","895","[c]","38070","37970"
"Leaver CS","2022","Declared non-disabled","Unknown","LGBO","60","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Undeclared","55","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Heterosexual / straight","415","[c]","21520","21260"
"Leaver CS","2022","Undeclared","AA/AO","LGBO","45","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Undeclared","220","[c]","22880","21260"
"Leaver CS","2022","Undeclared","AA/AO","Unknown","310","[c]","21550","21100"
"Leaver CS","2022","Undeclared","EO","Heterosexual / straight","230","[c]","27510","27570"
"Leaver CS","2022","Undeclared","EO","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Undeclared","150","[c]","28100","27570"
"Leaver CS","2022","Undeclared","EO","Unknown","100","[c]","27740","27570"
"Leaver CS","2022","Undeclared","G6/G7","Heterosexual / straight","65","[c]","58740","57540"
"Leaver CS","2022","Undeclared","G6/G7","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Undeclared","85","[c]","59520","57130"
"Leaver CS","2022","Undeclared","G6/G7","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS level","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Heterosexual / straight","180","[c]","37020","36840"
"Leaver CS","2022","Undeclared","SEO/HEO","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","Undeclared","180","[c]","38860","38010"
"Leaver CS","2022","Undeclared","SEO/HEO","Unknown","80","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Heterosexual / straight","40","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Heterosexual / straight","440","[c]","23600","21840"
"Leaver CS","2022","Unknown","AA/AO","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Undeclared","75","[c]","23370","21250"
"Leaver CS","2022","Unknown","AA/AO","Unknown","4055","[c]","21720","21260"
"Leaver CS","2022","Unknown","EO","Heterosexual / straight","340","[c]","29270","28500"
"Leaver CS","2022","Unknown","EO","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Undeclared","135","[c]","28500","27400"
"Leaver CS","2022","Unknown","EO","Unknown","1715","[c]","27350","27570"
"Leaver CS","2022","Unknown","G6/G7","Heterosexual / straight","220","[c]","59080","55000"
"Leaver CS","2022","Unknown","G6/G7","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Undeclared","155","[c]","58640","56950"
"Leaver CS","2022","Unknown","G6/G7","Unknown","735","[c]","60800","57580"
"Leaver CS","2022","Unknown","SCS level","Heterosexual / straight","45","[c]","100150","94880"
"Leaver CS","2022","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS level","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS level","Unknown","125","[c]","107260","95930"
"Leaver CS","2022","Unknown","SEO/HEO","Heterosexual / straight","455","[c]","38350","38000"
"Leaver CS","2022","Unknown","SEO/HEO","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Undeclared","255","[c]","38190","39020"
"Leaver CS","2022","Unknown","SEO/HEO","Unknown","1455","[c]","36900","36360"
"Leaver CS","2022","Unknown","Unknown","Heterosexual / straight","45","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Undeclared","55","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","830","[c]","36270","33270"
"Leaver Dept.","2022","Declared disabled","AA/AO","Heterosexual / straight","185","[c]","21380","21260"
"Leaver Dept.","2022","Declared disabled","AA/AO","LGBO","35","[c]","21210","21260"
"Leaver Dept.","2022","Declared disabled","AA/AO","Undeclared","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","AA/AO","Unknown","45","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","EO","Heterosexual / straight","340","[c]","27270","27570"
"Leaver Dept.","2022","Declared disabled","EO","LGBO","80","[c]","27030","27570"
"Leaver Dept.","2022","Declared disabled","EO","Undeclared","50","[c]","27330","27570"
"Leaver Dept.","2022","Declared disabled","EO","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","G6/G7","Heterosexual / straight","200","[c]","57360","55550"
"Leaver Dept.","2022","Declared disabled","G6/G7","LGBO","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","G6/G7","Undeclared","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","G6/G7","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SCS level","Heterosexual / straight","35","[c]","92010","86300"
"Leaver Dept.","2022","Declared disabled","SCS level","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SCS level","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","SEO/HEO","Heterosexual / straight","470","[c]","35350","34550"
"Leaver Dept.","2022","Declared disabled","SEO/HEO","LGBO","100","[c]","35120","34580"
"Leaver Dept.","2022","Declared disabled","SEO/HEO","Undeclared","65","[c]","36130","35310"
"Leaver Dept.","2022","Declared disabled","SEO/HEO","Unknown","65","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","AA/AO","Heterosexual / straight","1580","[c]","21450","21260"
"Leaver Dept.","2022","Declared non-disabled","AA/AO","LGBO","100","[c]","21470","21260"
"Leaver Dept.","2022","Declared non-disabled","AA/AO","Undeclared","125","[c]","21640","21260"
"Leaver Dept.","2022","Declared non-disabled","AA/AO","Unknown","355","[c]","21290","21260"
"Leaver Dept.","2022","Declared non-disabled","EO","Heterosexual / straight","2820","[c]","26940","27570"
"Leaver Dept.","2022","Declared non-disabled","EO","LGBO","210","[c]","27300","27570"
"Leaver Dept.","2022","Declared non-disabled","EO","Undeclared","210","[c]","26580","27500"
"Leaver Dept.","2022","Declared non-disabled","EO","Unknown","335","[c]","27460","27570"
"Leaver Dept.","2022","Declared non-disabled","G6/G7","Heterosexual / straight","2150","[c]","57910","54760"
"Leaver Dept.","2022","Declared non-disabled","G6/G7","LGBO","185","[c]","57180","54700"
"Leaver Dept.","2022","Declared non-disabled","G6/G7","Undeclared","195","[c]","59170","56340"
"Leaver Dept.","2022","Declared non-disabled","G6/G7","Unknown","265","[c]","58660","56240"
"Leaver Dept.","2022","Declared non-disabled","SCS level","Heterosexual / straight","400","[c]","94940","93570"
"Leaver Dept.","2022","Declared non-disabled","SCS level","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","SCS level","Undeclared","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","SCS level","Unknown","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","SEO/HEO","Heterosexual / straight","4130","[c]","35890","35310"
"Leaver Dept.","2022","Declared non-disabled","SEO/HEO","LGBO","345","[c]","35810","35070"
"Leaver Dept.","2022","Declared non-disabled","SEO/HEO","Undeclared","355","[c]","35600","34670"
"Leaver Dept.","2022","Declared non-disabled","SEO/HEO","Unknown","435","[c]","36370","35460"
"Leaver Dept.","2022","Declared non-disabled","Unknown","Heterosexual / straight","110","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","AA/AO","Heterosexual / straight","50","[c]","21770","21260"
"Leaver Dept.","2022","Undeclared","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","AA/AO","Undeclared","40","[c]","21650","21260"
"Leaver Dept.","2022","Undeclared","AA/AO","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","EO","Heterosexual / straight","120","[c]","27260","27570"
"Leaver Dept.","2022","Undeclared","EO","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","EO","Undeclared","50","[c]","26930","27570"
"Leaver Dept.","2022","Undeclared","EO","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","G6/G7","Heterosexual / straight","45","[c]","56930","54680"
"Leaver Dept.","2022","Undeclared","G6/G7","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","G6/G7","Undeclared","65","[c]","57780","54700"
"Leaver Dept.","2022","Undeclared","G6/G7","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SCS level","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SCS level","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Heterosexual / straight","155","[c]","36110","35850"
"Leaver Dept.","2022","Undeclared","SEO/HEO","LGBO","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Undeclared","150","[c]","37140","37000"
"Leaver Dept.","2022","Undeclared","SEO/HEO","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","Heterosexual / straight","115","[c]","22290","22200"
"Leaver Dept.","2022","Unknown","AA/AO","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","Undeclared","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","Unknown","635","[c]","21450","21210"
"Leaver Dept.","2022","Unknown","EO","Heterosexual / straight","205","[c]","27090","27150"
"Leaver Dept.","2022","Unknown","EO","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","EO","Undeclared","170","[c]","26860","26880"
"Leaver Dept.","2022","Unknown","EO","Unknown","575","[c]","27450","27570"
"Leaver Dept.","2022","Unknown","G6/G7","Heterosexual / straight","305","[c]","57570","54450"
"Leaver Dept.","2022","Unknown","G6/G7","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","G6/G7","Undeclared","425","[c]","58170","54420"
"Leaver Dept.","2022","Unknown","G6/G7","Unknown","825","[c]","58590","55130"
"Leaver Dept.","2022","Unknown","SCS level","Heterosexual / straight","65","[c]","107200","107780"
"Leaver Dept.","2022","Unknown","SCS level","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SCS level","Undeclared","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SCS level","Unknown","140","[c]","107780","103290"
"Leaver Dept.","2022","Unknown","SEO/HEO","Heterosexual / straight","475","[c]","37060","37380"
"Leaver Dept.","2022","Unknown","SEO/HEO","LGBO","50","[c]","36310","35900"
"Leaver Dept.","2022","Unknown","SEO/HEO","Undeclared","540","[c]","37030","38070"
"Leaver Dept.","2022","Unknown","SEO/HEO","Unknown","1670","[c]","34940","33300"
"Leaver Dept.","2022","Unknown","Unknown","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Undeclared","65","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Unknown","75","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","AA/AO","Heterosexual / straight","1155","[c]","21740","21260"
"New entrant CS","2022","Declared disabled","AA/AO","LGBO","305","[c]","21700","21260"
"New entrant CS","2022","Declared disabled","AA/AO","Undeclared","90","[c]","21850","21260"
"New entrant CS","2022","Declared disabled","AA/AO","Unknown","70","[c]","21900","21400"
"New entrant CS","2022","Declared disabled","EO","Heterosexual / straight","835","[c]","27300","27570"
"New entrant CS","2022","Declared disabled","EO","LGBO","225","[c]","27140","27570"
"New entrant CS","2022","Declared disabled","EO","Undeclared","90","[c]","27170","27570"
"New entrant CS","2022","Declared disabled","EO","Unknown","40","[c]","26940","27230"
"New entrant CS","2022","Declared disabled","G6/G7","Heterosexual / straight","190","[c]","55530","53420"
"New entrant CS","2022","Declared disabled","G6/G7","LGBO","30","[c]","53140","52830"
"New entrant CS","2022","Declared disabled","G6/G7","Undeclared","25","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","G6/G7","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","SCS level","Heterosexual / straight","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","SEO/HEO","Heterosexual / straight","640","[c]","34580","33080"
"New entrant CS","2022","Declared disabled","SEO/HEO","LGBO","200","[c]","34130","33210"
"New entrant CS","2022","Declared disabled","SEO/HEO","Undeclared","90","[c]","34730","33700"
"New entrant CS","2022","Declared disabled","SEO/HEO","Unknown","35","[c]","35230","34220"
"New entrant CS","2022","Declared disabled","Unknown","Heterosexual / straight","955","[c]","29490","27610"
"New entrant CS","2022","Declared disabled","Unknown","LGBO","120","[c]","28870","24890"
"New entrant CS","2022","Declared disabled","Unknown","Undeclared","80","[c]","29900","28410"
"New entrant CS","2022","Declared disabled","Unknown","Unknown","30","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","AA/AO","Heterosexual / straight","10880","[c]","22120","21260"
"New entrant CS","2022","Declared non-disabled","AA/AO","LGBO","1035","[c]","21960","21260"
"New entrant CS","2022","Declared non-disabled","AA/AO","Undeclared","530","[c]","21860","21260"
"New entrant CS","2022","Declared non-disabled","AA/AO","Unknown","855","[c]","21010","21300"
"New entrant CS","2022","Declared non-disabled","EO","Heterosexual / straight","7430","[c]","27180","27570"
"New entrant CS","2022","Declared non-disabled","EO","LGBO","645","[c]","26910","27230"
"New entrant CS","2022","Declared non-disabled","EO","Undeclared","370","[c]","26880","27230"
"New entrant CS","2022","Declared non-disabled","EO","Unknown","200","[c]","25550","25010"
"New entrant CS","2022","Declared non-disabled","G6/G7","Heterosexual / straight","2145","[c]","55900","53480"
"New entrant CS","2022","Declared non-disabled","G6/G7","LGBO","165","[c]","56760","54050"
"New entrant CS","2022","Declared non-disabled","G6/G7","Undeclared","140","[c]","55420","53240"
"New entrant CS","2022","Declared non-disabled","G6/G7","Unknown","80","[c]","52060","49860"
