"Status","Year","Age","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Legal","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2022","16-19","Legal","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Female","300","285","21980","21260"
"In post","2022","16-19","No function","Operational Delivery","Male","225","210","21850","21260"
"In post","2022","16-19","No function","Other","Female","15","15","[c]","[c]"
"In post","2022","16-19","No function","Other","Male","15","15","[c]","[c]"
"In post","2022","16-19","No function","Policy","Female","15","15","[c]","[c]"
"In post","2022","16-19","No function","Policy","Male","25","25","[c]","[c]"
"In post","2022","16-19","No function","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Science and Engineering","Male","25","25","[c]","[c]"
"In post","2022","16-19","No function","Tax","Female","15","15","[c]","[c]"
"In post","2022","16-19","No function","Tax","Male","20","20","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","Male","20","20","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","Female","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","Male","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Science and Engineering","Female","10","10","[c]","[c]"
"In post","2022","16-19","Project Delivery","Science and Engineering","Male","70","70","18140","17140"
"In post","2022","16-19","Property","Property","Female","5","5","[c]","[c]"
"In post","2022","16-19","Property","Property","Male","25","25","[c]","[c]"
"In post","2022","16-19","Security","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","Male","10","10","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Male","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Female","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Male","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Female","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Male","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Female","30","30","22500","21050"
"In post","2022","16-19","Unknown","Unknown","Male","30","30","21900","21050"
"In post","2022","20-29","Analysis","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","Female","25","25","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","Male","20","20","[c]","[c]"
"In post","2022","20-29","Analysis","Economics","Female","270","270","36590","33880"
"In post","2022","20-29","Analysis","Economics","Male","540","535","38230","34710"
"In post","2022","20-29","Analysis","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Finance","Male","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Geography","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Human Resources","Female","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Intelligence Analysis","Male","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Delivery","Female","85","85","32650","30210"
"In post","2022","20-29","Analysis","Operational Delivery","Male","100","100","31520","30210"
"In post","2022","20-29","Analysis","Operational Research","Female","90","90","35240","34260"
"In post","2022","20-29","Analysis","Operational Research","Male","110","110","35310","33890"
"In post","2022","20-29","Analysis","Other","Female","35","35","35600","34240"
"In post","2022","20-29","Analysis","Other","Male","70","70","37290","32960"
"In post","2022","20-29","Analysis","Policy","Female","95","95","40320","36980"
"In post","2022","20-29","Analysis","Policy","Male","95","95","41490","37190"
"In post","2022","20-29","Analysis","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Science and Engineering","Female","65","65","27610","26030"
"In post","2022","20-29","Analysis","Science and Engineering","Male","70","70","28950","29230"
"In post","2022","20-29","Analysis","Social Research","Female","340","340","35460","33710"
"In post","2022","20-29","Analysis","Social Research","Male","125","125","36110","33710"
"In post","2022","20-29","Analysis","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Statistics","Female","345","340","36820","34710"
"In post","2022","20-29","Analysis","Statistics","Male","360","360","35950","34000"
"In post","2022","20-29","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Unknown","Female","35","35","30600","25110"
"In post","2022","20-29","Analysis","Unknown","Male","45","45","29260","25110"
"In post","2022","20-29","Commercial","Commercial","Female","430","425","33060","31250"
"In post","2022","20-29","Commercial","Commercial","Male","360","360","32730","30740"
"In post","2022","20-29","Commercial","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Finance","Female","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Finance","Male","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Operational Delivery","Female","40","40","34280","33000"
"In post","2022","20-29","Commercial","Operational Delivery","Male","40","40","33990","33000"
"In post","2022","20-29","Commercial","Other","Female","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Policy","Female","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Project Delivery","Female","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Project Delivery","Male","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Science and Engineering","Male","15","15","[c]","[c]"
"In post","2022","20-29","Commercial","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","Female","90","90","47980","54700"
"In post","2022","20-29","Commercial","Unknown","Male","65","65","47880","49700"
"In post","2022","20-29","Communications","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Communications","Female","490","485","34940","33080"
"In post","2022","20-29","Communications","Communications","Male","250","250","35310","33210"
"In post","2022","20-29","Communications","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Human Resources","Female","5","5","[c]","[c]"
"In post","2022","20-29","Communications","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Knowledge and Information Management","Female","5","5","[c]","[c]"
"In post","2022","20-29","Communications","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Operational Delivery","Female","220","215","28080","26590"
"In post","2022","20-29","Communications","Operational Delivery","Male","235","230","28140","26590"
"In post","2022","20-29","Communications","Other","Female","5","5","[c]","[c]"
"In post","2022","20-29","Communications","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Policy","Female","5","5","[c]","[c]"
"In post","2022","20-29","Communications","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Tax","Female","375","370","28080","26820"
"In post","2022","20-29","Communications","Tax","Male","445","440","27960","26820"
"In post","2022","20-29","Communications","Unknown","Female","95","95","36030","34550"
"In post","2022","20-29","Communications","Unknown","Male","80","80","34330","34550"
"In post","2022","20-29","Counter Fraud","Counter Fraud","Female","370","360","27560","27570"
"In post","2022","20-29","Counter Fraud","Counter Fraud","Male","265","265","27150","27570"
"In post","2022","20-29","Counter Fraud","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Intelligence Analysis","Female","35","30","33040","33080"
"In post","2022","20-29","Counter Fraud","Intelligence Analysis","Male","25","25","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Legal","Female","200","200","29490","26820"
"In post","2022","20-29","Counter Fraud","Legal","Male","225","225","29860","28610"
"In post","2022","20-29","Counter Fraud","Operational Delivery","Female","205","200","27450","26590"
"In post","2022","20-29","Counter Fraud","Operational Delivery","Male","210","205","27100","26590"
"In post","2022","20-29","Counter Fraud","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Other","Female","10","10","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Tax","Female","90","85","37020","33370"
"In post","2022","20-29","Counter Fraud","Tax","Male","90","90","36060","31100"
"In post","2022","20-29","Counter Fraud","Unknown","Female","160","160","30120","26590"
"In post","2022","20-29","Counter Fraud","Unknown","Male","145","145","30680","27570"
"In post","2022","20-29","Debt","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","Operational Delivery","Female","305","290","22390","21250"
"In post","2022","20-29","Debt","Operational Delivery","Male","285","280","22960","21250"
"In post","2022","20-29","Debt","Other","Female","165","155","21930","21260"
"In post","2022","20-29","Debt","Other","Male","135","135","21780","21260"
"In post","2022","20-29","Debt","Tax","Female","180","175","21770","21250"
"In post","2022","20-29","Debt","Tax","Male","180","175","21650","21250"
"In post","2022","20-29","Debt","Unknown","Female","15","10","[c]","[c]"
"In post","2022","20-29","Debt","Unknown","Male","25","25","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Communications","Female","5","5","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Digital, Data and Technology","Female","875","870","33730","32790"
"In post","2022","20-29","Digital, Data & Technology","Digital, Data and Technology","Male","1595","1590","33200","31990"
"In post","2022","20-29","Digital, Data & Technology","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Human Resources","Female","5","5","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Knowledge and Information Management","Female","50","50","28470","26670"
"In post","2022","20-29","Digital, Data & Technology","Knowledge and Information Management","Male","50","50","26930","26570"
"In post","2022","20-29","Digital, Data & Technology","Medicine","Female","5","5","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Operational Delivery","Female","40","40","33620","33370"
"In post","2022","20-29","Digital, Data & Technology","Operational Delivery","Male","45","45","33360","33080"
"In post","2022","20-29","Digital, Data & Technology","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Policy","Female","30","30","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Policy","Male","15","15","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Project Delivery","Female","15","15","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Science and Engineering","Female","95","95","29180","30930"
"In post","2022","20-29","Digital, Data & Technology","Science and Engineering","Male","75","75","28820","30930"
"In post","2022","20-29","Digital, Data & Technology","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Tax","Male","5","5","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Unknown","Female","160","160","40360","35150"
"In post","2022","20-29","Digital, Data & Technology","Unknown","Male","135","135","40510","37300"
"In post","2022","20-29","Finance","Commercial","Female","35","35","31620","31060"
"In post","2022","20-29","Finance","Commercial","Male","25","25","[c]","[c]"
"In post","2022","20-29","Finance","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Corporate Finance","Female","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Corporate Finance","Male","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Digital, Data and Technology","Female","20","20","[c]","[c]"
"In post","2022","20-29","Finance","Digital, Data and Technology","Male","30","30","33500","33190"
"In post","2022","20-29","Finance","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Finance","Female","645","635","32880","30340"
"In post","2022","20-29","Finance","Finance","Male","630","625","33220","30730"
"In post","2022","20-29","Finance","Human Resources","Female","10","10","[c]","[c]"
"In post","2022","20-29","Finance","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Operational Delivery","Female","80","75","25060","21250"
"In post","2022","20-29","Finance","Operational Delivery","Male","95","90","25180","21250"
"In post","2022","20-29","Finance","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Policy","Female","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Project Delivery","Female","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Project Delivery","Male","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Property","Female","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Security","Female","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Security","Male","20","20","[c]","[c]"
"In post","2022","20-29","Finance","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Tax","Female","15","15","[c]","[c]"
"In post","2022","20-29","Finance","Tax","Male","10","10","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","Female","35","35","38170","35510"
"In post","2022","20-29","Finance","Unknown","Male","45","45","39670","40520"
"In post","2022","20-29","Grants Management","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","Operational Delivery","Female","205","200","22430","21300"
"In post","2022","20-29","Grants Management","Operational Delivery","Male","170","170","22270","21300"
"In post","2022","20-29","Human Resources","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Human Resources","Female","845","835","31280","29360"
"In post","2022","20-29","Human Resources","Human Resources","Male","320","320","31830","30130"
"In post","2022","20-29","Human Resources","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Operational Delivery","Female","100","100","27740","27570"
"In post","2022","20-29","Human Resources","Operational Delivery","Male","55","55","28370","27570"
"In post","2022","20-29","Human Resources","Other","Female","10","10","[c]","[c]"
