"Status","Year","Disability","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Cabinet Office","Unknown","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","EO","50","50","28880","27690"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","G6","50","50","67490","66320"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","G7","170","170","55140","53600"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","HEO","130","130","34790","33570"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","SEO","125","125","41880","40220"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","AO","115","100","21460","21130"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","EO","150","140","25840","24650"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","G6","25","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","G7","65","60","53120","51660"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","HEO","195","180","32920","32060"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","SEO","130","125","41570","40460"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","G7","40","40","53690","52000"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","HEO","60","60","35560","34020"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","EO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","G6","40","40","65970","64590"
"In post","2022","Declared disabled","Department for Education","London","G7","55","55","55270","53950"
"In post","2022","Declared disabled","Department for Education","London","HEO","35","35","34040","33460"
"In post","2022","Declared disabled","Department for Education","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","SEO","55","50","41460","40780"
"In post","2022","Declared disabled","Department for Education","Outside London","AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Outside London","EO","75","70","25530","25000"
"In post","2022","Declared disabled","Department for Education","Outside London","G6","35","35","63030","61680"
"In post","2022","Declared disabled","Department for Education","Outside London","G7","110","110","50820","50170"
"In post","2022","Declared disabled","Department for Education","Outside London","HEO","150","140","30310","30090"
"In post","2022","Declared disabled","Department for Education","Outside London","SCS level","10","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Outside London","SEO","170","160","37840","36780"
"In post","2022","Declared disabled","Department for Education","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","EO","50","50","28670","28310"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","G7","65","60","54440","54040"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","HEO","90","90","34150","32560"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","SEO","60","55","41020","39910"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","AO","260","230","21750","21300"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","EO","235","220","25880","25190"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","G6","45","45","60700","60000"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","G7","140","135","50040","48990"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","HEO","230","220","30490","29750"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","SEO","190","175","37300","36970"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","London","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","London","EO","30","30","27810","27040"
"In post","2022","Declared disabled","Department for International Trade","London","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","London","G7","55","55","53690","51970"
"In post","2022","Declared disabled","Department for International Trade","London","HEO","45","45","33160","31800"
"In post","2022","Declared disabled","Department for International Trade","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","London","SEO","30","30","40410","38350"
"In post","2022","Declared disabled","Department for International Trade","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","EO","45","45","28920","27850"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","G6","25","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","G7","60","60","54510","53130"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","HEO","55","50","34140","33210"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","SEO","40","40","41260","39790"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","AO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","G7","35","35","48480","48200"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","HEO","50","45","31230","30190"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","SEO","40","40","37590","36340"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","London","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","London","EO","55","50","30630","30780"
"In post","2022","Declared disabled","Department for Transport","London","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","London","G7","50","50","54530","54110"
"In post","2022","Declared disabled","Department for Transport","London","HEO","40","40","34980","34710"
"In post","2022","Declared disabled","Department for Transport","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","London","SEO","35","35","43840","42470"
"In post","2022","Declared disabled","Department for Transport","Outside London","AA","180","135","18370","18310"
"In post","2022","Declared disabled","Department for Transport","Outside London","AO","400","340","22360","21840"
"In post","2022","Declared disabled","Department for Transport","Outside London","EO","335","295","27330","26780"
"In post","2022","Declared disabled","Department for Transport","Outside London","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Outside London","G7","30","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Outside London","HEO","140","130","32630","31860"
"In post","2022","Declared disabled","Department for Transport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Outside London","SEO","75","75","41880","41090"
"In post","2022","Declared disabled","Department for Transport","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","London","AO","265","230","24460","25110"
"In post","2022","Declared disabled","Department for Work and Pensions","London","EO","960","890","31080","31060"
"In post","2022","Declared disabled","Department for Work and Pensions","London","G6","35","30","70110","66270"
"In post","2022","Declared disabled","Department for Work and Pensions","London","G7","60","55","55750","54070"
"In post","2022","Declared disabled","Department for Work and Pensions","London","HEO","175","165","37160","36650"
"In post","2022","Declared disabled","Department for Work and Pensions","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","London","SEO","85","80","42060","40440"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","AA","65","55","20340","20480"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","AO","4955","4200","21240","21260"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","EO","7585","6690","27680","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","G6","65","60","66220","65100"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","G7","270","255","52400","49170"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","HEO","1035","945","32960","31990"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","SEO","455","425","39770","37590"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","EO","55","50","28780","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","London","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","London","AO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","London","EO","40","35","27720","27270"
"In post","2022","Declared disabled","Department of Health and Social Care","London","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","London","G7","65","60","54440","53360"
"In post","2022","Declared disabled","Department of Health and Social Care","London","HEO","75","75","33200","32790"
"In post","2022","Declared disabled","Department of Health and Social Care","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","London","SEO","50","50","41080","40650"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","AO","40","35","20610","19880"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","EO","45","40","25260","24200"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","G7","50","50","51420","50370"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","HEO","65","60","30540","28970"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","SCS level","15","10","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","SEO","65","65","39240","38580"
"In post","2022","Declared disabled","Department of Health and Social Care","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","EO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","SEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","AO","30","30","28140","28250"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","EO","60","60","32030","30800"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","G6","50","45","69320","69000"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","G7","90","90","56350","56050"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","HEO","105","105","37310","37780"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","SEO","45","40","44360","43300"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","AO","35","35","24080","25000"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","EO","50","45","26960","26120"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","G7","35","30","52980","52410"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","HEO","45","40","34810","33930"
