"Status","Year","Disability","Ethnicity","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Black","Digital, Data & Technology","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Finance","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Declared disabled","Black","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Human Resources","Heterosexual / straight","40","40","43430","40520"
"In post","2022","Declared disabled","Black","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Legal","Heterosexual / straight","60","55","41020","35500"
"In post","2022","Declared disabled","Black","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Legal","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Legal","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","No function","Heterosexual / straight","1135","1075","31620","30330"
"In post","2022","Declared disabled","Black","No function","LGBO","55","55","33100","31060"
"In post","2022","Declared disabled","Black","No function","Undeclared","90","85","30620","30330"
"In post","2022","Declared disabled","Black","No function","Unknown","60","55","30810","31060"
"In post","2022","Declared disabled","Black","Project Delivery","Heterosexual / straight","65","60","36220","33370"
"In post","2022","Declared disabled","Black","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Property","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Security","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Heterosexual / straight","205","195","32510","29080"
"In post","2022","Declared disabled","Black","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Analysis","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Commercial","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Communications","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Counter Fraud","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Counter Fraud","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Counter Fraud","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Debt","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Debt","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Digital, Data & Technology","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Digital, Data & Technology","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Digital, Data & Technology","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Human Resources","Heterosexual / straight","35","30","44260","41420"
"In post","2022","Declared disabled","Mixed","Human Resources","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Human Resources","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Legal","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Legal","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Legal","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","No function","Heterosexual / straight","620","580","31490","28200"
"In post","2022","Declared disabled","Mixed","No function","LGBO","125","120","30040","27910"
"In post","2022","Declared disabled","Mixed","No function","Undeclared","85","80","31800","28430"
"In post","2022","Declared disabled","Mixed","No function","Unknown","40","35","28900","27570"
"In post","2022","Declared disabled","Mixed","Project Delivery","Heterosexual / straight","40","35","40740","38600"
"In post","2022","Declared disabled","Mixed","Project Delivery","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Project Delivery","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Property","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Security","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Heterosexual / straight","100","95","35010","29730"
"In post","2022","Declared disabled","Mixed","Unknown","LGBO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Counter Fraud","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Debt","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Human Resources","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Legal","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","No function","Heterosexual / straight","170","165","33940","31060"
"In post","2022","Declared disabled","Other ethnicity","No function","LGBO","40","40","34430","31650"
"In post","2022","Declared disabled","Other ethnicity","No function","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","No function","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Project Delivery","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Property","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Analysis","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Analysis","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Commercial","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Communications","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Counter Fraud","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Counter Fraud","Undeclared","55","50","31670","27970"
"In post","2022","Declared disabled","Undeclared","Counter Fraud","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Debt","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Debt","Undeclared","20","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Debt","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Digital, Data & Technology","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Digital, Data & Technology","Undeclared","75","75","38030","34290"
"In post","2022","Declared disabled","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Finance","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Finance","Undeclared","35","30","38280","33000"
"In post","2022","Declared disabled","Undeclared","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Human Resources","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Human Resources","Undeclared","35","30","36360","33300"
"In post","2022","Declared disabled","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Legal","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Legal","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Legal","Unknown","[c]","[c]","[c]","[c]"
