"Status","Year","Ethnicity","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Communications","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Inner London - East","25","25","[c]","[c]"
"In post","2022","Asian","Communications","Inner London - West","115","115","43920","40600"
"In post","2022","Asian","Communications","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Merseyside","5","5","[c]","[c]"
"In post","2022","Asian","Communications","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Northumberland, and Tyne and Wear","40","40","28820","26820"
"In post","2022","Asian","Communications","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","West Midlands","150","150","28280","26590"
"In post","2022","Asian","Communications","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","West Yorkshire","125","120","29990","26820"
"In post","2022","Asian","Counter Fraud","Bedfordshire and Hertfordshire","10","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","40","35","28830","29290"
"In post","2022","Asian","Counter Fraud","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Derbyshire and Nottinghamshire","50","45","33130","33220"
"In post","2022","Asian","Counter Fraud","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East Anglia","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East Wales","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Eastern Scotland","10","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Essex","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Greater Manchester","85","85","32130","27570"
"In post","2022","Asian","Counter Fraud","Hampshire and Isle of Wight","10","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Inner London - East","255","240","35480","33440"
"In post","2022","Asian","Counter Fraud","Inner London - West","60","55","35640","31060"
"In post","2022","Asian","Counter Fraud","Kent","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Lancashire","25","25","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Leicestershire, Rutland and Northamptonshire","20","20","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Merseyside","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Northumberland, and Tyne and Wear","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Outer London - East and North East","215","190","27180","25110"
"In post","2022","Asian","Counter Fraud","Outer London - South","75","75","36570","35040"
"In post","2022","Asian","Counter Fraud","Outer London - West and North West","40","35","31470","31880"
"In post","2022","Asian","Counter Fraud","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","West Central Scotland","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","West Midlands","215","200","29020","27570"
"In post","2022","Asian","Counter Fraud","West Wales and The Valleys","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","West Yorkshire","130","120","29360","27570"
"In post","2022","Asian","Debt","Bedfordshire and Hertfordshire","25","20","[c]","[c]"
"In post","2022","Asian","Debt","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Derbyshire and Nottinghamshire","45","40","24170","25610"
"In post","2022","Asian","Debt","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","East Wales","15","15","[c]","[c]"
"In post","2022","Asian","Debt","Eastern Scotland","10","10","[c]","[c]"
"In post","2022","Asian","Debt","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Greater Manchester","40","35","21540","21260"
"In post","2022","Asian","Debt","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Herefordshire, Worcestershire and Warwickshire","35","30","22130","21260"
"In post","2022","Asian","Debt","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Inner London - East","75","60","27770","26400"
"In post","2022","Asian","Debt","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2022","Asian","Debt","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Northumberland, and Tyne and Wear","15","10","[c]","[c]"
"In post","2022","Asian","Debt","Outer London - South","40","30","27450","26400"
"In post","2022","Asian","Debt","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Southern Scotland","10","5","[c]","[c]"
"In post","2022","Asian","Debt","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","50","40","25530","25110"
"In post","2022","Asian","Debt","West Central Scotland","10","5","[c]","[c]"
"In post","2022","Asian","Debt","West Midlands","160","150","21880","21250"
"In post","2022","Asian","Debt","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","West Yorkshire","215","190","22170","21260"
"In post","2022","Asian","Digital, Data & Technology","Bedfordshire and Hertfordshire","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Cheshire","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Derbyshire and Nottinghamshire","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Devon","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","East Wales","30","30","39430","37020"
"In post","2022","Asian","Digital, Data & Technology","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Eastern Scotland","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Essex","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","60","60","36430","33000"
"In post","2022","Asian","Digital, Data & Technology","Greater Manchester","110","105","40810","36500"
"In post","2022","Asian","Digital, Data & Technology","Hampshire and Isle of Wight","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Inner London - East","255","250","47750","43620"
"In post","2022","Asian","Digital, Data & Technology","Inner London - West","305","300","45380","41550"
"In post","2022","Asian","Digital, Data & Technology","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Lancashire","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Merseyside","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Northumberland, and Tyne and Wear","80","75","43190","40580"
"In post","2022","Asian","Digital, Data & Technology","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Outer London - South","15","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Outer London - West and North West","50","45","40350","35530"
"In post","2022","Asian","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Shropshire and Staffordshire","35","35","42470","40520"
"In post","2022","Asian","Digital, Data & Technology","South Yorkshire","35","35","40440","35900"
"In post","2022","Asian","Digital, Data & Technology","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","West Central Scotland","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","West Midlands","115","115","38510","36050"
"In post","2022","Asian","Digital, Data & Technology","West Wales and The Valleys","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","West Yorkshire","85","80","38550","33370"
"In post","2022","Asian","Finance","Bedfordshire and Hertfordshire","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Berkshire, Buckinghamshire and Oxfordshire","20","20","[c]","[c]"
"In post","2022","Asian","Finance","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2022","Asian","Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","East Anglia","10","10","[c]","[c]"
"In post","2022","Asian","Finance","East Wales","10","5","[c]","[c]"
"In post","2022","Asian","Finance","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","40","40","37540","33000"
"In post","2022","Asian","Finance","Greater Manchester","55","55","36740","31990"
"In post","2022","Asian","Finance","Hampshire and Isle of Wight","10","10","[c]","[c]"
"In post","2022","Asian","Finance","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Inner London - East","105","105","43500","41750"
"In post","2022","Asian","Finance","Inner London - West","405","395","44360","40650"
"In post","2022","Asian","Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Lancashire","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2022","Asian","Finance","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Merseyside","5","5","[c]","[c]"
"In post","2022","Asian","Finance","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Northumberland, and Tyne and Wear","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Outer London - South","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Outer London - West and North West","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Shropshire and Staffordshire","10","10","[c]","[c]"
"In post","2022","Asian","Finance","South Yorkshire","30","30","36730","31990"
"In post","2022","Asian","Finance","Southern Scotland","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","West Central Scotland","5","5","[c]","[c]"
"In post","2022","Asian","Finance","West Midlands","165","160","34070","31490"
"In post","2022","Asian","Finance","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","West Yorkshire","130","120","29880","26820"
"In post","2022","Asian","Grants Management","Berkshire, Buckinghamshire and Oxfordshire","20","20","[c]","[c]"
"In post","2022","Asian","Grants Management","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2022","Asian","Grants Management","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Northumberland, and Tyne and Wear","5","5","[c]","[c]"
"In post","2022","Asian","Grants Management","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","15","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Cheshire","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Derbyshire and Nottinghamshire","40","40","35290","33370"
"In post","2022","Asian","Human Resources","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","East Wales","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Greater Manchester","50","45","33840","33230"
