"Status","Year","Function_of_post","Organisation","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","East Midlands (England)","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","London","Female","40","35","48220","45690"
"In post","2022","Analysis","Department for Education (excl. agencies)","London","Male","30","30","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","North East (England)","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","North West (England)","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","North West (England)","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","South West (England)","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","South West (England)","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","Female","35","30","45300","42420"
"In post","2022","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","Male","30","25","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","London","Female","95","95","42420","32920"
"In post","2022","Analysis","Department for International Trade","London","Male","155","155","45150","47870"
"In post","2022","Analysis","Department for International Trade","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Female","75","70","48200","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Male","125","125","48030","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","Female","145","140","48440","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","Male","175","170","47860","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","South East (England)","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Yorkshire and The Humber","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Yorkshire and The Humber","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","Female","125","115","45530","39000"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","Male","125","125","46580","40270"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","Female","60","55","41450","36650"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","Male","45","45","37760","35310"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","Female","110","95","42910","37380"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","Male","115","110","42580","36080"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","Female","185","175","52380","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","Male","130","125","52240","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","Female","40","40","43540","49530"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","Male","45","45","48920","50620"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South West (England)","Female","10","5","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South West (England)","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Yorkshire and The Humber","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","Female","25","20","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","Male","35","30","58780","58370"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","London","Female","60","50","70190","69690"
"In post","2022","Analysis","Government Actuary's Department","London","Male","115","110","69280","58510"
"In post","2022","Analysis","Government Actuary's Department","Scotland","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Scotland","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","East Midlands (England)","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","North West (England)","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","North West (England)","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","Female","15","15","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","Male","15","15","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","London","Male","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","East of England","Female","15","10","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","East of England","Male","10","10","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","Female","165","160","49970","43810"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","Male","215","210","50070","43810"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North East (England)","Male","10","10","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Female","135","130","39890","33440"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Male","165","160","41530","40180"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","Male","10","5","[c]","[c]"
"In post","2022","Analysis","HM Treasury (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","London","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Wales","Female","20","20","[c]","[c]"
