"Status","Year","Disability","Ethnicity","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Department for Education","Female","35","30","37210","36190"
"In post","2022","Declared disabled","Asian","Department for Education","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Female","30","30","34370","32560"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","Female","30","30","37590","34320"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions","Female","640","545","27820","27570"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions","Male","415","395","28110","27570"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care","Female","35","30","35140","32330"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","Female","25","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs","Female","190","175","33800","33080"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs","Male","225","210","33420","33080"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Treasury","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Home Office","Female","215","190","32910","29080"
"In post","2022","Declared disabled","Asian","Home Office","Male","160","145","32200","29080"
"In post","2022","Declared disabled","Asian","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence","Female","55","55","36320","31870"
"In post","2022","Declared disabled","Asian","Ministry of Defence","Male","35","35","36380","33000"
"In post","2022","Declared disabled","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Justice","Female","280","255","29360","26310"
"In post","2022","Declared disabled","Asian","Ministry of Justice","Male","195","185","31960","28450"
"In post","2022","Declared disabled","Asian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Crime Agency","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Crime Agency","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government","Female","15","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Welsh Government","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Attorney General's Departments","Female","55","50","41620","36120"
"In post","2022","Declared disabled","Black","Attorney General's Departments","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Cabinet Office","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Black","Cabinet Office","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","Female","50","50","40980","40050"
"In post","2022","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Digital, Culture, Media and Sport","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Education","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Environment, Food and Rural Affairs","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Environment, Food and Rural Affairs","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for International Trade","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Levelling Up, Housing and Communities","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Levelling Up, Housing and Communities","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Transport","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Transport","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Work and Pensions","Female","490","445","29390","30400"
"In post","2022","Declared disabled","Black","Department for Work and Pensions","Male","140","135","29810","29680"
"In post","2022","Declared disabled","Black","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department of Health and Social Care","Female","30","25","[c]","[c]"
"In post","2022","Declared disabled","Black","Department of Health and Social Care","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Foreign, Commonwealth and Development Office","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Black","Foreign, Commonwealth and Development Office","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","HM Revenue and Customs","Female","120","110","34460","33220"
"In post","2022","Declared disabled","Black","HM Revenue and Customs","Male","60","60","32780","31020"
"In post","2022","Declared disabled","Black","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","HM Treasury","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Home Office","Female","130","120","31890","29080"
"In post","2022","Declared disabled","Black","Home Office","Male","50","50","32750","29080"
"In post","2022","Declared disabled","Black","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Ministry of Defence","Female","40","40","34970","33300"
"In post","2022","Declared disabled","Black","Ministry of Defence","Male","35","30","29170","27200"
"In post","2022","Declared disabled","Black","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Ministry of Justice","Female","415","395","31330","28310"
"In post","2022","Declared disabled","Black","Ministry of Justice","Male","150","145","33480","31650"
"In post","2022","Declared disabled","Black","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office for Standards in Education, Children's Services and Skills","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of the Secretary of State for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of the Secretary of State for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scottish Government","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Attorney General's Departments","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Attorney General's Departments","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Cabinet Office","Female","30","30","40890","40600"
"In post","2022","Declared disabled","Mixed","Cabinet Office","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Business, Energy and Industrial Strategy","Female","35","30","37670","33640"
"In post","2022","Declared disabled","Mixed","Department for Business, Energy and Industrial Strategy","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Digital, Culture, Media and Sport","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Education","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Education","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Environment, Food and Rural Affairs","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Environment, Food and Rural Affairs","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for International Trade","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Levelling Up, Housing and Communities","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Levelling Up, Housing and Communities","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Transport","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Transport","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Work and Pensions","Female","250","225","27910","27570"
"In post","2022","Declared disabled","Mixed","Department for Work and Pensions","Male","120","115","28870","27570"
"In post","2022","Declared disabled","Mixed","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department of Health and Social Care","Female","10","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department of Health and Social Care","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Foreign, Commonwealth and Development Office","Female","30","30","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Foreign, Commonwealth and Development Office","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","HM Land Registry","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","HM Revenue and Customs","Female","80","70","31010","28920"
"In post","2022","Declared disabled","Mixed","HM Revenue and Customs","Male","45","45","31980","27560"
"In post","2022","Declared disabled","Mixed","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","HM Treasury","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Home Office","Female","55","50","34250","29370"
"In post","2022","Declared disabled","Mixed","Home Office","Male","35","30","31220","28240"
"In post","2022","Declared disabled","Mixed","Home Office","Unknown","[c]","[c]","[c]","[c]"
