"Status","Year","Ethnicity","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Property","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","510","500","45510","40600"
"In post","2022","Asian","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Finance","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Other","30","30","47530","40900"
"In post","2022","Asian","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Corporate Finance","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Human Resources","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Legal","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Project Delivery","50","45","47810","35270"
"In post","2022","Asian","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Commercial","5","5","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Communications","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Counter Fraud","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","55","55","40590","36650"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Economics","35","35","43140","38430"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Finance","40","40","41060","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Human Resources","30","25","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Legal","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Operational Delivery","240","225","30660","26290"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Policy","450","445","44350","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Project Delivery","25","25","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Science and Engineering","30","25","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Commercial","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Finance","15","15","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Human Resources","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Other","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Policy","75","75","44330","39400"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Project Delivery","20","20","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Commercial","45","45","38330","36780"
"In post","2022","Asian","Department for Education","Communications","25","25","[c]","[c]"
"In post","2022","Asian","Department for Education","Digital, Data and Technology","125","125","38490","36500"
"In post","2022","Asian","Department for Education","Finance","125","125","38020","36500"
"In post","2022","Asian","Department for Education","Human Resources","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Legal","5","5","[c]","[c]"
"In post","2022","Asian","Department for Education","Operational Delivery","185","180","38270","36500"
"In post","2022","Asian","Department for Education","Policy","270","260","42030","40230"
"In post","2022","Asian","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Property","55","55","46680","50270"
"In post","2022","Asian","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Commercial","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Communications","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","40","40","36470","35900"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Economics","5","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Finance","35","35","42190","37870"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Human Resources","15","15","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Operational Delivery","100","95","26550","24370"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Other","5","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Policy","195","190","39610","35140"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Project Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Property","15","15","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Science and Engineering","35","35","31470","29360"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Economics","20","20","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Finance","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Human Resources","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","International Trade","120","120","46070","38540"
"In post","2022","Asian","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Operational Delivery","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Other","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Policy","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Project Delivery","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Security","5","5","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Statistics","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Finance","15","15","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Human Resources","5","5","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Operational Delivery","50","50","31750","31410"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Planning","5","5","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Policy","155","155","43150","38160"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Project Delivery","25","25","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Statistics","20","15","[c]","[c]"
"In post","2022","Asian","Department for Transport","Commercial","25","25","[c]","[c]"
"In post","2022","Asian","Department for Transport","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Department for Transport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Digital, Data and Technology","40","40","36660","33440"
"In post","2022","Asian","Department for Transport","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Department for Transport","Finance","45","45","48220","47740"
"In post","2022","Asian","Department for Transport","Human Resources","10","10","[c]","[c]"
"In post","2022","Asian","Department for Transport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Medicine","5","5","[c]","[c]"
"In post","2022","Asian","Department for Transport","Operational Delivery","245","230","31190","26780"
"In post","2022","Asian","Department for Transport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Other","5","5","[c]","[c]"
"In post","2022","Asian","Department for Transport","Policy","95","95","46160","42470"
"In post","2022","Asian","Department for Transport","Project Delivery","55","50","43870","42000"
"In post","2022","Asian","Department for Transport","Property","5","5","[c]","[c]"
"In post","2022","Asian","Department for Transport","Science and Engineering","10","10","[c]","[c]"
"In post","2022","Asian","Department for Transport","Security","15","15","[c]","[c]"
"In post","2022","Asian","Department for Transport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Statistics","5","5","[c]","[c]"
"In post","2022","Asian","Department for Transport","Unknown","55","55","39030","32870"
"In post","2022","Asian","Department for Work and Pensions","Commercial","25","25","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Communications","10","10","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Counter Fraud","570","510","27470","27570"
"In post","2022","Asian","Department for Work and Pensions","Digital, Data and Technology","225","225","43100","39530"
"In post","2022","Asian","Department for Work and Pensions","Economics","5","5","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Finance","80","75","36930","31990"
"In post","2022","Asian","Department for Work and Pensions","Human Resources","40","40","36060","33780"
"In post","2022","Asian","Department for Work and Pensions","Knowledge and Information Management","20","20","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Operational Delivery","6185","5590","27360","27570"
"In post","2022","Asian","Department for Work and Pensions","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Other","740","665","26590","27570"
"In post","2022","Asian","Department for Work and Pensions","Policy","100","100","39920","36650"
"In post","2022","Asian","Department for Work and Pensions","Project Delivery","85","70","30540","25110"
"In post","2022","Asian","Department for Work and Pensions","Property","10","10","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Science and Engineering","10","10","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Security","35","35","40090","36650"
"In post","2022","Asian","Department for Work and Pensions","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Statistics","10","10","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Unknown","60","55","30120","27570"
"In post","2022","Asian","Department of Health and Social Care","Commercial","35","30","44800","40650"
"In post","2022","Asian","Department of Health and Social Care","Communications","35","35","39910","35400"
"In post","2022","Asian","Department of Health and Social Care","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Digital, Data and Technology","75","75","44400","40850"
"In post","2022","Asian","Department of Health and Social Care","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Finance","80","75","39160","36820"
"In post","2022","Asian","Department of Health and Social Care","Human Resources","50","50","35970","32330"
"In post","2022","Asian","Department of Health and Social Care","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Medicine","110","100","82810","84560"
"In post","2022","Asian","Department of Health and Social Care","Operational Delivery","430","390","34410","28970"
"In post","2022","Asian","Department of Health and Social Care","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Other","55","55","40200","33080"
"In post","2022","Asian","Department of Health and Social Care","Policy","95","90","43580","40650"
"In post","2022","Asian","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Science and Engineering","280","270","38460","35610"
"In post","2022","Asian","Department of Health and Social Care","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Estyn","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Operational Delivery","35","35","29460","28660"
"In post","2022","Asian","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Policy","5","5","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Veterinarian","5","5","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Economics","15","15","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Finance","20","20","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Human Resources","25","25","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Intelligence Analysis","15","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Operational Delivery","30","25","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Other","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Policy","265","260","44230","38230"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Project Delivery","30","30","38690","35390"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Property","15","15","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Security","15","15","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Finance","5","5","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Human Resources","5","5","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Legal","5","5","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Operational Delivery","175","160","27260","27130"
"In post","2022","Asian","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Project Delivery","5","5","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs","Commercial","5","5","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs","Communications","10","10","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs","Digital, Data and Technology","140","140","41310","40180"
