"Status","Year","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Internal Audit","SCS level","30","30","91120","88000"
"In post","2022","Internal Audit","SEO/HEO","455","430","40660","40520"
"In post","2022","Legal","AA/AO","1625","1490","22770","22200"
"In post","2022","Legal","EO","2130","1990","28010","27580"
"In post","2022","Legal","G6/G7","6000","5540","59410","57960"
"In post","2022","Legal","SCS level","460","445","87880","82520"
"In post","2022","Legal","SEO/HEO","2195","2100","39480","38000"
"In post","2022","No function","AA/AO","93785","83915","23040","21260"
"In post","2022","No function","EO","76805","70795","28380","27570"
"In post","2022","No function","G6/G7","24665","23880","58490","55210"
"In post","2022","No function","SCS level","3330","3200","89830","81050"
"In post","2022","No function","SEO/HEO","56745","54485","36910","35860"
"In post","2022","No function","Unknown","19195","17775","30100","28200"
"In post","2022","Project Delivery","AA/AO","635","550","22030","21260"
"In post","2022","Project Delivery","EO","3440","3250","24860","25750"
"In post","2022","Project Delivery","G6/G7","7240","7040","58080","55580"
"In post","2022","Project Delivery","SCS level","595","580","92460","83920"
"In post","2022","Project Delivery","SEO/HEO","13045","12525","36720","37140"
"In post","2022","Project Delivery","Unknown","1610","1575","41060","39850"
"In post","2022","Property","AA/AO","1830","1720","21490","21840"
"In post","2022","Property","EO","1915","1810","26770","26670"
"In post","2022","Property","G6/G7","1735","1695","58420","57150"
"In post","2022","Property","SCS level","115","115","92470","87080"
"In post","2022","Property","SEO/HEO","3900","3755","37590","36460"
"In post","2022","Property","Unknown","45","45","22430","21600"
"In post","2022","Security","AA/AO","5650","5515","26930","22900"
"In post","2022","Security","EO","1510","1465","31750","28590"
"In post","2022","Security","G6/G7","605","595","59310","57870"
"In post","2022","Security","SCS level","65","65","88630","78860"
"In post","2022","Security","SEO/HEO","2670","2610","38860","37090"
"In post","2022","Security","Unknown","185","185","32770","31370"
"In post","2022","Unknown","AA/AO","19030","17640","22190","21680"
"In post","2022","Unknown","EO","23070","21640","27490","27230"
"In post","2022","Unknown","G6/G7","10180","9810","62140","61440"
"In post","2022","Unknown","SCS level","1015","980","89540","83230"
"In post","2022","Unknown","SEO/HEO","24300","23475","38110","37460"
"In post","2022","Unknown","Unknown","2065","2055","37420","34160"
"Leaver CS","2022","Analysis","AA/AO","130","[c]","21360","20950"
"Leaver CS","2022","Analysis","EO","60","[c]","26790","25750"
"Leaver CS","2022","Analysis","G6/G7","115","[c]","60900","57390"
"Leaver CS","2022","Analysis","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO/HEO","225","[c]","35890","35900"
"Leaver CS","2022","Commercial","AA/AO","25","[c]","21220","21450"
"Leaver CS","2022","Commercial","EO","60","[c]","25860","26120"
"Leaver CS","2022","Commercial","G6/G7","175","[c]","66280","64500"
"Leaver CS","2022","Commercial","SCS level","35","[c]","131430","126880"
"Leaver CS","2022","Commercial","SEO/HEO","210","[c]","37500","36820"
"Leaver CS","2022","Commercial","Unknown","10","[c]","44710","42870"
"Leaver CS","2022","Communications","AA/AO","30","[c]","21360","20920"
"Leaver CS","2022","Communications","EO","80","[c]","27290","26930"
"Leaver CS","2022","Communications","G6/G7","80","[c]","59870","58080"
"Leaver CS","2022","Communications","SCS level","15","[c]","90530","88320"
"Leaver CS","2022","Communications","SEO/HEO","205","[c]","38240","37740"
"Leaver CS","2022","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","AA/AO","100","[c]","21760","21260"
"Leaver CS","2022","Counter Fraud","EO","155","[c]","27860","27570"
"Leaver CS","2022","Counter Fraud","G6/G7","15","[c]","60900","62120"
"Leaver CS","2022","Counter Fraud","SEO/HEO","75","[c]","37060","36020"
"Leaver CS","2022","Debt","AA/AO","195","[c]","21360","21260"
"Leaver CS","2022","Debt","EO","25","[c]","27770","27570"
"Leaver CS","2022","Debt","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","AA/AO","120","[c]","20990","21170"
"Leaver CS","2022","Digital, Data & Technology","EO","230","[c]","27350","26990"
"Leaver CS","2022","Digital, Data & Technology","G6/G7","390","[c]","58740","56670"
"Leaver CS","2022","Digital, Data & Technology","SCS level","30","[c]","99270","99540"
"Leaver CS","2022","Digital, Data & Technology","SEO/HEO","630","[c]","38000","37260"
"Leaver CS","2022","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","AA/AO","75","[c]","21910","21540"
"Leaver CS","2022","Finance","EO","95","[c]","26800","26670"
"Leaver CS","2022","Finance","G6/G7","105","[c]","58460","57210"
"Leaver CS","2022","Finance","SCS level","20","[c]","89570","92690"
"Leaver CS","2022","Finance","SEO/HEO","215","[c]","38700","37900"
"Leaver CS","2022","Finance","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","AA/AO","90","[c]","21180","21300"
"Leaver CS","2022","Grants Management","EO","45","[c]","25610","25830"
"Leaver CS","2022","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","SEO/HEO","20","[c]","32400","31900"
"Leaver CS","2022","Human Resources","AA/AO","135","[c]","21560","21170"
"Leaver CS","2022","Human Resources","EO","175","[c]","26720","27500"
"Leaver CS","2022","Human Resources","G6/G7","100","[c]","57820","56340"
"Leaver CS","2022","Human Resources","SCS level","15","[c]","88310","81600"
"Leaver CS","2022","Human Resources","SEO/HEO","240","[c]","37410","36780"
"Leaver CS","2022","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SEO/HEO","40","[c]","38730","33970"
"Leaver CS","2022","Legal","AA/AO","145","[c]","22100","22200"
"Leaver CS","2022","Legal","EO","100","[c]","28160","27350"
"Leaver CS","2022","Legal","G6/G7","345","[c]","59020","55610"
"Leaver CS","2022","Legal","SCS level","35","[c]","95790","93000"
"Leaver CS","2022","Legal","SEO/HEO","120","[c]","40440","38310"
"Leaver CS","2022","No function","AA/AO","10500","[c]","21230","21260"
"Leaver CS","2022","No function","EO","6235","[c]","27890","27570"
"Leaver CS","2022","No function","G6/G7","1770","[c]","59060","55830"
"Leaver CS","2022","No function","SCS level","370","[c]","96570","93370"
"Leaver CS","2022","No function","SEO/HEO","3765","[c]","36920","36330"
"Leaver CS","2022","No function","Unknown","1815","[c]","34570","29600"
"Leaver CS","2022","Project Delivery","AA/AO","55","[c]","21430","21260"
"Leaver CS","2022","Project Delivery","EO","230","[c]","23250","23220"
"Leaver CS","2022","Project Delivery","G6/G7","260","[c]","59630","58150"
"Leaver CS","2022","Project Delivery","SCS level","30","[c]","100400","96330"
"Leaver CS","2022","Project Delivery","SEO/HEO","600","[c]","36310","36530"
"Leaver CS","2022","Project Delivery","Unknown","120","[c]","37180","35650"
"Leaver CS","2022","Property","AA/AO","245","[c]","20970","21100"
"Leaver CS","2022","Property","EO","95","[c]","25850","26030"
"Leaver CS","2022","Property","G6/G7","70","[c]","59170","58240"
"Leaver CS","2022","Property","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO/HEO","190","[c]","38880","38770"
"Leaver CS","2022","Security","AA/AO","525","[c]","28490","25000"
"Leaver CS","2022","Security","EO","120","[c]","32710","29200"
"Leaver CS","2022","Security","G6/G7","20","[c]","66400","60000"
"Leaver CS","2022","Security","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","SEO/HEO","140","[c]","39830","36740"
"Leaver CS","2022","Security","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","5035","[c]","21750","21260"
"Leaver CS","2022","Unknown","EO","2885","[c]","27900","27570"
"Leaver CS","2022","Unknown","G6/G7","835","[c]","63900","62170"
"Leaver CS","2022","Unknown","SCS level","140","[c]","97710","93350"
"Leaver CS","2022","Unknown","SEO/HEO","2200","[c]","38470","37460"
"Leaver CS","2022","Unknown","Unknown","360","[c]","36620","33270"
"Leaver Dept.","2022","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","EO","30","[c]","26630","25880"
"Leaver Dept.","2022","Analysis","G6/G7","200","[c]","56590","54140"
"Leaver Dept.","2022","Analysis","SCS level","10","[c]","86480","77060"
"Leaver Dept.","2022","Analysis","SEO/HEO","290","[c]","35840","34900"
"Leaver Dept.","2022","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","EO","40","[c]","26370","26670"
"Leaver Dept.","2022","Commercial","G6/G7","125","[c]","58890","54870"
"Leaver Dept.","2022","Commercial","SCS level","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SEO/HEO","255","[c]","37510","37580"
"Leaver Dept.","2022","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AA/AO","25","[c]","22380","22350"
"Leaver Dept.","2022","Communications","EO","65","[c]","27850","27510"
"Leaver Dept.","2022","Communications","G6/G7","140","[c]","59220","56540"
"Leaver Dept.","2022","Communications","SCS level","20","[c]","95190","88530"
"Leaver Dept.","2022","Communications","SEO/HEO","225","[c]","36900","36800"
"Leaver Dept.","2022","Counter Fraud","AA/AO","25","[c]","22060","21260"
"Leaver Dept.","2022","Counter Fraud","EO","65","[c]","27720","27570"
"Leaver Dept.","2022","Counter Fraud","G6/G7","10","[c]","57300","56130"
"Leaver Dept.","2022","Counter Fraud","SEO/HEO","50","[c]","35610","33100"
"Leaver Dept.","2022","Debt","AA/AO","45","[c]","21270","21260"
"Leaver Dept.","2022","Debt","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","AA/AO","15","[c]","21640","21170"
"Leaver Dept.","2022","Digital, Data & Technology","EO","95","[c]","27490","27350"
"Leaver Dept.","2022","Digital, Data & Technology","G6/G7","195","[c]","57860","55700"
"Leaver Dept.","2022","Digital, Data & Technology","SCS level","20","[c]","95750","93500"
"Leaver Dept.","2022","Digital, Data & Technology","SEO/HEO","455","[c]","36630","36330"
"Leaver Dept.","2022","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","AA/AO","30","[c]","21720","21260"
"Leaver Dept.","2022","Finance","EO","100","[c]","26220","26350"
"Leaver Dept.","2022","Finance","G6/G7","145","[c]","57990","56390"
"Leaver Dept.","2022","Finance","SCS level","20","[c]","84710","76000"
"Leaver Dept.","2022","Finance","SEO/HEO","300","[c]","36770","35850"
"Leaver Dept.","2022","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Grants Management","AA/AO","35","[c]","21120","21300"
"Leaver Dept.","2022","Grants Management","EO","15","[c]","25300","25150"
"Leaver Dept.","2022","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Grants Management","SEO/HEO","10","[c]","32740","30250"
"Leaver Dept.","2022","Human Resources","AA/AO","75","[c]","21720","21170"
"Leaver Dept.","2022","Human Resources","EO","200","[c]","27160","27500"
"Leaver Dept.","2022","Human Resources","G6/G7","155","[c]","57700","56950"
"Leaver Dept.","2022","Human Resources","SCS level","25","[c]","88010","82410"
"Leaver Dept.","2022","Human Resources","SEO/HEO","300","[c]","34950","34010"
"Leaver Dept.","2022","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","G6/G7","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","AA/AO","45","[c]","23250","23720"
"Leaver Dept.","2022","Legal","EO","50","[c]","27010","27010"
"Leaver Dept.","2022","Legal","G6/G7","95","[c]","60010","59130"
"Leaver Dept.","2022","Legal","SCS level","10","[c]","88190","83870"
"Leaver Dept.","2022","Legal","SEO/HEO","25","[c]","35870","32530"
"Leaver Dept.","2022","No function","AA/AO","2085","[c]","21300","21260"
"Leaver Dept.","2022","No function","EO","3400","[c]","27210","27570"
"Leaver Dept.","2022","No function","G6/G7","2975","[c]","57710","54700"
"Leaver Dept.","2022","No function","SCS level","615","[c]","100790","98000"
"Leaver Dept.","2022","No function","SEO/HEO","5555","[c]","35400","34550"
"Leaver Dept.","2022","No function","Unknown","150","[c]","39000","36300"
"Leaver Dept.","2022","Project Delivery","AA/AO","15","[c]","22480","22770"
"Leaver Dept.","2022","Project Delivery","EO","125","[c]","24730","25670"
"Leaver Dept.","2022","Project Delivery","G6/G7","160","[c]","56520","55220"
"Leaver Dept.","2022","Project Delivery","SCS level","20","[c]","95450","91600"
"Leaver Dept.","2022","Project Delivery","SEO/HEO","360","[c]","35720","36250"
"Leaver Dept.","2022","Project Delivery","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","AA/AO","35","[c]","21690","22010"
"Leaver Dept.","2022","Property","EO","35","[c]","26440","26620"
"Leaver Dept.","2022","Property","G6/G7","30","[c]","59020","58340"
"Leaver Dept.","2022","Property","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","SEO/HEO","70","[c]","36330","36380"
"Leaver Dept.","2022","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","AA/AO","25","[c]","24140","21050"
"Leaver Dept.","2022","Security","EO","35","[c]","28230","27500"
"Leaver Dept.","2022","Security","G6/G7","25","[c]","57430","54700"
"Leaver Dept.","2022","Security","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","SEO/HEO","75","[c]","36230","34970"
"Leaver Dept.","2022","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","895","[c]","22000","21680"
"Leaver Dept.","2022","Unknown","EO","980","[c]","26750","26050"
"Leaver Dept.","2022","Unknown","G6/G7","525","[c]","60950","57740"
"Leaver Dept.","2022","Unknown","SCS level","80","[c]","90470","81310"
"Leaver Dept.","2022","Unknown","SEO/HEO","1090","[c]","37580","37000"
"Leaver Dept.","2022","Unknown","Unknown","170","[c]","40430","35200"
"New entrant CS","2022","Analysis","AA/AO","190","[c]","21690","21260"
"New entrant CS","2022","Analysis","EO","270","[c]","26760","26390"
"New entrant CS","2022","Analysis","G6/G7","150","[c]","57700","54110"
"New entrant CS","2022","Analysis","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","SEO/HEO","870","[c]","33900","33080"
"New entrant CS","2022","Commercial","AA/AO","65","[c]","20710","21170"
"New entrant CS","2022","Commercial","EO","210","[c]","25870","26350"
"New entrant CS","2022","Commercial","G6/G7","250","[c]","66670","65750"
"New entrant CS","2022","Commercial","SCS level","20","[c]","133430","125000"
"New entrant CS","2022","Commercial","SEO/HEO","430","[c]","35600","35900"
"New entrant CS","2022","Commercial","Unknown","25","[c]","33640","31500"
"New entrant CS","2022","Communications","AA/AO","155","[c]","21470","21250"
"New entrant CS","2022","Communications","EO","800","[c]","26680","26590"
"New entrant CS","2022","Communications","G6/G7","90","[c]","57540","54850"
"New entrant CS","2022","Communications","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2022","Communications","SEO/HEO","455","[c]","35390","33370"
"New entrant CS","2022","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","AA/AO","535","[c]","22250","21260"
"New entrant CS","2022","Counter Fraud","EO","845","[c]","27660","27570"
"New entrant CS","2022","Counter Fraud","G6/G7","30","[c]","54300","52080"
"New entrant CS","2022","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","SEO/HEO","185","[c]","34990","33080"
"New entrant CS","2022","Debt","AA/AO","975","[c]","21290","21250"
"New entrant CS","2022","Debt","EO","45","[c]","26900","26590"
"New entrant CS","2022","Debt","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Debt","SEO/HEO","5","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","AA/AO","275","[c]","20580","21170"
"New entrant CS","2022","Digital, Data & Technology","EO","590","[c]","26520","26580"
"New entrant CS","2022","Digital, Data & Technology","G6/G7","670","[c]","55290","54150"
"New entrant CS","2022","Digital, Data & Technology","SCS level","25","[c]","102100","93110"
"New entrant CS","2022","Digital, Data & Technology","SEO/HEO","1315","[c]","36010","35900"
"New entrant CS","2022","Digital, Data & Technology","Unknown","15","[c]","33100","32000"
"New entrant CS","2022","Finance","AA/AO","175","[c]","21160","21250"
"New entrant CS","2022","Finance","EO","330","[c]","25350","25120"
"New entrant CS","2022","Finance","G6/G7","150","[c]","55630","54110"
"New entrant CS","2022","Finance","SCS level","15","[c]","77080","74500"
"New entrant CS","2022","Finance","SEO/HEO","500","[c]","36300","36340"
"New entrant CS","2022","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","AA/AO","480","[c]","21220","21300"
"New entrant CS","2022","Grants Management","EO","35","[c]","24940","24920"
"New entrant CS","2022","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","SEO/HEO","10","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","AA/AO","310","[c]","21340","21170"
"New entrant CS","2022","Human Resources","EO","390","[c]","26150","26590"
"New entrant CS","2022","Human Resources","G6/G7","170","[c]","55740","54110"
"New entrant CS","2022","Human Resources","SCS level","20","[c]","85180","75910"
"New entrant CS","2022","Human Resources","SEO/HEO","465","[c]","34350","33020"
"New entrant CS","2022","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","EO","5","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","G6/G7","10","[c]","59250","56780"
"New entrant CS","2022","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","SEO/HEO","35","[c]","40610","40950"
"New entrant CS","2022","Legal","AA/AO","325","[c]","21390","21250"
"New entrant CS","2022","Legal","EO","310","[c]","27220","26950"
"New entrant CS","2022","Legal","G6/G7","370","[c]","53810","51810"
"New entrant CS","2022","Legal","SCS level","10","[c]","92990","98000"
"New entrant CS","2022","Legal","SEO/HEO","235","[c]","39870","40000"
"New entrant CS","2022","No function","AA/AO","16495","[c]","22160","21260"
"New entrant CS","2022","No function","EO","8065","[c]","27520","27570"
"New entrant CS","2022","No function","G6/G7","1530","[c]","55840","53360"
"New entrant CS","2022","No function","SCS level","180","[c]","96200","88790"
"New entrant CS","2022","No function","SEO/HEO","6800","[c]","34080","33080"
"New entrant CS","2022","No function","Unknown","8835","[c]","28550","26310"
"New entrant CS","2022","Project Delivery","AA/AO","135","[c]","21240","21260"
"New entrant CS","2022","Project Delivery","EO","505","[c]","23180","24000"
"New entrant CS","2022","Project Delivery","G6/G7","260","[c]","56350","54110"
"New entrant CS","2022","Project Delivery","SCS level","20","[c]","105270","105000"
"New entrant CS","2022","Project Delivery","SEO/HEO","900","[c]","36130","36000"
"New entrant CS","2022","Project Delivery","Unknown","185","[c]","35730","32000"
"New entrant CS","2022","Property","AA/AO","315","[c]","21590","21750"
"New entrant CS","2022","Property","EO","265","[c]","25420","25000"
"New entrant CS","2022","Property","G6/G7","150","[c]","56150","54270"
"New entrant CS","2022","Property","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2022","Property","SEO/HEO","370","[c]","35470","33080"
"New entrant CS","2022","Security","AA/AO","480","[c]","25050","24470"
"New entrant CS","2022","Security","EO","195","[c]","27370","26350"
"New entrant CS","2022","Security","G6/G7","25","[c]","59240","54700"
"New entrant CS","2022","Security","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Security","SEO/HEO","165","[c]","35380","34130"
"New entrant CS","2022","Security","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","3220","[c]","21730","21260"
"New entrant CS","2022","Unknown","EO","3355","[c]","27350","27230"
"New entrant CS","2022","Unknown","G6/G7","695","[c]","58740","57190"
"New entrant CS","2022","Unknown","SCS level","55","[c]","90560","84560"
"New entrant CS","2022","Unknown","SEO/HEO","2125","[c]","36110","35050"
"New entrant CS","2022","Unknown","Unknown","180","[c]","21310","16190"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
