"Status","Year","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Mixed","Counter Fraud","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","Digital, Data and Technology","Heterosexual / straight","215","210","41250","38160"
"In post","2022","Mixed","Digital, Data and Technology","LGBO","30","30","[c]","[c]"
"In post","2022","Mixed","Digital, Data and Technology","Undeclared","20","15","[c]","[c]"
"In post","2022","Mixed","Digital, Data and Technology","Unknown","25","25","[c]","[c]"
"In post","2022","Mixed","Economics","Heterosexual / straight","70","70","43570","41700"
"In post","2022","Mixed","Economics","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Finance","Heterosexual / straight","165","160","40430","36990"
"In post","2022","Mixed","Finance","LGBO","15","15","[c]","[c]"
"In post","2022","Mixed","Finance","Undeclared","10","5","[c]","[c]"
"In post","2022","Mixed","Finance","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","Geography","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Human Resources","Heterosexual / straight","180","170","40850","37780"
"In post","2022","Mixed","Human Resources","LGBO","25","25","[c]","[c]"
"In post","2022","Mixed","Human Resources","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","Inspector of Education and Training","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Intelligence Analysis","Heterosexual / straight","50","45","38970","33140"
"In post","2022","Mixed","Intelligence Analysis","LGBO","5","5","[c]","[c]"
"In post","2022","Mixed","Intelligence Analysis","Undeclared","5","5","[c]","[c]"
"In post","2022","Mixed","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Mixed","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","International Trade","Heterosexual / straight","40","40","49640","51710"
"In post","2022","Mixed","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","International Trade","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Knowledge and Information Management","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Mixed","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Legal","Heterosexual / straight","230","220","50940","51650"
"In post","2022","Mixed","Legal","LGBO","15","15","[c]","[c]"
"In post","2022","Mixed","Legal","Undeclared","25","25","[c]","[c]"
"In post","2022","Mixed","Legal","Unknown","30","25","[c]","[c]"
"In post","2022","Mixed","Medicine","Heterosexual / straight","35","30","63250","70410"
"In post","2022","Mixed","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Operational Delivery","Heterosexual / straight","3420","3225","29470","27570"
"In post","2022","Mixed","Operational Delivery","LGBO","350","335","28810","27570"
"In post","2022","Mixed","Operational Delivery","Undeclared","330","300","29750","27570"
"In post","2022","Mixed","Operational Delivery","Unknown","275","245","28720","27570"
"In post","2022","Mixed","Operational Research","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Mixed","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Other","Heterosexual / straight","365","345","31480","27570"
"In post","2022","Mixed","Other","LGBO","25","25","[c]","[c]"
"In post","2022","Mixed","Other","Undeclared","30","30","32320","27570"
"In post","2022","Mixed","Other","Unknown","25","25","[c]","[c]"
"In post","2022","Mixed","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Policy","Heterosexual / straight","835","815","46170","42410"
"In post","2022","Mixed","Policy","LGBO","135","130","43750","40050"
"In post","2022","Mixed","Policy","Undeclared","85","85","45430","40050"
"In post","2022","Mixed","Policy","Unknown","30","30","46690","42390"
"In post","2022","Mixed","Project Delivery","Heterosexual / straight","215","210","42790","40520"
"In post","2022","Mixed","Project Delivery","LGBO","20","20","[c]","[c]"
"In post","2022","Mixed","Project Delivery","Undeclared","20","20","[c]","[c]"
"In post","2022","Mixed","Project Delivery","Unknown","20","20","[c]","[c]"
"In post","2022","Mixed","Property","Heterosexual / straight","70","70","35440","33120"
"In post","2022","Mixed","Property","LGBO","5","5","[c]","[c]"
"In post","2022","Mixed","Property","Undeclared","5","5","[c]","[c]"
"In post","2022","Mixed","Property","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Psychology","Heterosexual / straight","35","35","35360","29060"
"In post","2022","Mixed","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","Heterosexual / straight","140","135","36940","34150"
"In post","2022","Mixed","Science and Engineering","LGBO","15","15","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","Undeclared","20","20","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","Unknown","55","50","38510","38070"
"In post","2022","Mixed","Security","Heterosexual / straight","80","80","35680","35440"
"In post","2022","Mixed","Security","LGBO","5","5","[c]","[c]"
"In post","2022","Mixed","Security","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","Security","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Social Research","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Mixed","Social Research","LGBO","5","5","[c]","[c]"
"In post","2022","Mixed","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Statistics","Heterosexual / straight","40","35","41380","38420"
"In post","2022","Mixed","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Statistics","Undeclared","[c]","[c]","[c]","[c]"
