"Status","Year","Age","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Prison Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Prison Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Serious Fraud Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Serious Fraud Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Government Actuary's Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Government Actuary's Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","National Savings and Investments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","National Savings and Investments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","Unknown","25","20","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Crown Prosecution Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Defence Science and Technology Laboratory","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","FCDO Services","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Met Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Met Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Met Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Defence Equipment and Support","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Finance","Defence Equipment and Support","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Education and Skills Funding Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Education and Skills Funding Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","FCDO Services","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs (excl. agencies)","Unknown","10","5","[c]","[c]"
"In post","2022","16-19","Finance","HM Treasury (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Crown Prosecution Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Defence Science and Technology Laboratory","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Driver and Vehicle Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Government Legal Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Government Legal Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Registers of Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Prison Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Prison Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Ministry of Defence (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Government Legal Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Government Legal Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Crown Prosecution Service Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Animal and Plant Health Agency","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","No function","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Companies House","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Criminal Injuries Compensation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Criminal Injuries Compensation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Crown Commercial Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Crown Office and Procurator Fiscal Service","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","No function","Crown Office and Procurator Fiscal Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Defence Electronics and Components Agency","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","No function","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Defence Science and Technology Laboratory","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Defence Science and Technology Laboratory","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","10","5","[c]","[c]"
"In post","2022","16-19","No function","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","100","100","23070","21260"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Licensing Agency","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Licensing Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Licensing Agency","Unknown","40","35","19110","18310"
"In post","2022","16-19","No function","Driver and Vehicle Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Education and Skills Funding Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Education and Skills Funding Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
