"Status","Year","Function_of_post","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Science and Engineering","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Female","25","20","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Operational Research","Female","30","30","27210","26130"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Operational Research","Male","30","25","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Economics","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Intelligence Analysis","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Social Research","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","Female","25","20","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","Male","35","35","59020","58370"
"In post","2022","Analysis","Government Actuary's Department","Other","Female","65","55","70470","69690"
"In post","2022","Analysis","Government Actuary's Department","Other","Male","125","120","69530","59780"
"In post","2022","Analysis","Government Internal Audit Agency","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Operational Delivery","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Statistics","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Statistics","Male","10","10","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Operational Delivery","Female","20","15","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Operational Delivery","Male","25","20","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Statistics","Male","5","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Finance","Female","15","15","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Finance","Male","15","15","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Female","35","35","46000","37930"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Male","85","85","47410","37930"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Female","20","15","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Female","45","40","43480","40180"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Male","55","55","47110","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Female","75","70","46540","43430"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Male","35","35","48350","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Female","120","115","46530","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Male","185","180","45440","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Female","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Male","10","10","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","Female","25","25","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","Male","30","30","49240","43900"
"In post","2022","Analysis","HM Treasury (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Economics","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Intelligence Analysis","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Intelligence Analysis","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Other","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Other","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Geography","Female","30","30","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Geography","Male","30","30","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Statistics","Female","105","100","40270","38000"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Statistics","Male","135","135","40640","38000"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Economics","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Economics","Male","40","40","47790","41750"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Finance","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Operational Delivery","Female","30","30","43610","41750"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Operational Delivery","Male","45","45","43180","41100"
