"Status","Year","Age","Ethnicity","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Operational Delivery","40","35","22290","21260"
"In post","2022","16-19","Asian","No function","Other","5","5","[c]","[c]"
"In post","2022","16-19","Asian","No function","Policy","5","5","[c]","[c]"
"In post","2022","16-19","Asian","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Tax","5","5","[c]","[c]"
"In post","2022","16-19","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Debt","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Debt","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Operational Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Debt","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Property","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Communications","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Counter Fraud","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Debt","Operational Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Debt","Tax","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Digital, Data & Technology","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","Finance","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Grants Management","Operational Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","Human Resources","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Operational Delivery","195","180","21540","21250"
"In post","2022","16-19","Unknown","No function","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Policy","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Science and Engineering","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Tax","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","No function","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","Other","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","Science and Engineering","35","35","17140","17140"
"In post","2022","16-19","Unknown","Property","Property","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Security","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Security","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Operational Delivery","35","35","23250","21680"
"In post","2022","16-19","Unknown","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Other","35","35","18560","16720"
"In post","2022","16-19","Unknown","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","25","25","[c]","[c]"
