"Status","Year","Function_of_post","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G7","60","60","55950","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","HEO","60","60","37770","38020"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","EO","15","15","26930","25000"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","G6","15","15","64100","64180"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","G7","60","55","52220","50630"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","HEO","45","45","33430","32870"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","SEO","60","55","42800","42420"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","EO","30","30","27030","26250"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","G6","25","25","65370","63910"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","G7","85","85","53380","51970"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","HEO","85","85","32080","31800"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","SCS level","10","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","SEO","20","20","39790","39690"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","EO","25","25","28330","27850"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G6","25","25","66430","64720"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G7","85","85","54480","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","HEO","55","55","32450","33210"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SEO","25","25","41480","42980"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","EO","30","30","29550","29970"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","G6","35","35","65870","65940"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","G7","125","115","55120","54650"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","HEO","75","70","33850","34710"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","SCS level","15","15","77140","77340"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","SEO","60","60","42560","42470"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AO","50","45","22460","21260"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","35","35","28850","27660"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6","50","45","69280","66370"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G7","150","140","56300","57230"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","HEO","210","205","34840","35000"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","10","10","78760","78190"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO","130","120","38890","37420"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","25","20","27000","27270"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6","75","75","66910","66230"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G7","180","175","53640","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","HEO","60","60","32050","32790"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","20","20","82600","76870"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO","45","40","40200","40650"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","AO","15","15","21840","21840"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","EO","15","10","26330","26130"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","HEO","15","15","32760","33350"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","G7","10","10","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","HEO","15","15","32390","32350"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","SEO","20","20","39740","40350"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6","15","15","73600","73920"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G7","20","20","61620","61400"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO","15","15","49780","48860"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","EO","10","10","28720","28230"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","G6","100","85","92380","88150"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","G7","20","20","57770","57250"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","HEO","35","30","36660","36590"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","SEO","15","15","46970","48300"
"In post","2022","Analysis","Government Internal Audit Agency","HM Treasury","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","HM Treasury","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","EO","10","5","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","G7","15","15","58960","57510"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","HEO","10","10","32590","31710"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","SEO","10","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","EO","10","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","G7","15","15","57120","54850"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","HEO","15","15","34260","34260"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","SEO","15","15","39890","40490"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","EO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","G7","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Ministry of Justice","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Ministry of Justice","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Ministry of Justice","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","AO","10","10","22830","21250"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","EO","40","35","29200","28920"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G6","50","50","71930","74850"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G7","200","190","58410","60940"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","HEO","255","250","35560","35980"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SCS level","15","15","81150","79420"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SEO","165","160","41830","40520"
"In post","2022","Analysis","HM Treasury (excl. agencies)","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","EO","10","10","24750","24030"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","G7","10","10","59650","60250"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","HEO","10","10","31240","30770"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","G7","15","15","53920","53830"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","SEO","15","15","40700","40850"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","AO","20","15","22080","21380"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","EO","70","65","28020","27850"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","G7","35","30","58920","58550"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","HEO","100","95","35690","36000"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","SEO","65","65","44180","43580"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","EO","70","65","28070","28310"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","G6","40","35","69040","68450"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","G7","150","140","59250","60280"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","HEO","95","95","34310","34260"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","SCS level","10","10","83210","82270"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","SEO","135","130","42370","41780"
"In post","2022","Analysis","National Savings and Investments","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Chancellor's other departments","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Chancellor's other departments","G7","10","10","54330","50130"
"In post","2022","Analysis","National Savings and Investments","Chancellor's other departments","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Chancellor's other departments","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","G7","15","15","55510","54690"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","EO","15","15","25760","25880"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","G7","15","15","60180","59810"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","HEO","50","50","32530","32010"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","SEO","35","35","40720","39850"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","EO","45","45","27360","26500"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G6","10","10","70680","69210"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G7","50","50","55890","53280"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","HEO","45","45","34170","34000"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SEO","20","20","39920","39880"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","G7","20","20","58450","57070"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","SEO","10","10","41890","42880"
"In post","2022","Analysis","Office of the Public Guardian","Ministry of Justice","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Scottish Government","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Scottish Government","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Scottish Government","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Scottish Government","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","EO","20","15","25260","25100"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","HEO","15","15","29520","29180"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Scottish Government","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Scottish Government","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","HEO","15","15","35410","36060"
"In post","2022","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","SEO","15","15","43790","43200"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","G6","5","5","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","G7","10","10","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","G6","5","5","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","G7","5","5","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","G7","10","10","53470","53380"
"In post","2022","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","UK Statistics Authority","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","UK Statistics Authority","AO","70","65","20140","19860"
"In post","2022","Analysis","UK Statistics Authority","UK Statistics Authority","EO","195","180","24700","23880"
