"Status","Year","Age","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Commercial","Undeclared","90","90","36910","36820"
"In post","2022","20-29","Commercial","Unknown","270","270","38800","33570"
"In post","2022","20-29","Communications","Heterosexual / straight","1150","1140","31280","27270"
"In post","2022","20-29","Communications","LGBO","180","175","32200","29980"
"In post","2022","20-29","Communications","Undeclared","140","140","33190","27450"
"In post","2022","20-29","Communications","Unknown","760","755","30090","26820"
"In post","2022","20-29","Counter Fraud","Heterosexual / straight","1220","1210","29030","27570"
"In post","2022","20-29","Counter Fraud","LGBO","135","135","29950","27570"
"In post","2022","20-29","Counter Fraud","Undeclared","85","85","30940","27570"
"In post","2022","20-29","Counter Fraud","Unknown","590","585","29750","26820"
"In post","2022","20-29","Debt","Heterosexual / straight","660","635","22260","21250"
"In post","2022","20-29","Debt","LGBO","100","100","22270","21250"
"In post","2022","20-29","Debt","Undeclared","35","35","22340","21260"
"In post","2022","20-29","Debt","Unknown","495","475","22260","21250"
"In post","2022","20-29","Digital, Data & Technology","Heterosexual / straight","1905","1895","33470","32530"
"In post","2022","20-29","Digital, Data & Technology","LGBO","290","290","33960","32000"
"In post","2022","20-29","Digital, Data & Technology","Undeclared","240","240","33960","32790"
"In post","2022","20-29","Digital, Data & Technology","Unknown","795","790","34000","33080"
"In post","2022","20-29","Finance","Heterosexual / straight","1135","1125","33200","30490"
"In post","2022","20-29","Finance","LGBO","110","110","31010","29360"
"In post","2022","20-29","Finance","Undeclared","155","150","33700","32790"
"In post","2022","20-29","Finance","Unknown","365","350","30530","27570"
"In post","2022","20-29","Grants Management","Heterosexual / straight","110","110","22910","21300"
"In post","2022","20-29","Grants Management","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Grants Management","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Grants Management","Unknown","230","225","22220","21300"
"In post","2022","20-29","Human Resources","Heterosexual / straight","1115","1105","31120","28920"
"In post","2022","20-29","Human Resources","LGBO","185","185","32950","30450"
"In post","2022","20-29","Human Resources","Undeclared","105","100","31560","28310"
"In post","2022","20-29","Human Resources","Unknown","265","260","29410","26820"
"In post","2022","20-29","Internal Audit","Heterosexual / straight","40","40","32790","33420"
"In post","2022","20-29","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Legal","Heterosexual / straight","1280","1270","31660","26970"
"In post","2022","20-29","Legal","LGBO","135","135","32440","27230"
"In post","2022","20-29","Legal","Undeclared","90","90","30530","26950"
"In post","2022","20-29","Legal","Unknown","190","185","33140","30600"
"In post","2022","20-29","No function","Heterosexual / straight","29485","29020","29090","27570"
"In post","2022","20-29","No function","LGBO","4035","3985","29540","27570"
"In post","2022","20-29","No function","Undeclared","2460","2415","31160","28970"
"In post","2022","20-29","No function","Unknown","12995","12780","27880","26840"
"In post","2022","20-29","Project Delivery","Heterosexual / straight","2605","2585","31020","30000"
"In post","2022","20-29","Project Delivery","LGBO","250","250","32260","30680"
"In post","2022","20-29","Project Delivery","Undeclared","185","185","32200","31430"
"In post","2022","20-29","Project Delivery","Unknown","745","740","33120","33000"
"In post","2022","20-29","Property","Heterosexual / straight","625","615","29580","27650"
"In post","2022","20-29","Property","LGBO","65","65","29690","26030"
"In post","2022","20-29","Property","Undeclared","40","40","30550","28170"
"In post","2022","20-29","Property","Unknown","395","390","28180","26030"
"In post","2022","20-29","Security","Heterosexual / straight","915","915","28490","26750"
"In post","2022","20-29","Security","LGBO","85","85","29650","27680"
"In post","2022","20-29","Security","Undeclared","80","80","31840","30200"
"In post","2022","20-29","Security","Unknown","440","440","27870","26610"
"In post","2022","20-29","Unknown","Heterosexual / straight","6095","5995","29620","27230"
"In post","2022","20-29","Unknown","LGBO","685","675","30850","27570"
"In post","2022","20-29","Unknown","Undeclared","485","480","31330","27940"
"In post","2022","20-29","Unknown","Unknown","3465","3430","29310","27230"
"In post","2022","30-39","Analysis","Heterosexual / straight","1540","1470","47060","44040"
"In post","2022","30-39","Analysis","LGBO","150","145","45790","43430"
"In post","2022","30-39","Analysis","Undeclared","180","170","47510","45390"
"In post","2022","30-39","Analysis","Unknown","480","470","41690","38340"
"In post","2022","30-39","Commercial","Heterosexual / straight","975","940","40240","38190"
"In post","2022","30-39","Commercial","LGBO","70","70","41580","39360"
"In post","2022","30-39","Commercial","Undeclared","120","115","40210","40000"
"In post","2022","30-39","Commercial","Unknown","460","455","54780","54700"
"In post","2022","30-39","Communications","Heterosexual / straight","1605","1550","37120","33370"
"In post","2022","30-39","Communications","LGBO","150","145","37220","33370"
"In post","2022","30-39","Communications","Undeclared","185","180","39550","34830"
"In post","2022","30-39","Communications","Unknown","765","745","34280","31020"
"In post","2022","30-39","Counter Fraud","Heterosexual / straight","2060","1985","32950","31020"
"In post","2022","30-39","Counter Fraud","LGBO","160","160","33790","31990"
"In post","2022","30-39","Counter Fraud","Undeclared","155","150","33620","33080"
"In post","2022","30-39","Counter Fraud","Unknown","795","760","31960","30750"
"In post","2022","30-39","Debt","Heterosexual / straight","745","670","23310","21260"
"In post","2022","30-39","Debt","LGBO","75","75","23320","21260"
"In post","2022","30-39","Debt","Undeclared","65","60","23230","21260"
"In post","2022","30-39","Debt","Unknown","415","375","22820","21250"
"In post","2022","30-39","Digital, Data & Technology","Heterosexual / straight","3460","3385","41250","38580"
"In post","2022","30-39","Digital, Data & Technology","LGBO","345","340","42060","39650"
"In post","2022","30-39","Digital, Data & Technology","Undeclared","455","445","42650","40070"
"In post","2022","30-39","Digital, Data & Technology","Unknown","1005","985","42350","39270"
"In post","2022","30-39","Finance","Heterosexual / straight","1735","1665","40330","36650"
"In post","2022","30-39","Finance","LGBO","125","120","40780","36500"
"In post","2022","30-39","Finance","Undeclared","195","190","43440","40650"
"In post","2022","30-39","Finance","Unknown","450","430","38540","36500"
"In post","2022","30-39","Grants Management","Heterosexual / straight","165","145","24640","22430"
"In post","2022","30-39","Grants Management","LGBO","15","15","[c]","[c]"
"In post","2022","30-39","Grants Management","Undeclared","15","15","[c]","[c]"
"In post","2022","30-39","Grants Management","Unknown","245","230","23680","21300"
"In post","2022","30-39","Human Resources","Heterosexual / straight","1960","1865","36970","33300"
"In post","2022","30-39","Human Resources","LGBO","190","190","38150","33080"
"In post","2022","30-39","Human Resources","Undeclared","130","120","36630","33000"
"In post","2022","30-39","Human Resources","Unknown","355","335","36620","33080"
"In post","2022","30-39","Internal Audit","Heterosexual / straight","95","90","43800","41340"
"In post","2022","30-39","Internal Audit","LGBO","5","5","[c]","[c]"
"In post","2022","30-39","Internal Audit","Undeclared","15","15","[c]","[c]"
"In post","2022","30-39","Internal Audit","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Legal","Heterosexual / straight","2135","2025","47050","50500"
"In post","2022","30-39","Legal","LGBO","170","165","47610","51250"
"In post","2022","30-39","Legal","Undeclared","145","140","49690","51510"
"In post","2022","30-39","Legal","Unknown","435","415","47930","51370"
"In post","2022","30-39","No function","Heterosexual / straight","39200","37050","33010","29060"
"In post","2022","30-39","No function","LGBO","3635","3570","33850","29290"
"In post","2022","30-39","No function","Undeclared","3875","3685","34370","30950"
"In post","2022","30-39","No function","Unknown","12665","11845","31280","27570"
"In post","2022","30-39","Project Delivery","Heterosexual / straight","4245","4105","41000","39700"
"In post","2022","30-39","Project Delivery","LGBO","325","320","43110","40180"
"In post","2022","30-39","Project Delivery","Undeclared","365","355","41060","39610"
"In post","2022","30-39","Project Delivery","Unknown","1090","1060","41990","40180"
"In post","2022","30-39","Property","Heterosexual / straight","1020","985","36720","33370"
"In post","2022","30-39","Property","LGBO","75","70","37920","33330"
"In post","2022","30-39","Property","Undeclared","95","90","38550","36050"
"In post","2022","30-39","Property","Unknown","360","350","33270","30430"
"In post","2022","30-39","Security","Heterosexual / straight","1355","1340","34010","33200"
"In post","2022","30-39","Security","LGBO","130","130","34980","33410"
"In post","2022","30-39","Security","Undeclared","160","155","36930","37560"
"In post","2022","30-39","Security","Unknown","435","430","32970","32650"
"In post","2022","30-39","Unknown","Heterosexual / straight","12395","11760","34660","30820"
"In post","2022","30-39","Unknown","LGBO","885","870","36050","31540"
"In post","2022","30-39","Unknown","Undeclared","1110","1070","36280","31540"
"In post","2022","30-39","Unknown","Unknown","3110","3015","35510","31540"
"In post","2022","40-49","Analysis","Heterosexual / straight","1100","1025","51690","50900"
"In post","2022","40-49","Analysis","LGBO","65","65","50660","52060"
"In post","2022","40-49","Analysis","Undeclared","125","120","52010","52670"
"In post","2022","40-49","Analysis","Unknown","375","350","44650","42560"
"In post","2022","40-49","Commercial","Heterosexual / straight","960","925","46630","40910"
"In post","2022","40-49","Commercial","LGBO","30","30","43810","41500"
"In post","2022","40-49","Commercial","Undeclared","130","125","44270","40580"
"In post","2022","40-49","Commercial","Unknown","605","590","64700","62130"
"In post","2022","40-49","Communications","Heterosexual / straight","1235","1180","40660","35900"
"In post","2022","40-49","Communications","LGBO","75","75","44960","41650"
"In post","2022","40-49","Communications","Undeclared","125","120","40960","33370"
"In post","2022","40-49","Communications","Unknown","465","445","37440","33080"
"In post","2022","40-49","Counter Fraud","Heterosexual / straight","2420","2280","33820","31810"
"In post","2022","40-49","Counter Fraud","LGBO","115","115","32390","27570"
"In post","2022","40-49","Counter Fraud","Undeclared","360","340","33760","31990"
"In post","2022","40-49","Counter Fraud","Unknown","880","820","32050","31000"
"In post","2022","40-49","Debt","Heterosexual / straight","815","710","24060","21260"
"In post","2022","40-49","Debt","LGBO","50","45","24910","21260"
"In post","2022","40-49","Debt","Undeclared","100","85","23410","21260"
"In post","2022","40-49","Debt","Unknown","345","305","23750","21260"
"In post","2022","40-49","Digital, Data & Technology","Heterosexual / straight","4100","4000","44950","40580"
"In post","2022","40-49","Digital, Data & Technology","LGBO","200","200","45790","40580"
"In post","2022","40-49","Digital, Data & Technology","Undeclared","625","610","42710","40000"
"In post","2022","40-49","Digital, Data & Technology","Unknown","1045","1020","44500","40520"
"In post","2022","40-49","Finance","Heterosexual / straight","2250","2150","42760","38500"
"In post","2022","40-49","Finance","LGBO","95","90","46390","40220"
"In post","2022","40-49","Finance","Undeclared","280","265","42390","37590"
"In post","2022","40-49","Finance","Unknown","535","510","40340","36050"
"In post","2022","40-49","Grants Management","Heterosexual / straight","335","300","26510","25100"
"In post","2022","40-49","Grants Management","LGBO","15","15","[c]","[c]"
"In post","2022","40-49","Grants Management","Undeclared","15","15","[c]","[c]"
"In post","2022","40-49","Grants Management","Unknown","320","290","24690","21300"
"In post","2022","40-49","Human Resources","Heterosexual / straight","2285","2165","41340","37300"
"In post","2022","40-49","Human Resources","LGBO","130","125","45370","39000"
"In post","2022","40-49","Human Resources","Undeclared","190","180","36410","33300"
"In post","2022","40-49","Human Resources","Unknown","335","315","36730","33080"
"In post","2022","40-49","Internal Audit","Heterosexual / straight","155","150","48480","46180"
"In post","2022","40-49","Internal Audit","LGBO","10","10","[c]","[c]"
"In post","2022","40-49","Internal Audit","Undeclared","15","15","[c]","[c]"
"In post","2022","40-49","Internal Audit","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","Legal","Heterosexual / straight","2275","2095","50420","52100"
"In post","2022","40-49","Legal","LGBO","115","110","53420","53490"
"In post","2022","40-49","Legal","Undeclared","170","155","55610","60070"
"In post","2022","40-49","Legal","Unknown","810","720","50890","54200"
"In post","2022","40-49","No function","Heterosexual / straight","40050","37280","34360","28800"
"In post","2022","40-49","No function","LGBO","2415","2340","36430","30450"
"In post","2022","40-49","No function","Undeclared","4965","4615","33950","28310"
"In post","2022","40-49","No function","Unknown","12405","11255","32040","27570"
"In post","2022","40-49","Project Delivery","Heterosexual / straight","4510","4355","45560","41000"
"In post","2022","40-49","Project Delivery","LGBO","215","210","48000","44000"
"In post","2022","40-49","Project Delivery","Undeclared","555","535","44400","40580"
"In post","2022","40-49","Project Delivery","Unknown","995","940","46620","44770"
"In post","2022","40-49","Property","Heterosexual / straight","1485","1440","39620","36520"
"In post","2022","40-49","Property","LGBO","60","60","40670","35880"
"In post","2022","40-49","Property","Undeclared","195","185","39220","35790"
"In post","2022","40-49","Property","Unknown","360","345","35390","31000"
"In post","2022","40-49","Security","Heterosexual / straight","1545","1515","34970","33300"
"In post","2022","40-49","Security","LGBO","70","70","37310","35690"
"In post","2022","40-49","Security","Undeclared","260","260","37900","39070"
"In post","2022","40-49","Security","Unknown","310","305","36580","37090"
"In post","2022","40-49","Unknown","Heterosexual / straight","14420","13645","37670","31570"
"In post","2022","40-49","Unknown","LGBO","620","605","39890","33300"
"In post","2022","40-49","Unknown","Undeclared","1760","1660","36860","30980"
"In post","2022","40-49","Unknown","Unknown","2610","2505","38990","33090"
"In post","2022","50-59","Analysis","Heterosexual / straight","715","680","50310","47010"
"In post","2022","50-59","Analysis","LGBO","35","35","47350","41700"
"In post","2022","50-59","Analysis","Undeclared","100","95","51930","53180"
"In post","2022","50-59","Analysis","Unknown","240","230","47520","44510"
"In post","2022","50-59","Commercial","Heterosexual / straight","1005","985","47350","41500"
"In post","2022","50-59","Commercial","LGBO","35","35","45860","39360"
"In post","2022","50-59","Commercial","Undeclared","155","150","47040","42000"
"In post","2022","50-59","Commercial","Unknown","540","530","66080","61850"
"In post","2022","50-59","Communications","Heterosexual / straight","900","860","38610","33370"
"In post","2022","50-59","Communications","LGBO","50","50","34640","33040"
"In post","2022","50-59","Communications","Undeclared","130","125","40040","34610"
"In post","2022","50-59","Communications","Unknown","265","255","35610","29910"
"In post","2022","50-59","Counter Fraud","Heterosexual / straight","3665","3455","33770","31060"
"In post","2022","50-59","Counter Fraud","LGBO","145","140","34070","31470"
"In post","2022","50-59","Counter Fraud","Undeclared","695","645","33800","31020"
"In post","2022","50-59","Counter Fraud","Unknown","1315","1220","32100","29560"
"In post","2022","50-59","Debt","Heterosexual / straight","1190","1055","24920","21680"
"In post","2022","50-59","Debt","LGBO","50","45","24810","21260"
"In post","2022","50-59","Debt","Undeclared","195","170","24190","22080"
"In post","2022","50-59","Debt","Unknown","495","440","24860","22080"
"In post","2022","50-59","Digital, Data & Technology","Heterosexual / straight","4170","4070","42910","39940"
"In post","2022","50-59","Digital, Data & Technology","LGBO","135","130","41790","36970"
"In post","2022","50-59","Digital, Data & Technology","Undeclared","780","760","41490","38450"
"In post","2022","50-59","Digital, Data & Technology","Unknown","860","840","43720","40180"
"In post","2022","50-59","Finance","Heterosexual / straight","2680","2560","41350","37020"
"In post","2022","50-59","Finance","LGBO","80","75","41150","35900"
"In post","2022","50-59","Finance","Undeclared","430","405","39610","35340"
"In post","2022","50-59","Finance","Unknown","620","575","37120","33170"
"In post","2022","50-59","Grants Management","Heterosexual / straight","295","275","28190","25630"
"In post","2022","50-59","Grants Management","LGBO","15","15","[c]","[c]"
"In post","2022","50-59","Grants Management","Undeclared","30","30","26070","25190"
"In post","2022","50-59","Grants Management","Unknown","225","210","26600","21300"
"In post","2022","50-59","Human Resources","Heterosexual / straight","2685","2575","40210","35590"
"In post","2022","50-59","Human Resources","LGBO","110","110","42370","38370"
"In post","2022","50-59","Human Resources","Undeclared","295","285","36910","33300"
"In post","2022","50-59","Human Resources","Unknown","360","345","37450","33370"
"In post","2022","50-59","Internal Audit","Heterosexual / straight","240","235","49120","47100"
"In post","2022","50-59","Internal Audit","LGBO","10","10","[c]","[c]"
"In post","2022","50-59","Internal Audit","Undeclared","45","45","50190","44680"
"In post","2022","50-59","Internal Audit","Unknown","15","15","[c]","[c]"
"In post","2022","50-59","Legal","Heterosexual / straight","2210","2075","49300","50850"
"In post","2022","50-59","Legal","LGBO","115","110","54250","55610"
"In post","2022","50-59","Legal","Undeclared","190","175","52330","53270"
"In post","2022","50-59","Legal","Unknown","945","860","48720","54200"
"In post","2022","50-59","No function","Heterosexual / straight","50040","46510","32880","27570"
"In post","2022","50-59","No function","LGBO","2050","1955","34030","28550"
"In post","2022","50-59","No function","Undeclared","7845","7230","32450","27570"
"In post","2022","50-59","No function","Unknown","15740","14245","30800","27570"
"In post","2022","50-59","Project Delivery","Heterosexual / straight","5695","5530","45560","41100"
"In post","2022","50-59","Project Delivery","LGBO","150","145","46750","40910"
"In post","2022","50-59","Project Delivery","Undeclared","900","875","44700","40910"
"In post","2022","50-59","Project Delivery","Unknown","1120","1075","45760","41290"
"In post","2022","50-59","Property","Heterosexual / straight","2380","2315","39690","34610"
"In post","2022","50-59","Property","LGBO","60","55","40680","34750"
"In post","2022","50-59","Property","Undeclared","350","340","39380","35860"
"In post","2022","50-59","Property","Unknown","505","480","35660","31270"
"In post","2022","50-59","Security","Heterosexual / straight","2735","2695","32980","32000"
"In post","2022","50-59","Security","LGBO","65","65","33810","33330"
"In post","2022","50-59","Security","Undeclared","445","435","36380","39070"
"In post","2022","50-59","Security","Unknown","395","385","35310","33950"
"In post","2022","50-59","Unknown","Heterosexual / straight","16775","16050","35450","29670"
"In post","2022","50-59","Unknown","LGBO","490","475","39310","33190"
"In post","2022","50-59","Unknown","Undeclared","2835","2705","34950","29880"
"In post","2022","50-59","Unknown","Unknown","3020","2875","39180","34630"
"In post","2022","60-64","Analysis","Heterosexual / straight","140","120","44140","38840"
"In post","2022","60-64","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Analysis","Undeclared","35","30","44970","38510"
"In post","2022","60-64","Analysis","Unknown","65","55","44830","47060"
"In post","2022","60-64","Commercial","Heterosexual / straight","205","185","45560","40840"
"In post","2022","60-64","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Commercial","Undeclared","45","40","35990","32630"
"In post","2022","60-64","Commercial","Unknown","95","85","58250","55250"
"In post","2022","60-64","Communications","Heterosexual / straight","195","170","35690","32250"
"In post","2022","60-64","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Communications","Undeclared","30","25","[c]","[c]"
"In post","2022","60-64","Communications","Unknown","45","40","34450","28920"
"In post","2022","60-64","Counter Fraud","Heterosexual / straight","1030","785","32100","27570"
"In post","2022","60-64","Counter Fraud","LGBO","40","35","31940","28920"
"In post","2022","60-64","Counter Fraud","Undeclared","200","150","32210","28060"
"In post","2022","60-64","Counter Fraud","Unknown","410","315","30410","27570"
"In post","2022","60-64","Debt","Heterosexual / straight","430","335","24530","22080"
"In post","2022","60-64","Debt","LGBO","15","10","[c]","[c]"
"In post","2022","60-64","Debt","Undeclared","75","55","23650","22080"
"In post","2022","60-64","Debt","Unknown","190","150","24280","22080"
"In post","2022","60-64","Digital, Data & Technology","Heterosexual / straight","875","770","39590","35980"
"In post","2022","60-64","Digital, Data & Technology","LGBO","30","30","42670","40300"
"In post","2022","60-64","Digital, Data & Technology","Undeclared","175","155","39140","37020"
"In post","2022","60-64","Digital, Data & Technology","Unknown","180","160","41310","37430"
"In post","2022","60-64","Finance","Heterosexual / straight","565","485","37220","33440"
"In post","2022","60-64","Finance","LGBO","10","10","[c]","[c]"
"In post","2022","60-64","Finance","Undeclared","125","105","37280","34200"
"In post","2022","60-64","Finance","Unknown","170","140","33040","29590"
"In post","2022","60-64","Grants Management","Heterosexual / straight","90","75","25780","24920"
"In post","2022","60-64","Grants Management","LGBO","5","5","[c]","[c]"
"In post","2022","60-64","Grants Management","Undeclared","10","10","[c]","[c]"
"In post","2022","60-64","Grants Management","Unknown","65","60","24450","21300"
"In post","2022","60-64","Human Resources","Heterosexual / straight","630","525","36270","33170"
"In post","2022","60-64","Human Resources","LGBO","15","15","[c]","[c]"
"In post","2022","60-64","Human Resources","Undeclared","85","70","34120","31740"
"In post","2022","60-64","Human Resources","Unknown","95","75","32590","28920"
"In post","2022","60-64","Internal Audit","Heterosexual / straight","55","45","42820","43140"
"In post","2022","60-64","Internal Audit","LGBO","5","5","[c]","[c]"
"In post","2022","60-64","Internal Audit","Undeclared","10","10","[c]","[c]"
"In post","2022","60-64","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Legal","Heterosexual / straight","455","395","48050","51250"
"In post","2022","60-64","Legal","LGBO","20","15","[c]","[c]"
"In post","2022","60-64","Legal","Undeclared","50","40","46470","40760"
"In post","2022","60-64","Legal","Unknown","205","170","46880","53050"
"In post","2022","60-64","No function","Heterosexual / straight","14970","12160","29980","27570"
"In post","2022","60-64","No function","LGBO","450","380","31120","27570"
"In post","2022","60-64","No function","Undeclared","2550","2015","30060","27570"
"In post","2022","60-64","No function","Unknown","4970","3860","29310","27080"
"In post","2022","60-64","Project Delivery","Heterosexual / straight","1405","1235","42470","40440"
"In post","2022","60-64","Project Delivery","LGBO","25","20","[c]","[c]"
"In post","2022","60-64","Project Delivery","Undeclared","255","215","40530","39750"
"In post","2022","60-64","Project Delivery","Unknown","265","225","42270","38390"
"In post","2022","60-64","Property","Heterosexual / straight","755","680","36340","33300"
"In post","2022","60-64","Property","LGBO","25","20","[c]","[c]"
"In post","2022","60-64","Property","Undeclared","105","90","37270","33300"
"In post","2022","60-64","Property","Unknown","185","165","33960","29980"
"In post","2022","60-64","Security","Heterosexual / straight","730","665","28640","22810"
"In post","2022","60-64","Security","LGBO","10","10","[c]","[c]"
"In post","2022","60-64","Security","Undeclared","125","110","33110","33300"
"In post","2022","60-64","Security","Unknown","90","80","32410","29170"
"In post","2022","60-64","Unknown","Heterosexual / straight","4785","4240","32250","27370"
"In post","2022","60-64","Unknown","LGBO","90","80","33190","27370"
"In post","2022","60-64","Unknown","Undeclared","835","720","32140","27670"
"In post","2022","60-64","Unknown","Unknown","765","690","36960","32700"
"In post","2022","65+","Analysis","Heterosexual / straight","40","35","45170","36780"
"In post","2022","65+","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Analysis","Undeclared","10","10","[c]","[c]"
"In post","2022","65+","Analysis","Unknown","25","20","[c]","[c]"
"In post","2022","65+","Commercial","Heterosexual / straight","55","45","39250","36050"
"In post","2022","65+","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Commercial","Undeclared","5","5","[c]","[c]"
"In post","2022","65+","Commercial","Unknown","20","20","[c]","[c]"
"In post","2022","65+","Communications","Heterosexual / straight","50","40","33900","29200"
"In post","2022","65+","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Communications","Undeclared","10","10","[c]","[c]"
"In post","2022","65+","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","65+","Counter Fraud","Heterosexual / straight","310","220","30850","27570"
"In post","2022","65+","Counter Fraud","LGBO","10","5","[c]","[c]"
"In post","2022","65+","Counter Fraud","Undeclared","65","50","31490","27570"
"In post","2022","65+","Counter Fraud","Unknown","140","95","29960","27570"
"In post","2022","65+","Debt","Heterosexual / straight","150","110","24610","22080"
