"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Knowledge and Information Management","AA/AO","Heterosexual / straight","40","35","22320","21380"
"In post","2022","Declared disabled","Knowledge and Information Management","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","EO","Heterosexual / straight","55","50","28060","27570"
"In post","2022","Declared disabled","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","G6/G7","Undeclared","5","5","[c]","[c]"
