"Status","Year","Parent_department","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","Female","Heterosexual / straight","65","65","40830","33190"
"In post","2022","Attorney General's Departments","Counter Fraud","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","Female","Unknown","20","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","Male","Heterosexual / straight","105","105","49940","42310"
"In post","2022","Attorney General's Departments","Counter Fraud","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","Male","Unknown","30","30","48540","42210"
"In post","2022","Attorney General's Departments","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Female","Heterosexual / straight","60","55","38180","34230"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Male","Heterosexual / straight","85","85","44370","40350"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Female","Heterosexual / straight","105","95","29840","26970"
"In post","2022","Attorney General's Departments","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Male","Heterosexual / straight","75","75","33280","27160"
"In post","2022","Attorney General's Departments","Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Female","Heterosexual / straight","150","145","37560","31560"
"In post","2022","Attorney General's Departments","Human Resources","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Male","Heterosexual / straight","55","50","35370","30720"
"In post","2022","Attorney General's Departments","Human Resources","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","Female","Heterosexual / straight","2450","2235","54980","53050"
"In post","2022","Attorney General's Departments","Legal","Female","LGBO","100","90","54880","53050"
"In post","2022","Attorney General's Departments","Legal","Female","Undeclared","140","130","58520","55610"
"In post","2022","Attorney General's Departments","Legal","Female","Unknown","775","675","59050","58040"
"In post","2022","Attorney General's Departments","Legal","Male","Heterosexual / straight","1300","1265","57240","55610"
"In post","2022","Attorney General's Departments","Legal","Male","LGBO","135","135","59070","55610"
"In post","2022","Attorney General's Departments","Legal","Male","Undeclared","100","95","58480","55610"
"In post","2022","Attorney General's Departments","Legal","Male","Unknown","445","430","60840","59930"
"In post","2022","Attorney General's Departments","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","Female","Heterosexual / straight","1580","1450","27110","25480"
"In post","2022","Attorney General's Departments","Operational Delivery","Female","LGBO","85","80","26080","25040"
"In post","2022","Attorney General's Departments","Operational Delivery","Female","Undeclared","65","60","24810","24590"
"In post","2022","Attorney General's Departments","Operational Delivery","Female","Unknown","415","355","26550","26220"
"In post","2022","Attorney General's Departments","Operational Delivery","Male","Heterosexual / straight","515","500","27620","25480"
"In post","2022","Attorney General's Departments","Operational Delivery","Male","LGBO","65","60","29320","25820"
"In post","2022","Attorney General's Departments","Operational Delivery","Male","Undeclared","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","Male","Unknown","145","145","26710","25820"
"In post","2022","Attorney General's Departments","Operational Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","Female","Heterosexual / straight","205","195","32500","27580"
"In post","2022","Attorney General's Departments","Other","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","Female","Undeclared","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","Female","Unknown","65","60","36450","29950"
"In post","2022","Attorney General's Departments","Other","Male","Heterosexual / straight","130","125","35570","29560"
"In post","2022","Attorney General's Departments","Other","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","Male","Unknown","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","Female","Heterosexual / straight","55","50","52420","54760"
"In post","2022","Attorney General's Departments","Policy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","Female","Heterosexual / straight","50","45","39330","36600"
"In post","2022","Attorney General's Departments","Project Delivery","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","Male","Heterosexual / straight","30","30","41540","38180"
"In post","2022","Attorney General's Departments","Project Delivery","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","Female","Heterosexual / straight","135","130","34760","31370"
"In post","2022","Cabinet Office","Commercial","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","Female","Unknown","40","35","36030","37460"
"In post","2022","Cabinet Office","Commercial","Male","Heterosexual / straight","115","115","36940","38330"
"In post","2022","Cabinet Office","Commercial","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","Male","Unknown","30","30","33690","31480"
"In post","2022","Cabinet Office","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","Female","Heterosexual / straight","40","40","47650","50240"
"In post","2022","Cabinet Office","Digital, Data and Technology","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","Male","Heterosexual / straight","70","70","46150","41420"
"In post","2022","Cabinet Office","Digital, Data and Technology","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Finance","Female","Heterosexual / straight","35","35","42700","40250"
"In post","2022","Cabinet Office","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Finance","Male","Heterosexual / straight","40","40","53990","50670"
"In post","2022","Cabinet Office","Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Human Resources","Female","Heterosexual / straight","40","35","40890","34180"
"In post","2022","Cabinet Office","Human Resources","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Human Resources","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Human Resources","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Human Resources","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Human Resources","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Internal Audit","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Internal Audit","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Internal Audit","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Internal Audit","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Internal Audit","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Internal Audit","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Operational Delivery","Female","Heterosexual / straight","85","85","40890","39000"
"In post","2022","Cabinet Office","Operational Delivery","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Operational Delivery","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Operational Delivery","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Cabinet Office","Operational Delivery","Male","Heterosexual / straight","60","60","43000","38330"
"In post","2022","Cabinet Office","Operational Delivery","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Operational Delivery","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Operational Delivery","Male","Unknown","25","25","[c]","[c]"
"In post","2022","Cabinet Office","Operational Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Other","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Other","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Other","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Policy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Policy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Project Delivery","Female","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Cabinet Office","Project Delivery","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Project Delivery","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Project Delivery","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Cabinet Office","Project Delivery","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Project Delivery","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Project Delivery","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Property","Female","Heterosexual / straight","50","50","50190","50850"
"In post","2022","Cabinet Office","Property","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Property","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Property","Male","Heterosexual / straight","65","65","53050","54700"
"In post","2022","Cabinet Office","Property","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Property","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Property","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Security","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Security","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Security","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Security","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Security","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Security","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Security","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Security","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Statistics","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Statistics","Female","LGBO","[c]","[c]","[c]","[c]"
