"Status","Year","Ethnicity","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Legal","EO","25","25","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Legal","G6/G7","485","445","56530","53050"
"In post","2022","Asian","Attorney General's Departments","Legal","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Legal","SEO/HEO","50","45","39540","39540"
"In post","2022","Asian","Attorney General's Departments","Operational Delivery","AA/AO","165","145","22910","23770"
"In post","2022","Asian","Attorney General's Departments","Operational Delivery","EO","95","85","28110","28430"
"In post","2022","Asian","Attorney General's Departments","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Operational Delivery","SEO/HEO","30","30","35570","33930"
"In post","2022","Asian","Attorney General's Departments","Other","AA/AO","10","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Other","EO","50","45","27090","26950"
"In post","2022","Asian","Attorney General's Departments","Other","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Other","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Policy","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Project Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Commercial","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Digital, Data and Technology","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Digital, Data and Technology","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Finance","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","AA/AO","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","EO","80","75","27480","27500"
"In post","2022","Asian","Cabinet Office","Unknown","G6/G7","195","195","58300","56340"
"In post","2022","Asian","Cabinet Office","Unknown","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","SEO/HEO","190","185","37010","35590"
"In post","2022","Asian","Chancellor's other departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Other","EO","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Other","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Other","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Digital, Data and Technology","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Digital, Data and Technology","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Legal","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Project Delivery","EO","10","10","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Project Delivery","G6/G7","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Project Delivery","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Counter Fraud","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","EO","15","15","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","G6/G7","15","15","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Economics","EO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Economics","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Economics","SCS level","[c]","[c]","[c]","[c]"
