"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Counter Fraud","EO","Female","360","315","28210","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","Male","215","195","28060","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G7","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","HEO","Female","85","75","33810","32580"
"In post","2022","Declared disabled","Counter Fraud","HEO","Male","55","50","34010","32660"
"In post","2022","Declared disabled","Counter Fraud","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AO","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AO","Male","30","30","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","Female","145","130","27550","26930"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","Male","250","240","27520","27570"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","G6","Female","35","35","68120","65620"
"In post","2022","Declared disabled","Digital, Data and Technology","G6","Male","55","55","70500","70730"
"In post","2022","Declared disabled","Digital, Data and Technology","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","G7","Female","120","115","53290","53360"
"In post","2022","Declared disabled","Digital, Data and Technology","G7","Male","195","190","55720","54850"
"In post","2022","Declared disabled","Digital, Data and Technology","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","HEO","Female","195","180","33290","33140"
"In post","2022","Declared disabled","Digital, Data and Technology","HEO","Male","235","230","33800","33300"
"In post","2022","Declared disabled","Digital, Data and Technology","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO","Female","170","160","40260","40200"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO","Male","250","245","41600","40580"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","G7","Female","15","10","[c]","[c]"
"In post","2022","Declared disabled","Economics","G7","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Economics","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","HEO","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Economics","HEO","Male","30","30","[c]","[c]"
"In post","2022","Declared disabled","Economics","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AO","Female","70","60","22320","21740"
"In post","2022","Declared disabled","Finance","AO","Male","40","35","22200","21550"
"In post","2022","Declared disabled","Finance","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","EO","Female","165","150","26980","26670"
"In post","2022","Declared disabled","Finance","EO","Male","85","80","26680","26710"
"In post","2022","Declared disabled","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","G6","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Finance","G6","Male","25","20","[c]","[c]"
"In post","2022","Declared disabled","Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","G7","Female","90","85","55040","54540"
"In post","2022","Declared disabled","Finance","G7","Male","75","75","54920","54540"
"In post","2022","Declared disabled","Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","HEO","Female","170","160","33560","33300"
"In post","2022","Declared disabled","Finance","HEO","Male","120","115","33800","33300"
"In post","2022","Declared disabled","Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO","Female","120","115","40710","40550"
"In post","2022","Declared disabled","Finance","SEO","Male","100","95","41320","40650"
"In post","2022","Declared disabled","Finance","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","HEO","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Geography","HEO","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Geography","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AO","Female","95","85","22060","21470"
"In post","2022","Declared disabled","Human Resources","AO","Male","35","35","22130","21830"
"In post","2022","Declared disabled","Human Resources","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","EO","Female","145","130","27790","27570"
"In post","2022","Declared disabled","Human Resources","EO","Male","60","60","28150","27570"
"In post","2022","Declared disabled","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","G6","Female","60","55","66880","66240"
"In post","2022","Declared disabled","Human Resources","G6","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","G7","Female","135","130","53710","53380"
"In post","2022","Declared disabled","Human Resources","G7","Male","65","65","55290","55210"
"In post","2022","Declared disabled","Human Resources","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","HEO","Female","245","230","33160","33160"
"In post","2022","Declared disabled","Human Resources","HEO","Male","100","100","33790","33300"
"In post","2022","Declared disabled","Human Resources","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SEO","Female","185","175","41100","40580"
"In post","2022","Declared disabled","Human Resources","SEO","Male","65","65","41910","40800"
"In post","2022","Declared disabled","Human Resources","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G6","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G7","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G7","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SEO","Female","30","30","50860","51360"
"In post","2022","Declared disabled","Inspector of Education and Training","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","AO","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","EO","Female","85","80","27800","27380"
"In post","2022","Declared disabled","Intelligence Analysis","EO","Male","65","65","28390","27380"
"In post","2022","Declared disabled","Intelligence Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","G6","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","G7","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","HEO","Female","35","30","33430","33000"
"In post","2022","Declared disabled","Intelligence Analysis","HEO","Male","45","45","35260","34980"
"In post","2022","Declared disabled","Intelligence Analysis","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SEO","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SEO","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G7","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","HEO","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","HEO","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","EO","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","International Trade","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G6","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G6","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G7","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G7","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","HEO","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","International Trade","HEO","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","International Trade","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SEO","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SEO","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","AO","Female","35","35","22150","21380"
"In post","2022","Declared disabled","Knowledge and Information Management","AO","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","EO","Female","45","45","28380","27570"
"In post","2022","Declared disabled","Knowledge and Information Management","EO","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","G6","Female","[c]","[c]","[c]","[c]"
