"Status","Year","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Operational Delivery","Outside London","185","175","31780","28890"
"In post","2022","Commercial","Other","London","5","5","[c]","[c]"
"In post","2022","Commercial","Other","Outside London","85","80","41860","40110"
"In post","2022","Commercial","Policy","London","25","25","51660","54700"
"In post","2022","Commercial","Policy","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Project Delivery","London","15","15","44760","41550"
"In post","2022","Commercial","Project Delivery","Outside London","80","80","45240","41190"
"In post","2022","Commercial","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Property","Outside London","10","10","[c]","[c]"
"In post","2022","Commercial","Science and Engineering","Outside London","125","125","41480","41790"
"In post","2022","Commercial","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Tax","Outside London","10","10","35290","33370"
"In post","2022","Commercial","Unknown","London","820","810","73300","65610"
"In post","2022","Commercial","Unknown","Outside London","795","785","65690","64500"
"In post","2022","Commercial","Unknown","Unknown","65","60","53190","53110"
"In post","2022","Commercial","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Commercial","London","5","5","[c]","[c]"
"In post","2022","Communications","Commercial","Outside London","10","10","[c]","[c]"
"In post","2022","Communications","Communications","London","1855","1815","46880","42890"
"In post","2022","Communications","Communications","Outside London","1565","1500","37100","34000"
"In post","2022","Communications","Communications","Overseas","10","10","[c]","[c]"
"In post","2022","Communications","Communications","Unknown","10","5","[c]","[c]"
"In post","2022","Communications","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Finance","London","15","15","47760","53360"
"In post","2022","Communications","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Human Resources","London","25","25","43290","38370"
"In post","2022","Communications","Human Resources","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Knowledge and Information Management","London","65","65","40640","40490"
"In post","2022","Communications","Knowledge and Information Management","Outside London","35","30","41060","38950"
"In post","2022","Communications","Operational Delivery","London","45","45","56550","43810"
"In post","2022","Communications","Operational Delivery","Outside London","1765","1695","29700","26820"
"In post","2022","Communications","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","London","20","20","35020","31840"
"In post","2022","Communications","Other","Outside London","20","20","34120","28310"
"In post","2022","Communications","Policy","London","25","25","52090","50600"
"In post","2022","Communications","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Tax","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Tax","Outside London","2495","2415","28980","26820"
"In post","2022","Communications","Unknown","London","360","350","50070","43890"
"In post","2022","Communications","Unknown","Outside London","190","185","33270","33080"
"In post","2022","Communications","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Counter Fraud","London","1225","1125","34100","31060"
"In post","2022","Counter Fraud","Counter Fraud","Outside London","5160","4620","28130","27570"
"In post","2022","Counter Fraud","Counter Fraud","Unknown","10","5","[c]","[c]"
"In post","2022","Counter Fraud","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","London","90","90","43450","37930"
"In post","2022","Counter Fraud","Intelligence Analysis","Outside London","165","155","36040","33370"
"In post","2022","Counter Fraud","Knowledge and Information Management","London","10","10","42090","40910"
"In post","2022","Counter Fraud","Knowledge and Information Management","Outside London","25","25","40060","35980"
"In post","2022","Counter Fraud","Legal","London","965","935","38540","37900"
"In post","2022","Counter Fraud","Legal","Outside London","2440","2315","31850","33080"
"In post","2022","Counter Fraud","Operational Delivery","London","565","520","35140","31060"
"In post","2022","Counter Fraud","Operational Delivery","Outside London","3330","3065","29930","27570"
"In post","2022","Counter Fraud","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Other","London","75","70","42110","37930"
"In post","2022","Counter Fraud","Other","Outside London","250","225","41800","40180"
"In post","2022","Counter Fraud","Tax","London","360","340","46350","40910"
"In post","2022","Counter Fraud","Tax","Outside London","1555","1455","40860","35980"
"In post","2022","Counter Fraud","Unknown","London","305","300","39950","37610"
"In post","2022","Counter Fraud","Unknown","Outside London","475","470","29550","26590"
"In post","2022","Counter Fraud","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Debt","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Operational Delivery","London","445","395","29880","26400"
"In post","2022","Debt","Operational Delivery","Outside London","2900","2590","24230","21680"
"In post","2022","Debt","Other","London","10","10","[c]","[c]"
"In post","2022","Debt","Other","Outside London","2425","2070","22510","21260"
"In post","2022","Debt","Other","Unknown","70","55","25610","25110"
"In post","2022","Debt","Tax","London","35","35","27470","25330"
"In post","2022","Debt","Tax","Outside London","820","785","21980","21250"
"In post","2022","Debt","Unknown","London","10","10","40250","35170"
"In post","2022","Debt","Unknown","Outside London","105","100","24890","21250"
"In post","2022","Digital, Data & Technology","Commercial","London","10","10","38080","33290"
"In post","2022","Digital, Data & Technology","Commercial","Outside London","15","15","36880","36820"
"In post","2022","Digital, Data & Technology","Communications","London","20","15","40430","40520"
"In post","2022","Digital, Data & Technology","Communications","Outside London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","London","2800","2755","48400","43810"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","Outside London","14525","14110","40060","36820"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","Overseas","40","40","31880","33170"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","Unknown","20","20","43720","37990"
"In post","2022","Digital, Data & Technology","Finance","London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Finance","Outside London","10","10","35220","33890"
"In post","2022","Digital, Data & Technology","Human Resources","London","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","London","185","180","38650","35530"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","Outside London","720","695","31420","28670"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","London","15","15","31070","27400"
"In post","2022","Digital, Data & Technology","Operational Delivery","London","90","90","46610","41750"
"In post","2022","Digital, Data & Technology","Operational Delivery","Outside London","460","440","36290","33370"
"In post","2022","Digital, Data & Technology","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Operational Research","Outside London","20","20","48930","47870"
"In post","2022","Digital, Data & Technology","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other","Outside London","45","40","38460","33560"
"In post","2022","Digital, Data & Technology","Policy","London","110","105","50430","53420"
"In post","2022","Digital, Data & Technology","Policy","Outside London","145","135","39820","36780"
"In post","2022","Digital, Data & Technology","Project Delivery","London","40","40","47660","41750"
"In post","2022","Digital, Data & Technology","Project Delivery","Outside London","150","140","38170","34290"
"In post","2022","Digital, Data & Technology","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Science and Engineering","London","25","25","32400","30930"
"In post","2022","Digital, Data & Technology","Science and Engineering","Outside London","925","865","39210","39650"
"In post","2022","Digital, Data & Technology","Science and Engineering","Overseas","25","25","34420","37420"
"In post","2022","Digital, Data & Technology","Security","London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Security","Outside London","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Statistics","Outside London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","London","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","Outside London","70","70","39340","34830"
"In post","2022","Digital, Data & Technology","Unknown","London","980","965","52580","54700"
"In post","2022","Digital, Data & Technology","Unknown","Outside London","515","505","44410","40520"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","35","35","40270","37300"
"In post","2022","Finance","Commercial","London","90","90","43640","39000"
"In post","2022","Finance","Commercial","Outside London","530","495","35810","32400"
"In post","2022","Finance","Communications","London","5","5","[c]","[c]"
"In post","2022","Finance","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Corporate Finance","London","35","35","48140","44620"
"In post","2022","Finance","Corporate Finance","Outside London","75","75","44720","41330"
"In post","2022","Finance","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","Outside London","235","225","38910","36500"
"In post","2022","Finance","Economics","London","10","5","[c]","[c]"
"In post","2022","Finance","Economics","Outside London","5","5","[c]","[c]"
"In post","2022","Finance","Finance","London","2300","2250","49240","44500"
"In post","2022","Finance","Finance","Outside London","6565","6240","38050","35000"
"In post","2022","Finance","Finance","Overseas","35","35","34630","33300"
"In post","2022","Finance","Finance","Unknown","10","10","41640","34250"
"In post","2022","Finance","Human Resources","London","10","10","[c]","[c]"
"In post","2022","Finance","Human Resources","Outside London","20","20","29850","28970"
"In post","2022","Finance","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Operational Delivery","London","175","170","39660","34500"
"In post","2022","Finance","Operational Delivery","Outside London","1320","1140","26200","22080"
"In post","2022","Finance","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other","London","15","15","60740","64840"
"In post","2022","Finance","Other","Outside London","20","20","37450","32730"
"In post","2022","Finance","Policy","London","25","25","51060","52560"
"In post","2022","Finance","Policy","Outside London","30","30","41840","38520"
"In post","2022","Finance","Policy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Project Delivery","London","15","10","43390","41000"
"In post","2022","Finance","Project Delivery","Outside London","35","35","40470","37870"
"In post","2022","Finance","Property","London","10","10","[c]","[c]"
"In post","2022","Finance","Property","Outside London","30","30","38640","36500"
"In post","2022","Finance","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Security","London","80","80","45110","39960"
"In post","2022","Finance","Security","Outside London","235","225","41330","35360"
"In post","2022","Finance","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Statistics","Outside London","5","5","[c]","[c]"
"In post","2022","Finance","Tax","London","30","30","47490","43430"
"In post","2022","Finance","Tax","Outside London","65","65","31420","28920"
"In post","2022","Finance","Unknown","London","185","185","51040","43810"
"In post","2022","Finance","Unknown","Outside London","140","135","40370","34250"
"In post","2022","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Operational Delivery","Outside London","2310","2120","25090","21300"
"In post","2022","Grants Management","Policy","Outside London","5","5","[c]","[c]"
"In post","2022","Human Resources","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","London","10","10","[c]","[c]"
"In post","2022","Human Resources","Communications","Outside London","5","5","[c]","[c]"
"In post","2022","Human Resources","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data and Technology","Outside London","10","10","[c]","[c]"
"In post","2022","Human Resources","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","London","5","5","[c]","[c]"
"In post","2022","Human Resources","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Human Resources","London","2185","2115","46600","41750"
"In post","2022","Human Resources","Human Resources","Outside London","6220","5860","35830","32900"
"In post","2022","Human Resources","Human Resources","Overseas","40","40","43120","35610"
"In post","2022","Human Resources","Human Resources","Unknown","15","15","35500","32390"
"In post","2022","Human Resources","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","Outside London","15","15","61150","60810"
"In post","2022","Human Resources","Operational Delivery","London","155","150","36820","31880"
"In post","2022","Human Resources","Operational Delivery","Outside London","1370","1265","29560","27570"
"In post","2022","Human Resources","Other","London","5","5","[c]","[c]"
"In post","2022","Human Resources","Other","Outside London","75","70","36140","37650"
"In post","2022","Human Resources","Policy","London","25","25","42380","39210"
"In post","2022","Human Resources","Policy","Outside London","5","5","[c]","[c]"
"In post","2022","Human Resources","Project Delivery","London","20","20","47300","47590"
"In post","2022","Human Resources","Project Delivery","Outside London","15","15","46030","42620"
"In post","2022","Human Resources","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2022","Human Resources","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Tax","London","25","25","43080","40910"
"In post","2022","Human Resources","Tax","Outside London","185","175","34230","33080"
"In post","2022","Human Resources","Unknown","London","465","455","48350","42270"
"In post","2022","Human Resources","Unknown","Outside London","830","785","35260","32000"
"In post","2022","Human Resources","Unknown","Unknown","25","25","42030","37300"
"In post","2022","Internal Audit","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Internal Audit","London","205","200","53660","50500"
"In post","2022","Internal Audit","Internal Audit","Outside London","515","490","44000","42200"
"In post","2022","Internal Audit","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other","London","20","20","35990","30910"
"In post","2022","Internal Audit","Other","Outside London","10","10","[c]","[c]"
"In post","2022","Internal Audit","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Security","Outside London","5","5","[c]","[c]"
"In post","2022","Legal","Communications","London","5","5","[c]","[c]"
"In post","2022","Legal","Communications","Outside London","20","20","36450","39730"
"In post","2022","Legal","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Finance","London","15","15","29070","27760"
"In post","2022","Legal","Finance","Outside London","65","60","26610","25480"
"In post","2022","Legal","Human Resources","London","10","10","33430","32020"
"In post","2022","Legal","Human Resources","Outside London","15","15","31530","31270"
"In post","2022","Legal","Knowledge and Information Management","London","20","20","49770","51170"
"In post","2022","Legal","Knowledge and Information Management","Outside London","60","55","28970","27570"
"In post","2022","Legal","Legal","London","3555","3325","60290","61860"
"In post","2022","Legal","Legal","Outside London","4190","3885","52500","53350"
"In post","2022","Legal","Legal","Overseas","10","10","60240","64330"
"In post","2022","Legal","Operational Delivery","London","845","795","28710","26970"
"In post","2022","Legal","Operational Delivery","Outside London","2405","2210","26670","25480"
"In post","2022","Legal","Other","London","415","395","33030","27580"
"In post","2022","Legal","Other","Outside London","50","45","41290","30010"
"In post","2022","Legal","Policy","London","70","70","47600","42390"
"In post","2022","Legal","Policy","Outside London","25","25","46900","47490"
"In post","2022","Legal","Project Delivery","London","10","10","[c]","[c]"
"In post","2022","Legal","Project Delivery","Outside London","15","15","32370","32050"
"In post","2022","Legal","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Property","Outside London","10","10","41730","31560"
"In post","2022","Legal","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Security","Outside London","10","10","[c]","[c]"
"In post","2022","Legal","Tax","London","40","40","50680","43810"
"In post","2022","Legal","Tax","Outside London","305","290","40420","35980"
"In post","2022","Legal","Unknown","London","150","145","67740","67730"
"In post","2022","Legal","Unknown","Outside London","70","70","39600","33370"
"In post","2022","No function","Commercial","London","180","175","50410","46600"
"In post","2022","No function","Commercial","Outside London","335","325","47240","45700"
"In post","2022","No function","Communications","London","125","120","43020","40050"
"In post","2022","No function","Communications","Outside London","125","120","39420","36960"
"In post","2022","No function","Corporate Finance","London","15","15","74470","67370"
"In post","2022","No function","Corporate Finance","Outside London","10","10","[c]","[c]"
"In post","2022","No function","Counter Fraud","London","5","5","[c]","[c]"
"In post","2022","No function","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","No function","Digital, Data and Technology","London","65","65","44090","42950"
"In post","2022","No function","Digital, Data and Technology","Outside London","80","75","40670","36870"
"In post","2022","No function","Economics","London","360","350","49150","52500"
"In post","2022","No function","Economics","Outside London","40","40","42410","39970"
"In post","2022","No function","Finance","London","65","65","53030","53420"
"In post","2022","No function","Finance","Outside London","80","80","42200","36960"
"In post","2022","No function","Geography","Outside London","430","405","31400","33290"
"In post","2022","No function","Human Resources","London","50","50","52590","53730"
"In post","2022","No function","Human Resources","Outside London","30","30","39660","36820"
"In post","2022","No function","Inspector of Education and Training","London","85","85","65050","51360"
"In post","2022","No function","Inspector of Education and Training","Outside London","785","765","64940","64500"
"In post","2022","No function","Intelligence Analysis","London","65","65","36710","33320"
"In post","2022","No function","Intelligence Analysis","Outside London","365","355","29750","27380"
"In post","2022","No function","Internal Audit","London","10","10","[c]","[c]"
"In post","2022","No function","Internal Audit","Outside London","10","10","31840","32480"
"In post","2022","No function","International Trade","London","1230","1220","47440","44030"
"In post","2022","No function","International Trade","Outside London","240","235","40810","35900"
"In post","2022","No function","International Trade","Overseas","160","160","55790","53750"
"In post","2022","No function","Knowledge and Information Management","London","345","335","41910","36910"
"In post","2022","No function","Knowledge and Information Management","Outside London","470","445","31360","28450"
"In post","2022","No function","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","No function","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Legal","London","395","370","49940","51830"
"In post","2022","No function","Legal","Outside London","935","850","41830","42080"
"In post","2022","No function","Medicine","London","295","265","81660","78190"
"In post","2022","No function","Medicine","Outside London","295","265","83810","87210"
"In post","2022","No function","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","No function","Operational Delivery","London","24385","23180","35090","31060"
"In post","2022","No function","Operational Delivery","Outside London","180010","163440","27680","26840"
"In post","2022","No function","Operational Delivery","Overseas","140","140","61890","61570"
"In post","2022","No function","Operational Delivery","Unknown","540","500","29780","27570"
"In post","2022","No function","Operational Research","London","20","20","50070","50550"
"In post","2022","No function","Operational Research","Outside London","265","255","45210","47010"
"In post","2022","No function","Other","London","1700","1665","42540","31990"
"In post","2022","No function","Other","Outside London","5765","5350","29190","27570"
"In post","2022","No function","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","No function","Other","Unknown","30","30","33430","27570"
"In post","2022","No function","Planning","London","90","85","47000","42980"
"In post","2022","No function","Planning","Outside London","65","60","41710","39100"
"In post","2022","No function","Planning Inspectors","London","25","20","57470","58810"
"In post","2022","No function","Planning Inspectors","Outside London","350","315","56210","58810"
"In post","2022","No function","Policy","London","16040","15660","48840","49090"
"In post","2022","No function","Policy","Outside London","6055","5835","40470","36570"
"In post","2022","No function","Policy","Overseas","1430","1425","51830","52500"
"In post","2022","No function","Policy","Unknown","25","25","45280","45800"
"In post","2022","No function","Project Delivery","London","275","270","48760","51730"
"In post","2022","No function","Project Delivery","Outside London","205","200","40410","37200"
"In post","2022","No function","Project Delivery","Overseas","5","5","[c]","[c]"
"In post","2022","No function","Property","London","10","5","[c]","[c]"
"In post","2022","No function","Property","Outside London","25","25","39280","36500"
"In post","2022","No function","Psychology","London","85","80","40040","33120"
"In post","2022","No function","Psychology","Outside London","1430","1370","35470","31180"
"In post","2022","No function","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Science and Engineering","London","865","835","45520","41100"
"In post","2022","No function","Science and Engineering","Outside London","5795","5515","39750","38070"
"In post","2022","No function","Science and Engineering","Overseas","10","10","[c]","[c]"
"In post","2022","No function","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","No function","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","No function","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2022","No function","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","No function","Statistics","London","40","35","52490","52610"
"In post","2022","No function","Statistics","Outside London","20","20","46100","46360"
"In post","2022","No function","Tax","London","1885","1795","44690","38020"
"In post","2022","No function","Tax","Outside London","11060","10480","34560","33080"
"In post","2022","No function","Unknown","London","4190","4145","44240","36180"
"In post","2022","No function","Unknown","Outside London","3305","3195","31520","28000"
"In post","2022","No function","Unknown","Unknown","280","280","33310","29250"
"In post","2022","No function","Veterinarian","London","10","10","49560","49690"
"In post","2022","No function","Veterinarian","Outside London","380","360","43070","38000"
"In post","2022","No function","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Commercial","Outside London","750","720","39010","37400"
"In post","2022","Project Delivery","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Communications","London","10","10","47420","41750"
"In post","2022","Project Delivery","Communications","Outside London","30","30","35230","35660"
"In post","2022","Project Delivery","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Digital, Data and Technology","Outside London","155","150","45950","47010"
